var1,var2,total,avg_r,max_r,removeVar1,removeVar2
hv807c,hv008,1,0.9797234977866677,0.9797234977866677,1,1
hv807a,hv008,1,0.9625590106938052,0.9625590106938052,1,1
hv807c,hv008a,1,0.965946506072074,0.965946506072074,1,1
hv807a,hv008a,1,0.9844081616531145,0.9844081616531145,1,1
hv125_1,hv128,1,0.9187964716132996,0.9187964716132996,1,1
hv126_01_2,hv128_01,1,0.9069729975580921,0.9069729975580921,1,1
hv253x_0,hv253b_0,1,0.9107603376151909,0.9107603376151909,1,0
smanem,swanem,1,0.9875504999013155,0.9875504999013155,1,0
hiv05,swanem,1,0.917073756121932,0.917073756121932,1,0
hiv05,smanem,1,0.9163926758357158,0.9163926758357158,1,1
hv024_7,hv023_1,1,0.9999999999999998,0.9999999999999998,1,1
hv024_13,hv023_2,1,0.9999999999999999,0.9999999999999999,1,1
hv024_10,hv023_3,1,1,1,1,1
hv024_12,hv023_5,1,0.9999999999999999,0.9999999999999999,1,1
hv024_11,hv023_6,1,1,1,1,1
hv024_14,hv023_7,1,0.9999999999999998,0.9999999999999998,1,1
hv024_4,hv023_9,1,1,1,1,1
hv024_5,hv023_11,1,1,1,1,1
hv024_9,hv023_13,1,1,1,1,1
sh03_98,hv101_98,1,1,1,1,0
sh110o_9,sh110n_9,1,1,1,1,1
hv023_17,hv007,1,0.969102912697515,0.969102912697515,1,0
hv024_1,hv007,1,0.969102912697515,0.969102912697515,1,0
hml12_1,hml20,1,0.9960360890919955,0.9960360890919955,1,0
hml19_01,hml13_01,1,0.9088548255445286,0.9088548255445286,1,0
hml20_01,hml19_01,1,0.9866310243870142,0.9866310243870142,1,1
hml12_01_1,hml19_01,1,0.9918235513025938,0.9918235513025938,1,1
hml12_01_1,hml20_01,1,0.9947646666498695,0.9947646666498695,1,1
hv024_1,hv023_17,1,1,1,1,1
hv253z_0,hv253c_0,1,0.9060685408439233,0.9060685408439233,1,0
sh110j_9,sh110h_9,1,1,1,1,1
sh110l_9,sh110h_9,1,1,1,1,1
sh110m_9,sh110h_9,1,1,1,1,1
sh110n_9,sh110h_9,1,1,1,1,1
sh110p_9,sh110h_9,1,1,1,1,1
sh110q_9,sh110h_9,1,1,1,1,1
sh110l_9,sh110j_9,1,1,1,1,1
sh110m_9,sh110j_9,1,1,1,1,1
sh110n_9,sh110j_9,1,1,1,1,1
sh110p_9,sh110j_9,1,1,1,1,1
sh110q_9,sh110j_9,1,1,1,1,1
sh110l_9,sh110k_9,1,1,1,1,1
sh110m_9,sh110k_9,1,1,1,1,1
sh110n_9,sh110k_9,1,1,1,1,1
sh110p_9,sh110k_9,1,1,1,1,1
sh110q_9,sh110k_9,1,1,1,1,1
sh110m_9,sh110l_9,1,1,1,1,1
sh110n_9,sh110l_9,1,1,1,1,1
sh110p_9,sh110l_9,1,1,1,1,1
sh110q_9,sh110l_9,1,1,1,1,1
sh110n_9,sh110m_9,1,1,1,1,1
sh110p_9,sh110m_9,1,1,1,1,1
sh110q_9,sh110m_9,1,1,1,1,1
sh110p_9,sh110n_9,1,1,1,1,1
sh110q_9,sh110n_9,1,1,1,1,1
sh110q_9,sh110p_9,1,1,1,1,1
shhivw,hv005,1,0.9782068965062025,0.9782068965062025,1,0
shhivw,hv028,1,0.9798001940627342,0.9798001940627342,1,1
hiv05,shhivw,1,1,1,1,1
hv024_3,hv023_5,1,1,1,1,1
sh03_9,hv101_9,1,1,1,1,0
sh03_99,hv101_99,1,1,1,1,0
hml17_01_0,hv117_01_0,1,0.9595098252860086,0.9595098252860086,1,1
shregion_1,hv024_1,1,1,1,1,1
shregion_2,hv024_2,1,0.9047229429646897,0.9047229429646897,1,1
shregion_3,hv024_3,1,1,1,1,1
shregion_4,hv024_4,1,1,1,1,1
shregion_5,hv024_5,1,0.9999999999999999,0.9999999999999999,1,1
shregion_6,hv024_6,1,1,1,1,1
shregion_7,hv024_7,1,1,1,1,1
shregion_9,hv024_9,1,1,1,1,1
shregion_10,hv024_10,1,1,1,1,1
shregion_11,hv024_11,1,0.9999999999999999,0.9999999999999999,1,1
shregion_12,hv024_12,1,1,1,1,1
shregion_13,hv024_13,1,1,1,1,1
shregion_14,hv024_14,1,1,1,1,1
shregion_15,hv024_15,1,1,1,1,0
shregion_16,hv024_16,1,1,1,1,0
shregion_17,hv024_17,1,0.9999999999999999,0.9999999999999999,1,0
shregion_18,hv024_18,1,1,1,1,0
shregion_19,hv024_19,1,1,1,1,0
shregion_20,hv024_20,1,1,1,1,0
shregion_21,hv024_21,1,1,1,1,0
hv101_01_3,hv218,1,0.9863886522771566,0.9863886522771566,1,0
sh105l_9,hv207_9,1,0.9534111327794201,0.9534111327794201,1,1
sh108_d_9,hv211_9,1,1,1,1,1
sh108_d_9,hv212_9,1,1,1,1,1
shnprovin_6,shpool_8,1,1,1,1,0
shnprovin_7,shpool_9,1,0.9999999999999999,0.9999999999999999,1,0
shnprovin_9,shpool_10,1,1,1,1,0
shnprovin_8,shpool_11,1,1,1,1,0
shnprovin_10,shpool_12,1,0.9999999999999999,0.9999999999999999,1,0
shnprovin_25,shpool_13,1,1,1,1,0
shnprovin_22,shpool_14,1,1,1,1,0
shnprovin_23,shpool_15,1,1,1,1,0
shnprovin_24,shpool_16,1,0.9999999999999999,0.9999999999999999,1,0
shnprovin_16,shpool_23,1,0.9999999999999999,0.9999999999999999,1,0
shnprovin_17,shpool_24,1,1,1,1,0
shnprovin_18,shpool_25,1,1,1,1,0
shnprovin_19,shpool_26,1,1,1,1,0
shnprovin_15,shpool_30,1,1,1,1,0
shnprovin_1,shpool_34,1,0.9999999999999998,0.9999999999999998,1,0
sharrond,shdistr,1,0.9028122080597273,0.9028122080597273,1,0
hv025_2,shdistr,1,0.9825442779135605,0.9825442779135605,1,0
hv025_2,sharrond,1,0.9071300905611517,0.9071300905611517,1,1
shreg_1,hv024_11,1,0.9999999999999999,0.9999999999999999,1,1
shreg_2,hv024_12,1,0.9999999999999999,0.9999999999999999,1,1
shurbrur_1,hv025_1,1,1,1,1,0
shreg_1,hv026_0,1,0.9999999999999999,0.9999999999999999,1,1
sh104h_9,hv209_9,1,0.9243061140375265,0.9243061140375265,1,1
hv024_11,hv006,1,0.9080740634039003,0.9080740634039003,1,0
hv026_0,hv006,1,0.9080740634039003,0.9080740634039003,1,0
hml12_01_2,hml12_2,1,1,1,1,0
shintcg,hv008,1,0.9213958356944107,0.9213958356944107,1,1
sh13,sh11,1,0.9351588850592588,0.9351588850592588,1,0
hv026_0,hv024_14,1,0.9781896172414787,0.9781896172414787,1,1
hv207_9,hv205_99,1,1,1,1,0
hv208_9,hv205_99,1,1,1,1,0
hv221_9,hv205_99,1,1,1,1,0
sh26_9,hv205_99,1,0.9427675985155329,0.9427675985155329,1,0
sh31i_9,hv205_99,1,0.9427675985155329,0.9427675985155329,1,0
sh26_9,hv207_9,1,0.9427675985155329,0.9427675985155329,1,1
sh31i_9,hv207_9,1,0.9427675985155329,0.9427675985155329,1,1
sh26_9,hv208_9,1,0.9427675985155329,0.9427675985155329,1,1
sh31i_9,hv208_9,1,0.9427675985155329,0.9427675985155329,1,1
sh41e_9,hv210_9,1,1,1,1,1
sh41e_9,hv211_9,1,1,1,1,1
sh41e_9,hv212_9,1,1,1,1,1
sh34_9,hv213_99,1,0.9257794106433967,0.9257794106433967,1,0
sh26_9,hv221_9,1,0.9427675985155329,0.9427675985155329,1,1
sh31i_9,hv221_9,1,0.9427675985155329,0.9427675985155329,1,1
sh32_1,hv226_1,1,1,1,1,0
sh32_3,hv226_2,1,0.9182923397111143,0.9182923397111143,1,0
sh32_4,hv226_3,1,1,1,1,0
sh32_5,hv226_4,1,1,1,1,0
sh32_7,hv226_6,1,1,1,1,0
sh32_8,hv226_7,1,0.9723676697747381,0.9723676697747381,1,0
sh32_11,hv226_8,1,1,1,1,0
sh32_12,hv226_12,1,1,1,1,0
sh32_96,hv226_96,1,1,1,1,0
sh32_99,hv226_99,1,1,1,1,1
sh34_9,hv226_99,1,0.9257794106433967,0.9257794106433967,1,1
shlangr_9,shlangi_9,1,1,1,1,0
sh27a_9,sh26_9,1,0.9044545037701764,0.9044545037701764,1,1
sh27b_9,sh26_9,1,0.9044545037701764,0.9044545037701764,1,1
sh27c_9,sh26_9,1,0.9044545037701764,0.9044545037701764,1,1
sh27d_9,sh26_9,1,0.9044545037701764,0.9044545037701764,1,1
sh27e_9,sh26_9,1,0.9044545037701764,0.9044545037701764,1,1
sh27f_9,sh26_9,1,0.9044545037701764,0.9044545037701764,1,1
sh27x_9,sh26_9,1,0.9044545037701764,0.9044545037701764,1,1
sh27b_9,sh27a_9,1,1,1,1,1
sh27c_9,sh27a_9,1,1,1,1,1
sh27d_9,sh27a_9,1,1,1,1,1
sh27e_9,sh27a_9,1,1,1,1,1
sh27f_9,sh27a_9,1,1,1,1,1
sh27x_9,sh27a_9,1,1,1,1,1
sh27e_0,sh27b_0,1,0.9244639300693622,0.9244639300693622,1,0
sh27c_9,sh27b_9,1,1,1,1,1
sh27d_9,sh27b_9,1,1,1,1,1
sh27e_9,sh27b_9,1,1,1,1,1
sh27f_9,sh27b_9,1,1,1,1,1
sh27x_9,sh27b_9,1,1,1,1,1
sh27d_9,sh27c_9,1,1,1,1,1
sh27e_9,sh27c_9,1,1,1,1,1
sh27f_9,sh27c_9,1,1,1,1,1
sh27x_9,sh27c_9,1,1,1,1,1
sh27e_9,sh27d_9,1,1,1,1,1
sh27f_9,sh27d_9,1,1,1,1,1
sh27x_9,sh27d_9,1,1,1,1,1
sh27f_0,sh27e_0,1,0.9282253442790008,0.9282253442790008,1,1
sh27f_9,sh27e_9,1,1,1,1,1
sh27x_9,sh27e_9,1,1,1,1,1
sh27x_9,sh27f_9,1,1,1,1,1
sh31k_9,sh31i_9,1,0.9044545037701764,0.9044545037701764,1,1
sh34_9,sh32_99,1,0.9257794106433967,0.9257794106433967,1,1
sh39d_9,sh39b_9,1,0.9511060255103649,0.9511060255103649,1,0
hv024_3,hv022_6,1,0.9327580299084463,0.9327580299084463,1,0
hv024_4,hv022_8,1,0.9089814194644321,0.9089814194644321,1,0
hv024_7,hv022_14,1,0.9381756211253264,0.9381756211253264,1,0
hv024_14,hv022_19,1,1,1,1,0
hv023_20,hv022_20,1,1,1,1,0
hv023_21,hv022_21,1,1,1,1,0
hv023_22,hv022_22,1,0.9999999999999999,0.9999999999999999,1,0
hv023_23,hv022_23,1,1,1,1,0
hv024_3,hv023_6,1,0.9327580299084463,0.9327580299084463,1,1
hv024_7,hv023_14,1,0.9381756211253264,0.9381756211253264,1,1
hv024_14,hv023_19,1,1,1,1,1
hv202_99,hv201_99,1,1,1,1,0
shlangr_3,shlangi_3,1,0.9383870206010583,0.9383870206010583,1,1
hv026_1,hv024_1,1,1,1,1,1
shregion_5,hv024_1,1,1,1,1,1
hv026_4,hv025_2,1,1,1,1,1
shregion_5,hv026_1,1,1,1,1,1
sh118e_9,hv212_9,1,0.9364637151490446,0.9364637151490446,1,1
sh16_0,hv106_0,1,0.9990679810836798,0.9990679810836798,1,0
sh17a_4,hv106_3,1,1,1,1,0
sh16_0,hv109_0,1,0.9990679810836798,0.9990679810836798,1,1
sh17a_4,hv109_5,1,1,1,1,1
sh19a_0,hv122_0,1,0.9271905962488467,0.9271905962488467,1,1
sh19a_1,hv122_1,1,1,1,1,0
sh19a_4,hv122_3,1,1,1,1,0
sh17a_0,sh16_0,1,0.9472367175649069,0.9472367175649069,1,1
sh16_01_0,hv106_01_0,1,1,1,1,0
sh17a_01_4,hv106_01_3,1,1,1,1,0
sh16_01_0,hv109_01_0,1,1,1,1,1
sh17a_01_4,hv109_01_5,1,1,1,1,1
sh19a_01_4,hv122_01_3,1,0.9999999999999999,0.9999999999999999,1,0
sh17a_01_0,sh16_01_0,1,0.9495687553038933,0.9495687553038933,1,1
hv031_152,hv024_9,1,1,1,1,1
hv031_142,hv024_10,1,0.9277367342673492,0.9277367342673492,1,1
sh28e_9,hv211_9,1,0.9128241907819238,0.9128241907819238,1,1
shlangi_2,shlangq_2,1,0.9039321949754332,0.9039321949754332,1,0
shlangi_4,shlangq_4,1,0.991739005310123,0.991739005310123,1,1
shlangi_5,shlangq_5,1,1,1,1,0
shlangi_6,shlangq_6,1,0.9424609956049327,0.9424609956049327,1,0
sh28e_9,sh28d_9,1,1,1,1,1
hv122_01_0,hv110_01_0,1,0.9383495446341482,0.9383495446341482,1,0
hv122_01_9,hv110_01_9,1,0.9700927734736702,0.9700927734736702,1,1
hv126_01_1,hv122_01_1,1,1,1,1,0
sh106a4_1,hv201_72,1,0.9488366357761502,0.9488366357761502,1,0
hv026_0,hv023_2,1,0.9999999999999999,0.9999999999999999,1,1
shregnat_5,hv023_2,1,0.9999999999999999,0.9999999999999999,1,1
shregnat_5,hv024_2,1,0.9999999999999999,0.9999999999999999,1,1
shregnat_5,hv026_0,1,0.9999999999999999,0.9999999999999999,1,1
shregnew_1,hv024_2,1,1,1,1,1
shregnew_1,hv026_0,1,1,1,1,1
sh18a_9,hv124,1,0.9380900771115366,0.9380900771115366,1,0
sh20a_9,hv128,1,0.9466353385349511,0.9466353385349511,1,1
hv110_01_9,hv124_01,1,0.9704336193119331,0.9704336193119331,1,0
sh18a_01_9,hv124_01,1,0.9923221262112961,0.9923221262112961,1,0
sh20a_01_9,hv124_01,1,0.9490030722589274,0.9490030722589274,1,0
sh18a_01_9,hv128_01,1,0.9510013807692007,0.9510013807692007,1,1
sh20a_01_9,hv128_01,1,0.9898556598025424,0.9898556598025424,1,1
sh15a_0,hv106_0,1,0.9999999999999999,0.9999999999999999,1,0
shedm_0,hv106_0,1,0.9590939433090073,0.9590939433090073,1,0
sh15a_1,hv106_1,1,0.9703784765936975,0.9703784765936975,1,0
sh15a_3,hv106_2,1,1,1,1,0
shedm_5,hv106_3,1,0.9095042543213955,0.9095042543213955,1,0
sh15a_9,hv106_9,1,1,1,1,0
sh15a_0,hv109_0,1,0.9999999999999999,0.9999999999999999,1,1
shedm_0,hv109_0,1,0.9590939433090073,0.9590939433090073,1,1
shedm_1,hv109_1,1,0.9180428650050619,0.9180428650050619,1,1
shedm_3,hv109_3,1,0.9098379809116889,0.9098379809116889,1,1
shedm_4,hv109_4,1,0.9175059032232469,0.9175059032232469,1,0
shedm_5,hv109_5,1,0.9095042543213955,0.9095042543213955,1,1
sh15a_9,hv109_9,1,1,1,1,1
sh18a_0,hv110_0,1,0.9878475846360589,0.9878475846360589,1,0
sh18a_9,hv110_9,1,0.9493400495365139,0.9493400495365139,1,0
sh18a_0,hv121_0,1,1,1,1,1
sh18a_9,hv121_9,1,0.9999999999999998,0.9999999999999998,1,1
sh20a_9,hv121_9,1,0.91075601424221575,0.91075601424221575,1,1
sh20a_0,hv125_0,1,0.9989475870773047,0.9989475870773047,1,1
sh18a_9,hv125_9,1,0.91075601424221575,0.91075601424221575,1,1
sh20a_9,hv125_9,1,1,1,1,1
sh20a_0,hv126_0,1,1,1,1,1
sh20a_1,hv126_1,1,0.9879935135385178,0.9879935135385178,1,0
sh20a_3,hv126_2,1,0.9999999999999999,0.9999999999999999,1,1
sh18a_9,hv126_9,1,0.91075601424221575,0.91075601424221575,1,1
sh20a_9,hv126_9,1,1,1,1,1
shedm_0,sh15a_0,1,0.9590939433090073,0.9590939433090073,1,1
sh20a_9,sh18a_9,1,0.91075601424221575,0.91075601424221575,1,1
sh15a_01_0,hv106_01_0,1,1,1,1,0
shedm_01_0,hv106_01_0,1,0.970541746484131,0.970541746484131,1,0
sh15a_01_1,hv106_01_1,1,0.9676119643138124,0.9676119643138124,1,0
sh15a_01_3,hv106_01_2,1,1,1,1,0
shedm_01_5,hv106_01_3,1,0.9050023869896433,0.9050023869896433,1,0
sh15a_01_9,hv106_01_9,1,1,1,1,0
sh15a_01_0,hv109_01_0,1,1,1,1,1
shedm_01_0,hv109_01_0,1,0.970541746484131,0.970541746484131,1,1
shedm_01_1,hv109_01_1,1,0.9265993017759491,0.9265993017759491,1,1
shedm_01_2,hv109_01_2,1,0.9203509603251505,0.9203509603251505,1,0
shedm_01_4,hv109_01_4,1,0.9087007148751729,0.9087007148751729,1,0
shedm_01_5,hv109_01_5,1,0.9050023869896433,0.9050023869896433,1,1
sh15a_01_9,hv109_01_9,1,1,1,1,1
sh18a_01_0,hv110_01_0,1,0.976853769802124,0.976853769802124,1,0
sh18a_01_9,hv110_01_9,1,0.9779421356017387,0.9779421356017387,1,1
sh20a_01_9,hv110_01_9,1,0.9779421356017387,0.9779421356017387,1,1
sh18a_01_0,hv121_01_0,1,1,1,1,1
sh18a_01_9,hv121_01_9,1,0.9999999999999999,0.9999999999999999,1,1
sh20a_01_9,hv121_01_9,1,0.9563639357534424,0.9563639357534424,1,1
sh20a_01_0,hv125_01_0,1,1,1,1,0
sh18a_01_9,hv125_01_9,1,0.9563639357534424,0.9563639357534424,1,1
sh20a_01_9,hv125_01_9,1,0.9999999999999999,0.9999999999999999,1,1
shedm_01_0,sh15a_01_0,1,0.970541746484131,0.970541746484131,1,1
sh20a_01_5,sh18a_01_5,1,0.9999999999999998,0.9999999999999998,1,0
sh20a_01_9,sh18a_01_9,1,0.9563639357534424,0.9563639357534424,1,1
hv024_2,hv022_2,1,0.9095956828732851,0.9095956828732851,1,0
shbsprov_2,hv022_2,1,0.9095956828732851,0.9095956828732851,1,0
hv023_4,hv022_6,1,0.9643498124610175,0.9643498124610175,1,0
hv024_4,hv022_6,1,0.9643498124610175,0.9643498124610175,1,0
shbsprov_4,hv022_6,1,0.9643498124610175,0.9643498124610175,1,0
hv023_6,hv022_12,1,0.9185171973113664,0.9185171973113664,1,0
shbsprov_7,hv022_12,1,0.9185171973113664,0.9185171973113664,1,0
hv023_1,hv022_15,1,0.9999999999999999,0.9999999999999999,1,0
hv024_1,hv022_15,1,0.9999999999999999,0.9999999999999999,1,0
shbsprov_1,hv022_15,1,0.9999999999999999,0.9999999999999999,1,0
shbsprov_1,hv023_1,1,0.9999999999999999,0.9999999999999999,1,1
shbsprov_2,hv023_2,1,0.9999999999999999,0.9999999999999999,1,1
shbsprov_3,hv023_3,1,1,1,1,1
shbsprov_4,hv023_4,1,1,1,1,1
shbsprov_6,hv023_5,1,0.9999999999999998,0.9999999999999998,1,1
shbsprov_7,hv023_6,1,1,1,1,1
shbsprov_8,hv023_7,1,1,1,1,1
shbsprov_5,hv023_8,1,1,1,1,0
shbsprov_1,hv024_1,1,0.9999999999999999,0.9999999999999999,1,1
shbsprov_2,hv024_2,1,0.9999999999999999,0.9999999999999999,1,1
shbsprov_3,hv024_3,1,1,1,1,1
shbsprov_4,hv024_4,1,1,1,1,1
shbsprov_6,hv024_5,1,0.9999999999999998,0.9999999999999998,1,1
shbsprov_7,hv024_6,1,1,1,1,1
shbsprov_8,hv024_7,1,1,1,1,1
shbsprov_5,hv024_8,1,1,1,1,1
sh121b_1,sh121a_1,1,0.9186346723278161,0.9186346723278161,1,0
hv103_01_9,hv103_9,1,1,1,1,0
sh24a_0,hv106_0,1,1,1,1,0
sh24a_1,hv106_1,1,0.9860639057366246,0.9860639057366246,1,0
sh24a_3,hv106_2,1,1,1,1,0
sh24a_9,hv106_9,1,0.9999999999999998,0.9999999999999998,1,0
sh24a_0,hv109_0,1,1,1,1,1
sh24a_9,hv109_9,1,0.9999999999999998,0.9999999999999998,1,1
sh24a_01_0,hv106_01_0,1,1,1,1,0
sh24a_01_1,hv106_01_1,1,0.9922531610228261,0.9922531610228261,1,0
sh24a_01_3,hv106_01_2,1,0.9999999999999999,0.9999999999999999,1,0
sh24a_01_9,hv106_01_9,1,1,1,1,0
sh24a_01_0,hv109_01_0,1,1,1,1,1
sh24a_01_9,hv109_01_9,1,1,1,1,1
sh51,v003,1,0.9999999999999999,0.9999999999999999,1,0
sh63w,hv005,1,0.9335272713516538,0.9335272713516538,1,0
sh63w_01,hv005,1,0.927993390387548,0.927993390387548,1,0
sh63w,hv028,1,0.9378392805661785,0.9378392805661785,1,1
sh63w_01,hv028,1,0.9325573776604036,0.9325573776604036,1,1
sh54,hv105,1,0.9992162233158568,0.9992162233158568,1,0
shhivage,hv105,1,0.9982016192641818,0.9982016192641818,1,0
sh51,idxh4,1,0.9999999999999999,0.9999999999999999,1,1
hivline,sh51,1,0.9999999999999999,0.9999999999999999,1,1
shhivage,sh54,1,0.9980727926194036,0.9980727926194036,1,1
sh63w_01,sh63w,1,0.9944451409198999,0.9944451409198999,1,1
hiv05,sh63w,1,0.9801984848814619,0.9801984848814619,1,1
shhivage_01,sh54_01,1,0.9976251480568806,0.9976251480568806,1,0
hiv05,sh63w_01,1,0.9735187640813057,0.9735187640813057,1,1
shecozn_1,hv023_1,1,1,1,1,1
shecozn_2,hv023_2,1,1,1,1,1
shecozn_3,hv023_3,1,1,1,1,1
shecozn_4,hv023_4,1,1,1,1,1
sh03_12,hv101_11,1,1,1,1,0
sh04_1,hv102_1,1,1,1,1,0
sh53_1,hv104_1,1,1,1,1,0
sh53_2,hv104_2,1,0.9999999999999999,0.9999999999999999,1,0
sh53_1,hv117_0,1,0.9801828867741804,0.9801828867741804,1,1
sh53_2,hv117_1,1,0.9801828867741803,0.9801828867741803,1,1
sh53_2,hv118_0,1,0.9871806304218951,0.9871806304218951,1,1
sh53_1,hv118_1,1,0.9871806304218952,0.9871806304218952,1,1
sh03_01_3,hv101_01_3,1,1,1,1,1
sh03_01_4,hv101_01_4,1,1,1,1,0
shres_01_0,hv102_01_0,1,0.9597752224114395,0.9597752224114395,1,0
sh04_01_1,hv102_01_1,1,0.9999999999999999,0.9999999999999999,1,0
shres_01_1,hv102_01_1,1,0.9597752224114395,0.9597752224114395,1,0
shres_01_1,sh04_01_1,1,0.9597752224114395,0.9597752224114395,1,1
sh127r_1,hv024_1,1,0.9683029858129926,0.9683029858129926,1,1
sh127r_2,hv024_2,1,0.9201203005133471,0.9201203005133471,1,1
sh127r_3,hv024_3,1,0.9879577066285863,0.9879577066285863,1,1
sh127r_4,hv024_4,1,0.975888404920134,0.975888404920134,1,1
sh127r_5,hv024_5,1,0.9898621364891056,0.9898621364891056,1,1
sh127r_6,hv024_6,1,0.9471330543174896,0.9471330543174896,1,1
sh127r_7,hv024_7,1,0.9700256026013573,0.9700256026013573,1,1
sh127r_9,hv024_9,1,0.962471709002295,0.962471709002295,1,1
sh127r_10,hv024_10,1,0.9577572775157115,0.9577572775157115,1,1
sh19aa_0,hv106_0,1,0.9999999999999998,0.9999999999999998,1,0
sh19aa_3,hv106_2,1,0.9170899729834007,0.9170899729834007,1,0
sh19aa_0,hv109_0,1,0.9999999999999998,0.9999999999999998,1,1
sh19aa_1,hv109_1,1,1,1,1,1
sh19aa_2,hv109_2,1,1,1,1,0
sh19aa_3,sh19a_3,1,0.9170899729834007,0.9170899729834007,1,1
sh19aa_01_0,hv106_01_0,1,1,1,1,0
sh19aa_01_0,hv109_01_0,1,1,1,1,1
sh19aa_01_1,hv109_01_1,1,1,1,1,1
sh19aa_01_2,hv109_01_2,1,0.9999999999999999,0.9999999999999999,1,0
hv116_01_2,hv115_01_3,1,0.902987494069477,0.902987494069477,1,0
srecent_2,sprelim_2,1,0.9712009627892884,0.9712009627892884,1,0
srecent_3,sprelim_3,1,0.9978163206561091,0.9978163206561091,1,0
