name	estimate	se	p.value	Nag.r2	adj.p.val
hb62_299993	-15.9292288329262	0.665946945216356	2.3647e-55	0.0350366803271389	1.45597461086637e-54
hv008	0.168428452059063	0.113651504912882	0.138861360686454	0.00151679384802383	0.327841039053098
hv008a	0.00550704313890083	0.00375721690250022	0.143236217962468	0.00143064567924078	0.336088115230346
hv010	0.124151123426849	0.161575022582722	0.442556970094068	0.000354260703003928	0.678479479197231
hv011	-0.226940548060319	0.182442066326034	0.21401008090632	0.00103749844966949	0.440732749947268
hv012	-0.0644753430433644	0.0568487659821624	0.257172631067101	0.000698905451585907	0.489480182507651
hv013	-0.058324411599472	0.0559849423654204	0.297920914734261	0.000577988715765643	0.535830970127819
hv014	-0.180335943609858	0.107922010282762	0.0952352615973112	0.000894487870012006	0.244443297331756
hv016	-0.00931235370020206	0.0166770728995717	0.576780235134963	0.000164413488177417	0.781149717674709
hv017	0.12332499266944	0.249467479265013	0.621234019040778	8.69100011371415e-05	0.810120786268587
hv028	-8.38215575468602e-08	1.33625420760338e-07	0.530704360467354	0.000282371867751263	0.748735997119655
hv030	0.000199441837056674	0.000172226834339692	0.247307516445132	0.000703089704384041	0.476982712260551
hv040	-1.32330191208515e-05	0.00020526253615569	0.948618006628139	1.83692704913696e-06	0.982112420195503
hv041	-0.0648056475223442	0.117076854197501	0.580101811022327	0.00021394237176342	0.783222874848073
hv801	0.000269520152055781	0.000447544086294014	0.547250163066848	0.000154007770625575	0.761067971389484
hv802	0.000289406336165194	0.000443313862314133	0.514113904857484	0.000174129810672108	0.735224966939778
hv803	-0.00984262432906992	0.0121119626522647	0.416743984261782	0.000341089322573929	0.656927565631604
hv804	0.0796412415157481	0.204501105436213	0.697084745195312	9.17562578618414e-05	0.852401867966057
hv807d	-0.022376642330253	0.0166795129464901	0.180234015644387	0.000949858333628595	0.393747714536647
hv807m	-0.0368634340681793	0.0267515902200296	0.168709046207964	0.000790343549590622	0.379098087218646
hv807y	0.410071493439004	0.278817430913464	0.141871112022093	0.0010692703837536	0.333631841115331
hv807c	0.180674959808627	0.116904904702036	0.122744688924394	0.00178298794814125	0.297795623589266
hv807a	0.0054814541727748	0.00381590306414327	0.1513770110434	0.00141890795801858	0.349913612898123
hv204	0.000446988899976548	0.000293353191504469	0.128098811271305	0.0012013837141952	0.308511381769432
hv216	-0.0370037232513947	0.13074783977584	0.777260159838955	4.9781696082607e-05	0.895836132546657
hv220	0.0141132478454912	0.0116283804237068	0.225333576925708	0.000884487370583775	0.452843279015326
hv238	-0.0232843206681399	0.0132250999604767	0.0792862889969226	0.000506211139358892	0.211220523745375
hv245	0.000520444214564522	0.000906117458714411	0.566095777864905	0.000311026629510547	0.77292074131799
hv246b	0.0286130855795773	0.0188090836893988	0.128715856027994	0.000452096475426211	0.309550613039807
hv246d	0.00183767254938634	0.0317553672082909	0.953871302720164	7.06311671261339e-07	0.98451103442547
hv246e	-0.179272009684224	0.306030791669216	0.55822734741269	4.28717456523175e-05	0.768180921464197
hv246f	-0.0543481841670842	0.0399525266253017	0.174228978613093	0.000759938422155049	0.387537040125509
hv246g	-0.195498323994302	0.171066772052657	0.253559969949225	0.000498198780375603	0.485468928765799
hv246h	-10.052408051988	1.01025963038274	1.0047e-21	0.000399186580411492	4.28120640243902e-21
hv271	1.34295984488431e-07	1.33976140552032e-06	0.920187570879809	5.5755181181949e-06	0.967008099739296
hv271a	-1.86184748086136e-06	1.63170294030463e-06	0.254296509637832	0.000862323701793399	0.486213071095043
hml1a	-0.0810573025668357	0.11983815124901	0.49904831762344	0.000186498645373567	0.727699835256035
hml2	-0.235516248981085	0.256791260581643	0.359424435335414	0.000383605596416814	0.600664271566915
shmun	-0.0393915680113104	0.0188487682069891	0.0370405763272409	0.00225266465545404	0.113781052410345
sh116a	-0.0223012153201734	0.0996433215153895	0.822979377408302	3.63424925058364e-05	0.915804811431266
shclabw	-4.84317473477625e-08	4.47687360286957e-08	0.279757570957505	0.000976186000525847	0.516750438336924
hv107	0.122686039790515	0.0802132694240417	0.126688088168751	0.00116679186874957	0.305640479684449
hv108	-0.0217262246007807	0.0394576011178151	0.582093399597819	0.000215316017012412	0.785506621450873
hv123	-0.183835112486454	0.107188941814792	0.0872124158507407	0.00101076463032668	0.228693971020735
hv124	-0.112257817916947	0.0799239209769403	0.160659108935709	0.00262552565088914	0.365180630021053
hv127	-0.298847606584359	0.202002500564793	0.139819729783176	0.00250406647411061	0.329732354882372
hv128	-0.140284984052387	0.0834372520360437	0.0932095262730556	0.00364680941828899	0.241415219470434
ha0	-0.211065773938603	0.161114813650817	0.190675258895617	0.0018061147749624	0.408325516113035
ha1	0.0377291470103144	0.0141443947486875	0.0078453951680063	0.00354305049810877	0.0275278175225527
ha32	-0.00312455017176418	0.00117999483808546	0.00830689550878334	0.0035004257393233	0.0290256773902738
ha35	0.0173621759103523	0.0851934502003612	0.838579715531785	3.22556557141862e-06	0.923811172493649
ha67	0.084876847317986	0.0833620089053999	0.309028275248778	0.00055070703193405	0.546196994874024
ha69	-7.19531803041112e-08	1.29182158966486e-07	0.577737509332742	0.000230128249552153	0.781436573107157
ha70	0.000396559682361737	0.000151736727453034	0.00918276560160292	0.00248517535738724	0.0319000299648062
hmlidx	-0.940903087941287	0.858766504757106	0.27389346806642	0.00181333174786935	0.509736045984243
hml4	-0.00465827254538986	0.00817404732945326	0.569085049201202	0.000272695801767031	0.775739145416333
