name	estimate	se	p.value	Nag.r2	adj.p.val
hb62_299993	-15.9086256007772	1.01366827250588	3.1815e-33	0.0234237455042131	1.83144119669876e-32
hv008	0.0334202095944138	0.116877987033769	0.775020538207451	6.61185812952381e-05	0.895983688507785
hv008a	0.000283093386594322	0.00402342545027943	0.943929202701643	4.18407997193615e-06	0.975252079098584
hv010	0.0624044249980365	0.164052672699127	0.703786633499056	0.000106154662748326	0.863231846774194
hv011	-0.547288665088406	0.149443273904631	0.000271828387106259	0.00481306054951425	0.00123727106565957
hv012	-0.0837296185306102	0.0652071182659325	0.199610503236978	0.001291161219102	0.451340882318367
hv013	-0.0741021648766049	0.0639467748052907	0.246987807420906	0.00101905780276013	0.502968688172545
hv014	-0.179197890734462	0.119768405533583	0.135118704652569	0.00095050797960039	0.3505714686739
hv016	-0.0227055887188933	0.0187989771933397	0.227589267243479	0.00102877097128018	0.488191226762665
hv017	-0.328160840991697	0.273691549386168	0.230987628497491	0.000407821795274765	0.492084864812154
hv028	-1.04077848737421e-07	1.58665605532657e-07	0.512099393204414	0.000529180830386555	0.757291858855291
hv030	0.000125551311176351	0.000191671500334443	0.512693324192181	0.000295506234148979	0.757500489888387
hv040	7.57072031385741e-05	0.000228349171327514	0.74034963556451	6.45763796146559e-05	0.882153252263582
hv041	-0.120550975345409	0.123523240070761	0.329482880497191	0.000755759736956185	0.602659901608717
hv801	0.000808650637391457	0.000339747823498666	0.0176123690199148	0.001659046588116	0.0672389284013887
hv802	0.00030093502302934	0.000438123700004289	0.492424677896245	0.000209663117777037	0.741941133885596
hv803	-0.00477985250362155	0.012937204918549	0.711910398315282	0.000101166559231647	0.867109018620993
hv804	-0.0432010930048961	0.167746724459568	0.79685076960343	2.52143192038812e-05	0.908372109031144
hv807d	-0.013706870031152	0.0193150647355447	0.478194923434706	0.000382840779105664	0.7291551937201
hv807m	-0.0118310834727003	0.0316421937015161	0.708607269794553	8.3819531768059e-05	0.865191959446607
hv807y	0.101328689420443	0.312144162761297	0.74557906758567	6.85353625385909e-05	0.884674907242991
hv807c	0.0170638471444566	0.11413812995627	0.881207244894644	1.76012173989104e-05	0.947924145700282
hv807a	7.51523801264155e-05	0.00402141477642932	0.985096086203723	2.95214595547044e-07	0.99388310529474
hv204	-0.000448474337995638	0.000343615627981958	0.192332755139593	0.00117158348882906	0.441361876556963
hv216	-0.0541105027100398	0.0981101549366736	0.581474043783576	0.000108368249034818	0.790144488745128
hv220	-0.00357082935074844	0.0102242893388413	0.727022628671551	5.43680176510186e-05	0.877585722812357
hv238	0.0044269708415974	0.0118009103207317	0.70782197323323	9.64505646482428e-05	0.865191959446607
hv245	-0.00398284159005226	0.0014118049451462	0.00507132499764103	0.00351179114092981	0.0211581912040863
hv246b	-0.00293189404015095	0.0183756770570639	0.873286121902127	2.79875979103394e-06	0.944105588542815
hv246d	0.0290539198961137	0.0164009771646684	0.0769817946760832	0.000458645569643257	0.228488518240715
hv246e	-8.36309636450223	0.921013966131171	1.4946e-18	0.000450182760680762	7.44631071428571e-18
hv246f	-0.0342670482015091	0.0377786636991709	0.364740351842557	0.000388728875428512	0.631803962111383
hv246g	0.0186901652215944	0.0729684878902231	0.79792905565202	1.27790175177278e-05	0.908414879734413
hv246h	-9.5701021149631	0.996417573081503	1.9663e-20	0.000301237609858229	9.95038149939541e-20
hv271	-2.49204643101983e-07	1.33010323256506e-06	0.851442847372237	2.03446599450485e-05	0.934127544816206
hv271a	-1.59293688663785e-06	1.54147095207335e-06	0.301832758669339	0.000638558569967196	0.572421191288955
hml1a	-0.0492554827565327	0.127983817174795	0.700477644184846	8.05507435456265e-05	0.861952055546481
hml2	-0.285486073146361	0.212360219966549	0.179336358707691	0.00063789819284088	0.420932507679017
shmun	-0.0170432143292958	0.0213782465580468	0.425632657798608	0.000438101854645656	0.689630420278405
sh116a	0.0339231515454852	0.0813354049772861	0.676768842527283	9.78937143499836e-05	0.84900407853018
shclabw	-6.84660781549864e-08	4.94940242176088e-08	0.16707362417483	0.00201751970828346	0.400778470800999
hv107	-0.176703944569098	0.108020816514306	0.102432581003815	0.00279154685995198	0.285216468064515
hv108	-0.000510799052438334	0.0371661746636909	0.989038996795552	1.32408721098543e-07	0.995221976818799
hv123	-0.927977174998941	0.388210779730931	0.0173524201485148	0.0240852410301966	0.0663801447180388
hv124	-0.0637221628213506	0.0540124540850127	0.238553159200418	0.00124520486556501	0.499672157784659
hv127	0.288495965684977	0.299744527592267	0.33640245783446	0.00345107044289483	0.610913143404405
hv128	-0.114186246989139	0.0540172517585626	0.0349310306159635	0.00307288692792973	0.121619270489024
ha0	-0.31252982504677	0.191646311378336	0.103457233992509	0.00377878204201443	0.287304926515362
ha1	0.0573104059967376	0.01369570488221	3.2781193702071e-05	0.00835551365962184	0.00015519151090856
ha32	-0.00470881302256389	0.00114275264016981	4.30226785694757e-05	0.00812984408434203	0.00020344622577769
ha35	-11.0636853334158	1.00621608901057	8.9644e-26	0.000165532691554726	4.7974442455243e-25
ha67	-0.173185993814706	0.0986141622639435	0.0796061277682081	0.00263651086691052	0.233626679319741
ha69	-7.51835232426569e-08	1.47419519796109e-07	0.610238289265427	0.000312100029162155	0.809973752164863
ha70	7.51959352670567e-05	0.000209036244059494	0.719176167903535	9.8931389200918e-05	0.871634017572052
hmlidx	-1.93841964789827	0.728206228226477	0.00807092393810073	0.00585003761362612	0.032856825565128
hml4	-0.0127602056158536	0.0121431064424285	0.293969927093626	0.00234180593746058	0.56156023272477
hmlb	0.0796088853572717	0.150048649950358	0.596018785842357	0.000959775778918037	0.800236964629536
hmlc	-0.0669267110332875	0.189274269607502	0.723877868186184	0.000168546029652994	0.874798983066468
hml16	0.057372696068503	0.0136993724784673	3.2303960393091e-05	0.00837140112157364	0.000153452978711789
sh40b	-0.00415818567571699	0.0787262022277972	0.957894216362102	1.66298233361672e-06	0.980193505040476
idxhe	-0.276532922112303	0.191375831287415	0.148981472453322	0.00313889575428128	0.370326292018815
v004	-0.000327510244931548	0.000899288904080899	0.715844021499312	9.58826490370379e-05	0.868853604981038
v005	-8.91825975096592e-08	1.54494157072311e-07	0.563980221284884	0.000408111622285268	0.781345727246152
v006	-0.0129393142946187	0.0313746592963058	0.680181944301153	0.000100880171118423	0.851753871005483
v007	0.11862219866777	0.311775843690423	0.703727221880858	9.39357532822038e-05	0.863231846774194
v008	0.0291199516545326	0.117927608516464	0.80504504205493	4.96657841175807e-05	0.91106368334241
v008a	0.000180661083328703	0.00406811218235611	0.964592888074618	1.69071596645143e-06	0.982857326282295
v012	0.0573351673436153	0.0136949844249682	3.2497918854391e-05	0.00836244013878029	0.000154199308849916
v016	-0.020928061579905	0.0184730247427886	0.257702707712446	0.000891937348338923	0.515036213837911
v018	-0.0291199516545189	0.117927608516461	0.805045042055014	4.96657841173587e-05	0.91106368334241
v019	0.0291199516545197	0.117927608516462	0.805045042055011	4.96657841175807e-05	0.91106368334241
v021	-0.000327510244931548	0.000899288904080899	0.715844021499312	9.58826490370379e-05	0.868853604981038
v027	0.0912559839850334	0.202809004516502	0.652899242912814	0.000128623738996692	0.835928207478324
v028	0.000125460298147613	0.00019165585601063	0.51296448944891	0.000295082207885877	0.757500489888387
v030	0.000125551311176351	0.000191671500334443	0.512693324192181	0.000295506234148979	0.757500489888387
v040	7.57072031385741e-05	0.000228349171327514	0.74034963556451	6.45763796146559e-05	0.882153252263582
v115	-0.000453219973641284	0.000345859528737044	0.190551472410192	0.00121152890383935	0.438645716191779
v133	0.00143574954945516	0.0376355226092854	0.969581554620816	1.07207145694233e-06	0.986554535883325
v136	-0.0685262451078379	0.0650689295737515	0.292697641647781	0.000900595320953657	0.561126720245517
v137	-0.179197890734462	0.119768405533583	0.135118704652569	0.00095050797960039	0.3505714686739
v138	0.0624044249980365	0.164052672699127	0.703786633499056	0.000106154662748326	0.863231846774194
v152	-0.00357082935074844	0.0102242893388413	0.727022628671551	5.43680176510186e-05	0.877585722812357
v191	-2.49204643101983e-07	1.33010323256506e-06	0.851442847372237	2.03446599450485e-05	0.934127544816206
v191a	-1.59293688663785e-06	1.54147095207335e-06	0.301832758669339	0.000638558569967196	0.572421191288955
bord_01	-0.0326815651578732	0.0633838206533159	0.606313551716033	0.000207023991169009	0.806336439992136
bord_02	-0.0781521998796882	0.0834663971581151	0.349484438321259	0.000970772466519887	0.618644588081195
bord_03	-0.121539422709258	0.121074131056435	0.31588860840888	0.00186933415508717	0.589116715986967
bord_04	-0.0477815468458771	0.105227128134901	0.649963962229047	0.000225720098410265	0.83471313218489
bord_05	-0.00806591576320552	0.109514899710846	0.941321619904091	5.31822904337176e-06	0.975252079098584
b1_01	-0.022193433164826	0.038450450199674	0.56402307126647	0.00017341548525629	0.781345727246152
b1_02	-0.0714032481356096	0.0712557095181342	0.316718926041553	0.00168637390230841	0.589621310268639
b1_03	0.019509965279382	0.0381000768003472	0.608803178905261	0.000137798842869463	0.808581816476838
b1_04	0.0362740946258811	0.076229719311491	0.634382903644804	0.000385029304054929	0.825423361518433
b1_05	0.0220450020023611	0.0699670870764416	0.752854123675925	0.000137564142724589	0.888270465353632
b2_01	-0.0969958719589309	0.0251283763067456	0.000125638553540582	0.0065492522249686	0.000582923887546935
b2_02	-0.0818016918973459	0.0278081104012676	0.0033923760609178	0.00636445719233614	0.0143404988029707
b2_03	-0.0752334845566193	0.0240007834267452	0.00181104420350817	0.00624081896541162	0.00790325338027288
b2_04	-0.043601354743043	0.0238396330749551	0.0679906347100631	0.00169325895452543	0.207089378647463
b2_05	-0.0472767163037624	0.03859378309765	0.221243119581268	0.00158386908203911	0.480738554230325
b3_01	-0.00814388771646761	0.0020626794674756	8.80447154624208e-05	0.00667239988207236	0.00041077718418086
b3_02	-0.0069868152260683	0.00223421240087675	0.00185145611332138	0.00671138971750018	0.00805441147011432
b3_03	-0.00620842849386655	0.00198896199890953	0.00189265702594454	0.00613199853510649	0.00820805145448487
b3_04	-0.00358282391369091	0.00206565865626583	0.083437666626514	0.00162759174472271	0.242490718633306
b3_05	-0.00387524043328236	0.00317544679377803	0.222981833939463	0.00153231519074526	0.483763076742692
b8_01	0.0908676537672622	0.027659679340371	0.00107847736220484	0.00502373721236216	0.00477611403262143
b8_02	0.0883117264259728	0.0280113976299658	0.00170019617790367	0.00743483121139921	0.00742726618426603
b8_03	0.0759365399925056	0.0280120324144453	0.00691952361154968	0.00565298596667352	0.0284182593860014
b8_04	0.0432519225609642	0.0282062019615337	0.125823367308398	0.00165720135042891	0.332011848792967
b8_05	0.0310889368179758	0.0398939242192728	0.436260670314816	0.000604974396070879	0.695431711448217
b11_01	0.00454944228871983	0.00583371792911682	0.435789085803617	0.000521989360786512	0.695431711448217
b11_02	-0.0069723834261	0.00780207726005885	0.371890534115283	0.000748415685082993	0.638971572139014
b11_03	-0.000934703904551816	0.00786605616624586	0.905458706868813	1.02594763724539e-05	0.956905224304541
b11_04	0.00959452956769428	0.00687442074372588	0.163519557263774	0.00199558291125967	0.396023927748203
b12_02	0.00547023280480495	0.00594115598647063	0.35756361386396	0.000746594798844313	0.625618107143707
b12_03	-0.00507565049845926	0.0070336482000443	0.470827300468643	0.00043151835862143	0.724015654714427
b12_04	-0.00107354505097137	0.00765915529374685	0.888584901186891	1.37631171989172e-05	0.951122620419394
b12_05	0.0105837217054224	0.00656682438665017	0.107751819890661	0.00253994823651482	0.296379831672078
b17_01	-0.00898050638699376	0.0134586518853906	0.50485766206687	0.000198650306753034	0.75270014811181
b17_02	-0.00220036402342139	0.014954280898621	0.883072081152605	1.21574784019973e-05	0.948577171361307
b17_03	0.0109281252130234	0.0204030770276007	0.592440021719223	0.000298413955630128	0.797050939827709
b17_04	0.00266843672511984	0.0142725159065277	0.851763610757143	1.49161881134452e-05	0.934127544816206
b17_05	-0.00658743259715268	0.018333420455488	0.719535052712837	7.89717322450256e-05	0.871816501332722
b18_01	-0.000267709082093084	6.76496559025567e-05	8.48475749216135e-05	0.00668436086291047	0.000396745364298271
b18_02	-0.000229556733417136	7.34688952347272e-05	0.00186794235715799	0.00671151483578625	0.00810927257749604
b18_03	-0.000203816338176078	6.5344548162421e-05	0.00190748470801876	0.00612080315114094	0.00826379244623034
b18_04	-0.000117545447178416	6.77945044844931e-05	0.083547975796878	0.00162390215999486	0.242642802713348
b18_05	-0.000127534725071221	0.000104319374497419	0.222163515660185	0.00153717002668341	0.482237714231262
b19_01	0.00814338940024385	0.00202317473467357	6.42300992822374e-05	0.00668252776212075	0.00030304731172059
b19_02	0.00694125140156968	0.00222010521543428	0.00185549999694763	0.00661693332322366	0.00806362148206213
b19_03	0.00610927615628798	0.00198020915211431	0.00213498860037953	0.00592864198700938	0.00921126525009106
b19_04	0.00349911904787033	0.00207453700010718	0.0922716208996854	0.00155444764939039	0.262436111199296
b19_05	0.00378612351053095	0.00319393127431488	0.236500376921836	0.00146651184133717	0.497289347211937
b20_01	0.447721422294718	0.477418943442072	0.348733799255156	0.000391957774388718	0.618644588081195
b20_02	0.578657186064901	0.529953158159239	0.275393525393742	0.000548894930890165	0.539065436750613
v201	0.0397853837392096	0.0404079432213555	0.32521495816638	0.000344205052965396	0.599042517573196
v202	-0.0202789231677742	0.102894802660967	0.843827530826952	1.70050509611386e-05	0.930175397175093
v203	-0.0978822338564826	0.114058555948743	0.391133297787825	0.000353602385664509	0.65902757755489
v204	0.422332915645036	0.181705241417428	0.0204387900515382	0.00249792754420186	0.0765083509532087
v205	0.480011772077139	0.150797120620755	0.0015310070448432	0.00355956011403524	0.00672325758936914
v206	-0.0495033541125282	0.180613533650333	0.784112691946752	2.20556165151375e-05	0.901761916954426
v207	0.198503280921647	0.202981667335925	0.328493796134361	0.000363936071789306	0.602353300022146
v210	-13.1387684742458	0.256192806417933	3.5113e-223	0.000681964848821215	1.04962789285714e-220
v211	-0.00224341058982275	0.00171173947745722	0.190491760833401	0.00164378933022824	0.438645716191779
v212	0.0660294642349692	0.0295908742404685	0.0260211713175604	0.00284400366773863	0.0946944364904263
v215	0.000112668639640265	0.0021718821885881	0.958645643041976	2.76792950781868e-06	0.980193505040476
v218	0.0475990299023644	0.0462187864385362	0.303483036127752	0.000350036004410414	0.573725817187441
v219	0.0404715740514959	0.046534080923075	0.384796642697144	0.000254536071698563	0.654385927274676
v222	0.00814338940024385	0.00202317473467357	6.42300992822374e-05	0.00668252776212075	0.00030304731172059
v224	0.0397853837392096	0.0404079432213555	0.32521495816638	0.000344205052965396	0.599042517573196
v226	0.000870673202424244	0.000548393619771556	0.112900111259053	0.00160789948520124	0.307408565789939
v238	-0.398777402315316	0.257186462707704	0.121531912423215	0.00158384215235297	0.324576294506161
