var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
hiv06_0	1	-53.3718041058023	0.250698963163455	0	0.13372578350278	0	hiv06	assay 1 result
hiv06_1	1	53.3718041371161	0.250698970309371	0	0.13372578350278	0	hiv06	assay 1 result
sh69_0314	1	-17.3649128287724	1.39677763120327	3.566022e-27	0.0212738022765276	1.23416817409568e-26	sh69	economic activity
s1025_1	1	4.02239277432448	1.0531135542988	1.56758580676721e-4	0.0175633467933921	4.68695514402373e-4	s1025	last hiv test result
s1025_0	1	-2.98656229710749	0.803954694819535	2.34697381755984e-4	0.0163161113079305	7.00314320209506e-4	s1025	last hiv test result
sh63_05_0	1	16.2870115893736	0.544891153431701	1.910981e-70	0.00938569846793058	1.25954881022222e-69	sh63_05	during last 7 days, worked at least 1 hour in some paid activity in cash or kind
sh63_05_1	1	-16.2870115874845	0.544891143597647	1.910976e-70	0.00938569846793058	1.25954881022222e-69	sh63_05	during last 7 days, worked at least 1 hour in some paid activity in cash or kind
sh20a_03_4	1	-16.1562560885811	0.348361612936444	7.170438e-179	0.00850828385320135	3.48647854229508e-177	sh20a_03	level attend/attended during present school year
sh16a_08_1	1	-16.1838294230578	0.703445988896081	6.048449e-54	0.00847327530519559	3.12538322891986e-53	sh16a_08	highest educational class attained
hv118_10_1	1	-16.2434137628896	0.860242318771221	2.731477e-43	0.00796502978481917	1.16401863218391e-42	hv118_10	eligibility for male interview
hv118_10_0	1	16.2434137641292	0.860242325647521	2.73148e-43	0.00796502978481906	1.16401863218391e-42	hv118_10	eligibility for male interview
ha33_3_1	1	15.7510687681069	0.723572000178198	5.897374e-43	0.0072823051541413	2.50237643547926e-42	ha33_3	completeness of ha32 information
sh20_07_3	1	-16.2270630171054	0.678199382556566	4.869377e-65	0.00695350984203258	2.94746371061225e-64	sh20_07	class attend/attended during present school year
ha32_2	1	-0.00809100772428859	0.00291273078005746	0.00582704099654246	0.00687279974585331	0.0166663486940645	ha32	date of birth (cmc)
ha54_3_0	1	15.532296727185	0.69642673703724	2.181899e-43	0.00674734408995936	9.324945870317e-43	ha54_3	currently pregnant
ha54_3_1	1	-15.5322967274644	0.696426732750749	2.181898e-43	0.00674734408995936	9.324945870317e-43	ha54_3	currently pregnant
hv117_10_0	1	16.4218030557944	0.701530131233483	1.291836e-54	0.0061831921890475	6.81776792882562e-54	hv117_10	eligibility for female interview
hv117_10_1	1	-16.4218030524118	0.70153011640928	1.291833e-54	0.00618319218904739	6.81776792882562e-54	hv117_10	eligibility for female interview
hml18_01_1	1	-15.4973216874696	0.585855990958995	2.529104e-68	0.0061747614541352	1.61666688103448e-67	hml18_01	pregnancy status from individual file
hml18_01_0	1	15.4973216885303	0.58585599659428	2.529108e-68	0.00617476145413498	1.61666688103448e-67	hml18_01	pregnancy status from individual file
sh17a_03_4	1	-3.54733811678864	1.05526495875998	8.29998101774317e-4	0.00616257325153369	0.00245686064856549	sh17a_03	highest educational level attained
sh17a_05_3	1	-16.7834191993545	0.445993506911958	9.027707e-137	0.00613341347197138	1.70548910585987e-135	sh17a_05	highest educational level attained
hv106_10_2	1	-16.2148712876246	0.715920072448541	8.587216e-53	0.00609906231122104	4.27343668724832e-52	hv106_10	highest educational level attained
mv022_32	1	2.29570578324023	0.512560348621796	8.97896670601996e-6	0.0058470730011525	2.7064649644365e-5	mv022	sample stratum number
mv023_32	1	2.29570578324023	0.512560348621796	8.97896670601996e-6	0.0058470730011525	2.7064649644365e-5	mv023	sample domain
sh23a_04_3	1	-16.4991719072938	0.502385402139172	6.634872e-122	0.0058207440306518	9.59952700097561e-121	sh23a_04	level attended last year
sh23a_03_4	1	-15.9323951958067	0.39325062676392	4.413457e-158	0.00581797977045106	1.24669652019048e-156	sh23a_03	level attended last year
hv109_10_3	1	-16.2365005727449	0.730193869143376	8.678558e-52	0.00565405621807247	4.23365181381579e-51	hv109_10	educational attainment
sh18_08_0	1	-15.892121962728	0.753309037294871	1.835307e-48	0.00546769058795893	8.53216389028213e-48	sh18_08	enrolled at the school or kindergarten in the present school year
sh18_08_1	1	15.8921219638916	0.753309024271422	1.835303e-48	0.00546769058795893	8.53216389028213e-48	sh18_08	enrolled at the school or kindergarten in the present school year
sh16a_08_90	1	-16.0870927676198	0.609120546122956	7.05561e-62	0.00508815832272447	4.10332142352941e-61	sh16a_08	highest educational class attained
sh17a_08_1	1	-16.0870927676198	0.609120546122956	7.05561e-62	0.00508815832272447	4.10332142352941e-61	sh17a_08	highest educational level attained
sh20_07_1	1	-15.9555715317248	0.544019988786454	1.159311e-80	0.00502806432121683	9.00135190052356e-80	sh20_07	class attend/attended during present school year
s121_6	1	2.28180558040982	0.56508099916354	6.08721154531575e-5	0.00502481656473985	1.82739569265248e-4	s121	language usually spoke at home
ha33_3_6	1	-15.7677854024376	0.841598007309306	5.088336e-37	0.00492278265459012	1.97539482198953e-36	ha33_3	completeness of ha32 information
ha65_3_1	1	15.7677854030433	0.841598014347209	5.08834e-37	0.00492278265459012	1.97539482198953e-36	ha65_3	result of woman's individual interview
sh20a_04_4	1	-16.7585191869105	0.466619780631947	1.461868e-133	0.00491245027303588	2.61198824578313e-132	sh20a_04	level attend/attended during present school year
