name	estimate	se	p.value	Nag.r2	adj.p.val
hv008	-0.0963827273625251	0.165267626221622	0.559982582712411	0.000285567959526833	0.748949894357973
hv008a	-0.00265422095840203	0.0053748709429526	0.621613138361788	0.00018757940727665	0.790950050785527
hv010	0.153793432152285	0.26283316252965	0.558674795389166	0.000291420172107704	0.748949894357973
hv011	-0.0390606006670021	0.255119218325848	0.878365007623432	2.26613490227345e-05	0.938821842382378
hv012	0.026823159415047	0.0849821962174578	0.752390710509379	8.67317622652575e-05	0.878579073768039
hv013	0.0363238560961318	0.0877053761959759	0.678906144718801	0.000164247911928039	0.832094442473295
hv014	0.102539846358051	0.204936122604469	0.617011314401582	0.000174477907849968	0.788137622099523
hv016	0.0199570594420434	0.0359841867568188	0.579369908572966	0.000403060375873454	0.762044855355839
hv017	-0.060853643982993	0.382666373165945	0.873702257087702	8.94245408555872e-06	0.935186176298132
hv028	-2.38145738791484e-07	2.05114635373824e-07	0.246086909562365	0.00128135460342194	0.454575553128604
hv030	0.000156371778193299	0.000274343934655669	0.568900887162675	0.000231604509351002	0.753495032299217
hv040	0.000280824052143282	0.000363609253951359	0.440225811567851	0.000456579874552165	0.655476785697915
hv041	0.0295250356415857	0.115910157289921	0.799023690071992	3.09929927307939e-05	0.896672063849235
hv801	0.000615991300664899	0.00059301129618083	0.299337405791299	0.000444032516487947	0.5182923208272
hv802	0.000754990632645511	0.000573706065550211	0.18867876123187	0.000669398436146884	0.380694697832467
hv803	0.0112864844966949	0.011447433088315	0.324561197138865	0.000411525251456824	0.544792592367784
hv804	-0.324703581117606	0.282874342304418	0.251477285762101	0.000644457051308556	0.460420758994069
hv807d	0.00352342867006472	0.0342347635320109	0.918061044279407	1.28735127085111e-05	0.959467603006597
hv807m	0.0405871640520834	0.0483490615019232	0.401543754995485	0.000469861164893448	0.621596439100526
hv807y	-0.312364231999902	0.475086061316093	0.511117343195763	0.000317965028955647	0.710976114978344
hv807c	-0.0194374434700691	0.170242641440303	0.909137184268722	1.19909381516292e-05	0.954961218250598
hv807a	-0.000628614176886618	0.00536329311347481	0.90673530680671	1.07646410441031e-05	0.953661432832399
hv204	0.000254353315220192	0.000487783579111092	0.602248429976493	0.00020621413395383	0.77833065067986
hv216	0.0372170242246409	0.155327880585642	0.810719605046514	3.16375207217723e-05	0.902286809969216
hv220	-0.0087636755024944	0.0115233220277109	0.447244217944805	0.000154977731954498	0.661056280747854
hv238	0.00333359856853277	0.0144277764425496	0.81743963942701	3.42780513563623e-05	0.906026147436664
