var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
sh20a_04_1	1	-3.6180065489025	1.1302634021516	0.00167831131196666	0.0545167013510979	0.00561214505431266	sh20a_04	educational level during previous school year
sh15a_08_4	1	20.710743708355	1.09110947125947	6.0707e-38	0.054262615766196703	2.93092282110092e-37	sh15a_08	highest educational level
sh20a_04_2	1	3.09570134740042	0.911288908134361	8.76436213947079e-4	0.0502530334711413	0.00299739761228042	sh20a_04	educational level during previous school year
sh59_09_2	1	3.76053938219667	1.21992629288335	0.0026650482128517	0.0406141252300544	0.00867738049196106	sh59_09	consent of women or man
sh60_09_2	1	3.76053938219667	1.21992629288335	0.0026650482128517	0.0406141252300544	0.00867738049196106	sh60_09	result of bloodtaking
sh18a_04_1	1	-2.82607539540044	0.906989304506892	0.00217872840596985	0.0403444736280284	0.00717157669205087	sh18a_04	educational level during current school year
sh18a_04_3	1	2.8683609328814	1.06756189960185	0.00798520225070812	0.0295013536080043	0.0247735456709515	sh18a_04	educational level during current school year
hv113_12_0	1	2.82902090336996	0.901969368022598	0.00206824472581825	0.0191868425088013	0.00682391089004297	hv113_12	father alive
hv113_12_1	1	-2.79714206257517	0.899672396499814	0.00225686068434921	0.0188296144232075	0.00741716118743964	hv113_12	father alive
sh15a_04_1	1	-1.38753699620869	0.568252368534065	0.0154276325507236	0.0154531590820617	0.0451248941784245	sh15a_04	highest educational level
hv106_08_3	1	20.114865626627	1.03064980052746	7.7715e-56	0.0153174699314127	5.29417718446602e-55	hv106_08	highest educational level
hv109_08_5	1	20.114865626627	1.03064980052746	7.7715e-56	0.0153174699314127	5.29417718446602e-55	hv109_08	educational attainment
hv108_08	1	0.233932642613777	0.0708636439609236	0.00107561191298302	0.0123901012356983	0.00365777556838329	hv108	education in single years
hv129_05_2	1	1.61614911782707	0.445675611240593	3.31552559494081e-4	0.0122591631142348	0.00115668968177153	hv129_05	school attendance status
hml17_05_3	1	2.27678849952745	0.541570731610344	3.27608579072549e-5	0.0107479065444581	1.16292758675837e-4	hml17_05	flag for qh07i age from individual file
v140_1	1	1.45173405526538	0.338331664652885	2.24881945472004e-5	0.0100891955903299	8.00298385830209e-5	v140	de jure type of place of res.
v741_1	1	1.46750885075059	0.392169694036898	2.10347249910023e-4	0.00995177323747398	7.36127948562923e-4	v741	type of earnings for work
m49x_1_0	1	-2.79383092497393	0.836595329340898	0.00092625887067369005	0.00957250787419828	0.00316008901583163	m49x_1	during pregnancy - took other drug for malaria
hv106_09_3	1	3.35654128119654	1.27696677679557	0.00904390815173192	0.00948287666732328	0.0278121645864071	hv106_09	highest educational level
hv109_09_5	1	3.35654128119654	1.27696677679557	0.00904390815173192	0.00948287666732328	0.0278121645864071	hv109_09	educational attainment
hv108_05	1	0.189747520585418	0.0464916435042182	5.46615562342381e-5	0.00942298269851827	1.93220110618088e-4	hv108	education in single years
v025_2	1	-1.39883329699601	0.340057817174442	4.75810883575425e-5	0.00941783079964176	1.68333094105262e-4	v025	type of place of residence
v026_3	1	-1.39883329699601	0.340057817174442	4.75810883575425e-5	0.00941783079964176	1.68333094105262e-4	v026	de facto place of residence
v025_1	1	1.39883329699601	0.340057817174444	4.75810883575444e-5	0.00941783079964165	1.68333094105262e-4	v025	type of place of residence
v140_2	1	-1.36867926409404	0.339223329164528	6.58214985135887e-5	0.00908073402463738	2.32084178176054e-4	v140	de jure type of place of res.
v141_3	1	-1.36867926409404	0.339223329164528	6.58214985135887e-5	0.00908073402463738	2.32084178176054e-4	v141	de jure place of residence
hv025_2	1	-1.35458200664432	0.335820256966706	6.60852508727216e-5	0.00891541954908448	2.32430163888222e-4	hv025	type of place of residence
hv026_3	1	-1.35458200664432	0.335820256966706	6.60852508727216e-5	0.00891541954908448	2.32430163888222e-4	hv026	place of residence
hv025_1	1	1.35458200664432	0.335820256966709	6.6085250872732e-5	0.00891541954908426	2.32430163888222e-4	hv025	type of place of residence
