name	estimate	se	p.value	Nag.r2	adj.p.val
hv003	0.156954157427471	0.0820196853955941	0.0564010479624795	0.00192279907827808	0.134684294907566
hv008	-0.260663541243496	0.129753645833639	0.045235275586022	0.00305891696414817	0.11302107431285
hv010	-0.0807681142612339	0.116276015324156	0.487704545452112	0.000307784835210767	0.663110097223689
hv011	0.123481742173779	0.0922812016771742	0.1816425472657	0.000770312940393869	0.331907605897829
hv012	-0.0405555551199818	0.0331537273829375	0.221970948795002	0.000903241942973754	0.386315706666787
hv013	-0.0381849454634906	0.0334928999374783	0.254948174237595	0.000788220984839549	0.429161060991713
hv014	-0.19987434028887	0.122380864452837	0.103230669772205	0.00178589306955557	0.220813359213984
hv016	-0.00574315813511516	0.0147194320388883	0.696619969372329	5.39568065927032e-05	0.830517924188729
hv017	0.079789656494892	0.678733351497341	0.906479428857182	6.23105016128722e-06	0.953116482389794
hv018	0.000790017294617969	0.00597343938444927	0.894850795722474	1.28691084473331e-05	0.945612914154522
hv019	-0.0122412730569292	0.0434752170150643	0.778423357106933	4.23203914012849e-05	0.881516729367519
hv031	0.00320416341114797	0.00578026795537129	0.579672224810791	0.0002204982306373	0.747448718668738
hv032	-11.4833628584722	0.793846921958769	2.8618e-38	0.000170772856469159	1.3896399077278e-37
hv035	-0.30662276785276	0.14873549689407	0.0399146675619866	0.00305131431891248	0.102526388307482
hv041	-0.0849459226605268	0.114391436937088	0.458177049332631	0.000347796443609383	0.639352130490678
hv220	-0.0144184841457975	0.00971972494401713	0.13876916157536	0.000892340204497466	0.27047137510753
hml2	-0.221115362316471	0.353471463413537	0.531973630540052	0.000414550307477946	0.703173935501921
hv271	3.37202715991886e-06	1.07965210492479e-06	0.00192218668534035	0.00487012198492442	0.00637699444072725
swanem	-2.03282114497277e-07	2.00085433164341e-07	0.31027039928959	0.0005274562243196	0.49434737486314
smanem	-5.94215770278382e-08	1.70994824909646e-07	0.728399335091994	7.06160757223406e-05	0.854909729784582
hv107	0.0606240239452232	0.092410902273518	0.512673463238745	0.000338916850514903	0.685480863139507
hv108	0.00815834393473325	0.0141794601792324	0.565377281526107	5.71067492455279e-05	0.734641467662009
hv124	-0.0769094664838106	0.115878718067238	0.507270280405107	0.000482117520639425	0.680129898250159
hv128	-0.0891150424330596	0.123085994684436	0.469495896840336	0.000580236150637847	0.647633592954723
