var	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
hv003	0.239973146820457	0.0695395392392085	6.1919678507697e-4	0.00730279093520536	0.00176439599164644	hv003	respondent's line number
hv008	-0.206515915774764	0.16986905582811	0.224813449522527	0.00147743335381068	0.384884288530827	hv008	date of interview (cmc)
hv010	0.0598860532821874	0.0959228911650379	0.532782379427205	1.59887900015643e-4	0.687318704951671	hv010	number of eligible women in hh
hv011	0.159852334205498	0.0930309676553172	0.0865329590875323	0.00100526185454797	0.180511747123279	hv011	number of eligible men in hh
hv012	-0.00826981497584717	0.0373276673255184	0.824781692493434	3.26404375049494e-5	0.907095465282267	hv012	number of de jure members
hv013	-0.0085597320808285	0.0357784453016203	0.811041789585298	3.44782515210307e-5	0.89989668469562	hv013	number of de facto members
hv014	-0.387790752703864	0.216018591072927	0.0733923951277646	0.00384317636164444	0.158026760615776	hv014	number of children 5 and under
hv016	0.0446394762962318	0.0234751077289673	0.0579570678796158	0.00219851040454888	0.130194311222889	hv016	day of interview
hv017	-14.3561200021884	0.338886007996797	8.8487e-149	0.00138434009260757	3.099257175e-147	hv017	number of visits
hv018	-0.00757439063269584	0.00859061234532014	0.378473621245607	8.54318872876902e-4	0.550100303701358	hv018	interviewer identification
hv019	-0.0834804968718688	0.0679833402811265	0.220196851789245	0.00141164687773876	0.378677319177658	hv019	keyer identification
hv031	-0.00687594623091583	0.00821637140550071	0.403178988059786	7.3602637917336e-4	0.573455596214985	hv031	field editor
hv032	-5.20759735323504	0.510995072599673	8.3772e-22	2.93106932554021e-5	2.7209715301391e-21	hv032	office editor
hv035	-0.43339221318972	0.267261480213553	0.105688148917385	0.00385540963544984	0.213253619731046	hv035	number of eligible children for height & weight
hv041	0.050385234946151	0.0957904777254497	0.599188173141814	1.15176972366071e-4	0.74376488237302	hv041	total adults measured
hv220	0.00485054973829896	0.0113391656227543	0.669052620804728	7.21758646399229e-5	0.801346618037149	hv220	age of head of household
hml2	-2.17651952368439	0.92507193048188	0.0191230440624871	0.00432024797977193	0.0478417584491865	hml2	number of children under bednet previous night
hv271	3.59640427903858e-6	1.75526888421675e-6	0.0411319261186477	0.00486305191732106	0.0965796008249588	hv271	wealth index factor score
swanem	-2.28960400901791e-7	2.53215678219466e-7	0.36643606036468	5.36937209995814e-4	0.538319035900996	swanem	anemia weights for tested women in household
smanem	-1.01612195616762e-7	2.23433522554322e-7	0.649520890296951	1.59458634631848e-4	0.784239098511372	smanem	anemia weights for tested men in the household
hv107	-0.136265543180208	0.210686772867176	0.518634108589996	0.00149603785592256	0.678226247169805	hv107	highest year of education
hv108	0.0283410592315179	0.0192149016489389	0.141024041589014	3.80051751871724e-4	0.269665171427946	hv108	education in single years
hv124	0.0012947798805043	0.0224867230946525	0.954112570448902	7.4253430193405e-7	0.97333377029047	hv124	education in single years - current school year
hv128	0.00351662387256228	0.0250341877555772	0.888358182573408	4.22307168523872e-6	0.941919637072663	hv128	education in single years - previous school year
sh15b	-0.217026112970487	0.194161778584113	0.265210771153806	0.00347046352195357	0.430212609478752	sh15b	highest year of education
hml16	4.85214908149336e-4	0.0141158951487028	0.97259659855645	3.4610466137508e-7	0.983083907434687	hml16	corrected age from individual questionnaire
sh57	-0.00249010140570221	0.0102549401861988	0.80839268678154	-5.4001e-12	0.89838034440582	sh57	line number of parent/caretaker
ha0	-0.042612743800453	0.0573898460154636	0.458218626382963	3.11541692128992e-4	0.628350044596279	ha0	index to household schedule
ha1	5.04228217528224e-4	0.0141153897490448	0.971522217043889	3.73774329265331e-7	0.98250911410863	ha1	women's age in years
ha2	-3.77562568251323e-4	3.12282113081734e-4	0.227371276203826	3.44717574587872e-4	0.387684167904536	ha2	respondent's weight (kilos-1d)
ha3	-5.7655723504603e-4	9.48544670567835e-4	0.543648090475885	3.55281517001038e-4	0.696293761664422	ha3	respondent's height (cms-1d)
ha4	-5.9484632324177e-5	6.64522348423824e-5	0.371254123818125	4.16362212326549e-4	0.542705181603029	ha4	ht/a percentile (resp.)
ha5	-5.69585028767551e-4	0.00116400667146173	0.624879386896236	4.13257498371289e-4	0.76492465544013	ha5	ht/a standard deviations (resp
