var	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
hv003	-0.0136685856880481	0.166980346980956	0.934801636448817	7.00376879503306e-6	0.96096095398936	hv003	respondent's line number
hv008	-0.213469539095602	0.185803431252468	0.251294257100822	0.00177797637854404	0.417545607575153	hv008	date of interview (cmc)
hv010	-0.13525426804458	0.165721586955374	0.414905447467527	6.54073820157586e-4	0.596720145909665	hv010	number of eligible women in hh
hv011	-0.203668752707307	0.188164289599078	0.279737467840601	0.00116044654059655	0.452237295570516	hv011	number of eligible men in hh
hv012	-0.034879382591993	0.0468581682975851	0.457101955977604	5.72890503190648e-4	0.634366801900644	hv012	number of de jure members
hv013	-0.0389266518015847	0.0514850295762997	0.450054777339792	6.90899066263739e-4	0.627363308710947	hv013	number of de facto members
hv014	-0.186512727154465	0.19693673545873	0.344183968553309	0.00116603776371238	0.523661137783952	hv014	number of children 5 and under
hv016	0.0433253246423756	0.0205318547073864	0.0354751799400492	0.00236698287408288	0.079298990936371	hv016	day of interview
hv017	-0.491382196620063	0.677532417898575	0.468727554124498	1.5292697878766e-4	0.64144987097199	hv017	number of visits
hv018	-0.0234880934287404	0.00635722368764095	2.51255710435533e-4	0.00836319023789178	6.61553247942954e-4	hv018	interviewer identification
hv019	-0.0994608012558238	0.0787556214964528	0.207370508865132	0.00215925522120353	0.363584060684179	hv019	keyer identification
hv031	-0.0176215459489262	0.00648958858614537	0.00691171461460922	0.00518151540123535	0.017091498669865	hv031	field editor
hv032	-12.5809501660407	1.01692084529731	6.28201e-30	2.55557910898596e-4	2.39423106125e-29	hv032	office editor
hv035	-0.266697568658745	0.208596467700815	0.201813990360616	0.0017631982123596	0.355066853208031	hv035	number of eligible children for height & weight
hv041	-0.0855772890204207	0.113884781757417	0.452838038806583	2.90521260889576e-4	0.630170324199576	hv041	total adults measured
hv220	0.00362013030985303	0.0134640123995349	0.788166955458524	4.6051096328048e-5	0.884150495656012	hv220	age of head of household
hml2	-0.617692342478861	0.661318367450258	0.350859584111494	0.00142706951615346	0.530114406321083	hml2	number of children under bednet previous night
hv271	4.46259703707307e-6	1.61723953812169e-6	0.00606108273837866	0.00787239029012488	0.01507360625556	hv271	wealth index factor score
swanem	2.31034017994751e-7	3.24472899668211e-7	0.47686839562641	7.74060817162803e-4	0.648466701668172	swanem	anemia weights for tested women in household
smanem	2.8373116387485e-7	2.63250947669282e-7	0.28178364993923	0.00185481562586332	0.45482178330583	smanem	anemia weights for tested men in the household
hv107	0.0839398674892441	0.259498199339698	0.746628264355342	5.38140538477005e-4	0.853249467023777	hv107	highest year of education
hv108	0.0935388547801961	0.0705392387977108	0.185589958210767	0.00520633690550565	0.331884916471923	hv108	education in single years
hv124	-0.0335181339642217	0.0712689956395642	0.638397661454664	2.93979675137002e-4	0.784337576974015	hv124	education in single years - current school year
hv128	-0.0404356442466127	0.0927768115839027	0.663193081690774	2.93212512286645e-4	0.799239409515877	hv128	education in single years - previous school year
sh15b	0.0993924236321067	0.283094889720064	0.725835033025971	6.52855476404812e-4	0.8392381553645	sh15b	highest year of education
hml16	0.0373015441596467	0.0159809199939902	0.0200908406717307	0.00415622169061569	0.0470845297525802	hml16	corrected age from individual questionnaire
sm49c	0.0374909470668912	0.0161094830380778	0.0204574182576098	0.00420499543362851	0.0477966806647144	sm49c	age in men's anemia section
sm49g	-0.0185707185186127	0.021578431875842	0.389973607504443	0.00286112087134505	0.570551597543688	sm49g	men's anemia measurement
sh57	-0.529694398242435	0.167032601005436	0.00178956327468201	0.00113212579389887	0.00462404951229275	sh57	line number of parent/caretaker
hmlidx	-0.399932977597991	0.610202911036517	0.512949654537108	0.00227674651827803	0.6808809302062	hmlidx	net number
hml4	0.092654457668487	0.0124118393743868	2.439634e-12	0.0292360620720894	6.60607821136767e-12	hml4	months ago obtained mosquito net
hml7	-0.0300433036598785	0.0168007827218016	0.0755339279206883	1.71398922730104e-4	0.154462069906223	hml7	brand of bednet
hmlb	-1.39577494337982	0.396311076125771	6.22944346338388e-4	0.0394401935538603	0.00163315332071001	hmlb	person who slept under mosquito net
v004	0.00194017789308667	0.00185674276879238	0.296693078539797	8.62090010741112e-4	0.472350230166743	v004	ultimate area unit
v005	2.39045062157079e-7	3.10391101918322e-7	0.441677485821576	8.78328401015871e-4	0.619445563141668	v005	sample weight
v006	-0.22491460842458	0.188081113505119	0.232478837983468	0.00198500633290433	0.391925845092041	v006	month of interview
v008	-0.224914608424591	0.1880811135051	0.232478837983398	0.00198500633290399	0.391925845092041	v008	date of interview (cmc)
v012	0.0392878234984538	0.0161380297814071	0.0153561388855105	0.00462151391886634	0.0364364727330128	v012	current age - respondent
v016	0.0521006864120573	0.0192208909593116	0.00700917491793821	0.00343999006133167	0.0173184556927015	v016	day of interview
v021	0.00194017789308667	0.00185674276879238	0.296693078539797	8.62090010741112e-4	0.472350230166743	v021	primary sampling unit
v027	0.649023975093386	0.400107052590738	0.105576293372028	0.00180914475622684	0.203477951005887	v027	number of visits
v028	-0.0182260009649365	0.00658455302082735	0.00590641044111172	0.005521579806267	0.0147370257241814	v028	interviewer identification
v029	-0.0980480236579814	0.0796819086592559	0.219246698764686	0.00212437928911802	0.379112676681318	v029	keyer identification
v030	-0.0161984748917576	0.00645510579914493	0.0124938164739201	0.00445664091009224	0.0300897681113605	v030	field supervisor
v031	-0.0176992944581144	0.0065805419930218	0.00745688336696966	0.00524355928969211	0.0183651352066967	v031	field editor
v032	-12.4578742992199	1.01749858960306	1.97434e-29	2.75108202370755e-4	7.4409921631644e-29	v032	office editor
v107	0.0983039029106424	0.253625128444755	0.698675573463009	7.76843585380993e-4	0.820383454736909	v107	highest year of education
v133	0.121983745354125	0.0563307274484313	0.0309494726471821	0.00753517823186145	0.0700556363038294	v133	education in single years
v136	-0.0346331104188352	0.0475914471739411	0.467218994973961	5.71922590886231e-4	0.640989334421398	v136	number of household members
v152	0.00389547457787409	0.0137314987994247	0.776797769503628	5.34541009066247e-5	0.877856337737792	v152	age of household head
v201	0.0459943713949072	0.0300174496525118	0.126262172187961	0.00104832532618826	0.239262500311431	v201	total children ever born
v202	0.105059195494904	0.109988458484846	0.340070424195311	6.39528339687945e-4	0.519827413323345	v202	sons at home
v203	0.0347377122260776	0.15835795576055	0.826481692818236	4.25466831386334e-5	0.905254005185234	v203	daughters at home
v204	-0.478809115018705	0.453564641268872	0.29177139408097	9.17291264717846e-4	0.466742382241804	v204	sons elsewhere
v205	0.150140544765985	0.138546387923644	0.279167505751656	3.56569148495578e-4	0.45212653135885	v205	daughters elsewhere
v206	0.305147149059132	0.145255832332184	0.0362972497063498	0.00218473789671592	0.0810177996739828	v206	sons who have died
v207	0.306438818721956	0.163347089285067	0.061394657984582	0.00299999797060424	0.129276458698198	v207	daughters who have died
v218	0.0290309291567977	0.0565634530415299	0.608067370232473	2.04545004729106e-4	0.761473640488712	v218	number of living children
v507	-0.0865781700568194	0.0928331193199913	0.351631884428754	0.00201051890147341	0.530755255259045	v507	month of first marriage
v508	-0.0289528336697956	0.0267172582900954	0.279224092669306	0.00221269970910221	0.45212653135885	v508	year of first marriage
v509	-0.00248465569843419	0.00222558868253199	0.264983713787804	0.0023390159931338	0.433907273544046	v509	date of first marriage (cmc)
v511	-0.0173950533875044	0.0384326030598409	0.651097128273628	1.67398909096006e-4	0.792837402551533	v511	age at first marriage
v512	0.0288093029614787	0.0267856557654177	0.282839140392817	0.0021796968349761	0.45536408618971	v512	years since first marriage
v525	0.0547808298236416	0.0336664368275519	0.104551136167386	0.00343529809068954	0.201629610483466	v525	age at first intercourse
v527	4.21679877873446e-4	0.00314264381500703	0.893334619677219	3.00562771586854e-5	0.940855701345714	v527	time since last intercourse
v531	0.0391849308692448	0.0241814729692573	0.105935112587021	0.00199594635468725	0.203911716084487	v531	age at first intercourse (imp)
v603	-0.00190010782817195	0.00134295920631903	0.158009605812162	0.00241409503853329	0.289004971878393	v603	preferred waiting time
v613	-0.0100786379380407	0.0110073439079779	0.360423246460639	6.32229988148825e-4	0.54161186715549	v613	ideal number of children
v616	-5.28815928387983e-4	9.35215519031914e-4	0.57210709882461	4.45952813105444e-4	0.735084089471654	v616	time for future birth
v627	-0.00873873677645754	0.00956788380298025	0.36162340193833	5.20872252272153e-4	0.54314766133496	v627	ideal number of boys
v628	-0.00848950323895198	0.00935108479973351	0.364506998180353	4.95601429442605e-4	0.546670849705802	v628	ideal number of girls
v629	-0.00337036778485739	0.0063263548512729	0.594507502999426	1.04564694752729e-4	0.753399173519133	v629	ideal number of either sex
v788	-12.2109111335322	0.42871778117876	1.071798e-97	0.00124922804669736	1.43960885550661e-96	v788	number of days gotten drunk last 3 months
v801	-4.09247459426748e-4	5.1863106250603e-4	0.430535411305207	4.7005743820594e-4	0.611425962612269	v801	time interview started
v802	-2.86784832031591e-4	5.8800803500546e-4	0.626018971091133	2.36875268221026e-4	0.775907253193847	v802	time interview ended
v191	4.65886196670594e-6	1.60822175791792e-6	0.00397892452199751	0.00868492076090888	0.0100594866231927	v191	wealth index factor score (5 decimals)
fg107	0.0173551948602123	0.00676079544370013	0.0106528620346663	0.00837160963878281	0.0257987103603634	fg107	age at circumcision
