var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
sh20k_06	1	-18.7915928146859	1.73383167727277	6.7947e-12	0.153761318808829	1.40459085686465e-11	sh20k	Number of hours spent on the other chores for the family
hv121_11_0	1	-18.3411624357939	0.628828283755364	7.2789e-18	0.0723316390820907	1.64307333333333e-17	hv121_11	Member attended school during current school year
hv121_11_2	1	18.3411624355111	0.628828281282059	7.2789e-18	0.0723316390820907	1.64307333333333e-17	hv121_11	Member attended school during current school year
hv122_11_0	1	-18.3411624357939	0.628828283755364	7.2789e-18	0.0723316390820907	1.64307333333333e-17	hv122_11	Educational level during current school year
hv140_07_1	1	-18.2640602487397	0.704627420517434	7.2766e-17	0.0653002310707156	1.61086775808133e-16	hv140_07	Member has a birth certificate
hv106_11_0	1	-18.2134178003365	0.658381245294877	2.0468e-17	0.0616845896083504	4.55488092243187e-17	hv106_11	Highest educational level attained
hv106_11_1	1	18.2134178002418	0.658381243125389	2.0468e-17	0.0616845896083504	4.55488092243187e-17	hv106_11	Highest educational level attained
hv109_11_0	1	-18.2134178003365	0.658381245294877	2.0468e-17	0.0616845896083504	4.55488092243187e-17	hv109_11	Educational attainment
hml35_06_0	1	18.1125567961095	0.789918727771035	3.1004e-19	0.0503497135801853	7.37082777155655e-19	hml35_06	Result of malaria rapid test
hb62_0199994	1	-17.1421012702945	0.887537815938612	6.503e-39	0.0429214369949816	2.64480249042146e-38	hb62	NA
hv101_08_3	1	3.3269034418887	1.19023504477911	0.00709187809073855	0.0411475435195759	0.0130468433159774	hv101_08	Relationship to head
hml35_06_1	1	-17.9023543674219	0.838410689337635	1.9263e-18	0.0389587078239088	4.42111881081081e-18	hml35_06	Result of malaria rapid test
hb66_02_1	1	18.8452303150104	0.694140480896297	2.7176e-34	0.0387826716598361	9.93878518518519e-34	hb66_02	Man's highest educational level
