var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
v535_0	1	-2.4620896719354	0.564923575512394	1.76392476001945e-5	0.0209409316262485	4.89070811449274e-5	v535	ever been married or in union
sh21_03_2	1	2.06528784630213	0.683686122498394	0.00277725516770018	0.0164883022379883	0.0069503987170745	sh21_03	paid work for someone other than a family member
v525	1	0.0696514569200173	0.0286243372471042	0.0154800101388792	0.0147671679373618	0.0354715492649722	v525	age at first sex
v602_1	1	-1.83481110411309	0.330312045098884	5.28488879951919e-8	0.0139372673098254	1.50452336158803e-7	v602	fertility preference
ha69_3	1	-1.79922326115952e-6	3.65667462716468e-7	1.87326001354666e-6	0.0135234010538222	5.26244504172426e-6	ha69	hiv weight (6 decimals)
v602_3	1	1.78388397345008	0.329590453552063	1.11329752266553e-7	0.0135167880610113	3.14831330449506e-7	v602	fertility preference
v605_5	1	1.78388397345008	0.329590453552063	1.11329752266553e-7	0.0135167880610113	3.14831330449506e-7	v605	desire for more children
v535_2	1	1.94846285153807	0.510073824693459	1.6005158752193e-4	0.0118162407182107	4.33407021655919e-4	v535	ever been married or in union
v536_0	1	-3.63042433689255	1.01594291907823	3.98400599065578e-4	0.0105214707243143	0.00105862310466488	v536	recent sexual activity
m15_1_21	1	1.42593207955642	0.390336120344772	2.96820486364328e-4	0.0102725581154637	7.94773176425883e-4	m15_1	place of delivery
hw18_2	1	-0.227932543249684	0.0723817612651835	0.00181273290198322	0.00983511759895939	0.00462422004110177	hw18	NA
v781_1	1	1.54207902125336	0.373871304422855	4.57922179148705e-5	0.00955783790472597	1.25780776467747e-4	v781	ever been tested for hiv
v624_0	1	-3.49414941471187	1.01592662584358	6.48777677530275e-4	0.00922867980573072	0.00171203978446824	v624	unmet need
v626_0	1	-3.48424186877451	1.01580784924807	6.70839744311409e-4	0.00913971907053823	0.00176660617673204	v626	unmet need (definition 2)
v626a_0	1	-3.48424186877451	1.01580784924807	6.70839744311409e-4	0.00913971907053823	0.00176660617673204	v626a	na - unmet need for contraception (definition 3)
v140_1	1	1.63247492124039	0.296667961237586	6.95327261218863e-8	0.00876813872904381	1.97654646117819e-7	v140	de jure type of place of residence
hv025_1	1	1.60977352381106	0.296188369663696	9.90430575699193e-8	0.00856041531986085	2.80499901949128e-7	hv025	type of place of residence
v025_1	1	1.60977352381106	0.296188369663696	9.90430575699193e-8	0.00856041531986085	2.80499901949128e-7	v025	type of place of residence
hv025_2	1	-1.60977352381107	0.296188369663693	9.90430575698858e-8	0.00856041531986063	2.80499901949128e-7	hv025	type of place of residence
v025_2	1	-1.60977352381107	0.296188369663693	9.90430575698858e-8	0.00856041531986063	2.80499901949128e-7	v025	type of place of residence
hw19_2	1	2.00257430928225	0.676935249892623	0.0033537847779049	0.00848002367327128	0.00832251582281132	hw19	NA
v140_2	1	-1.56329091867437	0.295448666808593	2.07386413240565e-7	0.00813976190935994	5.85606619688882e-7	v140	de jure type of place of residence
v605_3	1	-2.52473746399026	0.728756969626767	5.9292397045199e-4	0.00692927222008477	0.00157005939340295	v605	desire for more children
hw19_1	1	1.66775627848993	0.418727542925253	8.21840616168579e-5	0.00689107479230444	2.2445276171965e-4	hw19	NA
v013_1	1	-2.30386290792574	0.560748301210247	4.89495606342459e-5	0.00681215521605605	1.34356894386041e-4	v013	age in 5-year groups
hv270_5	1	1.29987210015636	0.309285569480881	3.3006826081242e-5	0.0067950206976245	9.09885796004864e-5	hv270	wealth index
v190_5	1	1.29987210015636	0.309285569480881	3.3006826081242e-5	0.0067950206976245	9.09885796004864e-5	v190	wealth index
hv101_3	1	-2.09893686382547	0.571421710407718	2.74484149469585e-4	0.00651911505167069	7.36510026852867e-4	hv101	relationship to head
v150_3	1	-2.09893686382547	0.571421710407718	2.74484149469585e-4	0.00651911505167069	7.36510026852867e-4	v150	relationship to household head
