var	concordance	Estimate.x	SE.x	P.Val.x	Nag.R2.x	FDR.x	varOrig.x	varlabel.x
ha62_699994	1	-12.3480900491585	1.0121310651534	5.0021e-29	8.32929938928695e-5	1.81850694310511e-28	ha62	
hb62_0599994	1	-13.3120092408884	1.01337461867276	2.2862e-32	2.82032565225077e-4	8.44997450980392e-32	hb62	
hv006	1	-0.17483330444354	0.0397118299779607	1.39806835187473e-5	0.00642637820377723	3.85568228717464e-5	hv006	month of interview
hv007	1	1.69661124478475	0.352465927567824	2.15578498205369e-6	0.00701112241431856	5.97157191942866e-6	hv007	year of interview
hv028	1	-1.27704317252075e-6	4.20663837032813e-7	0.00256714610703816	0.00564167897318568	0.00650850089006985	hv028	household weight for male subsample (6 decimals)
hv218	1	-10.5670508358484	1.01171911679172	1.4063e-22	1.76801712763464e-5	4.44404945515507e-22	hv218	line number of head of household
hv246c	1	-11.7187110699357	0.660226250532852	1.44e-51	1.35343042061087e-4	7.17146631439894e-51	hv246c	owns horses/ donkeys/ mules
hv271	1	3.26859278076861e-6	8.53654904987235e-7	1.50849897219101e-4	0.00250206656213814	4.06507585786998e-4	hv271	wealth index factor score (5 decimals)
ha1	1	0.0520490373050167	0.0136794214854957	1.65661150959904e-4	0.0044784465254708	4.44830868318261e-4	ha1	woman's age in years
ha32	1	-0.00430254749984007	0.00113304248661846	1.70609299923025e-4	0.00441270929319038	4.57465903776532e-4	ha32	date of birth (cmc)
ha35	1	-10.1664021224972	1.009459487439	2.8754e-21	1.44820320992167e-4	8.63077866242038e-21	ha35	smoking (cigarettes in last 24 hours)
ha69	1	-1.31446505988656e-6	4.07733563829207e-7	0.00137602741452258	0.00595952298334312	0.00353621223773015	ha69	hiv weight (6 decimals)
hml16	1	0.0520490373050167	0.0136794214854957	1.65661150959904e-4	0.0044784465254708	4.44830868318261e-4	hml16	corrected age from individual file
v005	1	-1.27254561519793e-6	4.02408672758098e-7	0.001693007650672	0.00587139720410301	0.0043184295284394	v005	women's individual sample weight (6 decimals)
v006	1	-0.17044738919335	0.0403516513480553	3.01735191574071e-5	0.00607045506873616	8.27905147186498e-5	v006	month of interview
v007	1	1.69222685042258	0.352753349960707	2.32825502675856e-6	0.00698114272288164	6.44458256305416e-6	v007	year of interview
v008	1	0.363020914166476	0.139852058920091	0.00981024671670619	0.00395696575563798	0.0240472237464124	v008	date of interview (cmc)
v012	1	0.0520306754462606	0.0136771472428112	1.661190032068e-4	0.00447612168108047	4.45742805757748e-4	v012	respondent's current age
v018	1	-0.363020914166571	0.139852058919832	0.00981024671655225	0.00395696575563753	0.0240472237464124	v018	row of month of interview
v019	1	0.363020914166562	0.139852058919852	0.009810246716565	0.00395696575563764	0.0240472237464124	v019	length of calendar
v191	1	3.26859278076861e-6	8.53654904987235e-7	1.50849897219101e-4	0.00250206656213814	4.06507585786998e-4	v191	wealth index factor score (5 decimals)
