name	estimate	se	p.value	Nag.r2	adj.p.val
ha62_699994	-11.4446339297343	1.01047446626192	9.4672e-26	7.09579999353949e-05	3.52625571984436e-25
hb62_03?	-15.6069909864338	0.784409948862667	2.2134e-52	0.0073445812566465	1.13152317757009e-51
hb62_04?	-14.574743566844	1.0114200338968	6.6718e-37	0.00660960182573533	2.7587820950324e-36
hb62_0599994	-12.5214368292989	0.722856814831495	2.5295e-49	0.000241153288592866	1.25621990920882e-48
hv006	-0.122594831679668	0.040896673636552	0.0029022155740782	0.00309463486907269	0.00724891287224098
hv007	1.29713725551266	0.331734028474891	0.000109510161760373	0.00404797775042698	0.000297597167764704
hv008	0.301872557603192	0.128490685601432	0.019324499023562	0.00302402886251119	0.0438972824132338
hv009	-0.040904917940776	0.0566872211981181	0.470997607250114	0.000174146213985038	0.611131764879934
hv010	-0.308755560840181	0.190344856143769	0.10562776590435	0.0010966502746369	0.193516131888879
hv011	-0.0330212874387405	0.189740529097324	0.861932969158688	1.60736558166841e-05	0.908184187922019
hv012	-0.0445483322154355	0.0570748378873954	0.435575695731763	0.000201904651055851	0.579506372118458
hv013	-0.0286851856578744	0.0558601027072647	0.607892029268798	8.37122290782144e-05	0.723761996290494
hv014	-0.0161666321039622	0.154460485565574	0.916697611900013	4.65811915451031e-06	0.945082163695517
hv016	-0.0258104725642434	0.0211493579094222	0.223085833636758	0.000876506954602063	0.352245631750576
hv017	0.529265836893495	0.448751737614186	0.238981511995836	0.000559214550122533	0.372429877668724
hv019	0.0520135986915828	0.0398723748659732	0.192864594456566	0.000927867296539042	0.314916218411169
hv022	0.0209192986068825	0.0181478381738501	0.249763301650518	0.000718014357399932	0.385694016188541
hv028	-1.17431139968939e-06	4.1385594156387e-07	0.00479473643859549	0.00506160381405696	0.0117085751424631
hv031	-0.00165536331852982	0.0032424503647971	0.60998244363797	0.000140913943914023	0.72512349478106
hv032	0.10474257004543	0.126969393972458	0.409929535408997	0.000293317198681642	0.555814515255329
hv035	-0.0768054173390942	0.181620654910856	0.672619131817364	8.10587355634107e-05	0.777379612353965
hv040	-0.000819670274984884	0.000448032256077141	0.0681222779892388	0.0016589713540941	0.133695644500664
hv041	-0.344989572805154	0.190122931803857	0.0703924962370006	0.00139777512461714	0.137516769434426
hv204	0.00102676206619573	0.000413931852015375	0.013558622152395	0.00212356787377743	0.0312339721134897
hv216	-0.031136243535362	0.0377761723711316	0.41033437534016	0.000184809445897827	0.556021730715139
hv218	-10.6295894419523	1.01120561403102	8.1238e-23	1.80263647303613e-05	2.61615056349874e-22
hv238	0.0169714869047639	0.0102931630697297	0.101112255264269	0.00339044480588313	0.187225690297551
hv245	-0.0130876694798135	0.021021388458823	0.533965229072261	0.000621468181648765	0.661667592918345
hv246b	-0.128817419895954	0.182137694450401	0.479849751781664	0.000237280656339989	0.617802521712169
hv246c	-5.74319432994606	0.298092772987796	5.994e-58	7.91644698261429e-05	3.34076069868996e-57
hv246d	-0.0442307675468357	0.0795384733744719	0.578479990999134	0.000129645170562909	0.698297567949459
hv246e	0.0774322355727808	0.224101647574875	0.729895608521393	8.21045309440382e-05	0.820543242815154
hv246f	-0.051342447381239	0.0633487600897878	0.418183895179908	0.000240953341026917	0.563812019240798
hv246g	0.0730137776330007	0.245479491021624	0.766300853773223	5.58456600200374e-05	0.844364307654006
hv246h	-0.0332346250847659	0.0626009224739768	0.595805457322262	0.000118160493164821	0.712828952493979
hv246i	-0.0611008706876779	0.103738228045099	0.556222961600149	0.000118247036042129	0.680005657716146
hv271	3.49262826785279e-06	8.60929533655136e-07	6.05794062169657e-05	0.00340958396402258	0.000165684676003401
hml1a	0.25156353827388	0.0925601832286258	0.00687673488164092	0.00238864597955846	0.0164260872500331
hml2	0.129590492935783	0.18214704018395	0.477242190185266	0.000184980612830565	0.616128629480144
shcom	0.0766595933049012	0.0692784846691015	0.269202968019433	0.000709814022814226	0.405978008880035
shcoll	0.0139449613961399	0.0186547723396529	0.455214747662135	0.000312440055352581	0.597742547598873
sh20a	0.127663874195217	0.0873959867356477	0.14492304048613	0.00061850401680752	0.250637001816347
hv107	0.229847463882176	0.102756885330962	0.0259192588117486	0.0031279949394537	0.0574001399596214
hv108	0.0248479262856754	0.00901536824851995	0.00613455419174937	0.00284416394740994	0.0148010132326455
hv123	0.289916859875857	0.0425066345005709	9.4988e-11	0.000245003360655693	2.70616854166667e-10
hv124	-0.00983388395771919	0.0337805265770739	0.771127778165299	8.54151159703775e-05	0.846945232588193
sh06a	0.000423097740116306	0.0200978123432352	0.98321545729693	1.73305582884531e-07	0.987421319921455
sh17b	0.167492127732677	0.104738555731403	0.110677995842587	0.00179473037357725	0.201610868735141
sh19b	0.439274368679129	0.046750441010172	9.914e-18	0.000553601525940528	2.82866661698957e-17
ha0	-0.393794611086009	0.144792833819942	0.00683866958973946	0.00567613977702275	0.016345359462617
ha1	0.0525382590719351	0.0110697881498947	2.95730682649043e-06	0.00506386056058694	8.28955185844206e-06
ha2	0.000269966907543291	0.00016394889888763	0.100469401646868	0.000130552988799493	0.186320925023398
ha3	0.000137895817644233	0.000119626569288195	0.249761968257911	3.74274446908185e-05	0.385694016188541
ha4	0.00011653732204696	5.3460614583742e-05	0.0298899898808967	0.00140656249562521	0.0651387428878506
ha5	0.000174389008339238	8.55017732982816e-05	0.0420929798136099	0.000392668447986244	0.0882661663232817
ha6	1.81687339780768e-05	1.00286498713177e-05	0.0708371767256344	0.000310432670387994	0.138244418798397
ha11	0.000143211689400104	0.000102814747073502	0.164474410776024	0.000210757337262724	0.278045262190462
ha12	1.58360179437327e-05	1.15778854804425e-05	0.172201760860388	0.000214820587988496	0.288020796371184
ha12a	1.99238024594579e-05	9.82051562577467e-06	0.0431872720759896	0.000412904892798882	0.0903628769283957
