name	estimate	se	p.value	Nag.r2	adj.p.val
ha62_699994	-12.3480900491585	1.0121310651534	5.0021e-29	8.32929938928695e-05	1.81850694310511e-28
hb62_0399994	-15.4273757666025	0.341685910667802	9.4072e-121	0.0138471694252875	1.93798601092896e-119
hb62_0499994	-14.3297981741805	0.650081054627304	6.1442e-66	0.00558806445940618	3.9528385665529e-65
hb62_0599994	-13.3120092408884	1.01337461867276	2.2862e-32	0.000282032565225077	8.44997450980392e-32
hv006	-0.17483330444354	0.0397118299779607	1.39806835187473e-05	0.00642637820377723	3.85568228717464e-05
hv007	1.69661124478475	0.352465927567824	2.15578498205369e-06	0.00701112241431856	5.97157191942866e-06
hv008	0.331347931476643	0.149918534875108	0.0276971334839708	0.0033217099606424	0.063476105309769
hv009	0.00079320521078465	0.0711797725431135	0.991114748847704	6.443480204954e-08	0.996135058159383
hv010	-0.0807974494220975	0.184078477593144	0.660966180001141	8.49206718027684e-05	0.785079552175268
hv011	-0.00686841951707278	0.173486630161519	0.968440739630005	6.46648925184401e-07	0.983245431674415
hv012	-0.00353258776487242	0.0700232517720262	0.959791695164907	1.24656804578738e-06	0.978743492229294
hv013	0.00295513831722633	0.0702420432225884	0.9664647155315	8.73536631473826e-07	0.982498426734646
hv014	-0.0525102822076057	0.165584197773512	0.751328486913186	4.50097040259889e-05	0.841755838235575
hv016	0.00289041432110786	0.021447401892928	0.892868141034973	1.00981413432288e-05	0.938886404876748
hv017	-13.526316847126	0.269555149761659	3.3628e-168	0.000972632444662835	2.5355512e-166
hv019	0.0307374362143255	0.0457316792574692	0.501918679622678	0.000294581877621103	0.657253706904306
hv022	0.0336022364194992	0.0203078422920493	0.0988357795722921	0.00163549348787162	0.192265680592127
hv028	-1.27704317252075e-06	4.20663837032813e-07	0.00256714610703816	0.00564167897318568	0.00650850089006985
hv031	-0.00121567840644551	0.00344044991183752	0.724026144767847	6.90144333461706e-05	0.821419971644536
hv032	-0.219407441854056	0.144569412559272	0.129944540765256	0.00106647099784218	0.240496278195884
hv035	-0.0374602427327093	0.176449794913222	0.831988866340889	1.79741785314436e-05	0.898996281486143
hv040	-0.000907723400428821	0.000478446559576214	0.0585675633809989	0.0019414819312592	0.123008197184605
hv041	-0.0391830050191627	0.177987433076265	0.825878512148422	2.15944877278718e-05	0.895473681564438
hv204	0.000824440150484438	0.000410705591563497	0.0454306708646524	0.00103387306644631	0.0988307150373569
hv216	-0.0706997640197596	0.176584865832174	0.689110605722125	0.000264553099276199	0.802826632747964
hv218	-10.5670508358484	1.01171911679172	1.4063e-22	1.76801712763464e-05	4.44404945515507e-22
hv238	-0.00369348483658353	0.00997766479074527	0.711718159014672	0.000236071615831168	0.813823918557875
hv245	-0.00290169239245781	0.00394495684367888	0.462494829800509	0.000173101439939094	0.620721078087547
hv246b	0.0295525961600714	0.0208655883433623	0.157510705926811	0.000215961401199616	0.282097558833291
hv246c	-11.7187110699357	0.660226250532852	1.44e-51	0.000135343042061087	7.17146631439894e-51
hv246d	-0.0128554374007226	0.0598194433485124	0.829959303142797	1.25031448443558e-05	0.898090290714221
hv246e	-0.372393671967555	0.343987323110368	0.279692522590534	0.000626672055229038	0.43709102584091
hv246f	-0.00297948659652023	0.0707677197981168	0.966439582230033	1.17094108409432e-06	0.982498426734646
hv246g	-0.934932995824757	0.821635301279007	0.255893616992713	0.00131597145922402	0.407914983535953
hv246h	-0.0273041485111345	0.0632285012392335	0.66611168961677	6.80556520498143e-05	0.786483266475172
hv246i	-0.270610028479757	0.235389597686766	0.251032510656981	0.00062145967099958	0.402813936708311
hv271	3.26859278076861e-06	8.53654904987235e-07	0.000150849897219101	0.00250206656213814	0.000406507585786998
hml1a	-0.157987891556314	0.138733555630403	0.255521137201702	0.000625222574370254	0.407665970059423
