var	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
ha62_699994	-12.3480900491585	1.0121310651534	5.0021e-29	8.32929938928695e-5	1.81850694310511e-28	ha62	
hb62_0399994	-15.4273757666025	0.341685910667802	9.4072e-121	0.0138471694252875	1.93798601092896e-119	hb62	
hb62_0499994	-14.3297981741805	0.650081054627304	6.1442e-66	0.00558806445940618	3.9528385665529e-65	hb62	
hb62_0599994	-13.3120092408884	1.01337461867276	2.2862e-32	2.82032565225077e-4	8.44997450980392e-32	hb62	
hv006	-0.17483330444354	0.0397118299779607	1.39806835187473e-5	0.00642637820377723	3.85568228717464e-5	hv006	month of interview
hv007	1.69661124478475	0.352465927567824	2.15578498205369e-6	0.00701112241431856	5.97157191942866e-6	hv007	year of interview
hv008	0.331347931476643	0.149918534875108	0.0276971334839708	0.0033217099606424	0.063476105309769	hv008	date of interview (cmc)
hv009	7.9320521078465e-4	0.0711797725431135	0.991114748847704	6.443480204954e-8	0.996135058159383	hv009	number of household members
hv010	-0.0807974494220975	0.184078477593144	0.660966180001141	8.49206718027684e-5	0.785079552175268	hv010	number of eligible women in household
hv011	-0.00686841951707278	0.173486630161519	0.968440739630005	6.46648925184401e-7	0.983245431674415	hv011	number of eligible men in household
hv012	-0.00353258776487242	0.0700232517720262	0.959791695164907	1.24656804578738e-6	0.978743492229294	hv012	number of de jure members
hv013	0.00295513831722633	0.0702420432225884	0.9664647155315	8.73536631473826e-7	0.982498426734646	hv013	number of de facto members
hv014	-0.0525102822076057	0.165584197773512	0.751328486913186	4.50097040259889e-5	0.841755838235575	hv014	number of children 5 and under (de jure)
hv016	0.00289041432110786	0.021447401892928	0.892868141034973	1.00981413432288e-5	0.938886404876748	hv016	day of interview
hv017	-13.526316847126	0.269555149761659	3.3628e-168	9.72632444662835e-4	2.5355512e-166	hv017	number of visits
hv019	0.0307374362143255	0.0457316792574692	0.501918679622678	2.94581877621103e-4	0.657253706904306	hv019	keyer identification
hv022	0.0336022364194992	0.0203078422920493	0.0988357795722921	0.00163549348787162	0.192265680592127	hv022	sample strata for sampling errors
hv028	-1.27704317252075e-6	4.20663837032813e-7	0.00256714610703816	0.00564167897318568	0.00650850089006985	hv028	household weight for male subsample (6 decimals)
hv031	-0.00121567840644551	0.00344044991183752	0.724026144767847	6.90144333461706e-5	0.821419971644536	hv031	field editor
hv032	-0.219407441854056	0.144569412559272	0.129944540765256	0.00106647099784218	0.240496278195884	hv032	office editor
hv035	-0.0374602427327093	0.176449794913222	0.831988866340889	1.79741785314436e-5	0.898996281486143	hv035	number of eligible children for height and weight
hv040	-9.07723400428821e-4	4.78446559576214e-4	0.0585675633809989	0.0019414819312592	0.123008197184605	hv040	cluster altitude in meters
hv041	-0.0391830050191627	0.177987433076265	0.825878512148422	2.15944877278718e-5	0.895473681564438	hv041	total adults measured
hv204	8.24440150484438e-4	4.10705591563497e-4	0.0454306708646524	0.00103387306644631	0.0988307150373569	hv204	time to get to water source (minutes)
hv216	-0.0706997640197596	0.176584865832174	0.689110605722125	2.64553099276199e-4	0.802826632747964	hv216	number of rooms used for sleeping
hv218	-10.5670508358484	1.01171911679172	1.4063e-22	1.76801712763464e-5	4.44404945515507e-22	hv218	line number of head of household
hv238	-0.00369348483658353	0.00997766479074527	0.711718159014672	2.36071615831168e-4	0.813823918557875	hv238	number of households sharing toilet
hv245	-0.00290169239245781	0.00394495684367888	0.462494829800509	1.73101439939094e-4	0.620721078087547	hv245	hectares of agricultural land
hv246b	0.0295525961600714	0.0208655883433623	0.157510705926811	2.15961401199616e-4	0.282097558833291	hv246b	owns cows/ bulls
hv246c	-11.7187110699357	0.660226250532852	1.44e-51	1.35343042061087e-4	7.17146631439894e-51	hv246c	owns horses/ donkeys/ mules
hv246d	-0.0128554374007226	0.0598194433485124	0.829959303142797	1.25031448443558e-5	0.898090290714221	hv246d	owns goats
hv246e	-0.372393671967555	0.343987323110368	0.279692522590534	6.26672055229038e-4	0.43709102584091	hv246e	owns sheep
hv246f	-0.00297948659652023	0.0707677197981168	0.966439582230033	1.17094108409432e-6	0.982498426734646	hv246f	owns chickens
hv246g	-0.934932995824757	0.821635301279007	0.255893616992713	0.00131597145922402	0.407914983535953	hv246g	owns pigs
hv246h	-0.0273041485111345	0.0632285012392335	0.66611168961677	6.80556520498143e-5	0.786483266475172	hv246h	owns guinea pigs
hv246i	-0.270610028479757	0.235389597686766	0.251032510656981	6.2145967099958e-4	0.402813936708311	hv246i	owns rabbits
hv271	3.26859278076861e-6	8.53654904987235e-7	1.50849897219101e-4	0.00250206656213814	4.06507585786998e-4	hv271	wealth index factor score (5 decimals)
hml1a	-0.157987891556314	0.138733555630403	0.255521137201702	6.25222574370254e-4	0.407665970059423	hml1a	number of mosquito bed nets with specific information
hml2	-0.0968681668949075	0.238616317461094	0.685005732464068	8.33190368534353e-5	0.800999358464088	hml2	number of children under mosquito bed net previous night
shcom	0.0323483967705331	0.0710678194905847	0.649246430573706	1.06863624553144e-4	0.775557364785447	shcom	commune
shcoll	-0.0350993719417749	0.0201928671365789	0.082997460908889	0.00140098357010998	0.166436397673676	shcoll	hill
sh20a	0.107738386900521	0.126610618616683	0.395345635527144	4.16590818569929e-4	0.556554535450834	sh20a	number of children 5-14
hv107	0.228632486090692	0.123819658555953	0.0656571411539455	0.00244433255520926	0.136529190375276	hv107	highest year of education completed
hv108	0.00594333920131923	0.00825133648432372	0.471797570528774	3.78239990745932e-5	0.629174687263346	hv108	education completed in single years
hv123	-0.117897593500963	0.386431329074655	0.760595866176692	1.59502633188202e-4	0.849144407887568	hv123	grade of education during current school year
hv124	-0.199628061553537	0.116984891675714	0.0887557200186519	0.00219580515697759	0.176574704205972	hv124	education in single years - current school year
sh06a	-0.00859029325813394	0.0225310642998667	0.703223544432646	5.93660771652793e-5	0.808559594090299	sh06a	nombre d'année dans le ménage
