var	concordance	Estimate.x	SE.x	P.Val.x	Nag.R2.x	FDR.x	varOrig.x	varlabel.x
hb62_03?	1	-16.389565297756	0.761037408342343	2.198511e-44	0.0156135413574026	8.08517830373832e-44	hb62	
hb62_04?	1	-15.2557430939276	1.02521366090182	5.542866e-37	0.00535650675580013	1.80257667024793e-36	hb62	
hb62_0599994	1	-14.0768219244941	0.721564056596181	3.661217e-57	7.92498345549286e-4	1.72537591556886e-56	hb62	
hv246c	1	-11.7982468370289	0.806961302702116	1.575645e-38	1.60630290480412e-4	5.25437548728814e-38	hv246c	owns horses/ donkeys/ mules
hb0	1	-0.566619671796746	0.163066711375744	5.71920125413951e-4	0.00630224668255064	0.00132512602169022	hb0	index to household schedule
hb1	1	0.0694509786911349	0.0133123249399086	3.03431113824512e-7	0.0094420553308644	7.21417510888436e-7	hb1	man's age in years
hb32	1	-0.00572912877383079	0.00109941593899828	3.12681728637907e-7	0.00926743860572687	7.41951317903617e-7	hb32	date of birth (cmc)
hml10	1	13.4128564494564	0.458806981311638	7.350122e-89	3.19491442437037e-4	6.91380001673307e-88	hml10	insecticide-treated net (itn)
hml16	1	0.0694509786911349	0.0133123249399086	3.03431113824512e-7	0.0094420553308644	7.21417510888436e-7	hml16	corrected age from individual file
v201	1	0.128550236860444	0.0282299053219629	7.16472454021874e-6	0.00341522745207579	1.68485205572275e-5	v201	total children ever born
v218	1	0.134604915109855	0.0340748952008991	9.34839856090113e-5	0.00235406761981816	2.18098507927743e-4	v218	number of living children
v511	1	0.0755383012782824	0.0285427170245979	0.00849300636646848	0.00282036347195491	0.0188063800757334	v511	age at first cohabitation
v525	1	0.0504817238521841	0.0161918400636148	0.001984357494236	0.00647496984753126	0.00453539984887821	v525	age at first sex
mv010	1	-0.0687239190081111	0.0132292668418205	3.39191375441663e-7	0.00927474284316021	8.04047025519846e-7	mv010	year of birth
mv012	1	0.0694509419958055	0.0133128053597815	3.03722577646381e-7	0.00944169533323669	7.21417510888436e-7	mv012	current age
hv124_01	1	-1.68439367367277	0.148031466816599	6.31012e-26	3.36948239025858e-4	1.84383580693069e-25	hv124	education in single years - current school year
ha65_1	1	-2.22640557670166	0.128948609670985	2.206222e-49	4.49824907982066e-5	8.71051863210702e-49	ha65	result of woman's individual interview
hc52_1	1	-13.9450904453908	0.424691726220922	2.496352e-107	0.00107370196846568	3.1518112684492e-106	hc52	read consent statement - hemoglobin
hc52_2	1	-13.514913925723	0.557489459498717	3.920209e-70	0.00143486405887194	2.41700378302872e-69	hc52	read consent statement - hemoglobin
hb60_02	1	-1.57572595029324	0.113809094388793	5.162894e-30	1.08986367289732e-4	1.54298642202532e-29	hb60	marital status
hb65_01	1	-2.43944719013474	0.135334273057651	1.385102e-52	6.2279569514323e-5	6.05597374444444e-52	hb65	result of man's individual interview
hml10_1	1	14.1444468429421	0.412415578613946	1.567838e-109	4.34950620764818e-4	2.04511907071823e-108	hml10	insecticide-treated net (itn)
hml10_2	1	14.2143177750282	0.453706564394013	3.4457e-88	4.78098219403256e-4	3.1532161627907e-87	hml10	insecticide-treated net (itn)
hml10_3	1	13.0976084861969	0.820234466658694	6.280639e-36	8.94447727505243e-5	2.01202017354138e-35	hml10	insecticide-treated net (itn)
hml18_01	1	-13.9976495155823	1.14850454323395	9.424865e-21	9.33786338300768e-5	2.48349400279018e-20	hml18	pregnancy status from individual file
hml18_05	1	-14.1020979963777	0.954023350301098	2.078273e-27	4.52455867103518e-4	6.12584588389513e-27	hml18	pregnancy status from individual file
hivline	1	-0.566619671796746	0.163066711375744	5.71920125413951e-4	0.00630224668255064	0.00132512602169022	hivline	line
hv025_1	1	1.06367749746757	0.429299264901333	0.0136686363431947	0.00253047371986714	0.0295798812156593	hv025	type of place of residence
hv025_2	1	-1.06367749746757	0.429299264901336	0.0136686363431954	0.00253047371986748	0.0295798812156593	hv025	type of place of residence
hv201_21	1	-11.1165989479434	0.738199057656894	2.618189e-40	2.99371567458184e-5	9.05057720204978e-40	hv201	source of drinking water
