name	estimate	se	p.value	Nag.r2	adj.p.val
ha62_699995	-10.0431741939924	1.05003419931219	1.633286e-19	8.35483791916669e-06	4.05061790546219e-19
hb62_03?	-16.389565297756	0.761037408342343	2.198511e-44	0.0156135413574026	8.08517830373832e-44
hb62_04?	-15.2557430939276	1.02521366090182	5.542866e-37	0.00535650675580013	1.80257667024793e-36
hb62_0599994	-14.0768219244941	0.721564056596181	3.661217e-57	0.000792498345549286	1.72537591556886e-56
hv006	-0.0686529697846957	0.0662921073557668	0.301059076247994	0.000704632206779077	0.457989999369532
hv007	1.0213709724282	0.472741858319787	0.0313733796637642	0.00197381176978917	0.0641876511145124
hv008	0.480807946589488	0.146723086350347	0.00114849212751179	0.00534632133871915	0.00264545357371252
hv009	-0.169880997366213	0.0799162267214937	0.0341868675800558	0.00191806580632115	0.0694025746831571
hv010	-0.292881906424801	0.280059910089293	0.296343923625185	0.000642344876334411	0.453152852123745
hv011	-0.13880239756609	0.187324806210465	0.45918053179521	0.000242607711922416	0.615980247482097
hv012	-0.176682399276153	0.0791176965927878	0.0261358661357973	0.0020288450616881	0.0542238839601208
hv013	-0.154304087358221	0.0798356484848402	0.0540271638427696	0.00156381275462425	0.105681966721441
hv014	0.286234556901556	0.218721881272271	0.191458747808229	0.00101663605337377	0.317886148787081
hv016	0.000878057703252984	0.0221764473985492	0.968438042262912	6.80251824425326e-07	0.981744189687735
hv017	0.108207530061384	0.436732206446815	0.804452657191903	1.24603126161471e-05	0.88340126680469
hv019	0.0630013495644981	0.060061785316446	0.294889328602055	0.00087761867798497	0.451513427256454
hv022	-0.000769688879602875	0.0280498496545545	0.978123560061527	6.76895218987283e-07	0.989014871651077
hv028	-9.04215194934789e-07	3.4782638125401e-07	0.00970640449504186	0.00226457774399702	0.0213577083064248
hv031	0.00297794148541698	0.00374412693578419	0.42691208033822	0.000303250109698672	0.589438258291545
hv032	0.113788972186035	0.168015160711159	0.498667913097023	0.000233065505365504	0.653629148910883
hv035	0.313958628794948	0.273864563033248	0.252370081494966	0.000949776224128396	0.398825811519153
hv040	-0.00109822504667398	0.000671970000451228	0.103038732314902	0.0021731036931889	0.186417200762823
hv041	-0.350916489137789	0.284799255948682	0.218674061933485	0.000919810601532678	0.356045806223615
hv204	0.000516689565646989	0.000534849138124587	0.334653216353263	0.000334111064121734	0.497241185531815
hv216	-0.229447530826212	0.296819729158453	0.440004201777659	0.000794361345522132	0.597040184136237
hv238	0.0128014211273046	0.0120701437983077	0.290582975331679	0.00224347651145695	0.446948797888009
hv245	-0.000345971389453429	0.00195763757521043	0.859825847368812	3.54963608317771e-06	0.920239721503973
hv246b	-0.0345564411776702	0.153702718678918	0.822238377074217	3.49156911575443e-05	0.896004703711929
hv246c	-11.7982468370289	0.806961302702116	1.575645e-38	0.000160630290480412	5.25437548728814e-38
hv246d	-0.0259249379773547	0.0764356313853814	0.734671476616282	4.43254472310972e-05	0.840794646772197
hv246e	0.147644849796823	0.0929532632946492	0.113055178412749	0.000653719857807156	0.20084520408766
hv246f	0.012565183284109	0.0489830400207655	0.797691062492462	1.81201159384914e-05	0.88042598750176
hv246g	0.182734262045423	0.160455192828641	0.255502877556729	0.000503478389081935	0.402161529274291
hv246h	0.0571046121046276	0.0497390031306453	0.251675138518057	0.000423340048229526	0.398260725228641
hv246i	-0.0644823098914239	0.209989249548089	0.758959541204909	6.73249785436703e-05	0.854508095748589
hv271	1.18082066863465e-06	1.22487129689344e-06	0.335657252122883	0.000218055586110322	0.497732721234106
hml1a	-0.0712919282950763	0.139333437697146	0.609191289246488	0.000106065318119852	0.74059591840909
hml2	0.237198191023035	0.257811656445192	0.358148954783078	0.000406472301637262	0.517813644974187
shcom	0.243149305000662	0.0758094394408144	0.00145624760945514	0.00550853876974666	0.00334455311860271
shcoll	-0.0161741653102478	0.0272348499787644	0.55295693327071	0.000247244375990663	0.698145090616121
sh20a	-0.31261645793781	0.147178857367252	0.0343280776332368	0.00195016044414176	0.0696293739622612
hv107	0.243382573667839	0.197362338183459	0.21832819833189	0.00167032631088859	0.35574387595693
hv108	-0.0172220984417993	0.0444602151210759	0.698712607166156	8.09951143260212e-05	0.815452528679829
hv123	-0.00165936165568882	0.0293999288631785	0.955038858110847	-5.408785e-12	0.97416364468981
hv124	-11.3723165854558	1.02056630716393	4.616484e-25	0.00601817870853472	1.3373642606135e-24
sh06a	0.000826721402082863	0.0268564139148301	0.975459183473197	5.28405699640189e-07	0.987166366129541
sh17b	0.256011088575542	0.198221609018085	0.197359216206737	0.00184364027513162	0.326534764866227
sh19b	-0.0125090106657454	0.0317895014180496	0.694313726640492	-5.408118e-12	0.813132295931647
hb0	-0.566619671796746	0.163066711375744	0.000571920125413951	0.00630224668255064	0.00132512602169022
hb1	0.0694509786911349	0.0133123249399086	3.03431113824512e-07	0.0094420553308644	7.21417510888436e-07
hb32	-0.00572912877383079	0.00109941593899828	3.12681728637907e-07	0.00926743860572687	7.41951317903617e-07
hb50	0.649023873713922	0.245518062580478	0.00855464127632019	0.00123617312126223	0.0189115243945618
hb56	-0.00924879178646584	0.00933660537668806	0.322530887943148	0.000333439593459439	0.482565821589959
hb67	0.11467352597781	0.151634556454134	0.450001288695536	0.000439246219711809	0.60885561181098
hb69	-7.16591694084508e-07	3.19570858732698e-07	0.025530104410941	0.00165012401018916	0.0531071158715698
hmlidx	-2.42477477998402	0.974295535048014	0.0133746384606428	0.00775145481226958	0.029050157686824
hml3	0.615684278366468	0.605351912847451	0.309959996205893	0.00140881716546815	0.468984941938453
hml4	0.0117693875662423	0.00695595429016836	0.0917114976909041	0.00325162788776345	0.168244635624106
hml10	13.4128564494564	0.458806981311638	7.350122e-89	0.000319491442437037	6.91380001673307e-88
hml11	-0.0688286143336815	0.317229591804695	0.828384418022067	5.51182598532707e-05	0.900053203382467
hmla	-1.87334470031654	0.739467304220443	0.0118186017714955	0.00753566875045875	0.0257652066320414
hmlb	-1.63493673829572	0.290230492688677	4.24214239617986e-08	0.00645865160112535	1.01270962561988e-07
hmlc	-0.919204483571073	0.193996034362982	3.53815188217049e-06	0.00372841829060033	8.35357659380453e-06
sh128a	0.394132617280837	0.164995329774526	0.0177063316404444	0.0090553681841421	0.0379697084496723
hml13	0.0203190482420579	0.155284382384549	0.89596464127624	3.50474184074301e-06	0.939747897846825
hml16	0.0694509786911349	0.0133123249399086	3.03431113824512e-07	0.0094420553308644	7.21417510888436e-07
hml20	0.681315443782166	0.453707693160755	0.134037420823394	0.00136046937062917	0.2328665645692
v004	-0.00217604130503654	0.00180608780828687	0.229036323186635	0.00063833796915036	0.370379971947702
v006	-0.0681914303004408	0.0657085429577908	0.30004725034479	0.000702498182352573	0.457039714880032
v007	1.00849075141591	0.473113527478721	0.0336978182456139	0.00192925364613294	0.0686458575305388
v008	0.471163959527052	0.14700530425579	0.0014675828051196	0.00513184262265709	0.00336731098434147
v016	0.0142958937916007	0.0231127965659638	0.536608441294902	0.000180988664304826	0.685569550810208
v021	-0.00217604130503654	0.00180608780828687	0.229036323186635	0.00063833796915036	0.370379971947702
v027	0.412839949120298	0.356581753334246	0.247704385744562	0.000598753437436206	0.392503392444907
v028	0.00303390441575073	0.00373237907306065	0.416820624544411	0.000315737590261489	0.578653599136517
v029	0.0630013495644981	0.060061785316446	0.294889328602055	0.00087761867798497	0.451513427256454
v030	0.00297794148541697	0.00374412693578419	0.426912080338222	0.000303250109698672	0.589438258291545
v031	0.00297794148541698	0.00374412693578419	0.42691208033822	0.000303250109698672	0.589438258291545
v032	0.11428958377702	0.167920197135957	0.49653863626969	0.000235250036114243	0.652317662868974
v191	1.18082066863465e-06	1.22487129689344e-06	0.335657252122883	0.000218055586110322	0.497732721234106
v201	0.128550236860444	0.0282299053219629	7.16472454021874e-06	0.00341522745207579	1.68485205572275e-05
v202	0.333660743216807	0.0862718177047485	0.000129862545769697	0.00317929620167856	0.000301777037954975
v203	0.0952948264538031	0.102185085690317	0.351649753403408	0.000230688589266781	0.51298322326842
v204	0.28272922803378	0.1659239393754	0.0892264893027252	0.00116155692482978	0.165241765929695
v205	0.163932902068494	0.116863817910001	0.161524361336674	0.000322218635736449	0.27426781897349
v206	0.335156023547067	0.160584797412688	0.0375632758432917	0.00148971257714781	0.0756714114897711
v207	0.41235218290551	0.162605416375504	0.0116263335284966	0.0023063342754378	0.0254400124752368
v212	0.0279126426238655	0.0180388590443119	0.122677134753795	0.00064050681318617	0.215506484489368
v218	0.134604915109855	0.0340748952008991	9.34839856090113e-05	0.00235406761981816	0.000218098507927743
v507	-0.075761817917649	0.0537304549978549	0.159399994207368	0.00102486644825417	0.271336255460415
v508	-0.0229398223467164	0.0191840137732192	0.232576831288951	0.00121774028180832	0.37431076937506
v509	-0.0019569926981983	0.0015952242217981	0.22071290935826	0.00127325214955087	0.358392832871287
v511	0.0755383012782824	0.0285427170245979	0.00849300636646848	0.00282036347195491	0.0188063800757334
v512	0.0239621063451703	0.0192364026602027	0.21370444732242	0.00132420560583824	0.350629742966111
v525	0.0504817238521841	0.0161918400636148	0.001984357494236	0.00647496984753126	0.00453539984887821
v527	0.00237569454352706	0.00181789016148303	0.192124489420229	0.00149320147858467	0.31876733627629
v531	0.0518215482046225	0.0153310378916449	0.000802023276624593	0.00525501446351606	0.00185100386716585
v603	0.000972133999079428	0.00113480144081792	0.392325910276876	6.05940134467131e-05	0.553664957659118
v766a	-0.34880486608425	0.826872300203237	0.673389390459749	7.38415524738079e-05	0.794142033404329
v766b	0.0253799627559146	0.0125493958171852	0.0438535175277847	9.50909717662984e-05	0.0870068528429409
v834a	-0.0179117115177743	0.0151103912965117	0.23664938884201	0.00049701728833984	0.379571472184773
v836	0.0198165592462613	0.00885616986476771	0.0258533791613523	0.000220931779035705	0.0536849852242329
v852a	-0.00143272371736008	0.000779728651957977	0.0672651601727783	0.000709948562795715	0.128697765938355
v801	-0.00127201668419521	0.00144421003770539	0.379014138489706	0.00072403297473056	0.539744692787212
v802	-0.000717460947594398	0.00136699484557229	0.600004994954866	0.000340717403152779	0.734757154091514
scom	0.243149305000662	0.0758094394408144	0.00145624760945514	0.00550853876974666	0.00334455311860271
scoll	-0.0161741653102478	0.0272348499787644	0.55295693327071	0.000247244375990663	0.698145090616121
s106	0.11467352597781	0.151634556454134	0.450001288695536	0.000439246219711809	0.60885561181098
mv005	-6.70332054695821e-07	3.27878189678248e-07	0.0416159883764979	0.00154277402827696	0.0831967388288836
mv009	0.0105087584951231	0.0768021771239699	0.891240449770171	1.36858524472094e-05	0.937852982384664
mv010	-0.0687239190081111	0.0132292668418205	3.39191375441663e-07	0.00927474284316021	8.04047025519846e-07
mv012	0.0694509419958055	0.0133128053597815	3.03722577646381e-07	0.00944169533323669	7.21417510888436e-07
