var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
v535_1	1	1.67200617876107	0.327651818715194	5.51011405937129e-7	0.0333742280087015	3.297807395054e-6	v535	have ever been married
v535_0	1	-1.49564426017793	0.313215814651588	2.65037468101222e-6	0.0302244914043551	1.5744487688394e-5	v535	have ever been married
v3a00z_0	1	-1.29765918703388	0.238304688410815	8.66047001940251e-8	0.0214929557352784	5.25419396921806e-7	v3a00z	source of fp for non-users:  any source
v3a00y_1	1	-1.29765918703388	0.238304688410815	8.66047001940251e-8	0.0214929557352784	5.25419396921806e-7	v3a00y	source of fp for non-users:  no source
v3a00y_0	1	1.29765918703388	0.238304688410813	8.66047001940008e-8	0.0214929557352783	5.25419396921806e-7	v3a00y	source of fp for non-users:  no source
v3a00z_1	1	1.29765918703388	0.238304688410813	8.66047001940008e-8	0.0214929557352783	5.25419396921806e-7	v3a00z	source of fp for non-users:  any source
sh18a_09_0	1	1.64269141351456	0.649686930015158	0.0124136782634071	0.0190057913368052	0.0478796170314214	sh18a_09	level of education attending
v302_0	1	-1.28475505187865	0.217399447321477	6.7378e-9	0.018372538381951	4.13168933947773e-8	v302	ever use of any method
v361_4	1	-1.28475505187865	0.217399447321477	6.7378e-9	0.018372538381951	4.13168933947773e-8	v361	pattern of use
v719_1	1	-3.71791271821059	1.01614127703446	2.85664822198966e-4	0.0178506919453228	0.00152865143460894	v719	work for family, others, self
sh19_1	1	-1.52086647774199	0.417414453887423	3.05467519868777e-4	0.0173321647178041	0.00163024911673283	sh19	attend school last year
m3b_2_1	1	1.51679084700659	0.473653130281515	0.00150819169731413	0.0167033015578836	0.00735128358446653	m3b_2	assistance: nurse/midwife
m3b_2_0	1	-1.51679084700659	0.473653130281517	0.00150819169731415	0.0167033015578835	0.00735128358446653	m3b_2	assistance: nurse/midwife
v361_3	1	1.11948370437431	0.198665542385021	3.07661778949804e-8	0.0166614006833528	1.88372058522641e-7	v361	pattern of use
m19_1	1	-1.95490117415131e-4	4.55425282953865e-5	2.21812341897184e-5	0.0159343677937381	1.26136021204211e-4	m19	NA
m19a_1_0	1	-1.2689000575982	0.308030501666879	4.60752740105625e-5	0.0147942001895954	2.58695490647209e-4	m19a_1	weight at birth recall
v030	1	-0.0116092744847064	0.00224961461799852	3.69089579386074e-7	0.0145893267564268	2.21898433871869e-6	v030	field supervisor
v805	1	-0.0116711711858401	0.00224598331140586	3.07514296366421e-7	0.0145816121478255	1.8543762403244e-6	v805	interviewer identification
v028	1	-0.0116711711858401	0.00224598331140586	3.07514296366421e-7	0.0145816121478255	1.8543762403244e-6	v028	interviewer identification
