name	estimate	se	p.value	Nag.r2	adj.p.val
hv124_06	0.0492070688891152	0.0340636039931085	0.149345921534889	0.00162998373564016	0.337461020669424
hv107_09	0.050692901855784	0.0973442445271035	0.603131526213409	0.00062362127707416	0.795218123906233
mm3_05	0.0189876987372787	0.00808805117894232	0.0193547020116095	0.00314644589932456	0.0664516983081313
m35_1	-0.025906029261898	0.059404776603487	0.663105025116591	0.000310102918616439	0.834734667493867
v212	0.0226731476709037	0.0260412654404689	0.384410127252043	0.000503689792252571	0.614471432392877
v509	0.0010911252496322	0.000729008930014995	0.135169213304865	0.00103615364932119	0.313979446612173
v106_1	0.170485177546924	0.169028308038513	0.313694601500076	0.000480291220778861	0.546025520396601
hv102_1	-0.2112006862842	0.318695942887811	0.507856484206005	0.000191156803583503	0.727642576585773
v024_4	0.488807245229657	0.269355397424069	0.0702252521399068	0.00104640198709527	0.190498993813248
s228cb	-0.210212024145081	0.171042855835182	0.220012215880873	0.00334864451993422	0.440134658322809
sh14_0	-1.11106233849168	0.267004220839966	3.78602132669806e-05	0.0101087139112257	0.000214130073052484
hc30_03	-0.145276481346884	0.0901336071167572	0.108819953893006	0.00943258127295321	0.265381989730477
sh17_1	1.17961972556156	1.14724367413969	0.304679858821173	0.00132284940008986	0.536080112448906
sh28d_9	-11.0876602906575	1.00087637521457	2.0528e-25	0.000128426386522662	1.52357442379182e-24
hv108_02	0.0547675578750909	0.0178857254535774	0.00232915354431439	0.00364680120189242	0.0103682386872323
ha57_9	15.1823410086577	1.00128903910549	2.5049e-42	0.00255065243898756	2.29932544827586e-41
v023_11	0.787603157621575	0.292709799136779	0.00739259691324211	0.00217133323805674	0.0288652224828197
hv110_9	-0.0668845150998448	0.63279771013614	0.915869723325434	5.57828814540251e-06	0.958794652436344
h6d_1	-0.015756288871693	0.0209557033073284	0.452756027295581	0.00108402999026747	0.675504139320359
hv035	-0.30090136780222	0.0779817528088566	0.000130508543354263	0.00765523277113478	0.00069575515836258
hc64_03	-0.145749790431979	0.129718872274321	0.262973528451058	0.00518660863472387	0.493678090787529
hv208_1	0.168288013825922	0.189339428701127	0.374571334911585	0.000431795029392945	0.604308420324024
hc18_01	-0.174873885386506	0.0765079120379075	0.0227670425606124	0.00431446948973824	0.0764582009625949
v127_33	0.0935267723418265	0.404619831598665	0.81730452139162	2.7135065182704e-05	0.905269612736959
ha41_02	0.000871456872249579	0.000413102599057465	0.0355462485934245	0.00327295625283308	0.108763349144478
hv201_41	-0.366812911985719	0.217753505664135	0.0927645162427997	0.00126320378726252	0.234584365647561
v127_97	0.148036607229644	0.335407281375222	0.659159822549588	8.95577723851737e-05	0.831078361679983
shhivw_07	8.11772763369965e-07	4.64007759333364e-07	0.0822395303144685	0.010925634945978	0.215332750521753
b2_04	-0.0605422541372799	0.0230037034889221	0.00886170456152812	0.00596319440318294	0.0337963575111574
v804	0.128294523974603	0.289521796762513	0.657885952231944	9.98193628100053e-05	0.83046996748716
b11_03	0.0046956663390048	0.0079530514609756	0.555281543950726	0.000292158612364535	0.764038320122415
ha50_9	-11.0366073436929	0.776481857439032	3.343e-38	0.000100846244231123	2.8340974522293e-37
hv208_0	-0.166906102579012	0.189326619445885	0.378470743127689	0.000424810516173935	0.607897698032527
hv023_2	0.00816657859880386	0.379165765162343	0.982825709058482	1.75685759828959e-07	0.992017961645733
hv123_07	0.161000179327316	0.134775033363082	0.233363669296762	0.00431786906111575	0.45677506446175
hv021	0.00047892862631126	0.000649557976864619	0.461311051681068	0.000283997930925706	0.683493517388684
sh16_9	0.203992611696924	0.634539907744156	0.748031856621277	0.000126736388564752	0.879273242122096
ha12b_01	-6.17190337619799e-06	3.7563747454419e-05	0.869564663819892	1.76093251442744e-05	0.935391083683413
v191	2.51031285935447e-06	6.45883199989487e-07	0.000116794076298449	0.00589925576001837	0.000624308897804159
hc4_02	-2.13054466750929e-05	5.79002849401312e-05	0.713141201501376	0.000167676722731769	0.860555660384875
hv023_21	-0.253197034057244	0.383100785601899	0.509001355608938	9.36710427814624e-05	0.727642576585773
v525	0.107477681484061	0.0209244890090372	4.21085692426669e-07	0.0147447769762173	2.65204285466828e-06
hc17_03	-0.00409906384315596	0.0305562892555829	0.893440613247731	4.87258780786926e-05	0.945474199736717
v469j	0.113788938127154	0.22089648545678	0.606782097529196	0.000252738600046709	0.796214563073966
mm6_04	0.0158026137083274	0.0140061323162447	0.260273044552327	0.00366274614587203	0.491021705771967
hv108_04	0.0148786412249887	0.0249180814077752	0.550748383818402	0.000206367183963496	0.760761540804699
hv123_09	0.0614647839315578	0.142999701925385	0.667928010792396	0.000803962908790812	0.837137133028731
hv225_0	-0.436719436322214	0.157842941835038	0.0058931600110116	0.00335824844464094	0.0237720376106398
ha13_3	-13.1198621422743	0.325373524398586	2.6388e-152	0.000897798283682083	2.29059313043478e-150
sh03_4	0.296846087770659	0.405636832801884	0.464665806474567	0.000158911858487376	0.686172546321356
hw7_1	4.71146150543336e-05	4.40732925352389e-05	0.285740231554945	0.00117351382194586	0.518854363164573
hv128_05	-0.0269250121387401	0.0277140474570954	0.331837308170688	0.00046070251691066	0.564000464476602
shm56_02	-0.0142818056544945	0.00894515490301358	0.111404909602109	0.00627969371549719	0.27091340075592
hv108_01	0.0500432728526535	0.016553355004797	0.00264321322575954	0.00378480281719495	0.0116622656469147
hv124_09	0.0436867054727558	0.0495546176350179	0.378735355345285	0.000786968717193193	0.608078115759438
