name	estimate	se	p.value	Nag.r2	adj.p.val
sh65_04	-0.208030908763849	0.33745193605632	0.538462261596757	0.000713002487485959	0.745074990743242
hv124_12	0.0148129392672495	0.10031234554603	0.882818648470544	7.13257095134034e-05	0.943132720878049
hv008	-0.106350217489851	0.05689596867035	0.0622379089764562	0.0016630417755884	0.173743868974834
ha55_3	-10.8884076893663	0.708163429902811	3.0114e-43	0.00011105053492344	2.52552705882353e-42
smenage	-0.00889654016443375	0.007919550072276	0.261876456351424	0.000433884564140063	0.493817106166691
hml17_1	-0.271219843052738	0.415581637059602	0.514327015583308	0.000194164253865647	0.72730904931228
ha32_02	-0.00132314623225105	0.00102170700355714	0.196055155781733	0.000839412409746165	0.406995414394528
sh03_5	-1.19303169465279	1.0160640530962	0.240942574157204	0.000853639305711695	0.469191588310028
m1_1	0.10697925178007	0.0882383139158422	0.226076925053559	0.000981829496511266	0.451194897745052
v023_12	0.365521995771532	0.261796177194396	0.163334068935815	0.000746974311024884	0.360436486009825
v101_1	0.418421189450686	0.298015845078182	0.160995595015031	0.000495429922864443	0.357250925680936
v103_4	-0.15775096391538	1.08005951802509	0.883940699620947	4.21818910301131e-06	0.943132720878049
v124_7	0.0683163118039294	0.341088249917636	0.841344051704424	1.53277028355214e-05	0.924434698625647
ha52_1	12.8534024926768	0.33789765882148	2.8532e-143	0.000516618619923248	1.7257536969697e-141
hv126_2	-1.25466652274312	0.413845507607155	0.00257072122956104	0.00534058716782471	0.0117552338469733
hv129_5	0.891203701283897	0.290026073975202	0.00225774570185801	0.00809718474346177	0.0104437089708194
ha55_9	-11.7871135818688	0.422985214124902	2.3574e-100	0.000274354330507154	5.37756617142857e-99
m37h_1	-1.46074820031336	0.604453553298412	0.0161462468577461	0.00772881844326423	0.0602390817346939
shhivw_08	6.28969004264031e-07	5.24218709010814e-07	0.232325637475781	0.00375488567895543	0.457731712143568
hv023_17	0.31859670694247	0.384605063488548	0.407894171922124	8.48557412815865e-05	0.643521119606944
hv023_13	0.221354994253548	0.397567920622701	0.57795703490132	6.69620778730451e-05	0.775791689080723
v013_7	-0.565622450755242	0.441296222893275	0.200591686581036	0.000769823512940526	0.413830497587336
hv108_03	0.00799789913389869	0.0219883045262786	0.71622883210077	6.05951898067225e-05	0.862499396001893
hc11_01	0.000107356224445372	0.000848755406288018	0.899407830083049	9.02422321857888e-06	0.951108889454711
v469o	-0.0892252490305802	0.223909619010211	0.690500510535937	0.000149461015603203	0.846434823902872
h6y_1	-0.365199360541443	0.17890905673466	0.0421626936352731	0.0110897622716064	0.130072235697071
v133	0.0622725530531487	0.0194594456313704	0.00146999784691914	0.00337787673306544	0.00718265777833685
sh31a_6	1.85402359796242	0.231111202326463	2.3854e-13	0.00779921738701062	1.47635919379845e-12
hml17_0	1.06327168965911	0.513130658060361	0.0388176117054192	0.00166546728548023	0.121441932545481
ha41	0.000123328928699532	3.71289275558847e-05	0.000967170853690565	0.00259102088946128	0.00488727347839587
v443	-1.11742016299697e-05	4.60357531913321e-05	0.808325382186666	2.72395454835594e-05	0.916714467525333
v002	-0.00898661363997112	0.0076093017326461	0.23821956368694	0.000450376196436286	0.467055123498086
hv128_04	-0.0696071684275014	0.0384223534769732	0.0707309848169798	0.0023012663312284	0.193263580690885
mm3_04	0.0241655161060976	0.0094008904504572	0.0104882715474339	0.00413611914958323	0.0413318657624444
hc5_03	0.00232445135814527	0.00112886278327662	0.0412365803889242	0.00852664717223706	0.127708633756854
v013_2	0.289347011379403	0.197049811589432	0.142689377068989	0.000862239734619186	0.325681919617132
ha50_1	-1.48879738456265	0.44402610197313	0.000866477759394334	0.00854665824969147	0.00442324707864729
hc63_01	0.00471534938214754	0.00443533398777178	0.288409487828938	0.000907425099731851	0.526864008158837
v116_96	-10.6308432563925	0.713117801082234	3.407e-41	5.48450139312706e-05	2.7201488e-40
hw53_1	0.0113606207455062	0.00635480750430056	0.0746095254039593	0.00285804371158682	0.200701634375071
hv121_1	-1.35681548503777	0.383429749228376	0.000443651236952729	0.00763285079156173	0.00233340676932186
v101_11	0.784151297837901	0.257367056403662	0.00244756193801183	0.00322601905686459	0.0112177580442517
ha56_02	-0.0170471298800365	0.00709782877815737	0.0167808216546864	0.00501022433224874	0.0621419666470391
shm1_01	-0.0117805292570611	0.00729443472849791	0.107031915991694	0.000955265971344987	0.264237111093904
m7_1	-0.00499181238799293	0.0149315185681936	0.738316274469425	9.68336674622705e-05	0.876407543170367
v469c	-0.110743158220567	0.430139361206369	0.796966980643861	8.51564319436227e-05	0.910819406450127
hv206_1	0.202170723541295	0.179915822512293	0.261735753977007	0.000577593087958794	0.493785033022798
ha33_3	-0.90124856538994	0.259185575309775	0.000555393809481106	0.00652046035824483	0.00289821187901775
v139_2	0.313895847526784	0.331603912873949	0.344346825176128	0.000420209591082132	0.582718323909751
ha6_03	-0.000452850572496219	0.000444904616125513	0.309773791495311	0.00142268553960878	0.546910535658753
hv013	-0.0758395652387423	0.0307039127049205	0.0138767875075696	0.00463737872923942	0.0528589081395208
hv028	-3.90308137846944e-07	2.4824603640261e-07	0.116586109786401	0.00122842332633466	0.282925076150342
v101_7	-1.08740037587005	0.487349221338783	0.0261517899104916	0.00306944155591171	0.0891528141098911
ha1	0.0200533675002393	0.00732367941600803	0.00642137232338617	0.00212552423240164	0.0271547863505907
hc62_02	-0.103094708701408	0.0825779762284311	0.213010283539521	0.00221958634553032	0.432301500706542
ha33_6	0.284591218674351	0.339099664424719	0.401767707243424	0.000313693372430257	0.636198606630602
hv107_02	0.0425332695176454	0.0524129034951218	0.41754613026402	0.00042960122994562	0.652385186698226
hv105_06	0.00933218214641276	0.0116139403806812	0.422132440865718	0.000518137097726412	0.655446403709042
hv023_9	-0.204441021087228	0.501030801375641	0.683436065786081	0.00011376824529663	0.840245387932872
hv213_31	-11.6885406724515	0.601395449559076	1.1407e-61	0.000156033166225811	1.24417333333333e-60
hv208_9	-9.79890502397166	1.00021093203081	1.0994e-20	4.442262226656e-05	6.88980345368917e-20
ha12b	1.19999023840968e-05	3.6328537732399e-06	0.00103159329871323	0.00257335818433579	0.00519309009894478
hv212_1	0.023190046661572	0.326422690260038	0.943394817670465	2.17333241425699e-06	0.969538712434209
hv106_9	-12.9496378321479	0.346576882895244	1.3566e-140	0.000597153679038231	7.31830702702703e-139
v106_3	-0.153898927714959	0.626693759709023	0.806123936203152	2.42132254166805e-05	0.915792881226003
hw2_1	0.00263030454970372	0.00233330384818579	0.260319341071032	0.000822318548888146	0.492042996948655
hc1_03	-0.0199503511730538	0.0163846245805521	0.225093989186617	0.00491496730131558	0.450744917718204
v121_1	0.0346110531238435	0.203254864326518	0.864862643208344	1.36606646358173e-05	0.931277982508636
ha4_02	-3.54855018956276e-05	4.70667378939184e-05	0.45133896366505	0.000454971252168757	0.678122613445629
v130_7	-14.8551779202454	0.207405674422981	1.5388e-249	0.00547339804620051	8.77555657142857e-247
hv129_3	-1.47407250055933	1.01116770812616	0.145641567991208	0.0035432476562971	0.329999459515613
b2_03	-0.00671389950936296	0.0242728968535853	0.782235957366293	6.46216528481514e-05	0.903888265598424
mm8_07	0.00271774435310102	0.00176949324593264	0.126331417068806	0.0099997475650484	0.298349101339168
hv128_03	-0.0407808484352539	0.0298167461506967	0.172089675219766	0.000981530669937114	0.373906658420401
v130_8	1.03862559172761	0.407197437870657	0.0110788101717916	0.00217152502873963	0.0434735600672003
hml8_0	-0.921974212713516	0.55897329980545	0.10108956500692	0.00983001489552815	0.251746440117046
hml8_8	-13.1393685945348	1.07624429452385	1.9085e-24	0.000666132020241128	1.33661964912281e-23
hv210_1	-0.606224786241465	0.275522206601026	0.028290336889286	0.00287238448063554	0.0950117977395371
ha40	0.000130877254831902	4.29611801657188e-05	0.00245086197886801	0.00239756935066515	0.0112200011693132
hv023_12	0.444047773704684	0.240950030918229	0.0659947596788912	0.0011893768947947	0.182193001824435
v139_4	0.253333525814132	0.314238546805374	0.420559870485475	0.000154404607725422	0.654217651180989
sh15a_1	0.0394805395150016	0.188063220287897	0.833821132437469	2.4639692730366e-05	0.922581224397249
v441	-0.000540372090107361	0.00025420922767311	0.0340687673447882	0.00222089494195143	0.110609741886384
v469y	-0.136718368361519	0.161991126488229	0.399225091512132	0.0010418103936245	0.633155097747395
hv109_5	-0.292326008052256	0.622988998199939	0.639129491469965	9.0155905051903e-05	0.818392231270012
hml16	0.0201190114692317	0.00734683198966727	0.0064154971337481	0.00213902910961261	0.0271547863505907
v139_1	0.418421189450686	0.298015845078182	0.160995595015031	0.000495429922864443	0.357250925680936
mm8_03	0.000266164182916687	0.0012907928146155	0.836793807649781	0.000157654416339859	0.923244224251861
hv212_9	1.38925050391188	1.22857405432981	0.258743483035041	0.000226802512417246	0.490947441975585
h5m_1	0.0486751688264408	0.0533111146963222	0.362007104953137	0.00134086654196719	0.597945770706492
v316	0.0245216027472372	0.0572594715481928	0.668780774682514	0.000287525811202505	0.834564817922037
hml7_16	1.57627073947243	1.16515654151589	0.178076709516007	0.00819918647012097	0.381362462751953
v122_7	0.0653746508948212	0.341115549314216	0.848102388863001	1.40381831705838e-05	0.926299517466785
ha13_5	1.34464643481068	0.579802629123394	0.0208301736675991	0.00063860180051234	0.073914714027605
hc63_02	0.00485789947135952	0.00619857175330771	0.433859524215428	0.000712335784991525	0.664738762580044
s901e	0.046950012008768	0.0862158085107891	0.586320898029069	0.000118815671550143	0.782630843688968
hv016	-0.00215960675999544	0.0117078468650879	0.853736487907359	2.00486625628882e-05	0.928592773820167
v407	-0.0287796452729508	0.0383893630440224	0.454026756005523	0.000395594409711597	0.678122613445629
h0m_1	-0.161799837331212	0.0558283676299661	0.0040450161417926	0.0147384352503924	0.0179618514327431
v215	-5.08315932290261e-05	0.000533870546616112	0.924187858877765	3.66215489011612e-06	0.961521483617419
hc4_01	9.60812858834082e-07	3.67229618565905e-05	0.979139221740051	4.30112683691419e-07	0.989285543870018
hv124_11	-0.0742981756829436	0.0920018219845985	0.420465024388036	0.00117015767956963	0.654217651180989
hv107_10	-0.0168522752256597	0.135315237545707	0.9010595432835	4.80377882039473e-05	0.951846969247878
v105_2	0.00639622227310261	0.233309635480713	0.978141592862628	4.71148379643793e-07	0.989285543870018
hv201_42	0.548130572643498	0.292171445937531	0.0612886827785399	0.00125319705042459	0.172510270343132
ha3_03	-0.00287206546676529	0.00273166849709705	0.294138618518616	0.00155173295174238	0.529630359464586
hv124_03	-0.0186485486307925	0.0259082278506502	0.472029767090757	0.000252448646124726	0.692884746676552
hc11_02	0.00166965701290955	0.00110201269326737	0.13076005078077	0.00234577466369623	0.305796205458016
