var	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
sh65_04	-0.208030908763849	0.33745193605632	0.538462261596757	7.13002487485959e-4	0.745074990743242	sh65	line number of parent/responsible hiv testing
hv124_12	0.0148129392672495	0.10031234554603	0.882818648470544	7.13257095134034e-5	0.943132720878049	hv124	education in single years - current school year
hv008	-0.106350217489851	0.05689596867035	0.0622379089764562	0.0016630417755884	0.173743868974834	hv008	date of interview (cmc)
ha55_3	-10.8884076893663	0.708163429902811	3.0114e-43	1.1105053492344e-4	2.52552705882353e-42	ha55	result of measuring (hemoglobin)
smenage	-0.00889654016443375	0.007919550072276	0.261876456351424	4.33884564140063e-4	0.493817106166691	smenage	household within structure number
hml17_1	-0.271219843052738	0.415581637059602	0.514327015583308	1.94164253865647e-4	0.72730904931228	hml17	flag for ah07 age from individual file
ha32_02	-0.00132314623225105	0.00102170700355714	0.196055155781733	8.39412409746165e-4	0.406995414394528	ha32	date of birth (cmc)
sh03_5	-1.19303169465279	1.0160640530962	0.240942574157204	8.53639305711695e-4	0.469191588310028	sh03	relation to the head of the household
m1_1	0.10697925178007	0.0882383139158422	0.226076925053559	9.81829496511266e-4	0.451194897745052	m1	NA
v023_12	0.365521995771532	0.261796177194396	0.163334068935815	7.46974311024884e-4	0.360436486009825	v023	sample domain
v101_1	0.418421189450686	0.298015845078182	0.160995595015031	4.95429922864443e-4	0.357250925680936	v101	region
v103_4	-0.15775096391538	1.08005951802509	0.883940699620947	4.21818910301131e-6	0.943132720878049	v103	childhood place of residence
v124_7	0.0683163118039294	0.341088249917636	0.841344051704424	1.53277028355214e-5	0.924434698625647	v124	has motorcycle/scooter
ha52_1	12.8534024926768	0.33789765882148	2.8532e-143	5.16618619923248e-4	1.7257536969697e-141	ha52	read consent statement
hv126_2	-1.25466652274312	0.413845507607155	0.00257072122956104	0.00534058716782471	0.0117552338469733	hv126	educational level during previous school year
hv129_5	0.891203701283897	0.290026073975202	0.00225774570185801	0.00809718474346177	0.0104437089708194	hv129	school attendance status
ha55_9	-11.7871135818688	0.422985214124902	2.3574e-100	2.74354330507154e-4	5.37756617142857e-99	ha55	result of measuring (hemoglobin)
m37h_1	-1.46074820031336	0.604453553298412	0.0161462468577461	0.00772881844326423	0.0602390817346939	m37h	NA
shhivw_08	6.28969004264031e-7	5.24218709010814e-7	0.232325637475781	0.00375488567895543	0.457731712143568	shhivw	weight for hiv sample
hv023_17	0.31859670694247	0.384605063488548	0.407894171922124	8.48557412815865e-5	0.643521119606944	hv023	sample domain
hv023_13	0.221354994253548	0.397567920622701	0.57795703490132	6.69620778730451e-5	0.775791689080723	hv023	sample domain
v013_7	-0.565622450755242	0.441296222893275	0.200591686581036	7.69823512940526e-4	0.413830497587336	v013	age 5-year groups
hv108_03	0.00799789913389869	0.0219883045262786	0.71622883210077	6.05951898067225e-5	0.862499396001893	hv108	education in single years
hc11_01	1.07356224445372e-4	8.48755406288018e-4	0.899407830083049	9.02422321857888e-6	0.951108889454711	hc11	wt/ht standard deviations
v469o	-0.0892252490305802	0.223909619010211	0.690500510535937	1.49461015603203e-4	0.846434823902872	v469o	times given mango, papaya or other vit a rich fruits
h6y_1	-0.365199360541443	0.17890905673466	0.0421626936352731	0.0110897622716064	0.130072235697071	h6y	NA
v133	0.0622725530531487	0.0194594456313704	0.00146999784691914	0.00337787673306544	0.00718265777833685	v133	education in single years
sh31a_6	1.85402359796242	0.231111202326463	2.3854e-13	0.00779921738701062	1.47635919379845e-12	sh31a	how bednet obtained
