name	estimate	se	p.value	Nag.r2	adj.p.val
sh07a_0	-0.612456528519784	0.317497835169189	0.0543485040689354	0.00148494696727453	0.166442293711115
sh15a_9	-11.452207735859	0.721193331517765	2.602377e-45	8.05533440065842e-05	1.756604475e-44
hc30_02	0.206679291829932	0.0698157038402863	0.00333118398499885	0.0174660988995237	0.0134775425448119
sh03_2	0.235259886755517	1.0475914949841	0.822412495487991	1.13118941331702e-05	0.9145315025279
hv108	0.00927478261743152	0.00487742246871971	0.0578554132835949	0.000278987326943092	0.174954769769591
mm3_08	0.0241963293856771	0.0138725357873142	0.082157147578542	0.00328654959162089	0.230772624726987
hv010	0.159670322971487	0.093212702893721	0.0873967796296082	0.00190734375041035	0.243679535194882
hc1_01	0.0041010338601283	0.00768866517711714	0.594064210381379	0.000172328854939674	0.791089029023215
hv207_1	0.482036818877576	0.298953865272317	0.107562628022125	0.00139710011626137	0.285838259335769
v130_1	0.226494078189872	0.214625115594687	0.291845301109247	0.000447350775675259	0.553961740842947
sh16_0	0.820252474133258	0.747707688861499	0.27334869371937	0.00127652168743086	0.533392805001072
ha5_01	-0.00165506170154974	0.00103010000879472	0.108845791930767	0.00104577366663372	0.287431103242325
ha3_01	-0.00266917661830015	0.00171400374495579	0.12013222047667	0.000977497999812393	0.308013425757043
v802	-0.000458313337627653	0.000285080913365234	0.108601681710327	0.00114476438800615	0.287304292703289
hc2_02	-0.000665530581190999	0.00294809111480613	0.821559650830185	3.58575887116075e-05	0.9145315025279
shm0	-0.0625439674885982	0.0623204315456667	0.316108861504413	0.000872992574795117	0.582467999680137
hc53_02	-0.0119255340956505	0.0120711864794922	0.324037966882488	0.00167846379581671	0.590498939649493
sh14_9	-12.3861165931163	0.406006897009951	2.724496e-112	0.000307666483907454	5.46137607272727e-111
ha11_03	-0.000541608076399313	0.00272448804753621	0.842649341291862	0.000111282967962478	0.921343040106722
v136	0.0145913963753019	0.0273363405610554	0.59375822275822	0.000163551741288126	0.791089029023215
hv201_11	0.0243506308169421	0.360591866646305	0.946189618648869	1.98153857600136e-06	0.977975676150355
hv125_0	2.32743580521677	0.6027922665261	0.000129158445891644	0.0127322932569183	0.00057149372546704
hml16_11	0.0030620375270087	0.0180519785290115	0.86552332166627	8.90102929891334e-05	0.935146880003655
sh07a_9	-0.0272101533066272	0.74080298726316	0.970715832135312	6.39040129479795e-07	0.989031225194469
mm3_01	0.0228550314130893	0.00806786359212014	0.00482356536579989	0.00277611095923469	0.0190494835192634
hv220	-0.0107984342213988	0.00675280478433483	0.110488688687296	0.000806479622934009	0.290320824495119
hv101_5	-0.48975974785147	0.727725340103796	0.501286941972375	0.000155680042107087	0.727076579833604
hv011	0.0427232444929334	0.0857657731186674	0.618625969939581	0.000126809464673361	0.805655646435345
mm8_01	-0.000747249173450501	0.000878902472553032	0.39581715632686	0.00132266294590411	0.657514066228836
v023_18	-1.7797016104846	1.00288622404495	0.0766329435327544	0.00217376535027514	0.220423180541356
hml1a	-0.00207616405773984	0.114967105261237	0.985599853908947	1.10811953946133e-07	0.996113600053107
hc0_01	0.0297296240179567	0.0451591297200801	0.510707487710057	0.000327039430112919	0.7300551120912
v218	0.0229290670451628	0.0256681403596199	0.37217259181381	0.000216248024261345	0.642653093960053
hv023_15	1.2188991398436	0.26431993915693	5.19796490098815e-06	0.00258847412446528	2.39196784835037e-05
sh20a_2	17.4111462354975	0.724555665638496	1.714407e-70	0.00307090380355313	1.78595311889764e-69
mm8_04	-0.00140237795172853	0.00129690343207913	0.280545538684546	0.00231264394353314	0.54113593047083
hv213_33	0.491012274562856	0.544312574750767	0.367490739182256	0.000558484545190474	0.63862026358919
hv018	-0.000457414308267286	0.00220744415275337	0.835934687737273	1.77020589761101e-05	0.916078656210643
hv124_09	0.0420279615373802	0.0534167256103004	0.432095049840384	0.000758965520138322	0.676074333698979
ha3_02	0.00344881859932463	0.00337835565693913	0.308095678032815	0.00160743544856101	0.574099411320302
hv128_05	-0.0279244461214525	0.0426689011153477	0.513189467820746	0.000320659672995771	0.730142778833309
shm56_02	-0.00523925189948492	0.010161515169972	0.606445157529674	0.000336442701772466	0.800952254803619
hv108_01	0.0572586098019616	0.0221168934477983	0.00993572930302805	0.00257273552183934	0.0370803099235715
v013_9	-0.989362666585412	0.723997391500349	0.172445258810379	0.000732638702094279	0.400957956777032
shm55_9	-13.329134294003	0.298781421274246	1.248232e-168	0.000424390388829687	6.23173938113208e-167
hmlidx	-1.01355130824122	0.571251333584416	0.0782568729764065	0.00923955968977097	0.222893095689528
shm0_02	-0.00939091105419197	0.074202466266249	0.899357051535919	1.96583893381508e-05	0.9544079039096
hv122_3	-13.3690022133925	0.269265279182297	3.07255e-186	0.000785244870211255	1.89069006976744e-184
v001	0.000646291182395058	0.000795665621838348	0.417062602171186	0.000268589164946986	0.673305457806564
hml12_3	0.355368236038628	0.320349775838909	0.267878492426077	0.000415369460419313	0.526602147815304
v005	-7.79440289490814e-07	2.69513982426326e-07	0.00401034185153274	0.00291412664663171	0.0160050747196917
sh31a_2	0.465661415718792	1.03358068847701	0.653044135695036	0.000418638895739898	0.827820771629274
mm7_02	-0.00587282109361991	0.00799757913698693	0.463314932931675	0.000682608019795694	0.698934613761238
hv208_0	-0.846139095310024	0.23099531374383	0.00027845264114364	0.00611585313173291	0.00120982871669306
hv023_2	-0.862838715403457	0.752165032365617	0.251923905177268	0.000606042736614243	0.506681095810981
hv213_22	-9.1162016649342	1.00540608653876	3.618284e-18	1.54766016784436e-05	1.70963919e-17
shhivw_07	-2.30074528080751e-07	1.05009282299478e-06	0.826870596625542	0.000293333327526457	0.914650600327109
hv201_41	-0.554016698926911	0.282880522692904	0.0507812102982008	0.00140577929824248	0.157586795917705
ha41_02	-0.000512657431688275	0.000765209458172886	0.503369868588052	0.000510318830490908	0.727076579833604
hc18_01	-0.294885056895465	0.111562560246611	0.00853718200662841	0.00773461510533069	0.0322245129665318
hv208_1	0.847125303278263	0.23100458247582	0.000274130438660012	0.0061295631627224	0.00119497387264315
hc64_03	0.000761686869831309	0.142460441509605	0.995743870247319	1.78930505967401e-07	0.99981825129276
sh03_4	-12.2910480346943	0.434238662556854	1.479744e-102	0.00020413670468189	2.64554231351351e-101
hv123_09	0.214886213317485	0.176527799807565	0.225469833802088	0.0074163025488142	0.469019795786419
hv225_0	-0.407368890302868	0.221918780444146	0.0670622954882379	0.00150392049672432	0.197700330733589
hv108_04	-0.0164226318737395	0.0347120953258906	0.636376049352778	0.000141346803270048	0.817800401450923
v525	0.0612231122520591	0.0128469805168234	2.54584264207504e-06	0.00542444985772439	1.1797372383416e-05
hc17_03	-0.0119340077741011	0.0354654682670556	0.73703080743019	0.000403842500236729	0.877735777548488
mm6_04	0.0180993420681393	0.0158177305331407	0.253578870959521	0.00270392862551383	0.508310373150676
hc4_02	2.69316530377735e-06	6.7036682889782e-05	0.967983263285848	2.57550922211358e-06	0.988824267952933
hv023_21	-1.73215805216065	0.977230947652544	0.0769749731688535	0.00108288832960435	0.220667149517645
ha12b_01	9.94366067810407e-06	4.28025729800843e-05	0.81640296484197	2.34085423229669e-05	0.9145315025279
v191	3.44940736721208e-06	7.75515800965993e-07	1.09027316839431e-05	0.00565506236414104	4.96534045365119e-05
hv123_07	-0.307653644388932	0.132941550101748	0.0215126270742946	0.00755558635659048	0.0747637374139267
sh16_9	1.82121747314237	1.10179712099587	0.0991935089974358	0.00140702481761112	0.2694723047302
hv021	0.000646291182395058	0.000795665621838348	0.417062602171186	0.000268589164946986	0.673305457806564
hv102_1	-0.525094337725549	0.433368565383062	0.22626957468395	0.000609624701177425	0.470313664268446
v024_4	1.24872023747786	0.267040651975269	3.85418599140825e-06	0.00545229700791794	1.77668573750283e-05
v509	0.00152695055377111	0.000939648535102977	0.104892041249144	0.00149026492094928	0.281770904715975
v106_1	0.245298292129057	0.210371545490958	0.244212865616475	0.000514486238765266	0.495162637870646
mm3_05	0.0144170384305271	0.00899536990452084	0.109748750774015	0.00139959774087228	0.289526614703932
hv124_06	0.00291936755960687	0.0416499917560646	0.944156132295679	3.54375910616156e-06	0.977276632306034
hv107_09	0.111202611682023	0.114058590284097	0.330859909135795	0.00232888387551411	0.59912485827864
shm52_1	13.3647688434177	0.25258085694365	5.290378e-197	0.000673535005898174	4.99940721e-195
hv035	0.027890546283037	0.0933269648144781	0.765192119349605	3.83194832734857e-05	0.88966437339492
hv110_9	0.158800046466513	1.04017601864471	0.878728649370383	6.80747834880258e-06	0.943352667764319
v023_11	0.573872485670601	0.418251509373345	0.170713171309635	0.000611436477762295	0.398506197505523
sh28d_9	-11.2151470930576	0.706751429000352	1.734859e-45	8.40232905529037e-05	1.17402478618926e-44
hv108_02	0.0559974632792114	0.0223825908423112	0.012709281359401	0.0020761275481278	0.0463844944510001
hc30_03	-0.119143692451182	0.133166571076985	0.372577743368052	0.00686754409361867	0.642653093960053
sh17_1	-13.3305754284359	0.630615831286886	1.761447e-58	0.000330866085085813	1.52313358235294e-57
sh14_0	-1.5944779874278	0.635147188401647	0.0124035758659291	0.0043276834575483	0.0453313007475807
ha41_03	0.000514705890481511	0.00122325334503589	0.674423648822007	0.000637561342586856	0.839776458721426
hv207_0	-0.47778431092585	0.298956161685578	0.11069514360493	0.00137144924196353	0.290574751962941
shm56_01	-0.014318880296741	0.00620344593143641	0.0214368119347358	0.00285338491427412	0.0747322850847311
v101_8	-0.0890024339226935	0.432581147099333	0.837079872850824	2.54439116359473e-05	0.91638946775477
hv108_12	0.19716932758586	0.0887211058193678	0.0282509376712345	0.0291015862678582	0.0946227608583373
hv211_0	7.3432251276588e-05	0.322194402683762	0.99981825129276	1.995415e-11	0.99981825129276
v014_6	0.26995468564418	1.08426990665271	0.803492982776246	1.3482143578325e-05	0.90778925381125
hv205_96	-10.1451916875706	1.01004822372108	1.39285e-21	3.50235434479762e-05	6.77478143382353e-21
hv024_4	1.21012174906007	0.266981784990657	7.44959396124701e-06	0.00511930752638801	3.42215722594785e-05
hc4_03	9.64638489108953e-05	0.000109143835313879	0.378635677879632	0.00433252501237069	0.644289391427335
hml16_01	-0.010797824427249	0.0067520364413993	0.110468323222143	0.000806448916007563	0.290320824495119
sh19_9	1.47908597463467	1.0958945711253	0.177954458297228	0.00100790772101744	0.409207055421074
shm0_01	-0.0394222740741923	0.121075327993528	0.744875117325295	9.70344753464802e-05	0.879491102384083
ha40_01	6.61729736605357e-05	0.000256774983516712	0.796754121310226	3.6889542030627e-05	0.906988916022332
v023_4	-14.6961479972138	0.388132405052359	5.200259e-143	0.00293873629182706	1.81051122552632e-141
v023_6	-0.435026072076321	0.556037277643583	0.434403204477107	0.000165760608048737	0.676934340604036
sh10_0	-14.4898290811328	0.751116273782543	1.463965e-50	0.000731837959869086	1.08810432303371e-49
