var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
hb62_02?	1	-16.8681430909411	0.478882899724974	9.3276e-67	0.0246204364549267	5.09408247678019e-66	hb62	NA
hv025_1	1	2.44539854750211	0.370024264836411	8.4598e-11	0.0242769835659081	2.33721021143305e-10	hv025	type of place of residence
v025_1	1	2.44539854750211	0.370024264836411	8.4598e-11	0.0242769835659081	2.33721021143305e-10	v025	type of place of residence
hv025_2	1	-2.44539854750212	0.370024264836413	8.4598e-11	0.024276983565908	2.33721021143305e-10	hv025	type of place of residence
v025_2	1	-2.44539854750212	0.370024264836413	8.4598e-11	0.024276983565908	2.33721021143305e-10	v025	type of place of residence
v140_2	1	-2.37140149374339	0.368700265963935	2.5489e-10	0.0228789763818881	7.025405625e-10	v140	de jure type of place of residence
v535_1	1	1.87327094399738	0.608911654255393	0.00224921264265822	0.0221492115791069	0.00558818465021	v535	ever been married or in union
v140_1	1	2.28995683383707	0.364773719545402	6.5235e-10	0.0217822274446986	1.79663606557377e-9	v140	de jure type of place of residence
v535_0	1	-1.90117142468815	0.644303078916412	0.00336977853738022	0.0217510992474823	0.00823879326394831	v535	ever been married or in union
hv270_5	1	2.10319653610209	0.351605707474063	3.7639e-9	0.0187794400485062	1.03419308411215e-8	hv270	wealth index
v190_5	1	2.10319653610209	0.351605707474063	3.7639e-9	0.0187794400485062	1.03419308411215e-8	v190	wealth index
hv140_08_1	1	3.20639222492496	1.03960430849713	0.00228383447303071	0.0174338279991476	0.00567020972614521	hv140_08	member has a birth certificate
v704_62	1	-2.18321625121257	0.542662753127105	6.47879917861954e-5	0.0158920168752154	1.71987987224753e-4	v704	husband/partner's occupation
v705_4	1	-2.18321625121257	0.542662753127105	6.47879917861954e-5	0.0158920168752154	1.71987987224753e-4	v705	husband/partner's occupation (grouped)
hv140_08_8	1	-2.93866662156508	1.03220293323905	0.00480229360639339	0.0150328182801683	0.0115806506106329	hv140_08	member has a birth certificate
hv244_0	1	1.70300757361789	0.356321137192283	2.20545462892948e-6	0.0122250698887878	6.01301694811685e-6	hv244	owns land usable for agriculture
hv244_1	1	-1.70300757361789	0.356321137192281	2.20545462892941e-6	0.0122250698887877	6.01301694811685e-6	hv244	owns land usable for agriculture
hv014	1	-0.740529593867362	0.183324762943963	6.04180878074038e-5	0.0116153812287305	1.60629249272435e-4	hv014	number of children 5 and under (de jure)
v137	1	-0.740529593867362	0.183324762943963	6.04180878074038e-5	0.0116153812287305	1.60629249272435e-4	v137	number of children 5 and under in household (de jure)
v503_2	1	1.693645621395	0.442753024121101	1.4435824470908e-4	0.0112226278102592	3.7950513214132e-4	v503	number of unions
v503_1	1	-1.693645621395	0.442753024121102	1.44358244709085e-4	0.0112226278102591	3.7950513214132e-4	v503	number of unions
v116_31	1	-1.55899180564912	0.319665471732635	1.37624909504167e-6	0.0102329169567796	3.76388124597443e-6	v116	type of toilet facility
hv246_1	1	-1.49373624737927	0.358144589118014	3.47629115644124e-5	0.00979135054666547	9.27712193640327e-5	hv246	owns livestock, herds or farm animals
hv246_0	1	1.49373624737927	0.358144589118014	3.47629115644136e-5	0.00979135054666536	9.27712193640327e-5	hv246	owns livestock, herds or farm animals
hb62_03?	1	-15.620121754231	0.798607315277022	3.8028e-61	0.0096982063076132	1.96144421052632e-60	hb62	NA
b8_02	1	0.147781475151462	0.0403438942042184	2.72052294577882e-4	0.00955400112275795	7.13606316186444e-4	b8	NA
v129_12	1	-1.61467957408703	0.396247795770289	5.21137238195283e-5	0.00938309469950416	1.38864968002489e-4	v129	main roof material
