var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
hb62_02?	1	-16.5248239768438	0.384225694132891	1.9561e-81	0.0341867004295373	1.45080848421053e-80	hb62	NA
sh20_07_1	1	3.54310692174817	0.983362219829624	3.72507569103611e-4	0.0219830366446048	0.00115218978573487	sh20_07	birth certificate / registered
hb62_03?	1	-15.5146153404213	0.481764665492336	4.1367e-117	0.0215896980947823	4.90693404040404e-116	hb62	NA
hb66_02_2	1	2.8444278797766	0.771092115823384	2.60371534304723e-4	0.0214393061611174	8.13920954175279e-4	hb66_02	man's highest educational level
hb68_02_2	1	2.8444278797766	0.771092115823384	2.60371534304723e-4	0.0214393061611174	8.13920954175279e-4	hb68_02	man's highest educational level (for preliminary and final report)
hv140_08_1	1	3.47388368387484	1.06799413229651	0.00131247772655836	0.0212262658493769	0.00386287304149131	hv140_08	member has a birth certificate
hv115_06_1	1	-16.5780042461957	0.438141364990835	1.2429e-82	0.020066895237404	9.39643068669528e-82	hv115_06	current marital status
hv116_06_1	1	-16.5780042461957	0.438141364990835	1.2429e-82	0.020066895237404	9.39643068669528e-82	hv116_06	currently, formerly, never married
hv140_08_8	1	-3.22325958958468	1.06173282904164	0.00267121579432564	0.0187456704261242	0.00754666659455431	hv140_08	member has a birth certificate
v140_1	1	2.15132306503413	0.34579961066869	9.1438e-10	0.0181071013088174	3.05053100378788e-9	v140	de jure type of place of residence
hv025_1	1	2.14550137879617	0.346119327891492	1.0466e-9	0.0180130290387613	3.47846396226415e-9	hv025	type of place of residence
hv025_2	1	-2.14550137879617	0.346119327891491	1.0466e-9	0.0180130290387613	3.47846396226415e-9	hv025	type of place of residence
v025_1	1	2.14550137879617	0.346119327891492	1.0466e-9	0.0180130290387613	3.47846396226415e-9	v025	type of place of residence
v025_2	1	-2.14550137879617	0.346119327891491	1.0466e-9	0.0180130290387613	3.47846396226415e-9	v025	type of place of residence
v140_2	1	-2.11048795792468	0.346425975131383	1.9697e-9	0.0174510330963346	6.52798974600188e-9	v140	de jure type of place of residence
m19a_1_0	1	-2.03043660716039	0.446163230710151	6.50426309711154e-6	0.0152148059070706	2.12762478097715e-5	m19a_1	weight at birth/recall
hb66_03_0	1	-17.2381691483901	0.48882082209209	3.4579e-78	0.0151838085125688	2.43643634e-77	hb66_03	man's highest educational level
hb68_03_0	1	-17.2381691483901	0.48882082209209	3.4579e-78	0.0151838085125688	2.43643634e-77	hb68_03	man's highest educational level (for preliminary and final report)
v503_2	1	1.83118461389508	0.401363170572807	6.11954175363449e-6	0.0129079442282469	2.00363806673374e-5	v503	number of unions
v503_1	1	-1.83118461389509	0.401363170572809	6.1195417536347e-6	0.0129079442282468	2.00363806673374e-5	v503	number of unions
hv270_5	1	1.75796782411894	0.39027519442472	7.97205045454264e-6	0.0124147756290826	2.6005123843846e-5	hv270	wealth index
v190_5	1	1.75796782411894	0.39027519442472	7.97205045454264e-6	0.0124147756290826	2.6005123843846e-5	v190	wealth index
hv205_31	1	-1.73378284924915	0.359940345573798	1.84062519123087e-6	0.0116494865948773	6.07165032650408e-6	hv205	type of toilet facility
v704_62	1	-1.80490548372878	0.411738551105058	1.37485592858149e-5	0.0115221733615943	4.4641635358457e-5	v704	husband/partner's occupation
v705_4	1	-1.80490548372878	0.411738551105058	1.37485592858149e-5	0.0115221733615943	4.4641635358457e-5	v705	husband/partner's occupation (grouped)
v116_31	1	-1.71056113487324	0.360283027269782	2.56313430639622e-6	0.0113317567447935	8.43129987061987e-6	v116	type of toilet facility
sh08_06_2	1	-16.4864978377593	0.481916035823859	2.7139e-76	0.011083665018301	1.88953946640316e-75	sh08_06	marital status
m15_1_11	1	-1.71097296489636	0.455338294837446	1.88813941525176e-4	0.0107211217746738	5.97119852776656e-4	m15_1	place of delivery
hv108	1	0.1660797323145	0.0383983222416068	1.77936682394488e-5	0.0106196856817077	5.77229219222635e-5	hv108	education completed in single years
v535_0	1	-1.49871008759943	0.633038789465139	0.0184082928776227	0.0105590874506736	0.0436478349710226	v535	ever been married or in union
v704_1	1	2.65382319859763	0.670264899255923	8.40240708063181e-5	0.00956064132403045	2.68861763352097e-4	v704	husband/partner's occupation
v705_10	1	2.65382319859763	0.670264899255923	8.40240708063181e-5	0.00956064132403045	2.68861763352097e-4	v705	husband/partner's occupation (grouped)
v133	1	0.152448698528096	0.0373267193598461	5.01145708813388e-5	0.00892661464859468	1.61089081400508e-4	v133	education in single years
v762az_0	1	1.47673964976201	0.346246594914128	2.31542340416509e-5	0.00875289743734486	7.4768438614797e-5	v762az	don't know any source for condoms
v762az_1	1	-1.47673964976201	0.346246594914129	2.3154234041653e-5	0.00875289743734486	7.4768438614797e-5	v762az	don't know any source for condoms
hb66_02_0	1	-2.44296777764941	0.947941356669379	0.0103631727742171	0.00865208455825939	0.0260595700810613	hb66_02	man's highest educational level
hb68_02_0	1	-2.44296777764941	0.947941356669379	0.0103631727742171	0.00865208455825939	0.0260595700810613	hb68_02	man's highest educational level (for preliminary and final report)
v781_0	1	-1.47993328350828	0.354139074355013	3.35524353150509e-5	0.00850141172314589	1.08147511084103e-4	v781	ever been tested for hiv
v781_1	1	1.47993328350827	0.354139074355012	3.35524353150501e-5	0.00850141172314589	1.08147511084103e-4	v781	ever been tested for hiv
ha66_1_2	1	1.59829496275215	0.413622176391967	1.2337859990976e-4	0.0080964012872502	3.92649329252109e-4	ha66_1	woman's highest educational level
hv271	1	5.07809093676674e-6	1.06449329577016e-6	2.30081078098516e-6	0.00793770826566953	7.57547325365488e-6	hv271	wealth index factor score (5 decimals)
v191	1	5.07809093676674e-6	1.06449329577016e-6	2.30081078098516e-6	0.00793770826566953	7.57547325365488e-6	v191	wealth index factor score (5 decimals)
hv108_02	1	0.146306284656323	0.0379076269633973	1.25664959493865e-4	0.00759567136319061	3.99564668137984e-4	hv108	education completed in single years
sh08_06_1	1	-16.3149744421293	0.470316961924738	3.6934e-77	0.00757543508244762	2.59200163346614e-76	sh08_06	marital status
b2_03	1	-0.116632769089764	0.0259206911544182	8.20810971840349e-6	0.00724165201585814	2.67503890267673e-5	b2	NA
b3_03	1	-0.00972300443150633	0.00214887304590906	7.3209074849714e-6	0.00720033678382748	2.3925377615542e-5	b3	NA
ha68_1_2	1	1.50222160937779	0.442014087329128	7.21358267421621e-4	0.006868008938958	0.00217767367277324	ha68_1	woman's highest educational level (for preliminary and final report)
hv101_05_13	1	2.18776553436222	0.652912333401319	8.56888021783336e-4	0.00682905154006508	0.00255831906842601	hv101_05	relationship to head
sh03_05_10	1	2.18776553436222	0.652912333401319	8.56888021783336e-4	0.00682905154006508	0.00255831906842601	sh03_05	relationship to head
v304_06_0	1	-1.41533092333203	0.402672956889473	4.72523901309506e-4	0.00682159998907894	0.00144380026393188	v304_06	knows method
v304_06_1	1	1.41533092333203	0.402672956889474	4.72523901309524e-4	0.00682159998907894	0.00144380026393188	v304_06	knows method
v3a00y_0	1	1.42581647330784	0.383095402343403	2.16102702873482e-4	0.00667115256065975	6.78547078630381e-4	v3a00y	source of family planning for non-users: no source
v3a00y_1	1	-1.42581647330783	0.383095402343403	2.16102702873485e-4	0.00667115256065975	6.78547078630381e-4	v3a00y	source of family planning for non-users: no source
v3a00z_0	1	-1.42581647330783	0.383095402343403	2.16102702873485e-4	0.00667115256065975	6.78547078630381e-4	v3a00z	source of family planning for non-users: any source
v3a00z_1	1	1.42581647330784	0.383095402343403	2.16102702873482e-4	0.00667115256065975	6.78547078630381e-4	v3a00z	source of family planning for non-users: any source
v822_1	1	1.27913542166827	0.350331935125845	2.83336888252609e-4	0.00647443083291288	8.82578123177667e-4	v822	wife justified asking husband to use condom if he has sti
v304_05_1	1	1.27790932636787	0.359918900443236	4.13952926282246e-4	0.00622476936952399	0.00127478685252828	v304_05	knows method
v304_05_0	1	-1.27790932636787	0.359918900443236	4.13952926282244e-4	0.00622476936952387	0.00127478685252828	v304_05	knows method
v715	1	0.106688476394771	0.029687436435104	3.52568425911019e-4	0.00618232686403553	0.00109147501272805	v715	husband/partner's total number of years of education
v762bz_1	1	-1.81535567368247	0.574537825736644	0.00165733417980046	0.00607604940006379	0.00482146021093065	v762bz	don't know any source for female condoms
v762bz_0	1	1.81535567368247	0.57453782573664	0.00165733417980034	0.00607604940006357	0.00482146021093065	v762bz	don't know any source for female condoms
