name	estimate	se	p.value	Nag.r2	adj.p.val
ha62_699994	-13.5517449124316	1.01650807734544	1.1514e-35	0.000940655273020563	4.16629661538462e-35
hb62_02?	-16.8681430909411	0.478882899724974	9.3276e-67	0.0246204364549267	5.09408247678019e-66
hb62_03?	-15.620121754231	0.798607315277022	3.8028e-61	0.0096982063076132	1.96144421052632e-60
hb62_04?	-14.4362414366977	0.776597842829548	2.9327e-60	0.00187234691295801	1.48871447482014e-59
hb62_05?	-13.3955813901267	1.02427877517725	1.7563e-34	0.000674745963747059	6.30338392675483e-34
hb62_06?	-12.3876661646537	1.02426290417406	2.7246e-30	0.000382890192416108	9.31433023255814e-30
hv006	0.0487837660293803	0.0393709279796661	0.215792070639437	0.000906669319576059	0.355704489560018
hv007	-0.482661538996227	0.367087395599913	0.189057451404085	0.00101462366836691	0.319748172844493
hv008	-0.136965547617166	0.106657919338229	0.199574425417976	0.000891535543088295	0.334109163363759
hv010	-0.39596982161945	0.200158047054477	0.0483459539819979	0.00234269683759281	0.100332073910876
hv011	-0.57575944670759	0.205772871457673	0.00530384314514189	0.00428398422684251	0.0127378887788023
hv012	-0.273016505875899	0.0819583687290695	0.000917080355489734	0.0108187451213282	0.00234964378661422
hv013	-0.315971667697338	0.086880353714736	0.00029931309164004	0.0133965050402486	0.00078452941107434
hv014	-0.740529593867362	0.183324762943963	6.04180878074038e-05	0.0116153812287305	0.000160629249272435
hv016	0.0350444389693632	0.0217066560789211	0.106945687179478	0.00185404061493366	0.199315575472371
hv017	0.666343782726567	0.629041948788382	0.289882696581347	0.000631381958405619	0.441011709158686
hv018	0.00220042533404852	0.00325485809003552	0.499269313364187	0.000320360915421425	0.646683801895487
hv019	0.0258556497180865	0.0128486200921087	0.0446243337709627	0.00144628562747717	0.0937111009190217
hv023	0.0150473357698965	0.0140124131205628	0.283311128769071	0.000584982526945277	0.435142212580445
hv028	-3.29283772840344e-08	2.00042313704671e-07	0.869307803286917	2.37235664503066e-05	0.916725190211065
hv031	0.00301297270366987	0.00310940293101444	0.332935439480457	0.000591793836497989	0.489415096036272
hv032	0.0344708395689274	0.0324211242474741	0.288102183231781	0.000867334819071197	0.439396902420286
hv041	-0.390423925151187	0.143201004946718	0.00658684747668955	0.00495930394813238	0.0156382220038767
hv204	0.000393377632932434	0.000474246166629636	0.407159555425157	0.000352859411540174	0.568508775461072
hv216	-0.320605929570334	0.163700659422215	0.0506287092506205	0.00385232509857969	0.104638597677908
hv218	-9.35085670626714	1.01642197881527	5.6347e-19	4.92020941955662e-06	1.60835126213592e-18
hv220	-0.0038889666916764	0.0118982287245614	0.743891514033598	4.77017221841569e-05	0.840630769221824
hv238	0.00488615641492669	0.00861976425071918	0.57162740916777	0.00143187923351107	0.713509183265552
hv245	0.000742077316112845	0.00230372785307402	0.74748984710834	8.01061407441628e-05	0.842546371375167
hv246b	-0.0040596649916789	0.0255755451234314	0.873932328862188	1.5469829246495e-05	0.920368136186806
hv246c	-0.430551304146447	0.241890825530682	0.0755833986276993	0.00279952144565654	0.147814983569026
hv246d	-0.0136086744130322	0.026860997397805	0.612595244931223	0.000202839365926577	0.742786063033786
hv246e	0.00106023527213339	0.0227731029823145	0.962881989175715	8.07377213307703e-07	0.97955561783473
hv246f	-0.0302433424383006	0.0352760351504208	0.391597049296767	0.000949499554502631	0.552380372658558
hv246g	-14.0782749706344	0.301706396549107	2.0153e-203	0.0015381306140666	1.07726945454545e-201
hv246h	-0.100103182251249	0.0998835980065019	0.316647124101523	0.000162087743288075	0.472792347702741
hv246i	-9.13027329863393	1.01383033056261	2.7178e-18	6.17485036452647e-05	7.70152481927711e-18
hv271	4.96746411529595e-06	7.6312168261426e-07	1.5762e-10	0.00798044427056266	4.34779796716185e-10
shclweight	-2.39192478839102e-07	1.49058536332967e-07	0.10908000243747	0.00137435723269375	0.202650999789044
hv107	0.106361354922328	0.16764437536517	0.526218771131757	0.000824202235833793	0.67194055067701
hv108	0.0829126049505874	0.0347648719293372	0.0173857095081351	0.00212806540234023	0.0390183098884864
hv123	-0.335512317322418	0.287783035845356	0.245601827507916	0.00464460173628023	0.39385602156724
hv124	-0.0779485903569394	0.0804204196071721	0.332797802283651	0.000528022957987151	0.489415096036272
ha0	-0.321628214258465	0.183321526963555	0.0798557279161745	0.00352732838692693	0.154967551203665
ha1	0.00654080929428909	0.01348918176083	0.627926352141603	7.07284253343987e-05	0.757650842881612
ha32	-0.00061972106158417	0.00111754571444323	0.579414267576747	9.17576071044479e-05	0.7202866582138
ha67	0.102190290084091	0.14526878268556	0.482264246980224	0.000801173801720068	0.63102615963108
ha69	2.46042113451577e-08	1.92501624686652e-07	0.89833908061135	1.17458118437108e-05	0.939899251600487
ha70	0.000878682098435333	0.00315443862632004	0.780681371968512	5.52702052447618e-05	0.864212074146505
hml16	0.00654080929428909	0.01348918176083	0.627926352141603	7.07284253343987e-05	0.757650842881612
v004	-0.00218657523038614	0.00114041306462603	0.0556597458079374	0.00266525951853347	0.113572922620245
v005	3.27026828719019e-08	1.8627587879166e-07	0.860697512484908	2.48891479938118e-05	0.912970782936487
v006	0.051520552100266	0.038939332679205	0.18629853198441	0.00101753842417451	0.316752395586023
v007	-0.505816722300243	0.367608517710848	0.169337196859725	0.00111210236091142	0.293620223878814
v008	-0.140551704073238	0.114661831172245	0.220749494545442	0.000911770564780201	0.361897870239925
v012	0.00651944587855177	0.0134941528646695	0.629175955189076	7.0241451741726e-05	0.758882998258824
v016	0.0228632888410639	0.0215406332433267	0.288926919645165	0.000812370619736935	0.440127017490562
v021	-0.00218657523038614	0.00114041306462603	0.0556597458079374	0.00266525951853347	0.113572922620245
v022	0.0150473357698965	0.0140124131205628	0.283311128769071	0.000584982526945277	0.435142212580445
v023	0.0150473357698965	0.0140124131205628	0.283311128769071	0.000584982526945277	0.435142212580445
v027	-0.0260285962557884	0.548868016404104	0.962192159403647	9.49299066910214e-07	0.97955561783473
v028	0.00233165904318585	0.0031943606248457	0.465713298251116	0.000364698176683387	0.61791519978561
v029	0.0258556497180865	0.0128486200921087	0.0446243337709627	0.00144628562747717	0.0937111009190217
v030	0.0024465293860543	0.00325623361335685	0.452739518094587	0.000397234594611162	0.604109311587633
v031	0.00245529304742461	0.0032603076481876	0.451688592751202	0.00039962645160474	0.603163268442937
v032	0.0349239526511277	0.0329594085890863	0.289743737231263	0.000872981578596055	0.440990468055175
v115	0.000427002734808207	0.000477370125697885	0.371414975105798	0.000416412215901385	0.531483054806613
v133	0.0762240201339159	0.0337994806509509	0.0244754825174646	0.00190329701894032	0.0538674375056863
v136	-0.276295283075329	0.0819979152054373	0.000800432655179346	0.0111108721618418	0.00205975667941118
v137	-0.740529593867362	0.183324762943963	6.04180878074038e-05	0.0116153812287305	0.000160629249272435
v138	-0.39596982161945	0.200158047054477	0.0483459539819979	0.00234269683759281	0.100332073910876
v152	-0.0038889666916764	0.0118982287245614	0.743891514033598	4.77017221841569e-05	0.840630769221824
v191	4.96746411529595e-06	7.6312168261426e-07	1.5762e-10	0.00798044427056266	4.34779796716185e-10
bord_01	-0.153510309627025	0.0776690667981535	0.0485602562847339	0.00341906821096039	0.100717568590559
bord_02	-0.0166895405797685	0.0798240712641622	0.834458821422801	2.89253394785138e-05	0.893737316933711
bord_03	-0.00870810206807176	0.0971269934699389	0.928591111855075	6.37291880678514e-06	0.961852449390694
bord_04	-0.110702630443954	0.139173303521915	0.426703424610584	0.000859952895646665	0.582814433614456
bord_05	-0.0478559954250674	0.173637114122036	0.782958965925074	0.000110893165917503	0.865918254477637
bord_06	0.0614317614418008	0.203495043895211	0.762875682127486	0.000139198782574623	0.854149605377903
bord_07	0.087923183844537	0.302645956105327	0.771576710162977	0.00021999777282089	0.861397645987972
