name	estimate	se	p.value	Nag.r2	adj.p.val
ha62_699994	-13.4713390442032	1.01711294264442	2.6935e-35	0.0012398228817776	1.11637652941176e-34
hb62_02?	-16.5248239768438	0.384225694132891	1.9561e-81	0.0341867004295373	1.45080848421053e-80
hb62_03?	-15.5146153404213	0.481764665492336	4.1367e-117	0.0215896980947823	4.90693404040404e-116
hb62_04?	-14.4806268702834	0.460139887348995	7.654e-125	0.00396335419570404	1.03314337164751e-123
hb62_05?	-13.498362123005	0.624775576998735	1.8508e-76	0.00366257418813831	1.29372388888889e-75
hb62_06?	-13.3191168669732	1.01647620830955	1.1343e-34	0.000392630864890831	4.69030387323944e-34
hv006	0.083231623491365	0.0344474814814369	0.0159755900728085	0.00250652638383364	0.0383915442199893
hv007	-0.740810398572357	0.371929624139509	0.0468366661642727	0.0022886341619065	0.0971764280899486
hv008	-0.149957992095688	0.152989786793705	0.327383091950471	0.00102027634286916	0.470571453668506
hv010	0.0789066844455955	0.117439784033645	0.501906910292586	0.000185100108780589	0.639268996732025
hv011	0.0286677183970518	0.16469659945608	0.861872871822222	2.34375453299629e-05	0.913471157469822
hv012	-0.0136006839185049	0.0404396336315789	0.736744360695317	5.1907409459151e-05	0.826871737091304
hv013	-0.0102231709353329	0.0389096851609537	0.79283860924205	3.01319492742591e-05	0.865971138537525
hv014	-0.269417200603924	0.124355127388739	0.0306571124475844	0.00205097622479133	0.0682711802483185
hv016	0.00835722904719265	0.0202452393113999	0.679897936066473	0.000105146648025745	0.783283331838517
hv017	0.375132368754269	0.442132451381192	0.396512725872639	0.00017263859065586	0.544605977874974
hv018	0.000593830583371845	0.00325520831929443	0.855309809795109	2.32756221565378e-05	0.908702189357108
hv019	-0.00452796973449233	0.0152055913040619	0.765969692048486	4.11919813819717e-05	0.847948552604618
hv023	0.0131715613950427	0.015599475573584	0.398798625438122	0.00040495851220812	0.546042579641859
hv028	4.53295414422542e-08	2.15933454877662e-07	0.833797119339511	4.17154754561722e-05	0.894382473023552
hv031	0.000811316592312413	0.00326144740792015	0.803630141898999	4.29277197707689e-05	0.874363492869108
hv032	-0.0157001178574113	0.0353935403758337	0.657497913662582	0.000160633100207086	0.766754435562157
hv041	0.0291655411044563	0.0823759929882144	0.723420440317506	6.60967204737517e-05	0.815197715889953
hv204	0.0010803502909105	0.000477499509456514	0.0240170039910387	0.00309519798780222	0.055446857837765
hv216	0.029722734603658	0.112668518673386	0.792017652389041	5.67535211418724e-05	0.865971138537525
hv218	-10.6037317783958	0.838592855057656	1.0045e-32	2.33845907235963e-05	4.08643591224018e-32
hv220	0.008478157506587	0.0127529803626467	0.506430039707034	0.000219059176876701	0.643169801689935
hv238	-0.0118029839194415	0.0120366755326997	0.328397636287173	0.00324150435060155	0.471837223751921
hv245	-0.0282620133049537	0.0139103781726339	0.0426878181198738	0.00579116149057524	0.0903238337755648
hv246b	0.0302786073976071	0.0150073974238051	0.0440718315253044	0.00125432736602182	0.092861879463904
hv246c	-0.0846965242824454	0.15857769042391	0.593465513857653	0.000198268934400225	0.713236928301815
hv246d	0.0246288452431025	0.0202080965771191	0.223405160378904	0.0010413374418603	0.348101008409942
hv246e	-0.0429248958591818	0.0373945363907236	0.251463048165938	0.000493898934574077	0.381855309779569
hv246f	-0.0168855647734212	0.0197391930982441	0.392646037083648	0.000330635515175537	0.540035243313195
hv246g	-13.2426392486244	0.296894563850825	1.7935e-194	0.00147918565560812	9.57348560606061e-193
hv246h	-0.0190151270435651	0.0327915084141302	0.562210624822936	2.74989597347508e-05	0.689660814446776
hv246i	-9.76032559566504	1.01549462735454	1.8286e-20	8.4485818641733e-05	6.48104406438632e-20
hv271	5.07809093676674e-06	1.06449329577016e-06	2.30081078098516e-06	0.00793770826566953	7.57547325365488e-06
shclweight	3.18065829184927e-08	1.16550282964862e-07	0.785022074164904	6.41889475549995e-05	0.860429369978062
hv107	0.314336054494945	0.164948550352354	0.0575901274164307	0.00855020548717189	0.115804805301419
hv108	0.1660797323145	0.0383983222416068	1.77936682394488e-05	0.0106196856817077	5.77229219222635e-05
hv123	-0.156892068833737	0.121293831715921	0.197871317503109	0.00109316892319122	0.317441098161864
hv124	-0.0021936173928387	0.0643996725692424	0.972838374156735	4.77882813099129e-07	0.982270729775651
ha0	0.0352907204576472	0.07272943954515	0.627684759272478	0.000121352916392592	0.739082021028389
ha1	0.0214080366438236	0.0160095249189659	0.181652112995486	0.000694928331486211	0.296690029709364
ha32	-0.00179084000910567	0.00132208082452079	0.176057110022295	0.000700777547866571	0.290787247355155
ha67	0.249078609644537	0.166152983624573	0.134832557981644	0.00550403687726908	0.235707320691913
ha69	1.51703932921373e-07	2.00882574682219e-07	0.450427241723212	0.000437666475622156	0.592995206498833
ha70	-0.000694908819471043	0.00327264882049842	0.831913787250044	3.27704270519646e-05	0.894382473023552
hml16	0.0214080366438236	0.0160095249189659	0.181652112995486	0.000694928331486211	0.296690029709364
v004	-0.00212484591026638	0.000684516291166786	0.00199631352889277	0.00222151938717929	0.00573187657888283
v005	1.28773330349217e-07	1.94913433724148e-07	0.509072989037201	0.000364515035905844	0.645363130758568
v006	0.0816890515509768	0.0340940389615636	0.01687471159706	0.00242913496298747	0.0403321634711278
v007	-0.735247375166594	0.371679340218156	0.048356829140232	0.00223910492273904	0.0998014698658684
v008	-0.154039487508666	0.16049423694086	0.337543941570636	0.00102084972045513	0.483008654002173
