var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
hv115_06_1	1	-17.1630516442905	0.591642824084775	9.740499e-65	0.0119673577532956	4.26983324484733e-64	hv115_06	current marital status
hv116_06_1	1	-17.1630516442905	0.591642824084775	9.740499e-65	0.0119673577532956	4.26983324484733e-64	hv116_06	currently, formerly, never married
mv250_1	1	2.05066399954136	0.699890367426663	0.00354866027169876	0.0106815043336659	0.00830068497361716	mv250	place of birth of most recent child
mv250_2	1	-2.05066399954135	0.699890367426658	0.00354866027169876	0.0106815043336659	0.00830068497361716	mv250	place of birth of most recent child
hv270_5	1	1.61462012872016	0.430874030733283	1.95973681448518e-4	0.00762163068791155	4.72352094740027e-4	hv270	wealth index
v190_5	1	1.61462012872016	0.430874030733283	1.95973681448518e-4	0.00762163068791155	4.72352094740027e-4	v190	wealth index
sh08_06_2	1	-16.1436511703164	0.688117138023127	4.964042e-53	0.0068289858437155	1.82438471584e-52	sh08_06	marital status
hv025_2	1	-1.51519443357849	0.427894385791275	4.29402061839524e-4	0.00674062607002501	0.00102850525135096	hv025	type of place of residence
v025_2	1	-1.51519443357849	0.427894385791275	4.29402061839524e-4	0.00674062607002501	0.00102850525135096	v025	type of place of residence
hv025_1	1	1.51519443357845	0.427894385791268	4.29402061839605e-4	0.00674062607002468	0.00102850525135096	hv025	type of place of residence
v025_1	1	1.51519443357845	0.427894385791268	4.29402061839605e-4	0.00674062607002468	0.00102850525135096	v025	type of place of residence
hv101_12_13	1	-16.7705345369454	0.595643556370371	5.679246e-60	0.00634055702968028	2.30888992247788e-59	hv101_12	relationship to head
sh03_12_10	1	-16.7705345369454	0.595643556370371	5.679246e-60	0.00634055702968028	2.30888992247788e-59	sh03_12	relationship to head
v741_1	1	1.50537526222618	0.485649925715338	0.00202845019587981	0.0060263195700595	0.0047837270019876	v741	type of earnings from respondent's work
v781_0	1	-1.5110255146663	0.453385401004894	9.12707827751529e-4	0.00574259376601349	0.00217027937923958	v781	ever been tested for hiv
v781_1	1	1.51102551466629	0.453385401004895	9.12707827751603e-4	0.00574259376601338	0.00217027937923958	v781	ever been tested for hiv
hv215_12	1	-1.48928101049612	0.510417342414725	0.00365719974053774	0.00536306929052988	0.00854586755240609	hv215	main roof material
hv226_5	1	3.43534391158598	1.21370121214173	0.00480338350540206	0.00517438963347316	0.0111900323650188	hv226	type of cooking fuel
hv244_1	1	-1.34977345981116	0.425071515240056	0.0015728739605771	0.00515142060527318	0.00372463039942848	hv244	owns land usable for agriculture
hv244_0	1	1.34977345981117	0.425071515240057	0.00157287396057711	0.00515142060527307	0.00372463039942848	hv244	owns land usable for agriculture
sh20_06_6	1	-16.5858771485141	0.567138003154016	4.421644e-85	0.00497206573963949	2.64492611145833e-84	sh20_06	birth certificate / registered
hv205_21	1	4.07918414052499	1.26069196820738	0.0012803531774584	0.00486207409790052	0.00303819343865903	hv205	type of toilet facility
sh08_06_1	1	-15.8357348384343	0.597060727747513	1.100734e-59	0.00431278754272046	4.44356062917399e-59	sh08_06	marital status
hv271	1	4.20048938542852e-6	1.23183900129707e-6	6.93332717093794e-4	0.00422261032769033	0.00165205938917474	hv271	wealth index factor score (5 decimals)
