name	estimate	se	p.value	Nag.r2	adj.p.val
ha62_699994	-13.0469391068042	1.0225220447517	4.285485e-33	0.00447212556999377	1.25718506321839e-32
hb62_03?	-16.2031359224243	0.444120091950844	8.991341e-117	0.0273205789074962	8.00508150271318e-116
hb62_04?	2.65890379806075	0.977954817886344	0.00677519730216397	0.00521811695755869	0.0156723345448848
hb62_05?	-14.1350179709779	0.783468774095979	8.418199e-58	0.00295528474646778	3.33389708672414e-57
hb62_06?	-13.9743215798639	1.02147860042112	3.592085e-37	0.00388897413486688	1.09285023112583e-36
hv006	0.0395201231177441	0.043206458718576	0.360725989673622	0.000391224619027075	0.541148587782819
hv007	-0.378167277276124	0.425871964016201	0.374904860093914	0.000415808465815903	0.554761146259148
hv008	-0.0975838597629794	0.144646045309137	0.500164591757153	0.000316777392774914	0.676606635610236
hv010	0.0230505085336567	0.190732902098692	0.903848421865619	8.20299982495776e-06	0.955075949461105
hv011	0.0187427565015125	0.130118128853697	0.885513885182055	1.05947436321863e-05	0.943425507543219
hv012	-0.00585294863248878	0.0617516019047239	0.924519469443787	7.02263058394159e-06	0.963414807847333
hv013	-0.0106331240786533	0.0577072609830013	0.853871861439664	2.39154315792023e-05	0.933084522229737
hv014	0.0614256116439873	0.137196382378922	0.654516369645875	9.38796859013546e-05	0.789394649151972
hv016	-0.00346631961629416	0.0235500825777111	0.883031986640968	1.31069124806871e-05	0.943425507543219
hv017	-13.6998409218779	0.356261264799566	3.764594e-164	0.000522678691419087	6.80887591968504e-163
hv018	-0.00342147213858214	0.00294062401097359	0.245080685236035	0.000576137390443932	0.409418424717944
hv019	0.0355621057120337	0.0158760577936052	0.0254567515834677	0.00178456968377561	0.0556366873332306
hv023	0.0219141699204136	0.0181667574111084	0.228184734211234	0.000817917426866877	0.387317253557108
hv028	-2.49363219811765e-07	3.17648735428242e-07	0.432746364117992	0.000588920145465521	0.610201595076137
hv031	-0.0032951357032099	0.00291378593618289	0.258557617425224	0.00053373489011832	0.42604508409307
hv032	0.0249868907048317	0.0490978676287272	0.610995023173787	0.000340122574669866	0.76274759142945
hv041	0.0238634324588825	0.0970188103358864	0.805791701425043	3.59146509073538e-05	0.900244911562901
hv204	0.000558573713391431	0.000547562414582243	0.308091739911117	0.000616193172892299	0.490216155445026
hv216	-0.212638396517408	0.155374408363857	0.171651519606151	0.0013027884495721	0.307074408516611
hv220	0.000273415106388393	0.0145458425870752	0.985009455320025	1.46978090809213e-07	0.99231401467384
hv238	-0.0326467150738439	0.0113274866106693	0.00454315659688336	0.00402125889713756	0.0105945489370975
hv245	-0.00721628266446192	0.00539775566949782	0.181859405401296	0.000767672657405738	0.321578948581045
hv246b	-0.0027725061968902	0.0301571485928701	0.926780190118802	5.3569362616912e-06	0.96370036066224
hv246c	-0.324819537425764	0.199913937208006	0.104730125612007	0.00121833109797465	0.202666468854912
hv246d	-0.0261971911053684	0.0328529958128337	0.425531510747154	0.000364585059437261	0.602617681989034
hv246e	0.0110016606535772	0.0202438369356449	0.587017518709112	8.2567149301771e-05	0.743728207652968
hv246f	-0.0358538639185699	0.050637608470748	0.479189871092392	0.000802182114871486	0.658706842548907
hv246g	-0.32251026355269	0.305957408827022	0.292259882076785	0.000331924940599748	0.469455209182081
hv246h	0.00521316564552119	0.0235620098927496	0.824971087742054	2.70307599292696e-06	0.914898822892624
hv246i	-10.569707939215	0.80518413451715	8.623677e-35	4.18133502971818e-05	2.56255964670116e-34
hv271	4.20048938542852e-06	1.23183900129707e-06	0.000693332717093794	0.00422261032769033	0.00165205938917474
shclweight	-1.12019067866957e-07	1.49070501350689e-07	0.452675870530137	0.000277924460213463	0.632031538494676
hv107	0.0448840815924797	0.0973425930555273	0.644984337166627	8.33407590775659e-05	0.784708168682067
hv108	-0.00948983156315996	0.0607376406124651	0.875894033479419	2.3646665399113e-05	0.943425507543219
hv123	-0.0041815091344245	0.0572754272794008	0.941865091320977	1.37878997330532e-07	0.967888171285375
hv124	-0.29794494483402	0.102438434013571	0.00376551263834857	0.00364886392209363	0.00879002289663279
hb0	-0.0559290204380886	0.0751054603324989	0.45676040898666	0.000250872119580192	0.634711832693502
hb1	0.0208341528225609	0.0126184823570921	0.0992441707909659	0.000831100785586236	0.1945084132311
hb32	-0.00176170208345294	0.00106448619180003	0.0984508696372222	0.000854464535440247	0.193448800305132
hb67	-0.00602928641579159	0.105644769492859	0.954517023368776	1.5290006246671e-06	0.974511266902963
hb69	-1.36030890512597e-07	2.40621011264409e-07	0.57205856693184	0.000179316622022085	0.734088563263931
hb70	-0.000924857189392361	0.00276369229951037	0.738010252206587	4.35070877513599e-05	0.855302497133466
hml16	0.0208341528225609	0.0126184823570921	0.0992441707909659	0.000831100785586236	0.1945084132311
v004	-0.00122286128392475	0.00130793766969727	0.350187612058253	0.000569434546203951	0.530835734324797
v006	0.0519121701425061	0.0452229885507071	0.251460156910611	0.000683379185375865	0.417042585143447
v007	-0.425654803223609	0.425956569345707	0.318055635297049	0.000524733168147051	0.499025815763198
v008	-0.0501807041257188	0.133394540061362	0.706913910670328	8.00605324541293e-05	0.829729817480707
v016	0.0170582381801373	0.0191853947709624	0.374290963545293	0.000313377444712049	0.554320589608455
