name	estimate	se	p.value	Nag.r2	adj.p.val
ha62_699995	-13.5724458487611	0.865518533372556	1.477391e-46	0.000237542435821414	5.14167992401216e-46
hb62_03?	1.88953602665711	1.00437222778234	0.0607915461338584	0.0219345504528696	0.112905629072616
hb62_04?	2.04651865472384	1.0823835802442	0.0592342333332619	0.00868602120528039	0.110731750476057
hb62_05?	-14.1105600389281	0.757372687369845	1.337654e-60	0.00531177549183415	5.8458543129771e-60
hb62_06?	-12.9794989300034	1.04337096484152	1.141133e-31	0.00546880415790674	3.25834734413965e-31
hv006	0.0876613120543259	0.0429182686802168	0.0415389930087727	0.00214827713540688	0.0807506740153561
hv007	-0.899007633734513	0.438336128263785	0.0407072767968484	0.00265067062129154	0.0796749263801563
hv008	-0.286888310761969	0.157284119829462	0.0686498365240378	0.00308106179189149	0.125565595559143
hv010	-0.255236974137485	0.273913787559042	0.351808813660622	0.000754323679413083	0.479834534415023
hv011	0.0735875653618564	0.138629256219456	0.595739009485857	0.000202554437226943	0.713515863871659
hv012	-0.0355149299305331	0.0485639388362553	0.464881337038538	0.00026680395568246	0.594072690746792
hv013	-0.0357780971465026	0.0483222689527311	0.459344772472855	0.000274732542485112	0.588310698525077
hv014	-0.0609934072628317	0.155288599504215	0.694626217293732	9.15642170902231e-05	0.790093551471476
hv016	-0.00806821865867486	0.0295139345734667	0.784663501675362	7.84598944100212e-05	0.857361511032492
hv017	0.234467807943317	0.602931734990398	0.697503924069382	3.83109087194189e-05	0.792696767304658
hv018	0.00306331840403159	0.00430590780953156	0.477100522233994	0.000437395752490799	0.605967940053159
hv019	-0.00104867141230773	0.0164400331517928	0.94916064767299	1.72612596560651e-06	0.967941389420091
hv023	0.0471018145253177	0.0153543113432263	0.00225514140970132	0.00432496507400215	0.00515396589642318
hv028	-1.93246653202382e-07	2.01500780730552e-07	0.337928462413956	0.000471066516449015	0.465617436178074
hv031	0.0034025446335797	0.00427328223208309	0.426210904666909	0.000533867807451571	0.558365544443491
hv032	0.000869656821906627	0.0274520330252329	0.974738517493515	4.76818152406189e-07	0.984193653024757
hv041	-0.0101165476356948	0.11999767913447	0.932841249921008	6.26122549585162e-06	0.961821910094151
hv204	0.000764221142975544	0.000648576450024492	0.239152311879031	0.00139319453939912	0.356316717113195
hv216	-0.125836132068254	0.0981166520326012	0.200159592836591	0.000584602019001013	0.310545709753248
hv218	-10.4587613590763	1.02533800524531	1.250041e-22	1.60992449248498e-05	3.25294760227273e-22
hv220	0.00820740835145994	0.0126176506282625	0.515638654607983	0.000157560797992784	0.638967813339979
hv238	-0.0872917358697427	0.171728872259872	0.61202377181559	0.00876097919478791	0.729014307661325
hv245	0.00183942352655215	0.00166186177343297	0.26889742201452	0.000605342918757246	0.390057172716808
hv246b	-0.0202751231120741	0.0314780613065865	0.519755828943435	0.000176866481674698	0.642331812347796
hv246c	-0.281529360662719	0.209269203243354	0.179039905261645	0.00104513340121037	0.284328282280976
hv246d	-0.0502918466094423	0.0536623829122157	0.349041735180061	0.00109578394307097	0.478053572704749
hv246e	-0.0492034312942785	0.0486192977140533	0.311942505057492	0.000544486232696428	0.435578254013205
hv246f	-0.0437129159903445	0.0352129209695865	0.214950599235229	0.00125186126492804	0.330525208740359
hv246g	-13.3819438186036	0.344863995445743	2.314223e-165	0.00108444430915866	4.04547379389313e-164
hv246h	-13.3115334703302	0.363335790868972	2.470537e-154	0.000747238418297491	3.65001918064516e-153
hv246i	-5.06048756965342	0.492221845003421	6.15414e-23	5.81256950713538e-05	1.60878773972603e-22
hv271	4.89666497977619e-06	1.40983498298103e-06	0.00055148152869038	0.00634179837042859	0.00129927232582404
shclweight	-2.9997890888287e-07	1.92668284011279e-07	0.120007330613265	0.00145763662786291	0.202332370626291
hv107	0.250769634931136	0.132744305674259	0.0595849381862425	0.00301116287764291	0.111024823796986
hv108	0.109384772406356	0.0461408249628194	0.0180723839552968	0.0039565947327973	0.0380034520272081
hv123	19.2062704888035	0.904707910256734	2.207315e-56	0.0206700693939327	8.93065609540636e-56
hv124	-0.0877157933407596	0.0975284308128396	0.368809837979562	0.00087127221778327	0.497207211463164
hb0	0.0172738635337173	0.0558096158749017	0.75703847945268	3.59035239091421e-05	0.837325350826335
hb1	0.0117035836056124	0.0108550703754533	0.281394469534568	0.000281120753361619	0.40274583452135
hb32	-0.000997716415705999	0.000896606513138708	0.26625528314433	0.000293777838102582	0.387126729143185
hb67	0.255904695056964	0.127768385976815	0.0458464717382687	0.00301481212972154	0.0885978230216332
hb69	-1.95230671380368e-07	1.90903556518406e-07	0.306879771975984	0.000410386846436683	0.431402503268879
hb70	-0.00113334559888081	0.00491758423671447	0.817807111030063	6.98304552002593e-05	0.884637829125576
hml16	0.0117035836056124	0.0108550703754533	0.281394469534568	0.000281120753361619	0.40274583452135
v004	0.00214417898207455	0.00108455970646678	0.0485008315681673	0.00182698997829167	0.092929479067996
v006	0.063773359105114	0.0356622667984861	0.0742412809655558	0.00114485724682323	0.135252612101132
v007	-0.482076408182149	0.330831261343367	0.145596049643141	0.0007490193324593	0.237137235905258
v008	-0.0186151003666326	0.100822274272399	0.853579746714282	1.2290531977599e-05	0.903423254524485
