var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
hv111_02_1	1	16.2062287820071	0.328947526376627	1.6514e-104	0.017621317215987	8.07055161290323e-103	hv111_02	mother alive
hv113_02_9	1	-16.2266257054222	0.338511089182278	1.4371e-102	0.0162462701089355	6.22059e-101	hv113_02	father alive
hv111_02_9	1	-16.2276255199386	0.363057984149987	1.1856e-97	0.01390875649929	3.66568163265306e-96	hv111_02	mother alive
hv102_09_0	1	-15.5668485555491	0.523824311275036	8.6866e-64	0.00636293711159297	7.69602280701754e-63	hv102_09	usual resident
hv102_09_1	1	15.5668485581204	0.523824319387883	8.6866e-64	0.00636293711159286	7.69602280701754e-63	hv102_09	usual resident
hv014	1	-0.444821001847771	0.129091954172891	6.72977702981381e-4	0.00627906278615986	0.00272609951876148	hv014	number of children 5 and under
v137	1	-0.444821001847771	0.129091954172891	6.72977702981381e-4	0.00627906278615986	0.00272609951876148	v137	number of children 5 and under
s212c	1	-0.00505098223512727	0.00118424032525948	2.88313968761064e-5	0.00588052652541105	1.23388605274862e-4	s212c	date of last birth (cmc)
s212y	1	-0.0596955924046276	0.0143171357352629	4.27712812966459e-5	0.00576241911552489	1.82530961026531e-4	s212y	year of last birth
v503_1	1	-0.723674195087655	0.277854925972661	0.0097798431564783	0.00503863046673947	0.034537208349801	v503	number of unions
v783_1	1	0.781106540573405	0.240271285020885	0.00131665368283015	0.00503643295000811	0.0052218071452557	v783	know a place to get aids test
v783_0	1	-0.768916570084246	0.239926510924341	0.00153653613877633	0.00487234687773197	0.00606211523501599	v783	know a place to get aids test
sh15a_08_4	1	-15.2501690617179	0.742403896513641	4.3553e-44	0.00457616431313079	2.70421290983607e-43	sh15a_08	level of education
hv102_08_0	1	-14.7017631508411	0.35753595972792	6.363e-99	0.00431123502666364	2.0956402173913e-97	hv102_08	usual resident
hv102_08_1	1	14.7017631553804	0.35753596935207	6.363e-99	0.00431123502666364	2.0956402173913e-97	hv102_08	usual resident
sintlg_2	1	-0.745954850279888	0.269313848471316	0.00605076937280804	0.00430057354748259	0.0221959215491627	sintlg	langue of interview
hv104_02_1	1	0.893311272444925	0.329654115300322	0.00722119160273623	0.00394052053889382	0.02604786970987	hv104_02	sex of household member
hv104_02_2	1	-0.893311272444914	0.329654115300315	0.0072211916027358	0.00394052053889382	0.02604786970987	hv104_02	sex of household member
sh15a_08_3	1	-14.7908830934151	0.515023353002074	1.5165e-60	0.00345115555539843	1.29802118644068e-59	sh15a_08	level of education
hv111_02_0	1	-14.946007550789	0.441173453003312	8.8707e-79	0.00338543254250767	1.07512884e-77	hv111_02	mother alive
v501_3	1	1.42002906888673	0.511602865623556	0.00594704158754943	0.00318190891956838	0.0218683689445082	v501	current marital status
s105_4	1	-14.8260092633662	0.243527835174286	4.146e-147	0.00310461998056877	1.046865e-144	s105	level of education
sh15a_4	1	-14.8246775639375	0.243869159018725	5.7864e-147	0.00308100301163261	1.25234228571429e-144	sh15a	level of education
hv109_2	1	-2.13118629510187	0.798954213729715	0.0081672511875956	0.00299889881305759	0.0293208188369842	hv109	educational attainment
v149_2	1	-2.11333790890313	0.799217952732236	0.00873154800095269	0.00292609257876186	0.0311988094845361	v149	educational attainment
hv106_3	1	-14.7927668821023	0.240945095179509	6.3015e-148	0.00281010020550354	1.9093545e-145	hv106	highest educational level
hv109_5	1	-14.7927668821023	0.240945095179509	6.3015e-148	0.00281010020550354	1.9093545e-145	hv109	educational attainment
v106_3	1	-14.7927668821023	0.240945095179509	6.3015e-148	0.00281010020550354	1.9093545e-145	v106	highest educational level
v149_5	1	-14.7927668821023	0.240945095179509	6.3015e-148	0.00281010020550354	1.9093545e-145	v149	educational attainment
hv115_03_9	1	-14.7967320159474	0.446792056589036	1.0884e-89	0.00235269558447049	2.42489117647059e-88	hv115_03	current marital status
hv116_03_9	1	-14.7967320159474	0.446792056589036	1.0884e-89	0.00235269558447049	2.42489117647059e-88	hv116_03	currently, formerly, never m.
v505	1	0.0224218836241293	0.00814856804826111	0.00638821196544746	0.00235177544403864	0.0232647623260887	v505	number of other wives
v827_9	1	-13.5230952330546	0.596624324603108	1.0846e-52	0.00218777798956038	7.7875308056872e-52	v827	last test was on your own, offered or required
hv106_08_3	1	-14.0162843744668	0.712657322073105	1.8909e-48	0.00208326195161523	1.25645328947368e-47	hv106_08	highest educational level
hv109_08_5	1	-14.0162843744668	0.712657322073105	1.8909e-48	0.00208326195161523	1.25645328947368e-47	hv109_08	educational attainment
v784l_0	1	14.6640211157394	0.357737486378693	7.732e-110	0.00207452623394921	5.32453636363636e-108	v784l	place for aids test: private vct center
