var	concordance	Estimate.x	SE.x	P.Val.x	Nag.R2.x	FDR.x	varOrig.x	varlabel.x
hv014	1	-0.309643735558422	0.10090679513399	0.00239967830661256	0.00291714890753403	0.0100404122554146	hv014	number of children 5 and under
v137	1	-0.309643735558422	0.10090679513399	0.00239967830661256	0.00291714890753403	0.0100404122554146	v137	number of children 5 and under
v505	1	0.0196106337900033	0.00771450618807888	0.0116585580098472	0.00347708178082373	0.0439504550717755	v505	number of other wives
v836	1	0.025888652051089	0.00717159103916716	3.73451920580915e-4	0.00318603752125279	0.00159766088495712	v836	total lifetime number of sexual partners
s212c	1	-0.00549918332165575	0.00181919551346573	0.00277787832405111	0.00670191676893572	0.0115278165872748	s212c	date of last birth (cmc)
s212y	1	-0.0670293733602837	0.0212686341247865	0.00183236194426905	0.0071471023072911	0.00773043557097441	s212y	year of last birth
hv213_21	1	-11.6046213018349	0.67350096606551	9.7599e-44	1.71796369457189e-4	6.35227679487179e-43	hv213	main floor material
hv214_11	1	-1.07944337418079	0.386407604116626	0.00563785071580761	0.00261859161788636	0.0225959122109868	hv214	main wall material
hv217_0	1	-10.0820562972144	0.6451427407678	2.3192e-38	1.71768872454514e-5	1.35331095785441e-37	hv217	relationship structure
hv243d_1	1	-12.1684166276357	0.38286963722779	1.3107e-87	2.15661024452696e-4	3.27245262295082e-86	hv243d	has a boat with a motor
sh101_42	1	-0.933800753863807	0.355470033585639	0.00917493973969557	0.00157805323961158	0.0351975647948523	sh101	source of drinking water
hv101_6	1	-11.5335340347669	0.776747512773057	9.683e-36	7.45510376256586e-5	5.54406353383459e-35	hv101	relationship to head
hv101_7	1	-10.2817223790029	0.792087813127272	1.7262e-29	3.25153495988051e-5	9.12848125e-29	hv101	relationship to head
hv102_9	1	-9.21340619055063	1.00718861652237	2.6908e-17	1.49503945451324e-5	1.20887563421829e-16	hv102	usual resident
hv106_3	1	-14.7512095783462	0.282398677616864	2.2188e-132	0.00345946370275751	3.3792324e-130	hv106	highest educational level
hv109_5	1	-14.7512095783462	0.282398677616864	2.2188e-132	0.00345946370275751	3.3792324e-130	hv109	educational attainment
hv115_3	1	1.33005413199304	0.459955229941391	0.00418624994355906	0.00243046222768262	0.0170472156792525	hv115	current marital status
sh15a_4	1	-14.7351258247339	0.284086418757935	2.3064e-131	0.00356166707205563	2.70203630769231e-129	sh15a	level of education
v106_3	1	-14.7512095783462	0.282398677616864	2.2188e-132	0.00345946370275751	3.3792324e-130	v106	highest educational level
v127_21	1	-11.6046213018349	0.67350096606551	9.7599e-44	1.71796369457189e-4	6.35227679487179e-43	v127	main floor material
v128_11	1	-1.02293845658909	0.386737371478898	0.00871179291399509	0.00230821235795831	0.0335720457420789	v128	main wall material
v130_8	1	-12.392137108908	0.377006363380619	1.9145e-90	3.09861191076788e-4	5.20675625e-89	v130	religion
v131_9	1	-8.04997894813169	1.00955766480778	6.4312e-14	4.71004472224479e-6	2.76686937853107e-13	v131	ethnicity
v131_12	1	-11.544562626399	0.632989517610964	4.3205e-47	1.88891136961411e-4	2.96401869369369e-46	v131	ethnicity
