name	estimate	se	p.value	Nag.r2	adj.p.val
hv003	0.0760958831463032	0.140516643934985	0.588639564346843	0.000197450800090482	0.782284517015918
hv005	2.39864082377997e-08	1.01748274900832e-07	0.813835102956527	9.07019356055638e-05	0.917446973947291
hv008	-0.130932984836723	0.154694239453935	0.398180645721446	0.00051605736993221	0.632670456367958
hv009	-0.0620000956130001	0.0505350342379865	0.221082412583994	0.000985205625283703	0.438422544746644
hv010	-0.00432033934259264	0.118093765941056	0.970847387159888	7.02955723408394e-07	0.984477031383472
hv011	-0.177432180854186	0.149248551653387	0.2356886800054	0.000980757614156391	0.457849310775796
hv012	-0.0604456726825811	0.0506663527610958	0.23405180881764	0.000911598640486622	0.456495093550845
hv013	-0.0710619722594818	0.0545762099961083	0.19415164089774	0.001244213091396	0.406171633361618
hv014	-0.309643735558422	0.10090679513399	0.00239967830661256	0.00291714890753403	0.0100404122554146
hv016	0.00943741064377937	0.0168987281263086	0.577049392731353	0.000185864148060322	0.7780626240354
hv017	0.650604801687679	0.444339984298057	0.1444575401398	0.00106304053163209	0.32306730342572
hv019	-0.00888772227038737	0.0469495138038908	0.850016040152693	2.74465698129056e-05	0.941406709138756
hv022	-0.0248202682463915	0.0143371879094378	0.0847154129315099	0.00213860050681847	0.244505216757618
hv030	-0.00503648390865113	0.00294446868302133	0.0884784101923501	0.00121724616640451	0.248621067754519
hv032	0.460329255175815	0.312638334379445	0.142233551163372	0.00184713265681402	0.319501030120672
hv216	0.00399843827428177	0.0111254035673019	0.719616674879434	2.80904182192732e-05	0.857751961205016
hv271	1.65825330523457e-06	9.61310167892443e-07	0.0858268987187622	0.00120497953052767	0.245293796650382
shdistr	-0.0123673496199224	0.0118350090473781	0.297092318422269	0.000656364219815742	0.541233972436741
sharrond	-0.0207050495627317	0.0143472750757026	0.150297413196699	0.000836239424283236	0.333192081948432
hv105	0.0409246120187636	0.0157881295260693	0.0101289295695227	0.00597303936427784	0.0384569955246497
hv107	0.0134276139998891	0.013560703381539	0.323093226101089	0.000172118486875372	0.567555920821175
hv108	0.00728354082847808	0.0134994341508827	0.590015848335398	7.11657235574759e-05	0.782747506110463
v004	0.00404407774232893	0.00161842220792587	0.0131376016132203	0.00312245104562936	0.049161098911387
v005	3.74796454163102e-08	1.17762943368247e-07	0.750564168956538	0.000165434536140041	0.875768185339597
v006	-0.123592366651019	0.154420541877266	0.424299149683246	0.000464345313657244	0.656715045698764
v008	-0.123592366655016	0.154420541876097	0.424299149664784	0.000464345313657244	0.656715045698764
v012	0.0409030325651627	0.0157805049325551	0.0101322226697243	0.00596972802205986	0.0384569955246497
v016	0.00494433975848718	0.0170560148536178	0.772154062846153	5.14127007941179e-05	0.890901998268705
v021	0.00404407774232893	0.00161842220792587	0.0131376016132203	0.00312245104562936	0.049161098911387
v022	-0.0248202682463915	0.0143371879094378	0.0847154129315099	0.00213860050681847	0.244505216757618
v027	-0.208536285646209	0.307095152278266	0.497759150436896	0.000256584293004791	0.727373105353069
v028	-0.00515746087967459	0.00295758226099256	0.0824834300164068	0.00126537634479673	0.241117589088268
v029	-0.00888772227038737	0.0469495138038908	0.850016040152693	2.74465698129056e-05	0.941406709138756
v030	-0.00503648390865113	0.00294446868302133	0.0884784101923501	0.00121724616640451	0.248621067754519
v032	0.460329255175815	0.312638334379445	0.142233551163372	0.00184713265681402	0.319501030120672
v107	0.0309450747049245	0.0212045680416637	0.145790497305681	0.000539665954106483	0.32461831490724
v133	0.0215606330147606	0.0229967751703976	0.349425993163359	0.000337201506784512	0.595399065396868
v136	-0.0620000956130001	0.0505350342379865	0.221082412583994	0.000985205625283703	0.438422544746644
v137	-0.309643735558422	0.10090679513399	0.00239967830661256	0.00291714890753403	0.0100404122554146
v138	-0.00432033934259264	0.118093765941056	0.970847387159888	7.02955723408394e-07	0.984477031383472
v152	0.00762914333684235	0.0114335566308312	0.505253150107159	0.00037398177569159	0.730386908840462
v191	1.65825330523457e-06	9.61310167892443e-07	0.0858268987187622	0.00120497953052767	0.245293796650382
v201	0.0374290301890634	0.0531674472108906	0.482130960517711	0.000311261288905129	0.715096735585981
v202	-0.102174210219627	0.153722313062128	0.506906738440163	0.000351514533632691	0.730386908840462
v203	-0.0868851684872524	0.160701988628486	0.58924744151893	0.000251624787870441	0.782409636820689
v204	0.224610828327599	0.13515527875355	0.0978548948629328	0.00141562365406644	0.26071315277609
v205	-0.0217734202923629	0.134006804618568	0.871065772703103	1.12851751862264e-05	0.951673724409488
v206	0.536137798303351	0.180161284077679	0.00322274535361974	0.00415871025153891	0.0133014665950213
v207	0.271053108386878	0.217829013504105	0.214598895694772	0.000721375547751757	0.428916165542176
v505	0.0196106337900033	0.00771450618807888	0.0116585580098472	0.00347708178082373	0.0439504550717755
v507	0.000261106083050075	0.0342150299058928	0.99391756076307	2.9856146332996e-08	0.99391756076307
v508	-0.0100726341537592	0.0151069650896672	0.505577656665143	0.000266108600580295	0.730386908840462
v509	-0.000841385633286047	0.0012710820374625	0.508649961556943	0.000266649870015123	0.732205946551252
v511	0.0425132655148807	0.0222375513625776	0.05711062627828	0.00154684528658844	0.179339141900661
v512	0.0103837818183732	0.0151912664099785	0.494935744317114	0.000282608943076967	0.726191848357384
v525	-0.00513539396861464	0.0164614838850187	0.755340841168338	5.18133312367164e-05	0.878826662413582
v527	0.00158713543671744	0.00104387970449526	0.129732869242633	0.00138223398462878	0.303507157997742
v528	0.0142794643076097	0.00784508114551574	0.0699875356793396	0.00143514617883667	0.211490112777052
v529	0.000541182597374712	0.000998735304535603	0.588416447077627	2.19867901779525e-05	0.782284517015918
v531	-0.0072935903371404	0.0172626270658748	0.67303604267218	0.000100490947097076	0.831979651247905
v537	-0.00350793181208726	0.011384537727308	0.758256574770877	0.000122059571370126	0.880201801353693
v730	0.0161061026794989	0.0124075002095817	0.195516844142215	0.00101858184759029	0.407907059765197
v766a	-0.107324775255252	0.133572492314555	0.422490662353453	0.000234793668542177	0.655915676620091
v766b	-0.229354921807669	0.230101029839064	0.31989456237819	0.000584354752485639	0.56308602058046
v832b	-0.0160605640436561	0.00925138759843386	0.0854665392739377	0.0319178115225078	0.245293796650382
v836	0.025888652051089	0.00717159103916716	0.000373451920580915	0.00318603752125279	0.00159766088495712
v801	9.12736476416853e-05	0.000166565805880548	0.584223666479898	0.000340910433986652	0.781734543975428
v802	-0.000270300306274407	0.000304966883631339	0.376336168033142	0.000982337483082629	0.618697298006496
v803	0.00836067772828839	0.00791794194905858	0.292077477137019	0.000728737688669323	0.534636278031455
sdistr	-0.0123673496199224	0.0118350090473781	0.297092318422269	0.000656364219815742	0.541233972436741
sarrond	-0.0207050495627317	0.0143472750757026	0.150297413196699	0.000836239424283236	0.333192081948432
shivwgt	4.50617149321377e-08	1.08118327101596e-07	0.677213912710315	0.000274470319210351	0.833788835131617
s212c	-0.00549918332165575	0.00181919551346573	0.00277787832405111	0.00670191676893572	0.0115278165872748
s212m	-0.008973893598978	0.0157708532090733	0.569880751808362	0.000126935811867734	0.771491897781454
s212y	-0.0670293733602837	0.0212686341247865	0.00183236194426905	0.0071471023072911	0.00773043557097441
s308_01	0.0161061026794989	0.0124075002095817	0.195516844142215	0.00101858184759029	0.407907059765197
s333ca	0.00107737282101925	0.000840207893889304	0.200995731135889	0.0014083368737926	0.415354814816769
s333cb	-0.0201751729200717	0.00628694896073076	0.0017711208629998	0.0800778225099028	0.00749282520652415
hv105_01	0.00762914333684235	0.0114335566308312	0.505253150107159	0.00037398177569159	0.730386908840462
hv105_02	0.00931631823329806	0.00992293480921909	0.348750749752887	0.00059205381850147	0.595399065396868
hv105_03	0.017574134375778	0.00858039730536855	0.0416405621734833	0.00195825548148321	0.138771501510317
hv105_04	0.0075767736091432	0.0118036283974773	0.521554523514624	0.000248350161756172	0.74166903764031
hv105_05	0.00077696044868859	0.0162038167103776	0.961797090171002	1.9482635320589e-06	0.984420005598411
hv105_06	-0.000347901211339316	0.0140655732819829	0.980288580922835	5.39767154972282e-07	0.988549788131744
hv105_07	0.0208018650530726	0.0177023812228441	0.241265098386348	0.00392140950724607	0.46571197064944
hv105_08	-0.0147675130908139	0.0254452644773246	0.562360539868675	0.000767163398314508	0.766077908962426
hv105_09	0.0362246788886137	0.0157453531769658	0.0227889399720527	0.00837201573932433	0.0808117187340364
hv107_01	0.00363311864736705	0.0100016441832045	0.716738969271914	1.20417508449044e-05	0.856867526291409
hv107_02	-0.0365319878917611	0.0604306652263702	0.54607141232766	0.000176265374478235	0.75915816385973
hv107_03	-0.0424476227553273	0.0763559130046422	0.578791377038694	0.000242912495515002	0.778591407625171
hv107_04	0.0101277767839299	0.0106760854660188	0.343781697354636	0.000155960320358139	0.590910468801921
hv107_05	0.125486921153037	0.167380901645456	0.454186451558343	0.00183824612234407	0.6808326434285
hv107_06	-0.00288260058508499	0.050619829365101	0.95464229744776	2.99400514591763e-06	0.981715205275448
hv107_07	0.230316642708641	0.229693663515451	0.317400164115971	0.00838267660953651	0.559491261514611
hv107_08	-0.405482359502276	0.247483624284654	0.103579408953125	0.0104124959317986	0.268982066223716
hv108_01	-0.0123869471013678	0.0129352312082615	0.339229617538696	0.000220360859448987	0.586709901937993
hv108_02	0.00124172143241543	0.00913959579536073	0.8920454207768	3.00568084077302e-06	0.961889425164316
hv108_03	-0.00746487403433921	0.0249671431133577	0.765210173617381	7.48085863478964e-05	0.885732371615441
hv108_04	0.00462196182540986	0.010047514108107	0.645928656987702	5.2027762994511e-05	0.822532896816279
hv108_05	-0.00507081964783594	0.0150846907111883	0.737050139790139	6.09557402804217e-05	0.86815727989202
hv108_06	-0.00325010328260367	0.015465123919512	0.833732858935576	2.68723809219162e-05	0.931473785372574
hv108_07	0.0176596941062223	0.0114666225118939	0.125014403503797	0.00127381917650804	0.294732099901367
hv108_08	-0.116585757469919	0.0809538422344898	0.151479085167773	0.00442553025388415	0.334836932816427
hv108_09	0.0147579310504381	0.0118681601808147	0.215627502899773	0.000761140708568253	0.430407191240307
hivnumb	0.00750631224605031	0.0124316336330343	0.546546775193086	0.000213171626413877	0.75915816385973
hivline	0.0390483395306889	0.0844786737221148	0.644340675323554	0.000179927984087391	0.821197362776379
hiv02	-1.85342113103359e-05	4.00056092727328e-05	0.643579657786565	0.000218137582901345	0.820914421113014
hv024_1	0.211089959135502	0.471316772162581	0.654652407574777	4.13200911568712e-05	0.826044421488306
hv024_2	0.453298601542582	0.274900141148084	0.100475672009676	0.000585669406683587	0.266129475601281
hv024_3	0.962511369710361	0.487813633812892	0.0496398633766172	0.00154001373002066	0.160172694751246
hv024_4	-0.149295981904563	0.378068911489666	0.69327705413623	6.18764638907754e-05	0.845365054803425
hv024_5	-1.79017088165701	0.99745884879253	0.0739653775742474	0.0027243761331085	0.222187909360116
hv024_6	0.100337117491264	0.401362216407653	0.802809617772904	1.5828767733983e-05	0.9117666277913
hv024_7	-0.599248302321066	0.664280961053585	0.367915421418801	0.000356133847937867	0.608923833232828
hv024_8	-0.486406778182425	0.511684793571665	0.342772569599602	0.000124102642119706	0.589878670621688
