var	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
hv003	0.0760958831463032	0.140516643934985	0.588639564346843	1.97450800090482e-4	0.782284517015918	hv003	respondent's line number
hv005	2.39864082377997e-8	1.01748274900832e-7	0.813835102956527	9.07019356055638e-5	0.917446973947291	hv005	sample weight
hv008	-0.130932984836723	0.154694239453935	0.398180645721446	5.1605736993221e-4	0.632670456367958	hv008	date of interview (cmc)
hv009	-0.0620000956130001	0.0505350342379865	0.221082412583994	9.85205625283703e-4	0.438422544746644	hv009	number of household members
hv010	-0.00432033934259264	0.118093765941056	0.970847387159888	7.02955723408394e-7	0.984477031383472	hv010	number of eligible women in hh
hv011	-0.177432180854186	0.149248551653387	0.2356886800054	9.80757614156391e-4	0.457849310775796	hv011	number of eligible men in hh
hv012	-0.0604456726825811	0.0506663527610958	0.23405180881764	9.11598640486622e-4	0.456495093550845	hv012	number of de jure members
hv013	-0.0710619722594818	0.0545762099961083	0.19415164089774	0.001244213091396	0.406171633361618	hv013	number of de facto members
hv014	-0.309643735558422	0.10090679513399	0.00239967830661256	0.00291714890753403	0.0100404122554146	hv014	number of children 5 and under
hv016	0.00943741064377937	0.0168987281263086	0.577049392731353	1.85864148060322e-4	0.7780626240354	hv016	day of interview
hv017	0.650604801687679	0.444339984298057	0.1444575401398	0.00106304053163209	0.32306730342572	hv017	number of visits
hv019	-0.00888772227038737	0.0469495138038908	0.850016040152693	2.74465698129056e-5	0.941406709138756	hv019	keyer identification
hv022	-0.0248202682463915	0.0143371879094378	0.0847154129315099	0.00213860050681847	0.244505216757618	hv022	sample stratum number
hv030	-0.00503648390865113	0.00294446868302133	0.0884784101923501	0.00121724616640451	0.248621067754519	hv030	field supervisor
hv032	0.460329255175815	0.312638334379445	0.142233551163372	0.00184713265681402	0.319501030120672	hv032	office editor
hv216	0.00399843827428177	0.0111254035673019	0.719616674879434	2.80904182192732e-5	0.857751961205016	hv216	rooms used for sleeping
hv271	1.65825330523457e-6	9.61310167892443e-7	0.0858268987187622	0.00120497953052767	0.245293796650382	hv271	wealth index factor score (5 decimals)
shdistr	-0.0123673496199224	0.0118350090473781	0.297092318422269	6.56364219815742e-4	0.541233972436741	shdistr	district of residence
sharrond	-0.0207050495627317	0.0143472750757026	0.150297413196699	8.36239424283236e-4	0.333192081948432	sharrond	arrondissement of residence
hv105	0.0409246120187636	0.0157881295260693	0.0101289295695227	0.00597303936427784	0.0384569955246497	hv105	age of household members
hv107	0.0134276139998891	0.013560703381539	0.323093226101089	1.72118486875372e-4	0.567555920821175	hv107	highest year of education
hv108	0.00728354082847808	0.0134994341508827	0.590015848335398	7.11657235574759e-5	0.782747506110463	hv108	education in single years
v004	0.00404407774232893	0.00161842220792587	0.0131376016132203	0.00312245104562936	0.049161098911387	v004	ultimate area unit
v005	3.74796454163102e-8	1.17762943368247e-7	0.750564168956538	1.65434536140041e-4	0.875768185339597	v005	sample weight
v006	-0.123592366651019	0.154420541877266	0.424299149683246	4.64345313657244e-4	0.656715045698764	v006	month of interview
v008	-0.123592366655016	0.154420541876097	0.424299149664784	4.64345313657244e-4	0.656715045698764	v008	date of interview (cmc)
v012	0.0409030325651627	0.0157805049325551	0.0101322226697243	0.00596972802205986	0.0384569955246497	v012	current age - respondent
v016	0.00494433975848718	0.0170560148536178	0.772154062846153	5.14127007941179e-5	0.890901998268705	v016	day of interview
v021	0.00404407774232893	0.00161842220792587	0.0131376016132203	0.00312245104562936	0.049161098911387	v021	primary sampling unit
v022	-0.0248202682463915	0.0143371879094378	0.0847154129315099	0.00213860050681847	0.244505216757618	v022	sample stratum number
v027	-0.208536285646209	0.307095152278266	0.497759150436896	2.56584293004791e-4	0.727373105353069	v027	number of visits
v028	-0.00515746087967459	0.00295758226099256	0.0824834300164068	0.00126537634479673	0.241117589088268	v028	interviewer identification
v029	-0.00888772227038737	0.0469495138038908	0.850016040152693	2.74465698129056e-5	0.941406709138756	v029	keyer identification
v030	-0.00503648390865113	0.00294446868302133	0.0884784101923501	0.00121724616640451	0.248621067754519	v030	field supervisor
v032	0.460329255175815	0.312638334379445	0.142233551163372	0.00184713265681402	0.319501030120672	v032	office editor
v107	0.0309450747049245	0.0212045680416637	0.145790497305681	5.39665954106483e-4	0.32461831490724	v107	highest year of education
v133	0.0215606330147606	0.0229967751703976	0.349425993163359	3.37201506784512e-4	0.595399065396868	v133	education in single years
v136	-0.0620000956130001	0.0505350342379865	0.221082412583994	9.85205625283703e-4	0.438422544746644	v136	number of household members
v137	-0.309643735558422	0.10090679513399	0.00239967830661256	0.00291714890753403	0.0100404122554146	v137	number of children 5 and under
v138	-0.00432033934259264	0.118093765941056	0.970847387159888	7.02955723408394e-7	0.984477031383472	v138	number of eligible women in hh
v152	0.00762914333684235	0.0114335566308312	0.505253150107159	3.7398177569159e-4	0.730386908840462	v152	age of household head
v191	1.65825330523457e-6	9.61310167892443e-7	0.0858268987187622	0.00120497953052767	0.245293796650382	v191	wealth index factor score (5 decimals)
v201	0.0374290301890634	0.0531674472108906	0.482130960517711	3.11261288905129e-4	0.715096735585981	v201	total children ever born
v202	-0.102174210219627	0.153722313062128	0.506906738440163	3.51514533632691e-4	0.730386908840462	v202	sons at home
v203	-0.0868851684872524	0.160701988628486	0.58924744151893	2.51624787870441e-4	0.782409636820689	v203	daughters at home
v204	0.224610828327599	0.13515527875355	0.0978548948629328	0.00141562365406644	0.26071315277609	v204	sons elsewhere
v205	-0.0217734202923629	0.134006804618568	0.871065772703103	1.12851751862264e-5	0.951673724409488	v205	daughters elsewhere
v206	0.536137798303351	0.180161284077679	0.00322274535361974	0.00415871025153891	0.0133014665950213	v206	sons who have died
v207	0.271053108386878	0.217829013504105	0.214598895694772	7.21375547751757e-4	0.428916165542176	v207	daughters who have died
v505	0.0196106337900033	0.00771450618807888	0.0116585580098472	0.00347708178082373	0.0439504550717755	v505	number of other wives
v507	2.61106083050075e-4	0.0342150299058928	0.99391756076307	2.9856146332996e-8	0.99391756076307	v507	month of first marriage
v508	-0.0100726341537592	0.0151069650896672	0.505577656665143	2.66108600580295e-4	0.730386908840462	v508	year of first marriage
v509	-8.41385633286047e-4	0.0012710820374625	0.508649961556943	2.66649870015123e-4	0.732205946551252	v509	date of first marriage (cmc)
v511	0.0425132655148807	0.0222375513625776	0.05711062627828	0.00154684528658844	0.179339141900661	v511	age at first marriage
v512	0.0103837818183732	0.0151912664099785	0.494935744317114	2.82608943076967e-4	0.726191848357384	v512	years since first marriage
v525	-0.00513539396861464	0.0164614838850187	0.755340841168338	5.18133312367164e-5	0.878826662413582	v525	age at first intercourse
v527	0.00158713543671744	0.00104387970449526	0.129732869242633	0.00138223398462878	0.303507157997742	v527	time since last intercourse
v528	0.0142794643076097	0.00784508114551574	0.0699875356793396	0.00143514617883667	0.211490112777052	v528	time since last intercourse(g)
v529	5.41182597374712e-4	9.98735304535603e-4	0.588416447077627	2.19867901779525e-5	0.782284517015918	v529	time since last intercourse(imputed)
v531	-0.0072935903371404	0.0172626270658748	0.67303604267218	1.00490947097076e-4	0.831979651247905	v531	age at first intercourse (imp)
v537	-0.00350793181208726	0.011384537727308	0.758256574770877	1.22059571370126e-4	0.880201801353693	v537	months of abstinence
v730	0.0161061026794989	0.0124075002095817	0.195516844142215	0.00101858184759029	0.407907059765197	v730	partners age
