var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
hv105	1	0.0988376722850983	0.0219259767707591	1.02810517789808e-5	0.0180412082260438	3.0508131246385e-5	hv105	age of household members
v012	1	0.0987905988487498	0.021924012979622	1.03591202835211e-5	0.0180292949546366	3.06773135225411e-5	v012	current age - respondent
v201	1	0.196103894139902	0.0382867655698275	6.24489472777744e-7	0.00830258372427595	1.86069767246866e-6	v201	total children ever born
v013_6	1	1.40347017675349	0.307420345093815	8.00000093712539e-6	0.00746234884289132	2.37877578885545e-5	v013	age 5-year groups
v770t_0	1	16.0044042096988	0.726158875538641	6.775306e-49	0.00691217780705944	3.09455198808777e-48	v770t	seek advice sti: shop
v770x_0	1	16.8108216758814	0.69748867253398406	1.904061e-53	0.0067357589150947	9.94342966666667e-53	v770x	seek advice other
v770m_0	1	16.8419536373209	0.764450861806458	7.077378e-49	0.00631608886772084	3.222418670625e-48	v770m	seek advice sti: pharmacy
v770p_0	1	15.9286098683459	0.706435950753985	4.878802e-50	0.00624333903343177	2.38537399798658e-49	v770p	seek advice sti: cs private doctor
v784a_1	1	1.18445838437587	0.401302042379836	0.0034780230444314	0.00588856722232101	0.00978277910373851	v784a	place for aids test: govt hospital
v784a_0	1	-1.16922620349599	0.400964983026878	0.00388376676069685	0.00572903092783739	0.0109029829871586	v784a	place for aids test: govt hospital
v204	1	0.446627999241351	0.111300604542696	8.04043152142465e-5	0.00568533836515062	2.37624923462793e-4	v204	sons elsewhere
hv101_1	1	1.11695024587695	0.418244318844329	0.00809445441183033	0.00537151201742336	0.0222521133547864	hv101	relationship to head
v150_1	1	1.11695024587695	0.418244318844329	0.00809445441183033	0.00537151201742336	0.0222521133547864	v150	relationship to household head
v205	1	0.376496322171088	0.0961408392820383	1.17592508223303e-4	0.00508512247343074	3.46826486804357e-4	v205	daughters elsewhere
hv101_08_13	1	-15.9748482824306	0.490972540067395	6.108776e-74	0.00498795084862214	5.97348096107383e-73	hv101_08	relationship to head
v770v_0	1	15.8691894961558	0.712342333362015	1.970826e-49	0.00492402217457732	9.60365713043478e-49	v770v	seek advice sti: cs spiritual medecine center
v770g_0	1	15.8587425738185	0.714250626720648	2.894839e-49	0.00481785790467815	1.39661603410596e-48	v770g	seek advice sti: cs public health post
sh15a_07_3	1	-15.2958812835093	0.521687871917313	1.858371e-66	0.00472587264878332	1.47154703641304e-65	sh15a_07	level of education
v770a_9	1	-15.8802601663701	0.716177277402271	3.377234e-49	0.00468577055499531	1.5571650613924e-48	v770a	seek advice sti: govt hospital
v770b_9	1	-15.8802601663701	0.716177277402271	3.377234e-49	0.00468577055499531	1.5571650613924e-48	v770b	seek advice sti: health center
v770g_9	1	-15.8802601663701	0.716177277402271	3.377234e-49	0.00468577055499531	1.5571650613924e-48	v770g	seek advice sti: cs public health post
v770k_9	1	-15.8802601663701	0.716177277402271	3.377234e-49	0.00468577055499531	1.5571650613924e-48	v770k	seek advice sti: private hosp/clinic/doctor
v770m_9	1	-15.8802601663701	0.716177277402271	3.377234e-49	0.00468577055499531	1.5571650613924e-48	v770m	seek advice sti: pharmacy
v770p_9	1	-15.8802601663701	0.716177277402271	3.377234e-49	0.00468577055499531	1.5571650613924e-48	v770p	seek advice sti: cs private doctor
v770q_9	1	-15.8802601663701	0.716177277402271	3.377234e-49	0.00468577055499531	1.5571650613924e-48	v770q	seek advice sti: cs private nursing facilities
v770r_0	1	15.8802601667503	0.716177292893174	3.377242e-49	0.00468577055499531	1.5571650613924e-48	v770r	seek advice sti: cs private association for family wellbeing
