name	estimate	se	p.value	Nag.r2	adj.p.val
hv003	0.141426764830757	0.0912903368990728	0.122662928925566	0.000469659689003032	0.249260651944979
hv005	-2.11645810943389e-07	9.1815455509609e-08	0.0220209222688355	0.00267373672339211	0.0567866968950324
hv008	0.319404902912129	0.165900734409715	0.0553863962631934	0.00191189103211631	0.128910510152512
hv009	-0.0597443738015924	0.058818617915249	0.310785073228407	0.000570546051211318	0.504247050883952
hv010	-0.104743270756179	0.162288689905134	0.519281137569096	0.000186280185686338	0.711083287065952
hv011	-0.407941194891917	0.203215755909337	0.0458346433448389	0.00254221003924959	0.108235130232464
hv012	-0.0744824907159399	0.0620988921594596	0.231558400608511	0.000839234415268231	0.411942111949451
hv013	-0.061240798549684	0.0599593508395619	0.308115321088322	0.000583461543054331	0.502714471249368
hv014	-0.342154773137786	0.143445633883318	0.017850745971246	0.00180937687087268	0.0467779440289666
hv016	0.0182543617409288	0.028764021344821	0.526282705334206	0.000408397644440006	0.716495442127892
hv017	-0.3804909227892	0.827713864380581	0.646159124943716	0.000107368495164906	0.803339282871544
hv019	-0.000232966582291232	0.0676030233683082	0.997253304491395	1.110578e-08	0.998637673929046
hv022	0.0141187478587171	0.0180967442731879	0.436059168438855	0.000432014002329839	0.638530862729057
hv030	-0.00409286069538935	0.00521727949427201	0.433537579286097	0.000500311673442555	0.636758319576455
hv032	-0.0985199970874549	0.354918957242486	0.781572309662196	5.46317957283993e-05	0.887568866077802
hv216	-0.284940428016852	0.126783773565806	0.0255278729264151	0.00229854730263668	0.064911188226504
hv271	-2.00346668758999e-06	1.57606569012978e-06	0.204904789062958	0.000970567771468867	0.377222080393067
shdistr	0.00237192545450867	0.01379229470792	0.86360357576048	1.57512622195322e-05	0.933846985300884
sharrond	0.00281619916431602	0.0222016778824609	0.899169203494099	9.94326732772777e-06	0.950028665330603
hv105	0.0988376722850983	0.0219259767707591	1.02810517789808e-05	0.0180412082260438	3.0508131246385e-05
hv107	0.018489165980125	0.020214340252105	0.361298016827298	0.000123567848714146	0.557638994192133
hv108	0.0250192453498682	0.0108119721429015	0.0215185351191491	0.000614709503014677	0.0555895490578018
v004	0.00497675030371509	0.00270887418075331	0.0674268088057875	0.00269649609526579	0.15231141151943
v005	-2.66249494019353e-07	9.93397008204011e-08	0.00787210578296911	0.00341950086206966	0.0217640571646793
v006	0.346246950282594	0.169520666905365	0.0422035643676275	0.00226707542546067	0.100310918896628
v008	0.346246950282624	0.169520666905223	0.0422035643674382	0.00226707542546078	0.100310918896628
v012	0.0987905988487498	0.021924012979622	1.03591202835211e-05	0.0180292949546366	3.06773135225411e-05
v016	0.00307127852846907	0.030645934769391	0.920255514239154	1.18332924777809e-05	0.965307620047838
v021	0.00497675030371509	0.00270887418075331	0.0674268088057875	0.00269649609526579	0.15231141151943
v022	0.0141187478587171	0.0180967442731879	0.436059168438855	0.000432014002329839	0.638530862729057
v027	0.132190614182165	0.25024011305568	0.597814504008114	0.000143484436132435	0.776746250087639
v028	-0.00388386947409757	0.00517865572570988	0.454009656992872	0.000458968336572996	0.654771766059345
v029	-0.000232966582291232	0.0676030233683082	0.997253304491395	1.110578e-08	0.998637673929046
v030	-0.00409286069538935	0.00521727949427201	0.433537579286097	0.000500311673442555	0.636758319576455
v032	-0.0985199970874549	0.354918957242486	0.781572309662196	5.46317957283993e-05	0.887568866077802
v107	0.0182699540435507	0.0204280327110558	0.372034446813589	0.000119944694469631	0.569525712178433
v133	0.0345034815392622	0.0125533553735776	0.00644482367697369	0.000902590553170324	0.0180232401100781
v136	-0.0597443738015924	0.058818617915249	0.310785073228407	0.000570546051211318	0.504247050883952
v137	-0.342154773137786	0.143445633883318	0.017850745971246	0.00180937687087268	0.0467779440289666
v138	-0.104743270756179	0.162288689905134	0.519281137569096	0.000186280185686338	0.711083287065952
v152	0.0102944501989274	0.0082264049197397	0.212020415314908	0.000399763587306423	0.385179233309004
v191	-2.00346668758999e-06	1.57606569012978e-06	0.204904789062958	0.000970567771468867	0.377222080393067
v201	0.196103894139902	0.0382867655698275	6.24489472777744e-07	0.00830258372427595	1.86069767246866e-06
v202	0.270317887916123	0.128117859268541	0.0359098621304193	0.00178732977945162	0.0879338976874301
v203	0.209282890816505	0.184677990823985	0.258257378901363	0.00105366272884633	0.446168645050734
v204	0.446627999241351	0.111300604542696	8.04043152142465e-05	0.00568533836515062	0.000237624923462793
v205	0.376496322171088	0.0961408392820383	0.000117592508223303	0.00508512247343074	0.000346826486804357
v206	0.574292782438591	0.227770516385663	0.0123443714672636	0.00207067256692972	0.0331840391656883
v207	0.345449604530332	0.248191169047486	0.165261407126104	0.000653787797482042	0.322769262979536
v505	-0.342194091096474	0.547081098744294	0.532250941033578	0.000473510104448738	0.72071526123227
v507	-0.00154824685744396	0.0613050946923397	0.979872902381197	9.5843807090823e-07	0.991304542037138
v508	-0.0543935570255829	0.0240810756254941	0.0248037007612673	0.00571759697512941	0.0632907040440744
v509	-0.00454835585426724	0.00199819813654767	0.0237214013152096	0.00573839538629495	0.060741795634904
v511	0.0630124756338808	0.0353595997490382	0.0760164243972652	0.00403054631865551	0.168835259675023
v512	0.0542605182950918	0.0238101673295547	0.0235607074781159	0.00570780436597496	0.0604365330908712
v525	0.018120760707263	0.00673651862133216	0.00765274250129109	0.000566480793632751	0.0212787134053075
v527	-0.000363997607222303	0.00172833523712098	0.833375003376219	3.14416235929205e-05	0.91778335594796
v528	3.21378786335071e-05	0.0128901447732184	0.998012794270854	4.073045e-09	0.998637673929046
v529	-0.0263049168716862	0.0278429778508454	0.345739807092677	0.000456342164452672	0.539917362201533
v531	0.0178007955225666	0.0068268373442439	0.00969780477323441	0.000539190802976819	0.0264601152707913
v537	-0.0679826960583167	0.0498236526394578	0.173802361031414	0.00312502219818322	0.334517886423739
v730	0.0546967708154527	0.0174358302812695	0.0019227130152256	0.00690662300006728	0.0055254297104215
v766a	-0.169771633710808	0.129695799321114	0.191797237689542	0.000766053706029224	0.359597177663086
v766b	-0.0599171933708139	0.0700240449733651	0.393043163529725	0.000202659533328653	0.594049677658516
v832b	-0.00012180361907011	0.00158318736208787	0.938746582919717	3.49532629939642e-06	0.970887786852628
v836	0.0169094712234207	0.00448697848861426	0.000207085697604752	0.00379608123663533	0.000609543154363886
v801	-8.88330125291562e-05	0.000191957242292996	0.643948488295091	6.09464864232967e-05	0.802509800030666
v802	-6.07588777528238e-06	8.99440854273728e-05	0.946199114837178	1.0853957693735e-06	0.975663206169687
v803	0.00126586505045064	0.00685084278532823	0.853562805528582	7.99181292243656e-06	0.932264623429643
sdistr	0.00237192545450867	0.01379229470792	0.86360357576048	1.57512622195322e-05	0.933846985300884
sarrond	0.00281619916431602	0.0222016778824609	0.899169203494099	9.94326732772777e-06	0.950028665330603
shivwgt	-2.69909624059895e-07	9.96435987067952e-08	0.0072443132366649	0.00348229512345599	0.0201815762635196
s308_01	0.0546967708154527	0.0174358302812695	0.0019227130152256	0.00690662300006728	0.0055254297104215
s333ca	6.43249473445994e-05	0.000711255058829206	0.92801470982307	1.52929054630935e-06	0.970200586427924
s333cb	-0.000470976870558264	0.00237848210278382	0.843219854412468	2.87173668864771e-05	0.925826170217759
hv105_01	0.0102944501989274	0.0082264049197397	0.212020415314908	0.000399763587306423	0.385179233309004
hv105_02	0.0153631305086077	0.00785204170234134	0.0515665648313494	0.000831730055361413	0.120597889180218
hv105_03	-0.00876610575382947	0.0118305640120297	0.459441413819119	0.000185054625137959	0.658864310959111
hv105_04	-0.00458782460632682	0.0176146292720628	0.794737745546634	4.03832501355561e-05	0.895472165265677
hv105_05	-0.0393712535730646	0.021811522630866	0.0723551802420216	0.0021572653109545	0.161937784351191
hv105_06	-0.0354997094957508	0.0296697266662313	0.232796766236462	0.00198541064300939	0.412866779740297
hv105_07	-0.0105260457812205	0.00865399805171743	0.225295935827804	0.000268073348532627	0.403759137147737
hv105_08	-0.0321178776002316	0.0276851285846747	0.247668598681351	0.00186388887061562	0.432489631453353
hv105_09	-0.00571469142359937	0.0187814770987552	0.76143014597116	2.38383034211198e-05	0.874234612040961
hv107_01	0.0133588215781694	0.0264578290762902	0.614089265786369	5.55703970465116e-05	0.784849175658544
hv107_02	-0.0170469174963431	0.047908756188072	0.722290178678142	4.73063668416929e-05	0.850749224198911
hv107_03	0.0281674735542325	0.0281525927803049	0.318070927157553	0.000132656591605773	0.512403970650078
hv107_04	-0.131619861604881	0.124343877119601	0.29092632029921	0.00141271439000745	0.479501865018042
hv107_05	-0.177428971902496	0.127355779144331	0.16498560821171	0.00204744616432684	0.322769262979536
hv107_06	0.0204690857011176	0.0147865371162652	0.167863414173942	0.000235389137117847	0.326102659268578
hv107_07	-0.220090497305371	0.121833483183505	0.0727099678088213	0.00354536937359706	0.162482244014498
hv107_08	0.0138553072524521	0.0146332038773296	0.345671603154139	0.000153675121133734	0.539917362201533
hv108_01	0.00578367083501256	0.0133674909460473	0.665648580489217	3.23346096373633e-05	0.816372038529284
hv108_02	0.00560831285236993	0.00685635483851582	0.414190789147452	4.12359225316905e-05	0.618315553061309
hv108_03	-0.0213120919801988	0.0293162971999282	0.467958284281045	0.000236098566967047	0.667791596667466
hv108_04	0.0160380495170649	0.0135668492214858	0.238325950440442	0.000443632237144276	0.41836254191774
hv108_05	-0.0918538776262123	0.0523785066129345	0.0808043454372307	0.00293846254792585	0.178381714094008
hv108_06	-0.0391651341934376	0.0654491957530341	0.550188036828472	0.000668982675947727	0.73476074212565
hv108_07	0.00575965253986559	0.0150163821312502	0.701713534950445	3.29660328738379e-05	0.83327917891494
hv108_08	-0.0183450130226342	0.0390592585103422	0.639206236961703	0.000303200145545524	0.800619479774013
hv108_09	-0.00224107389346072	0.00958822229262503	0.815578519476469	5.80595117738447e-06	0.906369681646518
hivnumb	0.000313958609282115	0.0145097946218046	0.982755088398681	2.22786112780149e-07	0.991304542037138
hivline	-0.400298728077668	0.154105054357968	0.00997382043260652	0.00593792480237521	0.0271116723326636
hiv02	2.98522654875662e-05	3.70464341366937e-05	0.421158670970569	0.00035245011287599	0.62495081279783
hv024_1	0.088165109729586	0.573335358014726	0.877916815555758	4.20698960790222e-06	0.939483957401368
hv024_2	-0.1409468765743	0.548927248727039	0.797579807474161	2.46056705319742e-05	0.895472165265677
hv024_3	-0.352464063862542	0.680362494724852	0.604902291996297	5.77781241553055e-05	0.776746250087639
hv024_4	0.352408900210095	0.609332008347193	0.5635727791311	0.000246907994903012	0.739752738012624
hv024_5	0.521829379590115	0.411455958377387	0.205947550980252	0.000496435657141525	0.377440983368839
hv024_6	0.14442641135663	0.419453435226579	0.730909316396647	2.27439635849258e-05	0.853001540655532
hv024_7	-1.05464549608524	0.765198537235337	0.169416114417257	0.000494518164304014	0.326939441994627
hv024_8	-1.63238924746438	0.964232171815431	0.0917749783086546	0.000411922692447053	0.197258823716177
hv024_9	0.341242395938188	0.351838276637527	0.333088810224555	7.14188938215621e-05	0.52649343098838
hv024_10	0.24222719525776	0.385714412275884	0.530608529808358	5.84194189909848e-05	0.719568844247781
hv024_11	-1.05825658622154	0.499318170723954	0.0350921952047277	0.0044380795616179	0.0863671088062302
hv024_12	0.797634854518711	0.381256860899299	0.0374877557110721	0.00303833973133127	0.0905798674478143
hv025_1	-0.114416108283462	0.332705145627484	0.731227813506353	7.0037814409063e-05	0.853001540655532
hv025_2	0.114416108283461	0.332705145627483	0.731227813506355	7.0037814409063e-05	0.853001540655532
hv026_0	-1.05825658622154	0.499318170723954	0.0350921952047277	0.0044380795616179	0.0863671088062302
hv026_1	0.678782434036853	0.366137555446905	0.0649907361428583	0.00234537037327276	0.147854970850965
hv026_2	0.486076737977311	0.369750255277118	0.18990698876653	0.000369979135329546	0.357025138881076
hv026_3	0.103640709422109	0.337056265278454	0.758740961367829	5.41421601641945e-05	0.871834054190005
hv205_11	0.133181865852332	0.75384639482922	0.859918036289223	1.72543395039471e-05	0.933846985300884
hv205_21	-0.273367180893056	0.426633529682738	0.52229892823298	0.000183664926704075	0.713873863447891
hv205_22	0.0296225316400224	0.298575951565761	0.921052890681097	3.93532285958287e-06	0.965448965267884
hv205_31	0.327303564760467	0.457946898216094	0.475482852732749	0.00021121686058323	0.672992318807626
hv205_96	-11.7760516193928	0.479523936526917	3.478572e-67	8.7006546012347e-05	2.76955158688525e-66
hv205_99	-1.21547092477288	1.17407072142536	0.301597265121324	0.000139911226167855	0.492631407266557
hv206_0	0.449442129299133	0.336100655181495	0.182425891182513	0.00102066377353627	0.347898590906965
hv206_1	-0.445324024040438	0.33610986882743	0.186463070193256	0.00100164417769455	0.352369251973507
hv206_9	-10.6395248237426	0.470414774137626	3.214765e-61	4.55507012007139e-05	2.20939273820755e-60
