name	estimate	se	p.value	Nag.r2	adj.p.val
hv003	-0.155666052738531	0.161834363198054	0.3370835868301	0.000300099904908535	0.563228271665484
hv005	-3.48891852774706e-07	1.33635103271445e-07	0.0096071746889065	0.0041550623241019	0.0240926038830609
hv008	0.170057537824491	0.185031699292205	0.358988193926139	0.000418930572597453	0.578981426560802
hv009	-0.0344596011136451	0.0577173653425504	0.551047924265946	0.000161178721597155	0.746243507393264
hv010	-0.0743744149473782	0.17764658740067	0.675838510787331	8.37088419709531e-05	0.824198732390207
hv011	-0.22262283611946	0.220775852388648	0.31430291751606	0.000652731338598556	0.533139995599672
hv012	-0.0291658996113354	0.0589125345139712	0.621006597520576	0.000113694963595923	0.785583982865762
hv013	-0.0357965669606355	0.0584536097397359	0.54086258025566	0.000170333859891292	0.741430524700909
hv014	0.0617513726621714	0.207507502068695	0.766278587412931	6.1105235910297e-05	0.878610207142197
hv016	0.0174759789999923	0.0203450428025846	0.391216017757007	0.000287362328367124	0.606238695606376
hv017	-0.983527332312673	0.803221252406643	0.22198231699159	0.000390710425011598	0.413622010882676
hv019	-0.00639433173170316	0.0536885597686645	0.905296239348722	6.92817257264e-06	0.9490903534544
hv022	-0.00922295074922181	0.0176795418174183	0.602382713523617	0.00014494324125669	0.777936017404198
hv030	-0.000378645129162956	0.00384528229622362	0.921641937499125	3.30110547619444e-06	0.957241840664327
hv032	0.552718069609689	0.355691489533581	0.121530919740019	0.00124642918858675	0.252812171149724
hv216	-0.136774469729887	0.140867737041649	0.332562636000007	0.000526848201117258	0.558243869909838
hv271	-9.66215264761089e-07	1.55916884403924e-06	0.536048835334752	0.000176182753539811	0.738465757975389
shdistr	0.00756697119837579	0.0134685386143429	0.57476346794591	0.00012733121590236	0.762795348944415
sharrond	0.00440324716027995	0.0196528137727672	0.822909256051884	1.95771827614655e-05	0.905886459277737
hv105	0.0435434491144468	0.0163451785095801	0.00824961504373095	0.00292424513596956	0.0207598631603073
hv107	0.0274647392103057	0.0130004863285252	0.0356774699689068	0.000604844868987486	0.0850635244578862
hv108	0.0155858300519564	0.015450312386921	0.314108857186322	0.000228207126814151	0.533139995599672
v004	0.00612687597269875	0.00226461217715677	0.00731371425970336	0.00317579319659433	0.0184687184436335
v005	-3.92752333997931e-07	1.52318214506817e-07	0.0105253063832396	0.00440458856338577	0.026079769400109
v006	0.157876311208632	0.182192309835707	0.387068684674107	0.000367020012552843	0.602383419238792
v008	0.157876311208463	0.182192309836304	0.387068684676166	0.000367020012552843	0.602383419238792
v012	0.0437978717481781	0.0163082465930837	0.007748976071767	0.00295907491212832	0.0195338771809126
v016	0.0156959139321281	0.0203306302617127	0.440860899819068	0.000232450017372265	0.656097174127583
v021	0.00612687597269875	0.00226461217715677	0.00731371425970336	0.00317579319659433	0.0184687184436335
v022	-0.00922295074922181	0.0176795418174183	0.602382713523617	0.00014494324125669	0.777936017404198
v027	-0.613531104937942	0.37632817237232	0.104358928555209	0.0012428783816304	0.223399899668871
v028	-0.000150408584421183	0.00378983625994487	0.968375652532779	5.26612980999985e-07	0.977827159489351
v029	-0.00639433173170316	0.0536885597686645	0.905296239348722	6.92817257264e-06	0.9490903534544
v030	-0.000378645129162956	0.00384528229622362	0.921641937499125	3.30110547619444e-06	0.957241840664327
