var	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
hv003	-0.155666052738531	0.161834363198054	0.3370835868301	3.00099904908535e-4	0.563228271665484	hv003	respondent's line number
hv005	-3.48891852774706e-7	1.33635103271445e-7	0.0096071746889065009	0.0041550623241019	0.0240926038830609	hv005	sample weight
hv008	0.170057537824491	0.185031699292205	0.358988193926139	4.18930572597453e-4	0.578981426560802	hv008	date of interview (cmc)
hv009	-0.0344596011136451	0.0577173653425504	0.551047924265946	1.61178721597155e-4	0.746243507393264	hv009	number of household members
hv010	-0.0743744149473782	0.17764658740067	0.675838510787331	8.37088419709531e-5	0.824198732390207	hv010	number of eligible women in hh
hv011	-0.22262283611946	0.220775852388648	0.31430291751606	6.52731338598556e-4	0.533139995599672	hv011	number of eligible men in hh
hv012	-0.0291658996113354	0.0589125345139712	0.621006597520576	1.13694963595923e-4	0.785583982865762	hv012	number of de jure members
hv013	-0.0357965669606355	0.0584536097397359	0.54086258025566	1.70333859891292e-4	0.741430524700909	hv013	number of de facto members
hv014	0.0617513726621714	0.207507502068695	0.766278587412931	6.1105235910297e-5	0.878610207142197	hv014	number of children 5 and under
hv016	0.0174759789999923	0.0203450428025846	0.391216017757007	2.87362328367124e-4	0.606238695606376	hv016	day of interview
hv017	-0.983527332312673	0.803221252406643	0.22198231699159	3.90710425011598e-4	0.41362201088267597	hv017	number of visits
hv019	-0.00639433173170316	0.0536885597686645	0.905296239348722	6.92817257264e-6	0.9490903534544	hv019	keyer identification
hv022	-0.00922295074922181	0.0176795418174183	0.602382713523617	1.4494324125669e-4	0.777936017404198	hv022	sample stratum number
hv030	-3.78645129162956e-4	0.00384528229622362	0.921641937499125	3.30110547619444e-6	0.957241840664327	hv030	field supervisor
hv032	0.55271806960968894	0.355691489533581	0.121530919740019	0.00124642918858675	0.252812171149724	hv032	office editor
hv216	-0.136774469729887	0.140867737041649	0.332562636000007	5.26848201117258e-4	0.558243869909838	hv216	rooms used for sleeping
hv271	-9.66215264761089e-7	1.55916884403924e-6	0.536048835334752	1.76182753539811e-4	0.738465757975389	hv271	wealth index factor score (5 decimals)
shdistr	0.00756697119837579	0.0134685386143429	0.57476346794591	1.2733121590236e-4	0.762795348944415	shdistr	district of residence
sharrond	0.00440324716027995	0.0196528137727672	0.822909256051884	1.95771827614655e-5	0.905886459277737	sharrond	arrondissement of residence
hv105	0.0435434491144468	0.0163451785095801	0.00824961504373095	0.00292424513596956	0.0207598631603073	hv105	age of household members
hv107	0.0274647392103057	0.0130004863285252	0.0356774699689068	6.04844868987486e-4	0.0850635244578862	hv107	highest year of education
hv108	0.0155858300519564	0.015450312386921	0.314108857186322	2.28207126814151e-4	0.533139995599672	hv108	education in single years
v004	0.00612687597269875	0.00226461217715677	0.00731371425970336	0.00317579319659433	0.0184687184436335	v004	ultimate area unit
v005	-3.92752333997931e-7	1.52318214506817e-7	0.0105253063832396	0.00440458856338577	0.026079769400109	v005	sample weight
v006	0.157876311208632	0.182192309835707	0.387068684674107	3.67020012552843e-4	0.602383419238792	v006	month of interview
v008	0.157876311208463	0.182192309836304	0.387068684676166	3.67020012552843e-4	0.602383419238792	v008	date of interview (cmc)
v012	0.0437978717481781	0.0163082465930837	0.007748976071767	0.00295907491212832	0.0195338771809126	v012	current age - respondent
v016	0.0156959139321281	0.0203306302617127	0.440860899819068	2.32450017372265e-4	0.656097174127583	v016	day of interview
v021	0.00612687597269875	0.00226461217715677	0.00731371425970336	0.00317579319659433	0.0184687184436335	v021	primary sampling unit
v022	-0.00922295074922181	0.0176795418174183	0.602382713523617	1.4494324125669e-4	0.777936017404198	v022	sample stratum number
v027	-0.613531104937942	0.37632817237232	0.104358928555209	0.0012428783816304	0.223399899668871	v027	number of visits
v028	-1.50408584421183e-4	0.00378983625994487	0.968375652532779	5.26612980999985e-7	0.977827159489351	v028	interviewer identification
v029	-0.00639433173170316	0.0536885597686645	0.905296239348722	6.92817257264e-6	0.9490903534544	v029	keyer identification
v030	-3.78645129162956e-4	0.00384528229622362	0.921641937499125	3.30110547619444e-6	0.957241840664327	v030	field supervisor
v032	0.55271806960968894	0.355691489533581	0.121530919740019	0.00124642918858675	0.252812171149724	v032	office editor
v107	0.0272121200234777	0.0131735831665233	0.0399434973382063	5.85764918277554e-4	0.0939999321476103	v107	highest year of education
v133	0.0242749779040511	0.017200734934485	0.159469251600982	4.19595674793327e-4	0.318062298522838	v133	education in single years
v136	-0.0344596011136451	0.0577173653425504	0.551047924265946	1.61178721597155e-4	0.746243507393264	v136	number of household members
v137	0.0617513726621714	0.207507502068695	0.766278587412931	6.1105235910297e-5	0.878610207142197	v137	number of children 5 and under
v138	-0.0743744149473782	0.17764658740067	0.675838510787331	8.37088419709531e-5	0.824198732390207	v138	number of eligible women in hh
v152	0.00173544772002584	0.0115632059981995	0.880825761314288	8.43327920929671e-6	0.939682909951251	v152	age of household head
v191	-9.66215264761089e-7	1.55916884403924e-6	0.536048835334752	1.76182753539811e-4	0.738465757975389	v191	wealth index factor score (5 decimals)
v201	0.14195814798572	0.0397808932842504	4.34122375268923e-4	0.00337265887230498	0.00115026585563956	v201	total children ever born
v202	0.233022383813275	0.116377284423242	0.0463870257785588	0.00122059319218937	0.108635421662044	v202	sons at home
v203	0.254612920899615	0.159475060902845	0.111688730584217	0.00120731092774973	0.235373057776899	v203	daughters at home
v204	0.262321395213811	0.0917756111724874	0.00463678519979555	0.00126023410103104	0.0118740954322807	v204	sons elsewhere
v205	0.323010562294739	0.117355268132209	0.0063715074362704904	0.00240365809711673	0.0161738265689943	v205	daughters elsewhere
v206	0.267056572407632	0.277912100133702	0.337558083463473	3.03265102259753e-4	0.563372801366624	v206	sons who have died
v207	0.164858736800969	0.269472173072947	0.541264708114989	7.10274756891005e-5	0.741430524700909	v207	daughters who have died
v505	-0.200190465821805	0.780027926972902	0.797675287029521	5.03068420704245e-4	0.889889415018056	v505	number of other wives
v507	0.00614704316755823	0.0435992661165484	0.887997918332272	8.56715174846201e-6	0.942702697637722	v507	month of first marriage
v508	-0.0450088189737984	0.0241163752699314	0.0632320231655721	0.00253261716558029	0.143907363066474	v508	year of first marriage
v509	-0.00374781519713996	0.00202363565379934	0.0652664440056226	0.00252581675181007	0.148073244837756	v509	date of first marriage (cmc)
v511	0.0110415837226414	0.0317943965123518	0.728688560222984	7.89163159606865e-5	0.862311156840891	v511	age at first marriage
v512	0.0430766468920891	0.0242825827598248	0.0773515583482975	0.00230552971717601	0.173592678086133	v512	years since first marriage
v525	-0.00116386566784715	0.0124842797444693	0.925802054604431	1.56457306876856e-6	0.958562350951314	v525	age at first intercourse
v527	-0.00338188356362464	0.00181756417889557	0.0640243600380867	0.00148335822183943	0.145482583372929	v527	time since last intercourse
v528	-0.0419417549442926	0.0141856679966206	0.00342314763696018	0.00369307465413315	0.00882843760011755	v528	time since last intercourse(g)
v529	-0.255651899620068	0.155243750274348	0.100923534075141	0.00342884253337783	0.217419838986802	v529	time since last intercourse(imputed)
v531	-0.00140738988318916	0.0125987236454112	0.91114835535214	2.26702399763745e-6	0.951789505015329	v531	age at first intercourse (imp)
v537	-0.0417217527675838	0.0323036862805035	0.197869083402461	4.36467178658861e-4	0.381809234309533	v537	months of abstinence
v730	0.0470993484618444	0.025070550223914	0.0615167449733941	0.00261802198526839	0.140665060947037	v730	partners age
v766a	-0.0602297095664988	0.057453059599503	0.295550448172496	1.77202010154032e-4	0.509666568582499	v766a	no. other than husband had sex in last 12 months
v766b	-0.0181804366023725	0.0205448483825861	0.377095814003605	4.81028916458071e-5	0.59645220254165	v766b	no. had sex including husband in last 12 months
v832b	0.00429198563817851	0.00153427432765773	0.00562342252161569	0.0134836894480994	0.0143501045718559	v832b	time since last intercourse with next to last sexual partner
v836	0.0132593999643665	0.0052609601957726	0.0123795021162923	0.00135755770249046	0.0306218689486481	v836	total lifetime number of sexual partners
v801	2.49157380001091e-4	9.43245839389398e-5	0.00880112626755682	0.00172171795880716	0.0221094037032742	v801	time interview started
v802	9.54460698043701e-5	7.83923884888209e-5	0.224603632278224	3.04030708190628e-4	0.41386354577155	v802	time interview ended
v803	0.0136707007236394	0.00758441142612398	0.0727360400922874	0.00128717369328624	0.163994922692549	v803	length of interview in minutes
sdistr	0.00756697119837579	0.0134685386143429	0.57476346794591	1.2733121590236e-4	0.762795348944415	sdistr	district of residence
sarrond	0.00440324716027995	0.0196528137727672	0.822909256051884	1.95771827614655e-5	0.905886459277737	sarrond	arrondissement of residence
shivwgt	-3.99927439251728e-7	1.53475756263042e-7	0.00974389843759644	0.00450548534005835	0.0243530805783878	shivwgt	hiv sample weights
s308_01	0.0470993484618444	0.025070550223914	0.0615167449733941	0.00261802198526839	0.140665060947037	s308	NA
s333ca	0.00246774646503797	0.001717612322695	0.152107748529343	0.00196310143400158	0.306750626200842	s333ca	time since first intercourse with last partner
s333cb	0.0013832741409033	0.00156277396488154	0.377060735436177	5.87243030484519e-4	0.59645220254165	s333cb	time since first intercourse with last partner (1)
hv105_01	0.00173544772002584	0.0115632059981995	0.880825761314288	8.43327920929671e-6	0.939682909951251	hv105	age of household members
hv105_02	0.00516004228099506	0.0125331639691156	0.680921747124689	7.41516995698133e-5	0.826670883632984	hv105	age of household members
hv105_03	-0.00566480394206995	0.0189848531506625	0.76566933453382	6.11951539665201e-5	0.878610207142197	hv105	age of household members
hv105_04	-0.00123773637830553	0.0277491938114535	0.964460029557781	2.50394288481282e-6	0.977827159489351	hv105	age of household members
hv105_05	-0.02903739761084	0.0218101557073677	0.184346319382874	0.00125088646793836	0.360256871795334	hv105	age of household members
hv105_06	-0.0314112334898574	0.0230525264386382	0.174343214429046	0.00131041936806897	0.343016730827879	hv105	age of household members
hv105_07	-0.00528768230324157	0.0315730973495579	0.867156513338785	6.62348770609222e-5	0.93544669938181	hv105	age of household members
hv105_08	-0.0202994959631664	0.0373605435851936	0.587571387923644	7.45515204651603e-4	0.766915687788493	hv105	age of household members
hv105_09	-0.00916170105072322	0.0299555801667396	0.760206090792881	7.6658822384057e-5	0.874658671815581	hv105	age of household members
hv107_01	-0.0533213692057077	0.0812715197318115	0.512400488111715	2.17205901038464e-4	0.716768312849913	hv107	highest year of education
hv107_02	0.0281535019700247	0.0123872510441779	0.0239318084918896	0.00157631652651102	0.0577225679904048	hv107	highest year of education
hv107_03	0.201194001279264	0.149348068394522	0.179219078046874	0.00211260195306695	0.350709031434045	hv107	highest year of education
hv107_04	-0.0410891760153938	0.0938193560239178	0.661824130773358	1.5178572256469e-4	0.815070939680166	hv107	highest year of education
hv107_05	-0.115876742846491	0.167965870265515	0.490982080886311	7.37000179813374e-4	0.698148353840061	hv107	highest year of education
hv107_06	0.00917708381279107	0.0398337106712558	0.81803058296967	1.47062661856046e-5	0.903895706731027	hv107	highest year of education
hv107_07	-0.0417403044425506	0.155482906913861	0.78869640164867	1.11263959846952e-4	0.885444903238016	hv107	highest year of education
hv107_08	0.0242933720939112	0.012293688540755	0.0502146058275323	5.76277015264193e-4	0.116286455600601	hv107	highest year of education
hv108_01	-0.00771392906089629	0.0213215131677908	0.717829305876917	3.13800950582088e-5	0.855035399617132	hv108	education in single years
hv108_02	0.0130768538503002	0.0132770121915827	0.325661387204728	4.11935461964719e-4	0.550994067261369	hv108	education in single years
hv108_03	-0.0111201095221595	0.0376326202510747	0.767876276076755	5.62085848648808e-5	0.878610207142197	hv108	education in single years
hv108_04	0.0312932255117154	0.0130643476463572	0.0173799667415609	0.00559654795455111	0.0426278913999095	hv108	education in single years
