var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
ho100_04	1	0.270111476444769	0.080694542147339	0.00100108017327026	0.0463562903572993	0.00300548677300436	ho100	age of child
ha41_3	1	0.00290871094562324	0.0010087070764768	0.00454847370487168	0.0186492011821815	0.013278235237349	ha41	rohrer's index for respondent
ha40_3	1	0.00253886794924603	0.00103466159654434	0.0153539554144737	0.0174720999807692	0.0415581773659457	ha40	body mass index for respondent
hv101_10_11	1	3.14495994984823	1.16717890748852	0.00788784518400296	0.016874998615079	0.0223284982853229	hv101_10	relationship to head
m19a_2_9	1	2.62951821341049	0.809402779177244	0.00130772929114261	0.0120709678792608	0.00391441116677587	m19a_2	weight at birth recall
hv115_3	1	2.64670999932223	0.697675333097688	1.79903565148817e-4	0.0105892337805259	5.46656253222825e-4	hv115	current marital status
hv101_02_6	1	3.53954227468545	1.03388790286745	7.05043625266602e-4	0.0100530854032398	0.00212625477972963	hv101_02	relationship to head
hb57_03_2	1	-15.9925646028689	0.803804550073384	3.4008e-39	0.00939044507599562	1.35559197616683e-38	hb57_03	anemia level
hmlb_1	1	0.245298537635486	0.0982026136470292	0.01330821467285	0.00938748562124303	0.0366638117342621	hmlb	person who slept in mosquito net
hv115_02_3	1	2.72654186078606	0.895582640224866	0.00253996469694244	0.00895250346578347	0.00748562282931494	hv115_02	current marital status
hv129_09_5	1	-16.1089634663274	0.539785542875648	2.9325e-56	0.00855316920647031	1.52672568093385e-55	hv129_09	school attendance status
mm2_07_8	1	18.5409906105213	1.06096776636441	2.0574e-46	0.00792436502652238	9.01572445414847e-46	mm2_07	sibling's survival status
v826_2	1	-16.478917376261	0.572368089669004	6.263e-55	0.00646158085044468	3.15033609022556e-54	v826	when was last time you were tested
sh509_08_2	1	16.030532179307	0.569398977370393	6.6436e-66	0.0058307781995961	4.3432264495114e-65	sh509_08	né aucours du mois d'enquete ou 5 derniers mois
sh509_08_1	1	-16.030532182439998	0.569398990486457	6.6436e-66	0.00583077819959588	4.3432264495114e-65	sh509_08	né aucours du mois d'enquete ou 5 derniers mois
v501_3	1	2.3522701250117	0.596558406374087	1.00403205725735e-4	0.00544917375898202	3.06245036309347e-4	v501	current marital status
hb52_01_1	1	-1.5959548160705	0.467523489814783	7.30438490483461e-4	0.00540389580738954	0.00220118626186232	hb52_01	read consent statement
v704_6	1	-1.14620223988096	0.439303964648097	0.00953683425807044	0.00512824141944057	0.0266951553081553	v704	partner's occupation
v705_4	1	-1.14620223988096	0.439303964648097	0.00953683425807044	0.00512824141944057	0.0266951553081553	v705	partner's occupation
hb66_03_3	1	-15.5562560665032	0.537926063639523	5.665e-59	0.00491558339640707	3.12353159340659e-58	hb66_03	man's highest educational level
hb68_03_3	1	-15.5562560665032	0.537926063639523	5.665e-59	0.00491558339640707	3.12353159340659e-58	hb68_03	highest educational level (cs for prelimnary & final report)
sh204_06_0	1	15.2654622797206	0.418535541236932	1.5233e-100	0.00472941200551324	2.56912865546219e-99	sh204_06	works for someone else other than family member
hv101_09_10	1	-16.1289273768181	0.437093818086062	6.0756e-91	0.00468928961043458	7.34562e-90	hv101_09	relationship to head
hv129_08_1	1	-15.1764422732365	0.539009754468292	1.6437e-65	0.00461788468649071	1.06760708737864e-64	hv129_08	school attendance status
hv115_06_3	1	-14.7779682066585	0.690567212072706	1.3178e-42	0.00457673567272265	5.49859584199584e-42	hv115_06	current marital status
hv118_11_1	1	-15.8565968463769	0.618914037162126	3.101e-46	0.00454424351148897	1.35592745098039e-45	hv118_11	eligibility for male interview
hv118_11_0	1	15.8565968423007	0.618914020942149	3.101e-46	0.00454424351148885	1.35592745098039e-45	hv118_11	eligibility for male interview
hv140_09_8	1	-15.2128905302914	0.795360840678893	8.4174e-39	0.00448682577908499	3.33538436327739e-38	hv140_09	member has a birth certific-na
