var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
ha11_3	1	0.00957548975394784	0.00325559076871723	0.00381035943572691	0.0200618960133148	0.011026244713148	ha11	wt/ht std deviations(resp) dhs
ha12_3	1	6.67291030357051e-4	2.10778002847351e-4	0.0018875608603543	0.0199498568221084	0.00556195747667265	ha12	wt/ht percent ref. median (dhs
ha40_3	1	0.00213487305808631	6.84831664877054e-4	0.0021954802467053	0.0137921571367574	0.0064504233778929	ha40	body mass index for respondent
h36c_1_1	1	1.56129872042026	0.656171728238855	0.0180131004074174	0.00971027976016936	0.0484394981603066	h36c_1	vaccinated during campaign c : polio, september-november
v826_2	1	-3.24942092838412	1.09495904342528	0.00362352026120293	0.00823491604134774	0.0105082087574885	v826	when was last time you were tested
h10_2_1	1	16.0327061240054	0.538225461032557	3.3032e-80	0.00813046302922993	3.17785183770883e-79	h10_2	ever had vaccination
ha41_3	1	0.00187329879998043	7.47273886772243e-4	0.0132694590139571	0.00805576876958158	0.0364119736455147	ha41	rohrer's index for respondent
sh509_04_1	1	-16.2172204553924	0.671494827262277	3.0913e-60	0.00761027998062502	1.87383914285714e-59	sh509_04	né aucours du mois d'enquete ou 5 derniers mois
sh509_04_2	1	16.2172204544454	0.671494824394065	3.0913e-60	0.00761027998062491	1.87383914285714e-59	sh509_04	né aucours du mois d'enquete ou 5 derniers mois
v704_6	1	-1.48969126711317	0.480938900187207	0.0021378012237751	0.00755850392127499	0.00628554101607398	v704	partner's occupation
v705_4	1	-1.48969126711317	0.480938900187207	0.0021378012237751	0.00755850392127499	0.00628554101607398	v705	partner's occupation
h10_2_0	1	-16.0078422796936	0.539755948728893	7.2871e-80	0.00741407911444003	6.94427898345154e-79	h10_2	ever had vaccination
hb52_01_3	1	1.86314402587276	0.53033044530325	5.11450384741717e-4	0.0067473557173775	0.00154448543782535	hb52_01	read consent statement
hb52_01_1	1	-1.81807339393192	0.531303542879691	7.08779255432659e-4	0.00648776731049505	0.00213056612874649	hb52_01	read consent statement
s425b_2_2	1	-16.171003200974	0.570316125095075	2.0575e-74	0.00627002346672167	1.71359142561983e-73	s425b_2	reason did not register birth
v414q_1	1	16.0151930000846	0.67803593958805	7.0108e-64	0.00587365333743217	4.56551450726979e-63	v414q	gave child oil, fats, butter, products made of them
m55z_2_1	1	15.8102056582864	0.527853873165274	4.9909e-84	0.00582830806185419	5.43738321621622e-83	m55z_2	first 3 days, given nothing
m55z_2_0	1	-15.8102056575902	0.527853870808753	4.9909e-84	0.00582830806185408	5.43738321621622e-83	m55z_2	first 3 days, given nothing
m10_2_2	1	-15.7147005582111	0.569668290897483	3.1205e-78	0.00546757128547115	2.87185742009132e-77	m10_2	time wanted pregnancy
v414q_0	1	-15.9677046445732	0.712441100307455	3.5481e-60	0.00487833156536033	2.14428652173913e-59	v414q	gave child oil, fats, butter, products made of them
hv024_30	1	-2.88873383340673	1.0694506838794	0.00730581331858256	0.00441227532672195	0.0207392489346523	hv024	region
v024_30	1	-2.88873383340673	1.0694506838794	0.00730581331858256	0.00441227532672195	0.0207392489346523	v024	region
hb61_01_3	1	1.50176900839656	0.567569604485957	0.00857833898024168	0.00435451369734985	0.0240802816360405	hb61_01	read consent statement (hiv)
h4_2_1	1	-15.9480285383307	0.529531270689181	3.7662e-83	0.00434290425237827	3.98465937007874e-82	h4_2	received polio 1
hv118_11_0	1	15.8449805128202	0.536619523805593	1.752e-51	0.00432083402269656	8.65479411764706e-51	hv118_11	eligibility for male interview
hv118_11_1	1	-15.8449805114312	0.536619519651939	1.752e-51	0.00432083402269623	8.65479411764706e-51	hv118_11	eligibility for male interview
hv140_07_1	1	-16.2896362314167	0.532618439439036	5.4096e-73	0.00429014115428283	4.30100544378698e-72	hv140_07	member has a birth certific-na
hb61_01_1	1	-1.47894896568336	0.567618599557764	0.00963374592109454	0.00424453750875176	0.0269303951511318	hb61_01	read consent statement (hiv)
v139_30	1	-2.84711185926683	1.06718206366724	0.00805081471568593	0.00421193818438892	0.0227101708320014	v139	de jure region of residence
v829_26	1	-15.1197476666551	0.485699924352262	1.3409e-59	0.00420773799741581	7.99581050295858e-59	v829	place were last aids test was taken
sh507a_04_0	1	15.2207158550543	0.851767140824183	1.8126e-42	0.00419698835772075	7.75646560509554e-42	sh507a_04	oedèmes
sh507a_04_1	1	-15.2207158523226	0.851767137125139	1.8126e-42	0.00419698835772053	7.75646560509554e-42	sh507a_04	oedèmes
ha55_0	1	-2.60627250798228	0.557615375318607	4.48122779186787e-6	0.00419534053616466	1.37786645530278e-5	ha55	result of measuring (hemoglobin)
h6_2_1	1	-15.9498841963575	0.531258964317079	6.8109e-83	0.00415833498802254	7.11262639896373e-82	h6_2	received polio 2
m3g_2_0	1	15.7026319138701	0.521542279206403	1.311e-85	0.00409451525075422	1.50989742857143e-84	m3g_2	assistance: trad.birth attend.
m3g_2_1	1	-15.7026319146922	0.521542281893762	1.311e-85	0.00409451525075422	1.50989742857143e-84	m3g_2	assistance: trad.birth attend.
h5_2_1	1	-15.9517591542541	0.533477150990403	1.4601e-82	0.00406581639889725	1.5014446683673501e-81	h5_2	received dpt 2
h1_2_3	1	-15.8265999532752	0.532445578065576	4.46e-82	0.00401776307811974	4.51715075376884e-81	h1_2	has health card
hv129_09_5	1	-15.8481586458193	0.665722788062403	4.4862e-48	0.00386176400917349	2.08339541474654e-47	hv129_09	school attendance status
ha33_3_4	1	-15.1394582412983	0.449052372850394	6.8711e-72	0.00376486363913942	5.42023563600783e-71	ha33_3	completeness of information
mm2_07_8	1	3.38682077494762	1.39003558121541	0.0154841355640233	0.00367837117518333	0.042116430808757	mm2_07	sibling's survival status
h9_2_1	1	-15.9087022154016	0.534905981349391	4.012e-82	0.00367228040597367	4.09427139240506e-81	h9_2	received measles
ml0_2_0	1	16.3128503079427	0.492674152959008	2.8419e-90	0.00358662547163024	3.78075871287129e-89	ml0_2	type of bednet(s) child slept under last night
sh204_06_0	1	3.68003278568982	1.08672751952903	8.30681041272357e-4	0.00356919226484154	0.00248403210487305	sh204_06	works for someone else other than family member
m3c_2_1	1	-3.38989840983154	1.14209771939785	0.00328346938144368	0.00350318740914213	0.00957025674375011	m3c_2	assistance: auxiliary midwife
m3c_2_0	1	3.38989840983155	1.14209771939792	0.0032834693814454	0.00350318740914191	0.00957025674375011	m3c_2	assistance: auxiliary midwife
s425b_2_6	1	-15.0308544752143	0.574110419572344	1.1838e-68	0.00343815485154264	8.70784270072993e-68	s425b_2	reason did not register birth
h33_2_0	1	15.9739795826034	0.546978118838696	1.2119e-80	0.00333726356078046	1.18860557177616e-79	h33_2	received vitamin a1 (most recent)
hv101_11_10	1	-15.8370109197272	0.645580824995515	2.4278e-44	0.00328306107735121	1.0625908577633e-43	hv101_11	relationship to head
v3a08c_0	1	2.98415901469169	1.1138343055166	0.00788455577836287	0.0032510758540315	0.022287969384699	v3a08c	reason not using: infrequent sex
v3a08c_1	1	-2.98415901469169	1.11383430551657	0.00788455577836126	0.00325107585403128	0.022287969384699	v3a08c	reason not using: infrequent sex
hv102_11_1	1	15.8834883736846	0.61162996252258806	1.6815e-46	0.00307813371167209	7.58179697986577e-46	hv102_11	usual resident
hv102_11_0	1	-15.883488371562	0.611629954735364	1.6815e-46	0.00307813371167187	7.58179697986577e-46	hv102_11	usual resident
v501_3	1	1.66119206770534	0.534761810839003	0.0020761209642713	0.00302753585520832	0.00611310709056071	v501	current marital status
v829_22	1	-15.0690382843166	0.544461516315235	3.5454e-54	0.00289419553357939	1.85603992207792e-53	v829	place were last aids test was taken
ha55_9	1	3.16813871272037	0.438274092063794	4.1201e-12	0.00288459716841616	1.27167864471669e-11	ha55	result of measuring (hemoglobin)
m15_2_32	1	-15.7667691497173	0.554683803330818	1.4086e-80	0.0028582212110797	1.37817150485437e-79	m15_2	place of delivery
hv129_06_1	1	-15.6154192098688	0.36076000556764	2.5878e-117	0.00279359885038899	8.992605e-116	hv129_06	school attendance status
hv129_08_1	1	-15.7635165368242	0.435461826703462	4.3615e-82	0.00277726920371135	4.42851549118388e-81	hv129_08	school attendance status
v113_43	1	-2.97857657275545	1.04143884034156	0.00453485579475625	0.00271289626206495	0.0130664787052626	v113	source of drinking water
m55c_2_0	1	15.6633063786951	0.580140779222389	1.6164e-75	0.00260891097518079	1.37172808421053e-74	m55c_2	first 3 days, given sugar/glucose water
m55c_2_1	1	-15.6633063783661	0.580140766236814	1.6164e-75	0.00260891097518079	1.37172808421053e-74	m55c_2	first 3 days, given sugar/glucose water
hw15_2_1	1	-2.88533219392996	1.1244083929894	0.0109147091840649	0.0025892512615292	0.0301764010431882	hw15_2	height: lying or standing
hw15_2_2	1	2.88533219392997	1.12440839298941	0.0109147091840656	0.0025892512615292	0.0301764010431882	hw15_2	height: lying or standing
ha60_2_1	1	15.6521375301014	0.67486900948618	2.6323e-51	0.00255133154613685	1.28771860436893e-50	ha60_2	marital status
ha60_2_2	1	-15.6521375291232	0.674869008721343	2.6323e-51	0.00255133154613663	1.28771860436893e-50	ha60_2	marital status
h36a_2_8	1	-15.0126290134228	0.701004733398143	1.5795e-55	0.00252502087914297	8.56926581426649e-55	h36a_2	vaccinated during campaign a : multi-anti gens
