name	estimate	se	p.value	Nag.r2	adj.p.val
hv008	-0.130359015560997	0.121625863345256	0.284678491814834	0.000524047440074504	0.462257065592534
hv009	0.068423483324087	0.0440812159702312	0.121675927364157	0.00120766510858683	0.252537317704098
hv010	0.163451281162629	0.161511739514336	0.312357647057929	0.000608440211601002	0.493623462712806
hv011	0.168522616483063	0.0912757960817628	0.0658433496875549	0.00160517813353656	0.155193896445006
hv012	0.0734526821762172	0.0445168851373544	0.100000881419119	0.00135491438405466	0.217327688841217
hv013	0.0643658896390311	0.0469936868931298	0.171824283413119	0.00102157689453997	0.327338715529312
hv014	-0.23343531633487	0.147323148447788	0.114141390311097	0.00114065952782638	0.240885142328467
hv016	0.00319147937048544	0.0278749492631469	0.90892456139	1.07270671810822e-05	0.954924037993196
hv017	0.400616513732025	0.489252411508456	0.413537653898963	0.00100300858177071	0.5926241137988
hv019	-0.00380686523419202	0.0286554189893307	0.89440217166548	8.80197459762755e-06	0.94352964968863
hv028	-2.4800842837166e-07	2.45893965573413e-07	0.313987942587754	0.00193155842819304	0.495809441993409
hv032	0.00801853611903309	0.00530929182859682	0.132034239247771	0.00088128943387844	0.269438452638817
hv035	-0.277365054012778	0.176366828019959	0.1168622223325	0.00133479951653004	0.244883781330482
hv040	-0.000905210811710341	0.000619726596423719	0.14516539948262	0.00194932390877356	0.288319600951626
hv041	0.121912828945152	0.0580519775399783	0.0365665428137255	0.00160565102247312	0.0920951901367343
hv216	0.00219649264159281	0.0111657908806064	0.844184126719801	1.28791599998124e-05	0.916073285929516
hv271	1.56186079302197e-06	1.4128291428295e-06	0.269844384778453	0.000558358504405554	0.448847789137695
hml1a	0.225585300728572	0.147609785399417	0.127513679787037	0.000924471628421242	0.262347468306082
hml2	0.136697568523965	0.265485111168221	0.607007763256125	0.000135167915622736	0.759043352557659
sh108a	0.000199218083259118	0.0022771579250615	0.930344641551077	1.03695556067374e-05	0.967211445528626
hv107	0.0431030331022669	0.115810123742675	0.710022603254435	0.000103866490523519	0.82585648492127
hv108	-0.00327585396530442	0.0171188709317026	0.848374912358475	7.85988906315538e-06	0.918414076304174
hv123	-0.46664467568178	0.168562468721985	0.00635931187979652	0.00363427760042467	0.018207045567406
hv124	0.0103611617200967	0.0148817895036365	0.486828729304621	0.000236484711720775	0.662047619403286
hv127	-0.889311999688869	0.306162540696436	0.00423228479375766	0.00864823291764594	0.0123641857075278
