var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
ho101_01_0	1	-4.95327891664323	0.910897835925447	1.63598213831968e-7	0.042588815106365	3.80537193193849e-7	ho101_01	free medical support last 12 months
ho101_01_1	1	4.95327891664322	0.910897835925441	1.6359821383195e-7	0.042588815106365	3.80537193193849e-7	ho101_01	free medical support last 12 months
ho101_02_0	1	-4.14893321648115	0.909622499115568	9.41293340809351e-6	0.0406255275479011	2.1677756469137e-5	ho101_02	free medical support last 12 months
ho101_02_1	1	4.14893321648115	0.909622499115571	9.41293340809432e-6	0.0406255275479011	2.1677756469137e-5	ho101_02	free medical support last 12 months
v826_2	1	-16.9537561585956	0.560180266609736	9.209191e-62	0.00970678165379313	6.06192624072165e-61	v826	when was last time you were tested
v741_2	1	-17.5825050232465	0.478763242204582	1.229159e-112	0.00837809146505519	1.569636043e-110	v741	type of earnings for work
hv111_1	1	16.2823189574159	0.981374017689596	2.348947e-36	0.00685336748706411	8.46151006770099e-36	hv111	mother alive
hc61_02_0	1	-16.490849256777	0.562609099509997	2.901059e-81	0.00659582281274618	3.20749120606061e-80	hc61_02	mother's highest educational level
hc68_02_0	1	-16.490849256777	0.562609099509997	2.901059e-81	0.00659582281274618	3.20749120606061e-80	hc68_02	highest educational level (cs for prelimnary & final report)
hv140_09_0	1	17.1061600490169	0.929237365004918	4.338915e-35	0.00568620803473585	1.50360772184532e-34	hv140_09	member has a birth certific-na
hv101_11_5	1	-16.2357337390225	0.740086398887105	3.560488e-39	0.00500280208638859	1.36130035209581e-38	hv101_11	relationship to head
v716_6	1	-2.82136711924391	0.782309146766103	3.63813096335677e-4	0.00489837815127625	8.21554949638655e-4	v716	respondent's occupation
v717_4	1	-2.82136711924391	0.782309146766103	3.63813096335677e-4	0.00489837815127625	8.21554949638655e-4	v717	respondent's occupation
hv111_0	1	-15.1560352472257	0.974752206971875	1.356906e-33	0.00446507198049462	4.56592611857708e-33	hv111	mother alive
hv129_09_0	1	-16.9101963556506	0.811897276950911	1.265562e-42	0.00412500328791032	5.18819478009631e-42	hv129_09	school attendance status
hc57_02_4	1	-16.248971374698	0.812657809447298	1.81293e-51	0.00406161438809971	9.29763698795181e-51	hc57_02	anemia level
hv140_07_2	1	-15.8024343662067	0.961921592949768	3.032301e-36	0.00394067990995539	1.09077419070423e-35	hv140_07	member has a birth certific-na
ha69_3	1	-1.08974267868428e-6	2.54924244647192e-7	4.28296427680611e-5	0.00388940648177061	9.82811389304834e-5	ha69	hiv weight (6 decimals)
hv140_09_1	1	-16.937535008201	0.940452302021072	2.597585e-34	0.00362561637397074	8.89307250670241e-34	hv140_09	member has a birth certific-na
hv109_11_3	1	-16.3381170786667	0.889572150518579	3.507687e-33	0.00328815770781277	1.16648861953125e-32	hv109_11	educational attainment
hv109_10_3	1	-16.0588859321488	0.677534057818966	1.474253e-51	0.00304203658532332	7.5759399637827e-51	hv109_10	educational attainment
ha54_2_1	1	-15.5701152325622	0.675284665675234	7.653043e-61	0.00298694266563926	4.8864743405e-60	ha54_2	currently pregnant
ha54_2_0	1	15.5701152337661	0.675284671620453	7.653053e-61	0.00298694266563915	4.8864743405e-60	ha54_2	currently pregnant
hv129_02_0	1	-15.945776898357	0.914356212372029	5.763812e-44	0.0029593900015682	2.4014316228385e-43	hv129_02	school attendance status
hb69_01	1	-5.00401798926963e-7	2.1711579256119e-7	0.0218667207725356	0.00294129296325041	0.0447855692486415	hb69	hiv weight (6 decimals)
sh204_2	1	-15.1633562576959	1.00318537475948	2.292606e-32	0.00288466829756151	7.48761601534527e-32	sh204	works for someone else other than family member
hv140_03_2	1	-15.7236706019467	1.07530935183019	1.846998e-30	0.00274858573851033	5.61873630166271e-30	hv140_03	member has a birth certific-na
hv101_06_5	1	-15.4572973178538	0.501225120873946	2.451431e-92	0.00265928378798852	4.77935478931298e-91	hv101_06	relationship to head
v829_22	1	-15.7060986215662	0.569758849479888	4.488043e-57	0.00260876049473824	2.67814528551402e-56	v829	place were last aids test was taken
hv122_11_2	1	-16.3535166464019	0.977924243706175	3.402286e-30	0.00257884966386179	1.02833591053254e-29	hv122_11	educational level during current school year
hv117_11_0	1	16.1159308692555	0.778257992238112	3.479562e-37	0.0025122580690401	1.26412536955903e-36	hv117_11	eligibility for female interview
hv117_11_1	1	-16.115930866649	0.77825797524887	3.479556e-37	0.0025122580690401	1.26412536955903e-36	hv117_11	eligibility for female interview
hv126_11_2	1	-16.3661838348492	0.99357893159236	1.001117e-29	0.00249174575015276	3.0010009600939e-29	hv126_11	educational level during previous school year
hv140_04_2	1	-15.424356185343	0.919032717444684	1.369408e-38	0.0024908856785546	5.15091020913107e-38	hv140_04	member has a birth certific-na
v820_1	1	-15.4436587374873	0.82395759198273	2.398156e-48	0.00230803742455599	1.09569341323792e-47	v820	condom used at first sexual intercourse
v820_0	1	15.4436587391281	0.823957626916406	2.39817e-48	0.00230803742455576	1.09569341323792e-47	v820	condom used at first sexual intercourse
sh507a_04_0	1	15.5833345786496	0.950694929526096	1.302328e-37	0.00226116202384308	4.77208853945481e-37	sh507a_04	oedèmes
sh507a_04_1	1	-15.5833345783321	0.950694927579146	1.302328e-37	0.00226116202384286	4.77208853945481e-37	sh507a_04	oedèmes
hv140_04_8	1	-15.7318415762237	0.990382683182777	5.074053e-36	0.00223708672013156	1.82010271938202e-35	hv140_04	member has a birth certific-na
hv111_9	1	-14.410438686918	1.2048412773913	7.574729e-24	0.00219277292466358	2.04070230654008e-23	hv111	mother alive
hv113_9	1	-14.410438686918	1.2048412773913	7.574729e-24	0.00219277292466358	2.04070230654008e-23	hv113	father alive
v740_2	1	3.60320846858618	1.30357575070361	0.00622050467442086	0.00213371190060585	0.0132835860689556	v740	type of land where resp. works
v105_1	1	-15.810015681988	0.503932832389531	7.816048e-89	0.00208505336721376	1.2172064995122e-87	v105	type of place of previous res.
sh509_03_1	1	-15.4467266846866	1.00153401921026	1.551608e-33	0.00205434008595906	5.18691993717278e-33	sh509_03	né aucours du mois d'enquete ou 5 derniers mois
sh509_03_2	1	15.4467266841309	1.00153400168779	1.551606e-33	0.00205434008595906	5.18691993717278e-33	sh509_03	né aucours du mois d'enquete ou 5 derniers mois
sh509_07_2	1	15.4178684905281	0.867959911837117	2.060228e-40	0.00205275642065139	8.05793649004594e-40	sh509_07	né aucours du mois d'enquete ou 5 derniers mois
sh509_07_1	1	-15.4178684932825	0.867959926709981	2.060232e-40	0.00205275642065128	8.05793649004594e-40	sh509_07	né aucours du mois d'enquete ou 5 derniers mois
hv117_10_1	1	-16.0559156552178	0.752032068233693	9.438266e-47	0.0020391167290732	4.18496932430556e-46	hv117_10	eligibility for female interview
hv117_10_0	1	16.0559156594994	0.752032094343424	9.438302e-47	0.00203911672907309	4.18496932430556e-46	hv117_10	eligibility for female interview
s862b_0	1	15.8576556275268	0.823785582590571	6.702684e-36	0.00197307849140749	2.3875390426778201e-35	s862b	source of treatment for partner: health center
hv126_10_2	1	-16.0539476496994	0.778109079897788	5.545015e-45	0.00192177738385357	2.38016274117647e-44	hv126_10	educational level during previous school year
s862n_0	1	15.9744810157555	0.890354878681522	1.809432e-33	0.00191376839596169	6.04090108235294e-33	s862n	source of treatment for partner: other private medical
sh204_9	1	-15.0337381336446	1.00106806710796	4.18149e-32	0.00190362232800767	1.35012964096081e-31	sh204	works for someone else other than family member
sh206_9	1	-15.0337381336446	1.00106806710796	4.18149e-32	0.00190362232800767	1.35012964096081e-31	sh206	worked in last 12 months
sh207_9	1	-15.0337381336446	1.00106806710796	4.18149e-32	0.00190362232800767	1.35012964096081e-31	sh207	helps with household chores
sh209_9	1	-15.0337381336446	1.00106806710796	4.18149e-32	0.00190362232800767	1.35012964096081e-31	sh209	works for household on farm/compound
hb33_02_1	1	15.2380663844368	0.657534579745505	1.741364e-65	0.00189206523342977	1.27800105057471e-64	hb33_02	completeness of information
hv270_1	1	-2.13579095962514	0.893300939833569	0.0174277505440308	0.00183298886946048	0.0361286322154664	hv270	wealth index
v190_1	1	-2.13579095962514	0.893300939833569	0.0174277505440308	0.00183298886946048	0.0361286322154664	v190	wealth index
hb57_4	1	-0.981056822780079	0.380601298978083	0.0104279162401273	0.00183091248410672	0.0218840575819927	hb57	anemia level
v829_13	1	-14.6180566285172	0.623289546655347	2.814624e-49	0.00179815137731731	1.34114733134328e-48	v829	place were last aids test was taken
hv024_90	1	-15.0887535230473	0.483626797296725	6.963117e-96	0.00172403405079791	1.51998297589744e-94	hv024	region
v024_90	1	-15.0887535230473	0.483626797296725	6.963117e-96	0.00172403405079791	1.51998297589744e-94	v024	region
hv122_10_2	1	-16.0508290717716	0.796991263127373	5.552208e-44	0.00172401499094188	2.31704889411765e-43	hv122_10	educational level during current school year
sh507a_07_0	1	14.6945420504397	0.942854738239599	3.496124e-34	0.00165239327156252	1.19213661548732e-33	sh507a_07	oedèmes
sh507a_07_1	1	-14.694542051455601	0.942854740462774	3.496125e-34	0.0016523932715623	1.19213661548732e-33	sh507a_07	oedèmes
hv129_08_5	1	-15.7856753049057	0.732148364094646	2.954488e-50	0.00164361115263056	1.45110814461538e-49	hv129_08	school attendance status
hmlb	1	-0.695895259210783	0.130597794430881	3.24939943977949e-7	0.00161975722487762	7.54451469926983e-7	hmlb	person who slept in mosquito net
ha57_3_2	1	-15.5357404092335	0.956935838191877	8.701895e-30	0.00149266871957843	2.6115910493537e-29	ha57_3	anemia level
