var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
hv101_09_7	1	3.95910787487057	0.798378433930715	1.06611857637151e-6	0.0225709960955963	3.13573271818153e-6	hv101_09	relationship to head
hb62_3?	1	-15.8565650280854	1.02752861295368	9.5917e-38	0.0156859400435525	3.52898926523298e-37	hb62	NA
hml34_08?	1	-15.1677362560344	1.02746307174236	1.5499e-25	0.0120440921864681	5.15294688259109e-25	hml34	NA
sh312_08?	1	-15.1677362559576	1.02746307174238	9.0694e-26	0.0120440921860725	3.01774363047002e-25	sh312	NA
shpool_15	1	2.86926229773347	0.538734212965754	1.48353862671227e-7	0.0117955841108841	4.38230906566948e-7	shpool	pool
shnprovin_23	1	2.86926229773347	0.538734212965754	1.48353862671227e-7	0.0117955841108841	4.38230906566948e-7	shnprovin	new province
spool_15	1	2.86926229773347	0.538734212965754	1.48353862671227e-7	0.0117955841108841	4.38230906566948e-7	spool	pool
snprovin_23	1	2.86926229773347	0.538734212965754	1.48353862671227e-7	0.0117955841108841	4.38230906566948e-7	snprovin	new province
hb53_2	1	0.00328394574166463	9.86294202775138e-4	9.46915186702109e-4	0.010612732468145	0.00265576076270414	hb53	hemoglobin level (g/dl - 1 decimal)
hb55_2_3	1	2.90172376798876	0.825918480861345	4.90110761931105e-4	0.0104385120160883	0.00138785847482008	hb55_2	result of measurement - hemoglobin
hb63_2_2	1	2.9045054553054	0.825818450271041	4.83355383175992e-4	0.0104255197670293	0.00136967370829581	hb63_2	result of measurement - hiv
hv213_22	1	4.08727009000077	0.302858881571911	6.4851e-36	0.0102533495496542	2.3316830647986e-35	hv213	main floor material
v127_22	1	4.08727009000077	0.302858881571911	6.4851e-36	0.0102533495496542	2.3316830647986e-35	v127	main floor material
hml34_0299991	1	-13.0651778807012	0.746725892475772	3.5299e-52	0.00973210834934446	1.54847963675214e-51	hml34	NA
sh312_0299991	1	-13.1112723805506	0.751833617162492	6.3715e-52	0.00973210834934124	2.78905959488273e-51	sh312	NA
v739_1	1	1.74862226570328	0.531992695128697	0.00108510510266533	0.00880496197733871	0.00303918250446374	v739	person who usually decides how to spend respondent's earnings
h8_2_0	1	2.27230453613099	0.741965934273698	0.00231556613318688	0.00779252680630815	0.0063174183009072	h8_2	received polio 3
hb62_499991	1	-14.742805736468	0.936660965920177	1.0322e-44	0.00725500653393263	4.0830570327553e-44	hb62	NA
hml34_10?	1	-15.0948931021044	1.02658536025629	9.9985e-38	0.00620574914428729	3.67207880143113e-37	hml34	NA
sh312_10?	1	-15.0948931021041	1.02658536025629	9.9985e-38	0.00620574914428695	3.67207880143113e-37	sh312	NA
v717_4	1	-1.57193677595486	0.471149150326491	9.07912794285802e-4	0.00592639279241969	0.00254985631555233	v717	respondent's occupation (grouped)
v741_1	1	1.27517494954687	0.398553406823777	0.001459467196379	0.0053907380193694	0.00404084444257058	v741	type of earnings from respondent's work
b5_01_0	1	1.56128310526117	0.415514067336271	1.9057383105797e-4	0.00503839079611745	5.44155876442298e-4	b5_01	child is alive
b5_01_1	1	-1.56128310526118	0.415514067336265	1.9057383105792e-4	0.00503839079611745	5.44155876442298e-4	b5_01	child is alive
hw13_1_1	1	1.89722528585109	0.617831206869521	0.00224408546870572	0.00503677742743036	0.0061346304490717	hw13_1	result of measurement - height/weight
