name	estimate	se	p.value	Nag.r2	adj.p.val
sh312_0299991	-13.1112723805506	0.751833617162492	6.3715e-52	0.00973210834934124	2.78905959488273e-51
sh312_08?	-15.1677362559576	1.02746307174238	9.0694e-26	0.0120440921860725	3.01774363047002e-25
sh312_09?	-15.6563064583975	0.613226753386345	3.7888e-65	0.00498109646207012	1.97421482233503e-64
sh312_10?	-15.0948931021041	1.02658536025629	9.9985e-38	0.00620574914428695	3.67207880143113e-37
sh312_1199994	-14.9099474920611	1.01955369843612	2.0905e-39	0.00246022999100737	7.81036669699727e-39
sh312_1399995	-13.428405042392	0.665194572379445	2.4843e-66	0.00501861924599456	1.30275042145594e-65
hb62_3?	-15.8565650280854	1.02752861295368	9.5917e-38	0.0156859400435525	3.52898926523298e-37
hb62_499991	-14.742805736468	0.936660965920177	1.0322e-44	0.00725500653393263	4.0830570327553e-44
hb62_599994	-13.1416792359655	1.02546713485643	1.1605e-32	0.00393475863725212	4.03814661016949e-32
hml34_0299991	-13.0651778807012	0.746725892475772	3.5299e-52	0.00973210834934446	1.54847963675214e-51
hml34_08?	-15.1677362560344	1.02746307174236	1.5499e-25	0.0120440921864681	5.15294688259109e-25
hml34_09?	-15.6563064583924	0.613226753386342	3.7888e-65	0.00498109646206402	1.97421482233503e-64
hml34_10?	-15.0948931021044	1.02658536025629	9.9985e-38	0.00620574914428729	3.67207880143113e-37
hml34_1199991	-14.1175843411373	0.775588487893018	5.6951e-55	0.00246022999100681	2.60983042410714e-54
hml34_1399995	-13.428405042392	0.665194572379445	2.4843e-66	0.00501861924599456	1.30275042145594e-65
hv006	0.0142126786358771	0.0402029588532102	0.723836025573072	4.44110529882469e-05	0.819655466354946
hv007	-0.574807192512133	0.490714487377191	0.241974308576727	0.000510221587654014	0.389778937236579
hv008	-0.252255029310069	0.102487312037399	0.0141580454463809	0.00224117720306738	0.0355118720848137
hv009	-0.109895517024578	0.0790834651107115	0.165226183518756	0.00147475241515449	0.292588061077323
hv010	-0.0788475841735577	0.143731366587066	0.58352613383369	8.51135448042273e-05	0.712023270585775
hv011	-0.118524299125892	0.207821441699995	0.568702396168299	0.000198501019051056	0.703552889022909
hv012	-0.105353883754501	0.0773535125693686	0.173779744817978	0.00133621324014266	0.304541029544438
hv013	-0.119145177928973	0.078337885771037	0.128874442179063	0.00167210860453104	0.243827952259275
hv014	-0.408395828426354	0.227308653762035	0.0729560633272059	0.002901744500726	0.153540541271916
hv016	0.0467131352748028	0.0260204056838772	0.0731802482018458	0.00235825887556229	0.15384514551096
hv017	0.919070805145047	0.365364423657346	0.0121796032651106	0.00259683258391552	0.0308148519817338
hv019	-0.0198924956589373	0.0182036010780555	0.274984924538826	0.000574040320544866	0.430292721096196
hv023	0.020306096227794	0.0103839835827096	0.0510437174931907	0.00201892325862807	0.111778935481089
hv028	9.27567285494844e-08	1.41890862657697e-07	0.51357489238145	0.000360795087029797	0.662916852599256
hv031	0.00168638976546779	0.000911283877533053	0.0647853353057608	0.00146211755930115	0.138474017056457
hv032	-0.0510545295058587	0.0342455036784364	0.136595343431353	0.00105627661520857	0.252753708936068
hv035	-0.635473049589246	0.243684032055255	0.00936877235505447	0.00511793216720702	0.0242854667233925
hv040	-0.000180090038455362	0.000351944467790507	0.60907280544269	8.52082381236352e-05	0.731915321255038
hv041	-0.0790364049062557	0.123066258971593	0.521002296260257	0.000225551294920301	0.668511071388942
hv204	0.000342155714690912	0.000546053526961295	0.531191451563094	0.000155150593190823	0.674082966733861
hv216	-0.072281185049465	0.0995923987182288	0.468298270784307	0.000109878991868984	0.622185963150855
hv238	0.0126172122299319	0.00798279647757631	0.114660811431089	0.00109594852922335	0.221135411806506
hv245	0.00177401832051243	0.00111661385430821	0.112786825434942	0.000817140072541189	0.218444672281072
hv246b	-12.5660539933593	0.380973773303761	7.8339e-131	0.000657445598457373	1.23241354022989e-129
hv246c	-9.98853737224244	1.0242020079474	8.707e-21	3.35780402637154e-05	2.76710077399381e-20
hv246d	-0.115903203790795	0.100521388373034	0.249418861438632	0.000371722894052962	0.399109058872573
hv246e	-13.7965644185686	0.287684770238296	1.725e-195	0.00106486754729529	2.44236206896552e-193
hv246f	-0.0273603659617404	0.0507138044377607	0.589763545538495	0.000213066473820356	0.717714617066112
hv246g	-0.157065653809575	0.184046817688345	0.393820571577749	0.000288103082698665	0.553018901127988
hv246h	-0.133905567881282	0.157775980911426	0.396425389842628	0.000288619319609551	0.556106132795979
hv271	3.06837910487627e-06	1.19464635618213e-06	0.0104868897033983	0.00268799417186794	0.0268616151728967
hml1a	-0.171939287009195	0.16366358946247	0.293934372645359	0.000668094271334962	0.451175526759568
hml2	-0.42393900848983	0.249778095250665	0.0902308032652067	0.00170292118910897	0.181433730757561
hv107	0.302285317474092	0.0936346283059274	0.00132198035873352	0.00409688465571068	0.00368003481556599
hv108	0.0858941257710139	0.0431641291795322	0.0471077444525057	0.00183363087892052	0.105179118391511
hv123	-0.197915171012261	0.038079346790112	3.55416273210168e-07	8.5542539687733e-05	1.04762327193177e-06
hv124	-0.363782471674006	0.136541793253686	0.00794951568010627	0.00399006936896751	0.0208566845894673
ha0	-0.107666595220209	0.126086759700523	0.393539120900952	0.000466101031692534	0.552991498066318
ha1	0.025496726235048	0.0194291512159001	0.189986356312299	0.00090385853210817	0.325713561176743
ha2	0.00350087557020785	0.000979712035426775	0.000384381542017037	0.0032539661180121	0.00109147345195156
ha3	0.00882546980156223	0.00226845415820171	0.000112688276147339	0.00622887187774979	0.000324700394288403
ha4	0.000215443684218172	5.44957594921851e-05	8.74399840585754e-05	0.00633668839150814	0.000252659095386707
ha5	0.00518668133583067	0.00138494449295627	0.000200002275565063	0.0058496975845781	0.000570284266298714
ha6	0.00142303545875814	0.000374857401544545	0.000163804945888919	0.00595690994428799	0.000469025877140796
ha11	0.00240038644486869	0.00163480352220222	0.142611900309089	0.00106870115371016	0.26129605652348
ha12	0.000156754477565789	9.14936153275468e-05	0.0872419371635816	0.00104450456111338	0.176809177686903
ha12a	0.000140365671358285	5.73351961060954e-05	0.0146801687399774	0.00123474167131954	0.0367317323865614
ha12b	4.21733785375073e-05	5.98847920023773e-05	0.481589722846916	0.000110811013682266	0.633581352774571
ha32	-0.00210464818010528	0.00161180224003413	0.192192988943875	0.000886263765929263	0.327990196427078
ha35	-10.9207031166268	0.794646045859167	5.2648e-37	0.000128405960203359	1.91642453900709e-36
ha40	0.000511691537092717	0.000300376510355084	0.0890573542391694	0.000650241274958052	0.179601173194285
ha41	9.49183797727122e-05	0.000489618769894506	0.846357948169996	8.18875821562148e-06	0.904279400256571
ha53	-0.0241169597417284	0.00920661457420938	0.00905609093065001	0.00267055218276102	0.023519487262017
ha56	-0.0236239316126543	0.00920439713399448	0.0105422773854327	0.00246846670308798	0.0269530454200415
ha67	0.290383438778833	0.0900047797229995	0.00133154495775453	0.00384818488296745	0.0037041487781437
ha69	1.26833912132445e-07	1.45956299080049e-07	0.385246170895362	0.000641665739659403	0.54545544058495
ha70	0.00167932686752263	0.000910331592467032	0.0656297217832133	0.00145328645586584	0.139987344229545
hmlidx	-0.135516094892822	0.455985461427079	0.76643949139842	0.0001129140640167	0.84914344547741
hml4	0.00277237936977903	0.0072281575838127	0.701470152326152	8.74834465232066e-05	0.805660544182148
hmlb	-0.0321992693544697	0.0836078984694769	0.70030765629377	6.94720532264936e-05	0.804911042448576
hmlc	-0.0553814075626734	0.11622236598486	0.633928440590144	7.44997208413922e-05	0.753328923774887
hmld	-0.0473612228093575	0.3412742570319	0.889721554087915	3.15192817379462e-05	0.932175733882363
hml16	0.025496726235048	0.0194291512159001	0.189986356312299	0.00090385853210817	0.325713561176743
v004	0.00353506520914634	0.00171805078817535	0.0401141599253482	0.00399756900049997	0.0912008530750164
v005	1.04094107949971e-07	1.46543658470126e-07	0.477811245464492	0.000427827197010067	0.629417059312545
v006	0.0257361504115371	0.0404333630441289	0.52471875534676	0.00015039615315815	0.670973282296418
v007	-0.702356565622078	0.496009730808262	0.157355596243524	0.000787972530898351	0.28238727193003
v008	-0.258806647643247	0.0995830758593828	0.00961123794726126	0.00241730207174651	0.0248043639292613
v012	0.0254724611245971	0.0194269117523359	0.190356619639046	0.000902244007334074	0.326076045155579
v016	0.0598825047295946	0.0259544830370042	0.0214253259008415	0.00382639590372713	0.0521163436900801
v021	0.00353506520914634	0.00171805078817535	0.0401141599253482	0.00399756900049997	0.0912008530750164
v022	0.020306096227794	0.0103839835827096	0.0510437174931907	0.00201892325862807	0.111778935481089
v023	0.020306096227794	0.0103839835827096	0.0510437174931907	0.00201892325862807	0.111778935481089
v027	0.554238262098296	0.30670187736036	0.0713118050098084	0.00117221034313231	0.150698029526646
v028	0.00168981490623802	0.000910165001658444	0.0639192298208625	0.00146605982838299	0.136901908998594
v029	-0.0198924956589373	0.0182036010780555	0.274984924538826	0.000574040320544866	0.430292721096196
v030	0.00170787531888612	0.000914951142625795	0.0625021225863059	0.00149772642995405	0.134082400908763
v031	0.0016875056409359	0.000911387527250363	0.0646392259415623	0.00146441361366778	0.138233677977112
v032	-0.051507993431442	0.0340852074084891	0.131341872176095	0.00107861679812937	0.245020321288072
v040	-0.000180090038455362	0.000351944467790507	0.60907280544269	8.52082381236352e-05	0.731915321255038
v115	0.000455029648121814	0.000551177793426099	0.409423794805736	0.000271233830876239	0.569283474931376
v133	0.0895620723197466	0.0424991082731504	0.0355505169615669	0.00200891224035005	0.082051952020345
v136	-0.109895517024578	0.0790834651107115	0.165226183518756	0.00147475241515449	0.292588061077323
v137	-0.408395828426354	0.227308653762035	0.0729560633272059	0.002901744500726	0.153540541271916
v138	-0.0788475841735577	0.143731366587066	0.58352613383369	8.51135448042273e-05	0.712023270585775
v152	-0.0194697723951542	0.0155037194009352	0.209733988536521	0.000864231019685469	0.350638337512604
v191	3.06837910487627e-06	1.19464635618213e-06	0.0104868897033983	0.00268799417186794	0.0268616151728967
bord_01	-0.0211794436313323	0.0691768996284219	0.759599691825983	4.9298944509113e-05	0.84430375642791
bord_02	-0.00426954684074651	0.0742535729320179	0.954168815758727	1.62681558668609e-06	0.970237037519894
bord_03	-0.0326766744485105	0.0783289454395494	0.676720281994201	7.9451355348259e-05	0.787365678058427
bord_04	-0.0859814997559731	0.108008203361302	0.426359895060069	0.000442954173655807	0.585934659925132
bord_05	-0.256636062703628	0.215266410354541	0.233766985933104	0.00293346462245225	0.380137522471812
bord_06	-0.118890641222055	0.186891364028418	0.524996779032284	0.000419656659108036	0.671119792872527
b1_01	0.0131132397374452	0.054876514570847	0.811229188712791	3.04433346810518e-05	0.881658827118772
b1_02	0.0112113312678064	0.0417717801511685	0.788499237341377	2.07657098839631e-05	0.866173641867026
b1_03	-0.0475943192456097	0.0620279536662545	0.443240331557366	0.000384091290716371	0.599652323352404
b1_04	-0.0470521694145424	0.0726462534019611	0.517473713888888	0.000394237433560929	0.665439107180637
b1_05	-0.0984524027927788	0.0904567399601872	0.276955977584023	0.00192587214977091	0.431731679559605
b1_06	-0.012718560975958	0.0860787330496869	0.882601027157668	2.47722153103869e-05	0.927726120765194
b2_01	-0.069341671102827	0.022564485255421	0.00222723513885536	0.00306771896828673	0.00609668498676007
b2_02	-0.0490320865805705	0.0258414686168642	0.0583128601562072	0.0012758559123347	0.126017159895467
b2_03	-0.0397323745159549	0.0330418489207853	0.229709045762201	0.000854323594455142	0.375173167024502
b2_04	0.00694538067392521	0.0431024725306908	0.872048855641615	2.06421660964295e-05	0.920515498098307
b2_05	0.0479363023908425	0.0439771280116901	0.276235454645497	0.000929912009638101	0.431177291560911
b2_06	0.00834875292422211	0.0457833997414484	0.855386000550678	2.33792896258134e-05	0.910136024426298
b3_01	-0.00576956300224413	0.00187478119522171	0.00219508146507065	0.00304452415902801	0.00602216839299171
b3_02	-0.00405713237184043	0.00213899058374173	0.058401178877923	0.00125799593261233	0.126141630969359
b3_03	-0.0034001901331848	0.00271020406008588	0.210178139959378	0.000907803972104992	0.351223455306546
b3_04	0.000435710049790147	0.00363639565839572	0.904672911388142	1.19244494847237e-05	0.941832397099318
b3_05	0.00361262744756651	0.00347512425939565	0.299052359461283	0.000777349239547753	0.456811379444951
b3_06	0.000654596620771415	0.00379241456804108	0.863036572843133	2.07349176349902e-05	0.913306228890181
b8_01	0.0573715248732862	0.0263153752620715	0.0296829229439778	0.00134607264677677	0.0698041704513017
b8_02	0.0637408511564636	0.0325485435828848	0.0507161883521339	0.0014798911320596	0.11129912847347
b8_03	0.0320487062003115	0.0409472094150432	0.434163863675887	0.000508283070458804	0.591661740542048
b8_04	-0.00284985337752223	0.0505210445631054	0.955038024786659	3.40830237710588e-06	0.970640131132184
b8_05	-0.0343949747861448	0.0505735569325046	0.496769607472535	0.000491453008890197	0.646602337421459
b11_01	-0.0231000708387843	0.0127783892140348	0.0712097723056682	0.00202059940253818	0.150637467844963
b11_02	-0.0265666545007487	0.0122249367063166	0.0302084912479903	0.00230564265237843	0.0708777514652847
b11_03	-0.010652408370193	0.00940707819478524	0.257998672754033	0.000462494603689856	0.409328651595077
b11_04	-0.00683476247675891	0.0117814706371427	0.562094338946629	0.000225766016037521	0.69769025263448
b11_05	-0.0222083441451614	0.0215090473388576	0.30237616072716	0.00117203092606177	0.460176618215611
b12_02	-0.02398552609985	0.0136743559504129	0.0799963477509242	0.00205859814858511	0.165057790887083
b12_03	-0.0269353638196706	0.0121951480902194	0.0276205843857691	0.0023498913412805	0.0654037597969827
b12_04	-0.0116581244255111	0.00970054586936894	0.22999089379283	0.000540823501494647	0.375484139130561
b12_05	-0.00771252032946038	0.01179009705712	0.513319889041733	0.000290361395609895	0.662916852599256
b12_06	-0.0220181663058533	0.0214824829516676	0.305933317543136	0.00115219638656405	0.463699594622413
v201	0.0121477158859288	0.0678343560912557	0.857943638935342	1.91821468905617e-05	0.910968859960826
v202	-0.184823957305785	0.171957758437909	0.282940804842855	0.0007278983965604	0.439226822187056
v203	-0.217632738607654	0.174517807904338	0.212926217142386	0.000940987674836635	0.35438793984055
v204	0.25990216853163	0.184020760195376	0.158429807198724	0.000621517249208559	0.283576439124715
v205	0.247339502695309	0.176339590920677	0.161308877491863	0.000648091115414862	0.287097638050104
v206	0.229869761120841	0.156152693931302	0.141588605095594	0.000352557263780695	0.260234025301034
v207	0.555949085342871	0.125444728047681	1.13486878507183e-05	0.00277442930106853	3.32129097042404e-05
v210	-13.3569536017143	0.347179925142	6.233e-156	0.000306611187398498	1.98393007751938e-154
v211	-0.00125413075388078	0.00161291275190741	0.437175510571995	0.000272671329480945	0.593795119552964
v212	-0.0152797118345006	0.0633900899287378	0.809614796666705	5.10692235421439e-05	0.880336309111465
v215	-0.00087245172379039	0.00191067267161222	0.64813219925546	8.39430651332629e-05	0.766482147105476
v218	-0.0464316785708315	0.0910875521426178	0.610439161508947	0.000189668739362325	0.733098332013962
v219	-0.0644997940302082	0.0936648855588888	0.491360163782492	0.00036228056130827	0.643138295342975
v222	0.00567980711912727	0.00188297371928641	0.00268000014226444	0.00291356661286624	0.00728264764006472
v224	0.0121477158859288	0.0678343560912557	0.857943638935342	1.91821468905617e-05	0.910968859960826
v226	-0.00033257342579752	0.000734313761362064	0.650802727317173	9.31785212867631e-05	0.768977265716349
v238	-0.584154039154117	0.336133305347849	0.0828123031704856	0.00186790041915352	0.169589684198511
m1a_1	-0.00394563625317156	0.145639702812749	0.978397552232625	6.46783628655001e-07	0.985598711841795
m6_1	-0.0153536755199099	0.00573500331166238	0.0076535577492587	0.00370062490834588	0.020118763200036
m6_2	-0.00436753832982257	0.0135908120391012	0.748073792122716	0.000104703359799285	0.83447167720486
m7_1	-0.0116284679467692	0.0270121810778558	0.667013741534907	0.000118079355087231	0.782055517630591
m7_2	-0.0130980490565244	0.0200953990463043	0.514837562983762	0.000431098118145679	0.663454354374686
m8_1	-0.00446253884785819	0.00607942450604373	0.463247930682502	0.000293912508115168	0.61827107868371
m8_2	-0.157744732018096	0.0644233256653693	0.0146899697633639	0.00327301391560597	0.0367338707968162
m9_1	0.0209459178432402	0.0176464083569672	0.235765616232862	0.000633851183991063	0.382688164541523
m9_2	-0.15057251796503	0.0650289198721344	0.0209967990971872	0.00322998154311094	0.0511952833094125
m13_1	-0.21053006346381	0.106048709254502	0.04763689162859	0.0010462269143664	0.106072167585136
m14_1	-0.0332377695612919	0.14098650616039	0.813716291236511	5.88100343242859e-05	0.883426518195958
m19_1	-0.000222445261382941	6.90745252006209e-05	0.00135847238671214	0.00285934783123942	0.00377649804999326
m19_2	4.11983537005516e-05	8.35982512486082e-05	0.62236240106821	0.000153562542763219	0.743935958889686
m34_1	0.00488669929237224	0.00424326535248246	0.250001730879092	0.00131686495905436	0.399659812317309
m39_1	0.270458330999299	0.222319973656044	0.224338111267307	0.00136548338108544	0.368895588651807
m46_1	-0.00237188330020179	0.00525979292574663	0.652237677908836	7.10832752018886e-05	0.770451066022348
m61_1	0.00488725137683779	0.00453861580601008	0.282115144299778	0.000416353345788267	0.438110734680366
v417	-0.266761132787257	0.200257739176789	0.18340023487651	0.000912657480995893	0.316271047628286
v418	-0.266761132787257	0.200257739176789	0.18340023487651	0.000912657480995893	0.316271047628286
v419	-0.266761132787257	0.200257739176789	0.18340023487651	0.000912657480995893	0.316271047628286
v437	0.00350087557020785	0.000979712035426775	0.000384381542017037	0.0032539661180121	0.00109147345195156
v438	0.00882546980156223	0.00226845415820171	0.000112688276147339	0.00622887187774979	0.000324700394288403
v439	0.000215443684218172	5.44957594921851e-05	8.74399840585754e-05	0.00633668839150814	0.000252659095386707
v440	0.00518668133583067	0.00138494449295627	0.000200002275565063	0.0058496975845781	0.000570284266298714
