name	estimate	se	p.value	Nag.r2	adj.p.val
sh312_0299991	-13.2684647107572	1.01485146828758	4.5576e-33	0.000779297652461208	1.7295182172702e-32
sh312_03?	-15.7836370293248	1.01127129708249	1.07179094720599e-06	0.013567208270458	3.44101304102976e-06
sh312_08?	-15.3075251394059	1.01661250814175	8.6389e-27	0.0129255294214718	3.11350831569665e-26
sh312_09?	-15.4484067512627	0.673095463253702	4.7461e-62	0.0179249592215087	2.55564040843215e-61
sh312_10?	-14.199737951053	1.01650301394752	3.8477e-35	0.00856267229292496	1.48494333333333e-34
sh312_1199994	-14.9356095372679	0.833985758831613	3.9346e-54	0.00236431174695195	1.88078481871345e-53
sh312_1399994	-13.5652594038145	1.0140619507282	4.7775e-35	0.00336916259234787	1.83857274011299e-34
hb62_3?	-15.8951353069128	1.08886933081065	5.3836e-34	0.0295381789238708	2.06405001876173e-33
hb62_499991	-14.9290273611666	1.0786344433605	2.0161e-36	0.0142530390572733	7.88497674641148e-36
hb62_599995	-14.0469073168864	0.781633868370131	3.438e-56	0.00324910553546975	1.6929043373494e-55
hml34_0299991	-13.2176222896452	1.01489897662128	7.3297e-33	0.000779297652461208	2.77631917516219e-32
hml34_03?	-15.7836370293483	1.01127129708249	9.84012792150887e-05	0.0135672082708064	0.000310792912018599
hml34_08?	-15.3075251394294	1.01661250814175	3.961e-27	0.0129255294217243	1.43643362910382e-26
hml34_09?	-15.4484067512625	0.673095463253703	4.7461e-62	0.0179249592214794	2.55564040843215e-61
hml34_10?	-14.1997379510599	1.01650301394753	4.231e-35	0.00856267229345797	1.63132990566038e-34
hml34_1199991	-14.2586008001494	0.839146875394473	4.6899e-50	0.00236431174695106	2.17566643586833e-49
hml34_1399994	-13.5652594038145	1.0140619507282	4.7775e-35	0.00336916259234787	1.83857274011299e-34
hv006	0.0333918538003833	0.0360381265048764	0.354569090947646	0.000308138023928928	0.540314643811719
hv007	-0.577055611412914	0.435407613983954	0.185631940943026	0.000719387194175303	0.34295932684069
hv008	-0.177313701536176	0.100364320981693	0.0778506741813251	0.001204692874613	0.174780550242324
hv009	0.037040167501706	0.0440493688193564	0.400793069036838	0.000248813173582718	0.582263254726414
hv010	0.0288347335343312	0.130553559031047	0.825282000620525	1.64074828964411e-05	0.906213738994112
hv011	0.124354084164523	0.163459603676707	0.447134814555706	0.000343212421472949	0.621647072531328
hv012	0.0465098503684191	0.0446085846090871	0.297596489816021	0.000385995595665767	0.480741839477501
hv013	0.0331724303783975	0.0449458861048831	0.460807276609861	0.000192280447000925	0.634327834120748
hv014	-0.328771936575759	0.193854783138013	0.0904754666100223	0.00212397374395812	0.196792566277361
hv016	0.0148938563627496	0.0208401975798455	0.475126091920326	0.000285877107896404	0.646633479080377
hv017	-0.744199049398874	0.647614916127516	0.251014393143381	0.000371112045947308	0.421698216774289
hv019	-0.0200305797131813	0.0143262778343568	0.16264337180171	0.000711691458315067	0.30946157381452
hv023	0.00701073511140209	0.00987083778369269	0.477861472837133	0.000289258189681618	0.647897520033989
hv028	1.3076856381419e-07	9.98770878351792e-08	0.19099860339547	0.00104014257428753	0.349423138799143
hv031	0.00158032968196889	0.000930476594156578	0.0900142379599249	0.0014439148029276	0.196226524611312
hv032	-0.00200094238648724	0.036465974100688	0.95626140540123	1.72643823626029e-06	0.978669072161942
hv035	-0.377804869421772	0.1986434347979	0.0577198291110917	0.0022737791420131	0.137631821223472
hv040	-0.000163924939371447	0.000392577481215464	0.676436462846563	8.51772204091272e-05	0.804597591444659
hv041	0.0840387719089506	0.0708365895652245	0.236002719802842	0.000416637709698353	0.403743455769868
hv204	0.000394671820730761	0.000427964309616211	0.356837691275068	0.000273502105408996	0.543366484441581
hv216	0.0273149397114418	0.0895749152613264	0.760531183824769	1.90770821186792e-05	0.867995238283114
hv238	-0.00089010913095952	0.00907485007852977	0.921907587811242	3.7348303253415e-06	0.959832742068137
hv245	-0.0017022611792825	0.00245112916759491	0.48772485809396	0.000314056436699683	0.657214472479398
hv246b	-12.5902346284589	0.454353153385737	2.4148e-105	0.000614287553661996	2.46116897755611e-104
hv246c	-4.35568285752709	0.450471808855044	1.7443e-20	5.0873438074972e-05	5.93091023294509e-20
hv246d	-0.0353840779560105	0.104195349792362	0.734296339623742	5.11408124144186e-05	0.848958738342923
hv246e	-0.714541135344864	0.544021248527471	0.189598678748807	0.000596537044764034	0.347952312548888
hv246f	0.0256991415437484	0.0424376591989921	0.545055462089845	0.000403619021692725	0.70539635008271
hv246g	-0.674589483710475	0.370425784721881	0.0691492252733193	0.00129453980356109	0.157972545384045
hv246h	-0.0215509658706159	0.108760391719578	0.8430025795516	1.47039286476636e-05	0.914371428510454
hv271	1.37906671082295e-06	1.03040585898879e-06	0.181345718360818	0.000564434969491656	0.337504531393745
hml1a	0.0709215955827883	0.138617210503338	0.609117477721949	0.000148782430692829	0.755298280172817
hml2	-0.483769848883847	0.20355946485116	0.0178274567676141	0.00231361973994348	0.0486712196454501
hv107	-0.0781876451235153	0.0935833772948797	0.40382248076117	0.000368573957520546	0.583807031790202
hv108	-0.0195929426849107	0.0305063292739163	0.520981637079056	0.000111614254969861	0.685307998307725
hv123	-0.330547190367473	0.199527406058388	0.0985291940965545	0.000485203911588017	0.211422135829562
hv124	-0.292364458699971	0.0692119528789339	2.82039376385338e-05	0.00453879636709897	8.98437202873637e-05
ha0	-0.0888945096959252	0.106801193503249	0.405591918482645	0.000387486467957499	0.585536619865267
ha1	0.0495556082250921	0.0144503261215914	0.000651810429425574	0.00398811244480624	0.00199546758431635
ha2	8.06585282222786e-05	0.000238289227053999	0.735127233042454	6.45360232320868e-06	0.848958745816476
ha3	0.00317372835876569	0.0020346787693651	0.11939645487727	0.000909471196429035	0.246326759759416
ha4	5.83697364492011e-05	5.89252019496187e-05	0.322343411394886	0.000408700853672173	0.507675345807668
ha5	0.00169163318016842	0.00126693850246601	0.182376496811645	0.000691608389612797	0.338805792031451
ha6	0.000483418255379335	0.000339934749066688	0.155584650723824	0.000768944078739175	0.300479546419733
ha11	-0.000888516663914063	0.00142511084884872	0.533241124029787	0.0001435421894036	0.694283680761306
ha12	-6.65645980330028e-05	0.00011127889117062	0.549975177996727	0.00015110625091852	0.708398535289197
ha12a	2.06108618079016e-05	8.23143402689825e-05	0.802380611619054	2.21926929300231e-05	0.892577452282818
ha12b	-1.8047016495406e-05	8.43322706875945e-05	0.830629723354125	1.95624808546624e-05	0.90757765598496
ha32	-0.00416429650558164	0.00118623065601662	0.000485098201877268	0.00406131711443813	0.00149856111192169
ha35	-10.7725817307779	0.572530642905163	6.0762e-61	0.000166522757655718	3.22093766536965e-60
ha40	-0.000124792906633424	0.000440046511831864	0.77683451876098	3.31991574966661e-05	0.878813413784402
ha41	-0.000487487921268375	0.00072112403911448	0.499326749076204	0.000208578035888807	0.667565725703123
ha53	-0.0179792088495432	0.00970950118343255	0.0646198892069696	0.00168896454513401	0.15031388001644
ha56	-0.0184195941228831	0.00984831629773791	0.0619859565582583	0.00171314780450893	0.145428590386683
ha67	-0.0322413812401142	0.101264692272671	0.750317385518566	5.97237412940377e-05	0.859940312567128
ha69	1.33043089813734e-07	1.03579573946901e-07	0.199541493438413	0.000972441094957088	0.360483200118811
ha70	0.0015937890129349	0.000925432312179185	0.0856115638313087	0.00147155618759665	0.188781405859461
hmlidx	0.237746317558739	0.255334761841999	0.352232314475724	0.000569047614193408	0.538560968672759
hml4	0.0096930760794681	0.00829999287195057	0.243415307938787	0.00133022119992698	0.41194135136473
hmlb	0.0617562469766214	0.0712496543334119	0.386481917785446	0.000355232377840742	0.569618318784392
hmlc	0.172085779100952	0.0672687078680454	0.0108247750684165	0.00371856749508748	0.0304060863949266
hmld	0.12477983506397	0.182291575171319	0.494161676868345	0.00181658957206454	0.662393825306962
hml16	0.0495556082250921	0.0144503261215914	0.000651810429425574	0.00398811244480624	0.00199546758431635
v004	-0.000926194741717702	0.00145957119689443	0.525983563725053	0.000337888735201908	0.688998781121161
v005	1.37180957592579e-07	1.03583735570268e-07	0.185954946973078	0.00106231296349457	0.34295932684069
v006	0.0377980617274423	0.0354150943676982	0.286325530675029	0.000409431462209287	0.467181760316903
v007	-0.629850530905999	0.427631392988226	0.141373152863125	0.000890503206171234	0.280345500122073
v008	-0.187971633677912	0.0971307822419899	0.0534891584175208	0.00138573211328974	0.1295851751348
v012	0.0495304340708703	0.014448142424904	0.000654692301398702	0.00398434411671955	0.00200278999686863
v016	0.0220328994933645	0.0205626617978909	0.284429441000712	0.000628735349834098	0.466290864568757
v021	-0.000926194741717702	0.00145957119689443	0.525983563725053	0.000337888735201908	0.688998781121161
v022	0.00701073511140209	0.00987083778369269	0.477861472837133	0.000289258189681618	0.647897520033989
v023	0.00701073511140209	0.00987083778369269	0.477861472837133	0.000289258189681618	0.647897520033989
v027	-0.465184055728437	0.456426852673894	0.308576850136398	0.000369701165980674	0.491294735686583
v028	0.00160685094410456	0.000937123591402073	0.0869883568361695	0.00148839795096734	0.190832750611607
v029	-0.0200305797131813	0.0143262778343568	0.16264337180171	0.000711691458315067	0.30946157381452
v030	0.00158471392990901	0.000932300001907867	0.0897539180466623	0.00144781789898929	0.195885795861833
v031	0.00158173312436588	0.000930596043991802	0.0897710045630567	0.00144644147992457	0.195885795861833
v032	-0.003131444985264	0.0360697927929578	0.93085015668849	4.2573138333557e-06	0.9661898640371
v040	-0.000163924939371447	0.000392577481215464	0.676436462846563	8.51772204091272e-05	0.804597591444659
v115	0.000428743368465348	0.000429749514451863	0.318897558975375	0.000325064229318106	0.503801439324452
v133	-0.0233487394109835	0.0316731922065083	0.461339272979775	0.000157643721348966	0.634818393890529
v136	0.037040167501706	0.0440493688193564	0.400793069036838	0.000248813173582718	0.582263254726414
v137	-0.328771936575759	0.193854783138013	0.0904754666100223	0.00212397374395812	0.196792566277361
v138	0.0288347335343312	0.130553559031047	0.825282000620525	1.64074828964411e-05	0.906213738994112
v152	0.00897426301367456	0.00889916408970583	0.313701396206885	0.000223326800452561	0.497322578082831
v191	1.37906671082295e-06	1.03040585898879e-06	0.181345718360818	0.000564434969491656	0.337504531393745
bord_01	0.0198039488196195	0.0641176163261981	0.75754181307518	6.12262981343203e-05	0.865973249259171
bord_02	-0.00889818324277665	0.0584458754986983	0.879050196267301	1.07121017738354e-05	0.936838523969485
bord_03	-0.0218771183777591	0.0645932747030623	0.73497843007787	5.39452286740794e-05	0.848958745816476
bord_04	-0.106608437083446	0.0775787589342393	0.169973903669228	0.00105173901906064	0.321117020945221
bord_05	-0.268761918972899	0.140462441943884	0.0562677802599673	0.00486833577898904	0.135120343685144
bord_06	-0.361939970946111	0.25468923152783	0.155977476995497	0.00565746088826435	0.300622029507159
b1_01	-0.0920646154840608	0.0438384453034426	0.036190427184707	0.00192404911221555	0.0927918920350674
b1_02	0.0430869875812861	0.0488919085449553	0.378569495703424	0.000420522717832439	0.562214218364787
b1_03	-0.0124480100890982	0.0639425583792377	0.845722785386599	3.52229199159781e-05	0.915477967686423
