var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
ha67_3	1	-0.910435306519154	0.361061185947854	0.012597982220791	0.013952706027529	0.0237878067482401	ha67	woman's highest year of education
hb62_3?	1	-16.7969931213504	1.05430198128502	2.9083709999999998e-22	0.0109932424826436	6.44336994379391e-22	hb62	NA
hc31_03	1	2.36502991486248	0.364065498128375	4.801856e-10	0.0103774803693669	9.678741e-10	hc31	year of birth
hml34_04?	1	-14.9760398236895	1.05626257993384	1.423286e-14	0.00915194727902024	2.91014817579251e-14	hml34	NA
sh312_04?	1	-14.9760398236788	1.05626257993384	4.508798e-16	0.00915194727856217	9.28589892888244e-16	sh312	NA
hml34_07?	1	-15.2725686832084	1.05667435621361	2.23289e-20	0.0079057998207217	4.87082384319754e-20	hml34	NA
sh312_07?	1	-15.2725686832104	1.05667435621361	1.604789e-21	0.0079057998205444	3.53327477269201e-21	sh312	NA
hv121_09_0	1	17.2462009147432	0.656883811270671	1.000485e-84	0.00609248686875452	5.56740476470588e-84	hv121_09	member attended school during current school year
hv122_09_0	1	17.2462009147432	0.656883811270671	1.000485e-84	0.00609248686875452	5.56740476470588e-84	hv122_09	educational level during current school year
hv121_09_2	1	-17.2462009152102	0.656883809173169	1.000484e-84	0.00609248686875441	5.56740476470588e-84	hv121_09	member attended school during current school year
sh312_09?	1	-15.6981646193936	1.06285881243719	6.475512e-36	0.00598789278913969	1.67831078136986e-35	sh312	NA
hml34_09?	1	-15.6981646194118	1.06285881243723	5.505272e-36	0.00598789278908129	1.42815008555759e-35	hml34	NA
hml34_0899991	1	-15.3281821888567	0.810610969529975	1.523864e-41	0.00581054767868794	4.26501581065089e-41	hml34	NA
sh312_0899991	1	-15.6278912856267	0.717525613235264	3.684219e-48	0.00581054767868605	1.19768768865979e-47	sh312	NA
sh312_1199994	1	-14.3062020752079	1.04894554173661	1.236174e-35	0.00536702965034619	3.19223094813467e-35	sh312	NA
hml34_1199991	1	-13.8441370337209	1.05061371502664	1.038394e-33	0.00536702965034619	2.61487326708075e-33	hml34	NA
hv106_09_1	1	-17.1912348574357	0.664933406099784	4.305987e-83	0.00508727546209298	2.35914886216216e-82	hv106_09	highest educational level attained
hv109_09_1	1	-17.175417873775	0.666955288160779	1.066872e-82	0.00486015214168134	5.81148317850288e-82	hv109_09	educational attainment
shorei_08_0	1	16.8477304348602	0.885589367551325	1.807502e-51	0.00407517793868328	6.15070824460432e-51	shorei_08	result of vaccination test : mumps
hb57_1_4	1	-2.05243817827667	0.639152428077665	0.00140160465058159	0.00405688438958285	0.00276232916552122	hb57_1	anemia level
hc15_03_1	1	17.0190991761182	0.890109721174614	6.267988e-50	0.00402628413066952	2.07084399813737e-49	hc15_03	height: lying or standing
hc15_03_2	1	-17.0219596906506	0.890593056183205	6.61595e-50	0.00397846930904977	2.1832635e-49	hc15_03	height: lying or standing
hv115_06_0	1	16.1334045696145	0.891631288529091	1.177013e-44	0.00351964258258131	3.49045234482759e-44	hv115_06	current marital status
hv116_06_0	1	16.1334045696145	0.891631288529091	1.177013e-44	0.00351964258258131	3.49045234482759e-44	hv116_06	currently, formerly, never married
shpool_19	1	2.45006898292349	0.562828228641472	1.60940270809299e-5	0.00328322516670665	3.23247337973666e-5	shpool	pool
spool_19	1	2.45006898292349	0.562828228641472	1.60940270809299e-5	0.00328322516670665	3.23247337973666e-5	spool	pool
shorei_08_1	1	-16.7616056490627	0.889787168044085	8.144202e-51	0.00321109026405186	2.74504100665083e-50	shorei_08	result of vaccination test : mumps
hb56	1	-0.0333962550961792	0.0114137318737391	0.00358022396362443	0.00273578109760331	0.00698808501290656	hb56	hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal)
hv101_09_5	1	-15.9642826266025	0.636088059977118	3.025439e-80	0.00272281950512587	1.561126524e-79	hv101_09	relationship to head
shnprovin_20	1	2.15418812089283	0.648567544487558	9.56865727144206e-4	0.00269292186197523	0.00189107585907748	shnprovin	new province
v024_8	1	2.15418812089283	0.648567544487558	9.56865727144206e-4	0.00269292186197523	0.00189107585907748	v024	province
snprovin_20	1	2.15418812089283	0.648567544487558	9.56865727144206e-4	0.00269292186197523	0.00189107585907748	snprovin	new province
ha56_1	1	-0.0377109450558798	0.0133953342150297	0.00505527079255871	0.00265392106584306	0.00975976769338886	ha56	hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal)
hb53	1	-0.0320495940026354	0.0120182763029155	0.00789186305782404	0.00254735788128413	0.0150923904030355	hb53	hemoglobin level (g/dl - 1 decimal)
ha53_1	1	-0.0335249327086425	0.0120620645614869	0.00563949057791886	0.00237373152672704	0.0108360692350262	ha53	hemoglobin level (g/dl - 1 decimal)
hv106_06_2	1	-15.7801946050467	0.444104730727513	9.227208e-141	0.00236586743393685	1.46295063150838e-139	hv106_06	highest educational level attained
hv115_06_1	1	-16.0650481063335	0.861138824888592	2.255057e-46	0.00220031612804994	6.97151608496732e-46	hv115_06	current marital status
hv116_06_1	1	-16.0650481063335	0.861138824888592	2.255057e-46	0.00220031612804994	6.97151608496732e-46	hv116_06	currently, formerly, never married
shteta_06_1	1	-17.2556917285188	0.728343950934839	9.854487e-74	0.00217816137270943	4.71619462158516e-73	shteta_06	result of vaccination test : tetanus
hv101_10_13	1	-15.3068474909463	0.70247148934954	1.355883e-60	0.00214118776829264	5.30026990909091e-60	hv101_10	relationship to head
v007	1	1.3610388188952	0.580046174611594	0.0193194229249431	0.00212056632656532	0.0360951430289589	v007	year of interview
v006	1	-0.128214306929979	0.0574358143131081	0.0260094287678493	0.00202267717663862	0.0480877907773005	v006	month of interview
hv109_06_3	1	-15.7505759162822	0.4471524612681	2.236182e-139	0.00197887390301887	3.41198092258065e-138	hv109_06	educational attainment
v778_1	1	3.64459585464539	1.05365173095768	5.85542527367186e-4	0.00189863098128595	0.00116370426657428	v778	willing to care for relative with aids
hb57_3_4	1	15.6488316473032	0.710859990437721	1.542016e-62	0.00184575681667043	6.18987469306931e-62	hb57_3	anemia level
hv109_08_3	1	-15.9446722297197	0.578628271301602	3.330861e-97	0.00182491879527902	2.21381347025761e-96	hv109_08	educational attainment
ha56_2	1	-0.0411210496026154	0.015635765530269	0.00887385725462255	0.00181586544995604	0.0169020180460529	ha56	hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal)
shvari_07_0	1	15.7514646109135	0.56516202589516	1.939182e-86	0.00179216274790428	1.09848273772455e-85	shvari_07	result of vaccination test : chickenpox
hv122_06_2	1	-15.7200976298417	0.442507148184059	7.657537e-141	0.001784655854422	1.22090393292135e-139	hv122_06	educational level during current school year
v778_0	1	-3.55750329851541	1.05398569546212	7.9111696250299e-4	0.00173914397480268	0.00156896571599125	v778	willing to care for relative with aids
shorei_06_1	1	-16.1750854452973	0.741849675640586	2.303819e-66	0.00170367939774507	9.87649293353474e-66	shorei_06	result of vaccination test : mumps
ha33_3_1	1	16.0492588726473	0.817134010208894	9.813791e-47	0.00170047389015016	3.09461542866667e-46	ha33_3	completeness of ha32 information
