name	estimate	se	p.value	Nag.r2	adj.p.val
sh312_0299991	-10.9855993237877	1.04554895137496	1.446294e-23	1.58518436977895e-05	3.2243380769835e-23
sh312_0399991	-15.2636468469779	0.634153648866556	2.311934e-48	0.0127054171629621	7.53302949712974e-48
sh312_04?	-14.9760398236788	1.05626257993384	4.508798e-16	0.00915194727856217	9.28589892888244e-16
sh312_05?	-15.3022036133212	1.04854088210098	1.970817e-13	0.00339612025706526	3.99512760428571e-13
sh312_06?	-15.0084457835289	1.0525946376717	5.68527533001128e-08	0.0049407679067438	1.14512500969283e-07
sh312_07?	-15.2725686832104	1.05667435621361	1.604789e-21	0.0079057998205444	3.53327477269201e-21
sh312_0899991	-15.6278912856267	0.717525613235264	3.684219e-48	0.00581054767868605	1.19768768865979e-47
sh312_09?	-15.6981646193936	1.06285881243719	6.475512e-36	0.00598789278913969	1.67831078136986e-35
sh312_10?	-14.0059798054939	1.04594215291797	2.04617e-33	0.000627515607478313	5.13896500884956e-33
sh312_1199994	-14.3062020752079	1.04894554173661	1.236174e-35	0.00536702965034619	3.19223094813467e-35
sh312_1399995	-13.3213720703917	1.04583490062602	2.553573e-32	0.000197471781245739	6.29629902172024e-32
hb62_3?	-16.7969931213504	1.05430198128502	2.908371e-22	0.0109932424826436	6.44336994379391e-22
hb62_499991	-15.9073224664545	1.04280357603248	1.483045e-41	0.000938952674553906	4.15486842053307e-41
hb62_599995	-14.9603548279744	0.842688517893841	9.625522e-55	0.000404801126571264	3.43612974037736e-54
hml34_02A1T8D	-11.0884999634932	1.06859470403974	4.507504e-23	1.58518436977895e-05	1.00174599467502e-22
hml34_0399991	-14.9967570249525	0.655458208678112	9.017979e-46	0.0127054171630706	2.72846742025586e-45
hml34_04?	-14.9760398236895	1.05626257993384	1.423286e-14	0.00915194727902024	2.91014817579251e-14
hml34_05?	-15.3022036133007	1.04854088210098	8.523455e-13	0.00339612025713321	1.72413152459016e-12
hml34_06?	-15.008445783523	1.05259463767169	3.05711446405584e-05	0.00494076790677167	6.12718280295937e-05
hml34_07?	-15.2725686832084	1.05667435621361	2.23289e-20	0.0079057998207217	4.87082384319754e-20
hml34_0899991	-15.3281821888567	0.810610969529975	1.523864e-41	0.00581054767868794	4.26501581065089e-41
hml34_09?	-15.6981646194118	1.06285881243723	5.505272e-36	0.00598789278908129	1.42815008555759e-35
hml34_10?	-14.005979805494	1.04594215291797	2.04617e-33	0.000627515607478313	5.13896500884956e-33
hml34_1199991	-13.8441370337209	1.05061371502664	1.038394e-33	0.00536702965034619	2.61487326708075e-33
hml34_1399995	-13.3213720703917	1.04583490062602	2.553573e-32	0.000197471781245739	6.29629902172024e-32
hv006	-0.0239647396789259	0.0647325919009818	0.711372091763589	5.28594519875192e-05	0.819015820050737
hv007	0.374041793854666	0.62220914949039	0.547994832752049	0.000119329044968919	0.691819099355122
hv008	0.218356445918496	0.211453800200394	0.302238966269453	0.000309448983869531	0.436960869216866
hv009	0.0719821214873598	0.0841032931879494	0.392450096791152	0.000317719390422577	0.536758252864236
hv010	0.114290754143117	0.313485349975852	0.715568914967869	7.06202600322392e-05	0.821514798009228
hv011	-0.071475648983105	0.214515567783616	0.739117644516988	3.12044001755662e-05	0.838375649536056
hv012	0.0814605683094146	0.0843171114151505	0.334421571185921	0.000403711848748323	0.474544209512822
hv013	0.0739507286014345	0.0874328954334276	0.398043957858893	0.000326882696669029	0.543623076228844
hv014	0.040387733605787	0.312647946561022	0.897264276785975	1.18391323895572e-05	0.937317178372651
hv016	0.0774774986100905	0.0459337003406481	0.092241478414551	0.001989608805537	0.153537428586801
hv017	-14.7555253141063	0.343383655059112	2.706456e-175	0.000571695464875455	1.16377608e-173
hv019	-0.00885789133378655	0.0292946037054422	0.762485845861898	4.15536673773476e-05	0.852988181269939
hv023	-0.0188439518908942	0.0127984839276244	0.141514415170021	0.00064749612876791	0.225881839287131
hv028	2.071672e-09	2.02151004713404e-07	0.991827146074608	5.17483973450084e-08	0.996038726312717
hv031	0.00151979491011648	0.000767167971239678	0.0480996550426662	0.000385819697822587	0.0856379052767169
hv032	-0.00246976908712416	0.0417321415453544	0.952829757784112	7.70008864892091e-07	0.970844492632832
hv035	0.129314130423127	0.357478898389464	0.717690291028498	0.000102429084834266	0.823284173782893
hv040	0.000788331533045754	0.000410224137753532	0.0551752117115576	0.000774838288965296	0.0971713121176159
hv041	0.0116185434554266	0.16975076827467	0.945457294138039	2.05120833585148e-06	0.966921730004957
hv204	0.000147283700410013	0.000746317743400714	0.843631096747543	8.70797118979194e-06	0.899746355719476
hv216	0.0622930432478084	0.11912152163812	0.601235450662707	3.20400455667835e-05	0.736297676295827
hv238	-0.462438381959029	0.306989106868043	0.132660758966434	0.00167631394862511	0.213068044112473
