var	concordance	Estimate.x	SE.x	P.Val.x	Nag.R2.x	FDR.x	varOrig.x	varlabel.x
hv218	1	-11.5547325305422	1.02108187087682	3.4077e-24	1.95125623856929e-4	2.28734389473684e-23	hv218	line number of head of househ.
hv271	1	2.82025715810663e-6	8.7397075961414e-7	0.00142040855902306	0.0065230541331871	0.00705777032054835	hv271	wealth index factor score (5 decimals)
hv105	1	0.062432688174802	0.0089921102789996	3.371e-11	0.0204557915046738	1.98422246153846e-10	hv105	age of household members
hml16	1	0.062417425643332	0.00899484672374186	3.448e-11	0.0204461396253161	2.01713272171254e-10	hml16	corrected age from individual questionnaire
v012	1	0.062417425643332	0.00899484672374186	3.448e-11	0.0204461396253161	2.01713272171254e-10	v012	current age - respondent
v191	1	2.82025715810663e-6	8.7397075961414e-7	0.00142040855902306	0.0065230541331871	0.00705777032054835	v191	wealth index factor score (5 decimals)
b8_02	1	0.0740168319677261	0.0195488009296972	1.9348540260581e-4	0.0150091495017927	0.00102247948946109	b8	NA
v201	1	0.114932227469149	0.040066980670243	0.00448084162859556	0.00580560556387466	0.0204091667511983	v201	total children ever born
v210	1	-12.7763201097616	0.34628683107238	1.7959e-102	6.78520170566688e-4	1.56161668181818e-100	v210	births in month of interview
v224	1	0.114932227469149	0.040066980670243	0.00448084162859556	0.00580560556387466	0.0204091667511983	v224	entries in birth history
v836	1	0.13772060836332	0.0340742710771221	7.09017364723412e-5	0.00984385587920078	3.7993003325375e-4	v836	total lifetime number of sexual partners
mm3_01	1	0.0601553252050356	0.0126555965538408	3.40129848560464e-6	0.0270777832770256	1.95395916004855e-5	mm3	NA
mm3_02	1	0.0564116894085526	0.0102956484674121	1.05206777669e-7	0.0211848333288384	6.11734242190872e-7	mm3	NA
mm3_04	1	0.0476107460161867	0.0158500296429149	0.00294249833513126	0.0172850490219537	0.0137965669487895	mm3	NA
mm4_01	1	-0.00408237905449145	9.09085823209204e-4	1.09050317422738e-5	0.0193508056993783	6.1719898588668e-5	mm4	NA
mm4_02	1	-0.00447010774076448	9.98324595570881e-4	1.1538830716329e-5	0.0232752295595735	6.51144046027651e-5	mm4	NA
mm4_03	1	-0.00403078823168176	0.0011394236383374	4.82246124317881e-4	0.0195515963575249	0.00252059244759592	mm4	NA
s205	1	0.268865297113196	0.0593938280976735	9.31596506509614e-6	0.0106410870920767	5.30400034807408e-5	s205	number of children living elsewhere
s207	1	0.449015526355655	0.105111842222577	2.76898604970918e-5	0.0100746878248665	1.5309451771947e-4	s207	number of children who have died
s345	1	0.13787606385753	0.0330310519078113	4.14791574509287e-5	0.012025161268037	2.28016172998927e-4	s345	total number of sexual part
s702	1	-16.4427654005623	0.682670261018523	6.3101e-55	0.00357316371507543	9.73485588709677e-54	s702	guardian
hv201_43	1	-14.0146229166125	0.484894164651486	3.2697e-81	0.00231032801442066	1.3597687173913e-79	hv201	source of drinking water
hv201_61	1	-11.0784268562407	1.00524711989562	3.1078e-23	9.11554207553289e-5	2.02218414965986e-22	hv201	source of drinking water
hv201_99	1	-12.7229872223496	0.595503999644174	4.5883e-58	3.6623472754127e-4	7.69948938596491e-57	hv201	source of drinking water
hv206_1	1	0.701534052609614	0.268006462254034	0.0094016772787168	0.00541220603371018	0.0396154375202318	hv206	has electricity
hv206_9	1	-12.8337480724372	0.45928983557052	1.96e-78	6.93791859829318e-4	7.652e-77	hv206	has electricity
hv207_9	1	-12.8278647363862	0.482356522590919	1.903e-74	5.98349440643742e-4	6.86875283018868e-73	hv207	has radio
hv208_0	1	-0.696424172148349	0.253502163481223	0.00645325596477626	0.00675195636310821	0.0283794911738322	hv208	has television
hv208_1	1	0.723526784351976	0.253867281454322	0.00474068971601152	0.00729417008231414	0.0215414238164609	hv208	has television
hv208_9	1	-12.8909114340435	0.413668488478716	1.4801e-87	8.19874918167263e-4	8.08980371428571e-86	hv208	has television
hv210_9	1	-12.7227620200205	0.477942423616603	1.594e-74	4.81173111997468e-4	5.86408076923077e-73	hv210	has bicycle
hv211_9	1	-12.8165614528607	0.421893565675005	2.1857e-85	6.85441673280218e-4	1.01981563414634e-83	hv211	has motorcycle/scooter
hv212_9	1	-12.8165614528607	0.421893565675005	2.1857e-85	6.85441673280218e-4	1.01981563414634e-83	hv212	has car/truck
hv213_21	1	-12.5634195403479	0.916660086774744	3.5396e-32	6.3807427441831e-4	2.79803917355372e-31	hv213	main floor material
hv213_31	1	-10.7352353300051	0.826681316382851	9.6758e-30	6.16594297635498e-5	7.06481122137404e-29	hv213	main floor material
hv213_99	1	-12.7161628845314	0.565317441536076	1.0149e-61	3.88828364004778e-4	2.08763838709677e-60	hv213	main floor material
hv217_0	1	-8.52846159272091	1.00785118542222	2.3427e-15	1.02020749136456e-5	1.38320527777778e-14	hv217	relationship structure
hv227_9	1	-12.7796335507915	0.502172739171282	5.5518e-71	5.37134636845238e-4	1.7700989e-69	hv227	have bednet for sleeping
hv243c_9	1	-12.7995867795076	0.399903261370523	7.4066e-90	7.34613122461258e-4	4.29358357575758e-88	hv243c	has an animal-drawn cart
hv249_9	1	-12.8270958414456	0.567742307333406	4.8729e-62	4.67890810943117e-4	1.02437996703297e-60	hv249	member of the hh died last 12 months
hv101_6	1	-11.8179225420034	0.471093232387726	7.1756e-70	2.61669500783879e-4	2.07983678787879e-68	hv101	relationship to head
hv106_9	1	-12.8542017333069	0.535625193703049	1.7092e-66	4.12736060786734e-4	4.35959946666667e-65	hv106	highest educational level
hv109_9	1	-12.8542017333069	0.535625193703049	1.7092e-66	4.12736060786734e-4	4.35959946666667e-65	hv109	educational attainment
hv111_0	1	-15.3269963224306	0.782524387888665	3.1077e-44	0.00133510764970868	3.3399045505618e-43	hv111	mother alive
hv111_1	1	16.5532168178413	0.738560995295678	4.4368e-51	0.00402323799460313	6.15043362318841e-50	hv111	mother alive
hv111_9	1	-15.5690594143236	0.782350348009053	5.1407e-45	0.00253357008734867	5.65181557471264e-44	hv111	mother alive
hv113_8	1	-13.3883710048347	1.44848598607556	1.5006e-16	2.65371175662166e-4	8.99889592476489e-16	hv113	father alive
hv113_9	1	-15.5552578855554	0.780285002676191	4.2094e-45	0.00256872486032567	4.65467179190752e-44	hv113	father alive
hv130_1	1	1.68138368594895	0.546228085303631	0.00231773619822707	0.00709997420408859	0.0111123542536551	hv130	member has been very sick for 3+ months last year
hv130_8	1	-10.9067954216237	1.0121063723519	1.9036e-22	5.95372850211717e-5	1.23026581081081e-21	hv130	member has been very sick for 3+ months last year
hv134_0	1	-14.4340908555245	0.900560643395458	5.4196e-34	0.00113790415316495	4.37455476793249e-33	hv134	both parents alive
hv134_1	1	14.4185547764263	0.889804755366704	1.9422e-34	0.0012377392131	1.58103344680851e-33	hv134	both parents alive
hv135_0	1	15.6378199125496	0.763495113255534	1.8916e-46	0.00341499273974655	2.20648219512195e-45	hv135	has brothers/sisters under 18 of the same father and mother
hv135_1	1	-15.6378199124478	0.763495110453176	1.8916e-46	0.00341499273974655	2.20648219512195e-45	hv135	has brothers/sisters under 18 of the same father and mother
hv136_0	1	14.2995765684504	0.874881836888348	7.2712e-36	6.59077335555258e-4	6.12766766519824e-35	hv136	brothers/sisters under 18 that don't live in household
hv136_1	1	-14.2995765690777	0.87488184727365	7.2712e-36	6.59077335555036e-4	6.12766766519824e-35	hv136	brothers/sisters under 18 that don't live in household
hv137_0	1	-16.2752494093072	0.782290770383215	3.082e-47	0.0029124357696011	3.70809182389937e-46	hv137	member has a blanket
hv137_1	1	16.5044253049002	0.737232501985435	5.1e-51	0.00629846441229298	7.01892086330935e-50	hv137	member has a blanket
