name	estimate	se	p.value	Nag.r2	adj.p.val
sstruct	-0.00260100267691377	0.00222692688119713	0.243941600390905	0.000831483427972124	0.472101385124115
hv003	0.119067872126957	0.051372919516107	0.0212825824118703	0.00472636386822323	0.0782953464498228
hv008	-0.0768867571787843	0.145595923329696	0.597915715991324	0.000216655233652441	0.78151433937693
hv009	0.00755729481447307	0.0196217464131633	0.700458524068174	8.83362929526843e-05	0.843360092247628
hv010	0.08193112881475	0.0537865930532749	0.128972168369874	0.00125335692456396	0.320837136660038
hv011	-0.0147016855405129	0.0692338426933353	0.832010485657391	2.66907118079418e-05	0.918428193342521
hv012	-0.0113000767984794	0.0239835926979332	0.637943315745768	0.000151319454135823	0.807318254413319
hv013	0.0108257478291132	0.0200334019105242	0.589418544113493	0.000168683644738654	0.7728787255231
hv014	-0.257468289933531	0.101211574359316	0.0115737373631693	0.00562374089344297	0.0477167232235838
hv016	-0.00371227188955324	0.0162800129551574	0.819814410038354	5.9909202689945e-05	0.913398349681637
hv017	-0.195890390305571	0.340422981619856	0.565522783859467	0.000231968501227753	0.756006349072788
hv018	0.00423129924303186	0.00337735246527739	0.211446897300395	0.00198395259155926	0.439671646234408
hv019	0.015544614105716	0.0201139295167433	0.440362902170248	0.000384895230991278	0.661755091792368
hv022	-0.00337887015823251	0.00365057819412527	0.355572265895602	0.000840436255463817	0.587400470343943
hv028	-1.6706362117469e-07	7.96615039694298e-08	0.0369955593465006	0.00554954606334745	0.125261070849302
hv030	0.0103838007011083	0.00453210163635482	0.0227963843756387	0.00449909533709592	0.0827237226765585
hv032	0.0057434650085207	0.0222949569739074	0.796920287545953	4.53015402385182e-05	0.89571592836393
hv033	1.60326262344114e-06	5.53631096401153e-06	0.772372534063208	3.29658850600767e-05	0.875843899029589
hv218	-11.5547325305422	1.02108187087682	3.4077e-24	0.000195125623856929	2.28734389473684e-23
hv220	0.0144092238733601	0.00773291145648941	0.0635979296474369	0.00256670909168022	0.187751295394362
hv248	0.688123204433181	0.311861023426656	0.0282692418701085	0.0045806354990241	0.0986844155064189
hv251	-0.172147169618488	0.0634915688762971	0.00733951867190863	0.0180773289669476	0.0319829139393194
hv271	2.82025715810663e-06	8.7397075961414e-07	0.00142040855902306	0.0065230541331871	0.00705777032054835
hml1	-0.134669324819247	0.131477724612697	0.306707569579751	0.000584703698885636	0.545206637592808
hml1a	-0.134462858044765	0.132497052042412	0.311176769699712	0.000576015437236066	0.54840867881495
hml2	-0.459381525533145	0.496159399062414	0.355414738056716	0.000843928745079214	0.587400470343943
hv105	0.062432688174802	0.0089921102789996	3.371e-11	0.0204557915046738	1.98422246153846e-10
hv107	0.014802845802779	0.0909162706606633	0.870818702903612	3.83736084385022e-05	0.934835117090129
hv108	0.0029303335927404	0.00996741547521185	0.769011435988372	2.54406932047591e-05	0.874143438924928
hml16	0.062417425643332	0.00899484672374186	3.448e-11	0.0204461396253161	2.01713272171254e-10
v004	-0.00074212741838539	0.00179568265275794	0.679756912188169	0.000181915099929375	0.83144179860356
v005	-1.48690387051968e-07	7.13934098267127e-08	0.038308518686108	0.00521169583199033	0.12856876534478
v006	-0.101581256158971	0.159296449755339	0.524268218369564	0.000348757098368457	0.729930932854413
v008	-0.101581256159185	0.159296449755874	0.52426821837008	0.000348757098368457	0.729930932854413
v012	0.062417425643332	0.00899484672374186	3.448e-11	0.0204461396253161	2.01713272171254e-10
v016	-0.0031194771751686	0.0161517098069098	0.847011150248272	4.1722446512571e-05	0.922367273273535
v021	-0.00074212741838539	0.00179568265275794	0.679756912188169	0.000181915099929375	0.83144179860356
v022	-0.00337887015823251	0.00365057819412527	0.355572265895602	0.000840436255463817	0.587400470343943
v027	0.0615513664192423	0.262537657438211	0.814831605949554	2.98400899982898e-05	0.908375793812061
v028	0.0112613607129467	0.00368250336563472	0.00247280331341196	0.0105479382074453	0.0118261818463927
v029	0.015544614105716	0.0201139295167433	0.440362902170248	0.000384895230991278	0.661755091792368
v030	0.0103845767855555	0.0045318665443828	0.0227793475178135	0.0044999935960921	0.0827237226765585
v032	0.0058638408598483	0.0222748433109891	0.792577764846368	4.72500150848765e-05	0.891883096559472
v033	1.60326262344114e-06	5.53631096401153e-06	0.772372534063208	3.29658850600767e-05	0.875843899029589
v104	0.000914011719076601	0.0029086060511546	0.753601057272458	7.67357706791261e-05	0.8668904525329
v107	0.0179865679886082	0.0888103816205326	0.83970117127379	5.5980043351056e-05	0.920774762606219
v113	-0.00568691948790637	0.013694616544033	0.678307105745901	0.000153044178822559	0.830730789559481
v127	0.0219083230673068	0.014608001122138	0.134956717090011	0.00142817864363076	0.326218040919263
v133	0.0297694258977509	0.0275432204636373	0.280828727914845	0.000902610986203367	0.518557293919979
v136	0.00755729481447307	0.0196217464131633	0.700458524068174	8.83362929526843e-05	0.843360092247628
v137	-0.257468289933531	0.101211574359316	0.0115737373631693	0.00562374089344297	0.0477167232235838
v138	0.08193112881475	0.0537865930532749	0.128972168369874	0.00125335692456396	0.320837136660038
v152	0.0157039198738247	0.00799417636127078	0.0506025985921795	0.00293038013366542	0.159215084057302
v191	2.82025715810663e-06	8.7397075961414e-07	0.00142040855902306	0.0065230541331871	0.00705777032054835
bord_01	0.0854666183401581	0.0490268666620071	0.0825374388719754	0.00304663760780632	0.227513142020301
bord_02	0.0735277052980346	0.0630416322915169	0.244626869679993	0.00205584553949734	0.472221192429694
bord_03	0.0836178112894718	0.075235019085472	0.267537453918544	0.00227688468220288	0.500781946522676
bord_04	0.13891695620999	0.0843680871587956	0.10107015686901	0.00548606229642112	0.265952145929046
bord_05	0.138619758411733	0.104125509801329	0.184668682618542	0.00494883392466927	0.401062551411882
b1_01	0.0771936550553438	0.039674409794803	0.0528323435089021	0.00410898058165321	0.163276693267415
b1_02	0.049030220353594	0.0455597719843682	0.282921352085973	0.0017176900271304	0.520412063981218
b1_03	-0.000292155743857283	0.0488893874444208	0.995237123610505	6.33693817420067e-08	0.997191811782356
b1_04	0.00402331769668245	0.0642055107501139	0.950091401887074	1.10325311464265e-05	0.972967606097922
b1_05	-0.0753617525682999	0.07108200080873	0.290374668856375	0.00472094672789725	0.526096327197208
b2_01	-0.0710780880218565	0.0170439549151221	4.21930618120192e-05	0.011477222915688	0.000231276009301985
b2_02	-0.0793765333906924	0.0195488248623599	6.61828146343723e-05	0.0182172330235424	0.000356641477170575
b2_03	-0.0693145975021553	0.0234464559486429	0.00343504560189655	0.0138135432047385	0.0159884239329151
b2_04	-0.0732143420183258	0.0298990847622613	0.0151154380638148	0.0135043372442362	0.0601622238888958
b2_05	-0.0450217176620042	0.0388652227140398	0.248129672198804	0.00546184096795521	0.476578376422
b3_01	-0.00577186869238914	0.00141850608335674	6.36489238024292e-05	0.0108345548224125	0.000344930286782003
b3_02	-0.00649235631837294	0.00163363342031231	9.32494680288811e-05	0.0176362612500522	0.000498285565193434
b3_03	-0.00581785049821245	0.00197139026429188	0.00349072815111959	0.0139115265191955	0.0161390241882732
b3_04	-0.00607095099268505	0.00248522069313577	0.01535774408979	0.0134266959065267	0.0609530382650794
b3_05	-0.00393959906523481	0.00318020627153878	0.216928782002678	0.00599344666722068	0.443426522676173
b8_01	0.0785425580768293	0.0184682635497233	3.00890895411e-05	0.0132864336690159	0.000165880196807275
b8_02	0.0740168319677261	0.0195488009296972	0.00019348540260581	0.0150091495017927	0.00102247948946109
