var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
hml16_08	1	0.131544485976001	0.0157229901455835	3.456977e-14	0.0144964643920762	1.05806373253676e-13	hml16	corrected age from individual questionnaire
v012	1	0.0697772489600424	0.0157842825865786	1.48166129201005e-5	0.0124076135105778	4.46914139709553e-5	v012	current age - respondent
hv105	1	0.0695351293110383	0.0158018328341878	1.61555448151641e-5	0.0123365921482477	4.86419206460185e-5	hv105	age of household members
s116_4	1	4.1602066905581	1.29699612110699	0.00161517100816931	0.00989810636588895	0.00477666026394654	s116	occupation last 12 months
hivline	1	-0.299837157768122	0.10935211870272	0.00656012191075283	0.00958879822866032	0.0184503428739923	hivline	line
v501_3	1	3.29245006758286	1.01179012401689	0.0012985498066534	0.00876659960537463	0.00386086683585341	v501	current marital status
hv105_07	1	0.0476963951602231	0.0166645067216599	0.0046235426961607	0.00873815418252955	0.0132271453421092	hv105	age of household members
hv101_1	1	1.18728510330081	0.415659819984952	0.00465424471657037	0.00865801925368226	0.013269379200496	hv101	relationship to head
v150_1	1	1.18728510330081	0.415659819984952	0.00465424471657037	0.00865801925368226	0.013269379200496	v150	relationship to household head
hv118_01_1	1	1.31676128754199	0.463870674101104	0.00491217294241283	0.00750625044525599	0.0139331651603367	hv118_01	eligibility for male interview
hv118_01_0	1	-1.31676128754198	0.463870674101106	0.004912172942413	0.00750625044525577	0.0139331651603367	hv118_01	eligibility for male interview
v013_1	1	-2.26772246358249	0.898094174921606	0.0122033336137789	0.00748619593811972	0.0334737239982568	v013	age 5-year groups
v536_0	1	-16.231512298179	0.25683522087418	2.940392e-153	0.00657017875132959	4.89575268e-150	v536	recent sexual activity
hv113_06_0	1	-16.2454122593566	0.413313395376944	5.888144e-98	0.00512833986599193	1.92230583529412e-96	hv113_06	father alive
hv101_12_3	1	-16.356514081281	0.670650842721903	4.707378e-47	0.00422266257016124	3.88009127227723e-46	hv101_12	relationship to head
hv103_01_1	1	3.30904706512872	1.06052179255188	0.00202470996944343	0.00369563541633122	0.00594557689439737	hv103_01	slept last night
hv103_01_0	1	-3.30904706512866	1.06052179255181	0.00202470996944257	0.00369563541633089	0.00594557689439737	hv103_01	slept last night
hv113_13_1	1	16.2093548605691	0.74600086439496	4.273391e-34	0.00345561393138061	2.23046897021944e-33	hv113_13	father alive
hv132_05_0	1	15.7976962930266	1.03309498583003	2.342439e-27	0.00312831613172571	9.46641003640777e-27	hv132_05	father has been very sick for 3+ months last year
hv113_13_0	1	-16.1737305658261	0.781990354960604	1.023932e-32	0.00297617589512844	5.07394875e-32	hv113_13	father alive
hv135_13_1	1	-16.1434666641202	0.77527018302931	3.894593e-33	0.00296559951067787	1.95906264199396e-32	hv135_13	has brothers/sisters under 18 of the same father and mother
hv135_13_0	1	16.1434666636933	0.775270182222777	3.894593e-33	0.00296559951067776	1.95906264199396e-32	hv135_13	has brothers/sisters under 18 of the same father and mother
v479_16	1	-14.5528718622906	0.433074986002687	9.702554e-84	0.00295231332470058	1.90055910705882e-82	v479	source for injection by health worker
hv137_08_0	1	-16.1354119282148	0.771815657807707	1.826314e-42	0.00294868710038865	1.216327788e-41	hv137_08	member has a blanket
hv137_08_1	1	16.1354119304257	0.771815672561669	1.826318e-42	0.00294868710038831	1.216327788e-41	hv137_08	member has a blanket
hv132_05_8	1	-15.8375079336115	1.05461812776208	7.94727e-27	0.00292098304246813	3.12818074468085e-26	hv132_05	father has been very sick for 3+ months last year
hv138_08_0	1	-16.0618404680223	0.771696401204062	4.040278e-42	0.00243286463107228	2.6484499488189e-41	hv138_08	member has a pair of shoes
hv138_08_1	1	16.0618404631951	0.771696394118378	4.040275e-42	0.00243286463107195	2.6484499488189e-41	hv138_08	member has a pair of shoes
hv132_07_0	1	15.6352642887515	1.04688519296694	5.569509e-25	0.00235799960767458	2.0699179654017898e-24	hv132_07	father has been very sick for 3+ months last year
hv132_07_8	1	-15.6556360276904	1.05577271497819	8.527595e-25	0.0022339023381398	3.14124904314159e-24	hv132_07	father has been very sick for 3+ months last year
hv113_05_0	1	-14.9993800362685	0.426343556847109	2.194994e-91	0.00214875451385521	5.0759536875e-90	hv113_05	father alive
hv113_05_1	1	14.9993800370337	0.426343569931846	2.195007e-91	0.0021487545138551	5.0759536875e-90	hv113_05	father alive
hv137_09_1	1	15.8268870286949	0.65175945186343	3.419371e-44	0.00212676967269287	2.4753272673913e-43	hv137_09	member has a blanket
hv137_09_0	1	-15.8268870244526	0.651759436333936	3.419364e-44	0.00212676967269276	2.4753272673913e-43	hv137_09	member has a blanket
v501_4	1	1.97620529587457	0.800115008719654	0.0142001238961451	0.00210963336537795	0.0387593545689862	v501	current marital status
