var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
s116_4	1	7.69534051502463	1.35416250852593	6.22454786915996e-8	0.144303426477936	2.03678992405057e-7	s116	occupation last 12 months
hv140_05_1	1	2.36833655513539	0.927345582711817	0.0118943830468445	0.031729478212284	0.033789009374512	hv140_05	member has a birth certificate
hv140_05_0	1	-2.26954929570582	0.928400435918831	0.0159431812667617	0.0286887646871147	0.0439288630664818	hv140_05	member has a birth certificate
hv217_1	1	2.14282979999029	0.513308376194648	4.15149999164444e-5	0.027485563067298	1.34256110840899e-4	hv217	relationship structure
hv101_1	1	1.9644482092429	0.435715209719558	1.01221025315765e-5	0.0241125661139276	3.27979845700887e-5	hv101	relationship to head
v150_1	1	1.9644482092429	0.435715209719558	1.01221025315765e-5	0.0241125661139276	3.27979845700887e-5	v150	relationship to household head
hivline	1	-0.488804980933199	0.198278736207421	0.014378655650914	0.0198758150046813	0.0403624191622104	hivline	line
v501_3	1	2.96709415267955	1.06465625672769	0.00573825650174919	0.0181811834497732	0.0170605152982113	v501	current marital status
hv105	1	0.0792535864884071	0.0136720213575488	2.07202594800477e-8	0.0180718671913944	6.80691296582161e-8	hv105	age of household members
v012	1	0.079094394776154	0.0137410777515454	2.56348718001995e-8	0.0179595722055875	8.40479294793102e-8	v012	current age - respondent
v501_0	1	-1.31489717258005	0.423776340114234	0.00214176515151662	0.0119071281679666	0.00659218624557713	v501	current marital status
v502_0	1	-1.31489717258005	0.423776340114234	0.00214176515151662	0.0119071281679666	0.00659218624557713	v502	currently/formerly/never marr.
v513_0	1	-1.31489717258005	0.423776340114234	0.00214176515151662	0.0119071281679666	0.00659218624557713	v513	marital duration (grouped)
hv101_12_3	1	-17.1919346499275	0.665507293149258	3.110455e-49	0.0107272439860532	2.91539256779661e-48	hv101_12	relationship to head
hv118_01_0	1	-1.34182106039706	0.469364571866333	0.00461855907305198	0.00949767474252217	0.0138057468507988	hv118_01	eligibility for male interview
hv118_01_1	1	1.34182106039706	0.469364571866334	0.00461855907305205	0.00949767474252206	0.0138057468507988	hv118_01	eligibility for male interview
v013_1	1	-2.26028887777509	0.676607521437468	9.66389524793126e-4	0.00948198883357576	0.00307134142075057	v013	age 5-year groups
hv137_10_1	1	16.2825950500245	0.780568111644344	1.954838e-37	0.00909369364341517	1.17502882608696e-36	hv137_10	member has a blanket
hv137_10_0	1	-16.282595051747	0.780568119674557	1.95484e-37	0.00909369364341506	1.17502882608696e-36	hv137_10	member has a blanket
hv217_4	1	-1.12605744756498	0.43773658593488	0.0106881372922507	0.00904886235542945	0.0307307101695735	hv217	relationship structure
hml16_08	1	0.0567913337288424	0.0214783451597132	0.00907344522222647	0.0083371785764903	0.0263161636777512	hml16	corrected age from individual questionnaire
hv138_10_1	1	16.2039558138909	0.786770736911089	5.330866e-37	0.00717458194907838	3.158545215e-36	hv138_10	member has a pair of shoes
hv138_10_0	1	-16.203955814712	0.786770759865123	5.330878e-37	0.00717458194907816	3.158545215e-36	hv138_10	member has a pair of shoes
hv139_10_1	1	16.1974048026265	0.798057512520838	1.677285e-36	0.00644253021788599	9.59524411034483e-36	hv139_10	member has 2+ sets of clothes
hv139_10_0	1	-16.1974048062933	0.798057531363265	1.677288e-36	0.00644253021788577	9.59524411034483e-36	hv139_10	member has 2+ sets of clothes
hv113_13_1	1	15.3395864020474	0.858547312507442	5.241232e-30	0.00599848625843091	2.30642012944297e-29	hv113_13	father alive
hml18_04_0	1	16.200098102944	0.589366739031483	4.150807e-54	0.00575254647366696	4.33093636037736e-53	hml18_04	pregnancy from individual questionnaire
hml18_04_1	1	-16.2000980997176	0.589366729082981	4.1508e-54	0.00575254647366674	4.33093636037736e-53	hml18_04	pregnancy from individual questionnaire
hv103_01_0	1	-4.16207278254344	1.06611312410493	1.22376134431802e-4	0.00564027383003229	3.93453501981317e-4	hv103_01	slept last night
hv103_01_1	1	4.16207278254341	1.06611312410485	1.22376134431668e-4	0.00564027383003218	3.93453501981317e-4	hv103_01	slept last night
hv132_06_8	1	-15.0944460101504	0.773678460786779	6.047442e-33	0.0052751666443408	3.0218994813253e-32	hv132_06	father has been very sick for 3+ months last year
hv113_12_0	1	-16.1836548856827	0.792644588550684	2.534849e-36	0.00472587727180318	1.4159308050505e-35	hv113_12	father alive
hv113_12_1	1	16.1836548866828	0.792644564004757	2.534843e-36	0.00472587727180296	1.4159308050505e-35	hv113_12	father alive
hv132_05_0	1	15.2185227015546	0.678512793536985	1.287173e-38	0.00465923100392085	8.21315387307692e-38	hv132_05	father has been very sick for 3+ months last year
hv132_05_8	1	-15.2185227014442	0.678512791110144	1.287172e-38	0.00465923100392063	8.21315387307692e-38	hv132_05	father has been very sick for 3+ months last year
hv113_13_0	1	-15.2682969207132	0.89344213088553	9.387332e-29	0.00460276834345208	3.893395947e-28	hv113_13	father alive
hv135_13_1	1	-15.2868556942434	0.878271438221527	2.876561e-29	0.00454973468808706	1.21740170892857e-28	hv135_13	has brothers/sisters under 18 of the same father and mother
hv135_13_0	1	15.286855692259	0.878271433076568	2.87656e-29	0.00454973468808695	1.21740170892857e-28	hv135_13	has brothers/sisters under 18 of the same father and mother
hv132_07_0	1	16.4311961030164	0.878210561697185	1.445555e-30	0.00448344862490735	6.44670899193548e-30	hv132_07	father has been very sick for 3+ months last year
hv113_10_1	1	16.1101948227408	0.783980550121178	2.154051e-43	0.00440492727459152	1.74320517512195e-42	hv113_10	father alive
hv105_07	1	0.0324063120237772	0.0103361835557826	0.0019606210889475	0.00428535482187842	0.00607975773189515	hv105	age of household members
hv101_14_3	1	-15.5790027807311	0.654403092930955	2.291211e-40	0.00425263610736359	1.6038477e-39	hv101_14	relationship to head
hv113_10_0	1	-16.1258176353675	0.794808081353823	7.927601e-43	0.00413375744129418	6.2037217259434e-42	hv113_10	father alive
hv132_07_8	1	-16.3939857983907	0.909430088083	1.535958e-29	0.00399653883289464	6.61858265454546e-29	hv132_07	father has been very sick for 3+ months last year
hv101_14_14	1	-15.946196867107	1.0996609798422	3.656857e-25	0.00375459923667765	1.42411402887324e-24	hv101_14	relationship to head
hv102_11_1	1	16.0315289582783	0.659950865508906	7.089651e-52	0.0035578582306653502	7.08540511084337e-51	hv102_11	usual resident
hv102_11_0	1	-16.031528960787	0.659950886233465	7.089676e-52	0.00355785823066523	7.08540511084337e-51	hv102_11	usual resident
hv113_06_0	1	-15.1308874227288	0.438126633574458	1.251874e-87	0.00355031004937578	4.9449023e-86	hv113_06	father alive
hv101_11_14	1	-15.1618745057377	0.778639862644609	2.034802e-41	0.00338418996098189	1.50032734133333e-40	hv101_11	relationship to head
hml12_13_3	1	-15.3251525710601	0.730888148211673	2.181505e-38	0.0030771078135331	1.37609003612167e-37	hml12_13	type of bednet(s) person slept under last night
hml12_13_0	1	15.3251525708115	0.730888134507127	2.181501e-38	0.00307710781353299	1.37609003612167e-37	hml12_13	type of bednet(s) person slept under last night
hv101_10_14	1	-14.9964955041525	0.721637967764009	1.151034e-46	0.00304834922254549	1.03780728586957e-45	hv101_10	relationship to head
hv134_09_1	1	15.3166853060194	0.933074781387345	1.049531e-34	0.00299141115004553	5.61668364193548e-34	hv134_09	both parents alive
hv134_09_0	1	-15.3166853040934	0.933074762191872	1.049529e-34	0.00299141115004542	5.61668364193548e-34	hv134_09	both parents alive
hv135_10_0	1	15.0431781807536	0.833128920900612	8.050899e-38	0.00296896205609165	4.91045946176471e-37	hv135_10	has brothers/sisters under 18 of the same father and mother
