name	estimate	se	p.value	Nag.r2	adj.p.val
sstruct	-0.0088729159726964	0.00447215147291152	0.0483722327250702	0.00406761790889976	0.118790217532805
hv003	-0.205354065082692	0.124803077259044	0.101169803812228	0.00184222430736181	0.211087372615739
hv008	-0.0640327206806174	0.235747031400824	0.786146785490435	6.33229809958724e-05	0.872727776429349
hv009	-0.154533670862785	0.0548918612418264	0.00527212969892538	0.00962942556685575	0.0149033887074886
hv010	-0.28573090421653	0.141279914543672	0.0442214132334432	0.00354172485120807	0.109893511990572
hv011	-0.615937382751796	0.175209033096992	0.000523236548349875	0.0124406586997651	0.00156407334470833
hv012	-0.164405202234114	0.0597992450061505	0.00641930881172247	0.00930315644548318	0.018084854774142
hv013	-0.168213660313959	0.0572451833421414	0.00361437066169376	0.0101313217560866	0.010411638670796
hv014	-0.325798103001688	0.16782423434114	0.0533726372019463	0.00365056286237708	0.129164885089012
hv016	-0.00641353376208715	0.0214591367384682	0.765292148077648	8.1701275812307e-05	0.86476864872076
hv017	0.515911068938428	0.471632905793736	0.275085145743001	0.00122793829573375	0.437874538873897
hv018	0.00337661541126526	0.00163145322226008	0.0395333163247955	0.000897458521398442	0.0998831133244075
hv019	0.0102551100998458	0.033576744304131	0.76030439620915	7.08991436531026e-05	0.863959119375544
hv022	-0.00274665543620117	0.00617619676581257	0.65691900071179	0.000249614345565918	0.796048134050313
hv028	-1.06654971109058e-07	1.09194591777741e-07	0.329664155531379	0.00102271534564691	0.495388825775944
hv030	0.00466976741777189	0.0032332475992917	0.149938497219916	0.00121271023602465	0.284336671835034
hv032	-0.0457339979556149	0.0447279692538239	0.307560696491954	0.000983973896660495	0.474892109396408
hv033	6.57353332883393e-06	5.57366766796568e-06	0.239391206155667	0.000326344627322617	0.397394175722019
hv218	-12.5909296168313	1.04288532780485	1.266414e-26	0.000186696698477484	4.93812484777518e-26
hv220	-0.0125318701421761	0.0103627583632431	0.227711148258849	0.000823582775344889	0.382968749344428
hv248	0.458561404131988	0.41754241962536	0.273182636908294	0.000671014062223252	0.436515441892811
hv251	-0.446143498454752	0.33015386316072	0.178726930666157	0.0242444646574025	0.322405568319774
hv271	2.69702820399559e-07	1.43787424962156e-06	0.851369222234356	2.36431525801883e-05	0.909255776151509
hml1	-0.0818130185896266	0.234872041197717	0.727892583460167	0.000120609729124199	0.846919043648622
hml1a	-0.0858606670292964	0.232398554216635	0.712109488187373	0.000101961959422248	0.83674121230203
hml2	0.674757028310679	0.392921341576852	0.0871963770784837	0.00187644102300732	0.187573601854878
hv105	0.0695351293110383	0.0158018328341878	1.61555448151641e-05	0.0123365921482477	4.86419206460185e-05
hv107	-0.152976608426218	0.164472227819803	0.353317467842077	0.00167584790874264	0.519585954029028
hv108	-0.0252525767277937	0.0370599300830927	0.496265643243273	0.000450058014478727	0.654740329635539
hml16	0.140722650197394	0.0277825875702085	1.48024540337439e-06	0.00476022920016017	4.48110653930611e-06
v004	0.00200009116628138	0.00226427519217914	0.37793010705942	0.000559314645031006	0.543292987042504
v005	-9.06450668932522e-08	9.93892233773503e-08	0.362657808335852	0.000887496701688417	0.528281059386871
v006	-0.0723913572228535	0.244558490248605	0.767475469439249	7.83457790687336e-05	0.86476864872076
v008	-0.0723913572234575	0.24455849024945	0.767475469438145	7.83457790689557e-05	0.86476864872076
v012	0.0697772489600424	0.0157842825865786	1.48166129201005e-05	0.0124076135105778	4.46914139709553e-05
v016	-0.00775526701106353	0.0217772310281561	0.722059810814753	0.000117637298219453	0.843078250355234
v021	0.00200009116628138	0.00226427519217914	0.37793010705942	0.000559314645031006	0.543292987042504
v022	-0.00274665543620117	0.00617619676581257	0.65691900071179	0.000249614345565918	0.796048134050313
v027	0.226401499720406	0.420665897605571	0.590931028166397	0.00036102385510739	0.739218754242713
v028	0.0109781736085425	0.00698701912696642	0.117426391530472	0.00243759253249332	0.235276705052029
v029	0.0102551100998458	0.033576744304131	0.76030439620915	7.08991436531026e-05	0.863959119375544
v030	0.011226028186388	0.00694768601332658	0.10743111718741	0.00251663657266354	0.220015756601522
v032	-0.0455491204848941	0.0446848337007309	0.309050333197214	0.000976762495545791	0.47557190829331
v033	6.57353332883393e-06	5.57366766796568e-06	0.239391206155667	0.000326344627322617	0.397394175722019
v104	-0.00547336845728772	0.00439509535744809	0.214203032040945	0.00131740242439193	0.364298312919483
v107	-0.154003584011285	0.165630422055093	0.353474264981039	0.00171109959129334	0.519585954029028
v113	-0.0378383441505815	0.021484114381487	0.0794529575112018	0.00263611527794849	0.177093941440631
v127	0.00214646428297711	0.026370020143598	0.93519224650084	8.89950880444967e-06	0.959984642678113
v133	-0.0226231459555908	0.0387361977563443	0.559738890724701	0.000320240002664507	0.710881199890638
v136	-0.154533670862785	0.0548918612418264	0.00527212969892538	0.00962942556685575	0.0149033887074886
v137	-0.325798103001688	0.16782423434114	0.0533726372019463	0.00365056286237708	0.129164885089012
v138	-0.28573090421653	0.141279914543672	0.0442214132334432	0.00354172485120807	0.109893511990572
v152	-0.0121433344931968	0.0105415320594669	0.250468402019567	0.000757796911055042	0.410169177123475
v191	2.69702820399559e-07	1.43787424962156e-06	0.851369222234356	2.36431525801883e-05	0.909255776151509
v201	0.068676434395673	0.0429108287385274	0.110793760190484	0.00119368700909306	0.225240061925709
v477	0.0932346197892534	0.0788464917228521	0.238165184904704	0.000800813051711424	0.396400158672181
v478	0.0779201624330755	0.111396805782543	0.485058974271609	0.00109702068562467	0.646440169179445
v505	-0.75667889137146	0.848941981610244	0.373685014947186	0.0020990231966177	0.539790560041259
v507	-0.0488387988951365	0.0633734342435439	0.441687923997424	0.00111432386321464	0.606079696807743
v508	-0.00646381598717582	0.0369302453339982	0.86120857352087	8.53927522415088e-05	0.916575105390938
v509	-0.000620133483631993	0.00302143050446885	0.837558389646541	0.000112654075839491	0.904744058966988
v511	0.0577207483274715	0.0283446042994346	0.0428323272454926	0.00384124766115079	0.107241841900369
v512	0.00810418074041233	0.0362447632929129	0.823266000710487	0.00013491139172328	0.895224731477851
v525	0.0744906111327943	0.0397189590493758	0.061926119536082	0.00467109213901407	0.145008263804237
v527	0.00519060747622763	0.0025296174910659	0.0412567699022696	0.0104883798836933	0.103922120858213
v528	0.0134237791238823	0.0163423930368173	0.412215525563735	0.000904314227272995	0.576755336187915
v529	0.0291569184863621	0.0133799658776843	0.0302777354564296	0.00970969876711814	0.0786465359359677
v531	0.0699502449828858	0.0375912857964949	0.0639738534690391	0.00424921134811906	0.148351623991574
v716	0.00204271185123715	0.00171839816114338	0.235701470784121	0.00109611637305052	0.393623820316511
v766a	-0.113759882896277	0.139180375002871	0.414522521112986	0.000467173553223121	0.579496219691958
v766b	-0.0835632988201962	0.139402675426865	0.549436857355712	0.000269675268037894	0.702081632768427
v830	-0.214209134674469	0.209742337661721	0.308469562120853	0.00110250389498934	0.475117318160241
v836	0.0200939190213114	0.0136529027955484	0.142382488443223	0.00258579491970001	0.271554230536044
v801	-0.000460928366223329	0.000538168293437173	0.392574743951155	0.000918329158765219	0.556760603644526
v802	-0.000471393202706522	0.000518600663914864	0.364262138027556	0.000974995938480827	0.529317960428479
v803	-0.0041999189319576	0.0101752448357754	0.680149000815884	9.37739399712312e-05	0.814000852322759
shivwgt	-7.33068653409678e-08	8.48737953103281e-08	0.388592087164175	0.000794432884534291	0.552524188837192
s203	0.0818820134140085	0.0828909197776113	0.324215189127893	0.000556423452538701	0.488523339274155
s205	0.0326517821648483	0.0960746689691382	0.734255544724754	4.8609052449744e-05	0.850163756583251
s207	0.308281247446355	0.169974245747946	0.0709533002645491	0.00296934705751695	0.160512561060427
s308_01	-0.011379731365868	0.0331097966290242	0.731386938687165	0.000264738792309371	0.848612719800787
s345	0.0203646872151512	0.0132798891677663	0.126459393913345	0.00273233259132066	0.247722266664428
s702	-15.2823191028127	1.03625706470974	2.225545e-29	0.000297709569116122	9.59982493523316e-29
hv105_01	-0.0122297703432839	0.0104749912127308	0.244139738321207	0.000773390789215456	0.403666995337448
hv105_02	-0.00440462774798597	0.0123156427997695	0.720919456318459	7.32931343611076e-05	0.842568233360076
hv105_03	-0.0182511442335523	0.0199802372608045	0.36190990807585	0.00111659419318133	0.527653237255946
hv105_04	-0.0168819517440042	0.0188987734468027	0.372615669798243	0.000875372441309197	0.539013979334557
hv105_05	-0.0108943230291815	0.0224818488480154	0.628427353765569	0.000303997246990595	0.772770711979079
hv105_06	0.00610334116691612	0.0354045230569674	0.863286199011154	0.00013093016748178	0.917861763316457
hv105_07	0.0476963951602231	0.0166645067216599	0.0046235426961607	0.00873815418252955	0.0132271453421092
hv105_08	0.0352448768347328	0.0168055785301539	0.0372704411999469	0.00377194967466188	0.0945964704236457
hv105_09	0.0399365836288994	0.0147999687556813	0.00765330814856748	0.00527374086533694	0.0214886308049998
hv105_10	0.0219899167631311	0.0144948616473546	0.131364381199298	0.000633141425509298	0.255515998477606
hv105_11	-0.110789961489994	0.0915754778267089	0.228493433663627	0.00503507167561568	0.383560081908899
hv105_12	0.00287793133376112	0.0124420808101311	0.817491522256877	1.5339799592673e-05	0.891955035752097
hv105_13	-0.0464309780647379	0.0251956478527512	0.0684741870121981	0.000976080029996829	0.156606485405645
hv105_14	-0.129265558966045	0.0782348839366929	0.102211850720984	0.00452131433008496	0.212005261707026
hv107_01	-0.33148116754914	0.176733458772935	0.0621387926831645	0.00824632447282958	0.145106717836562
hv107_02	0.0651868829242709	0.156525438979876	0.677544598274785	0.000375233498675187	0.81276063121579
hv107_03	0.037974892438609	0.165575732202693	0.818828487542105	0.000100829396838642	0.892793604283282
hv107_04	0.0319011420770606	0.134860339331863	0.813248416266713	7.17167706328903e-05	0.889657433038158
hv107_05	0.150225304446435	0.222201367324531	0.499869029839123	0.000982047110799189	0.657394623571805
hv107_06	0.0684666378389358	0.152223119464029	0.653502834904087	0.000238988243497662	0.79422059862431
hv107_07	0.00988435908537824	0.275448874447279	0.971427031550424	3.35231123393953e-06	0.982043720419828
hv107_08	0.41852312680586	0.141979735866631	0.00398404024333304	0.00698421168426044	0.0114566960365277
hv107_09	0.194063645501129	0.20799296487382	0.353145310862038	0.00193053079551841	0.519585954029028
hv107_10	0.0435986864258113	0.249152095112424	0.861525549511602	7.6008287188678e-05	0.916575105390938
hv108_01	0.0258972980292088	0.0335868010298721	0.441419861082235	0.000475987678960066	0.606079696807743
hv108_02	0.0337755632975762	0.0284337078245629	0.236044171628263	0.000567945334573605	0.393801148057172
hv108_03	-0.0111645629441536	0.0459036240087668	0.80804297355677	5.20024857018075e-05	0.887700140420112
hv108_04	0.0187735914312348	0.0513640169710564	0.715064954561575	0.000140663781567074	0.839029703555336
hv108_05	-0.0201546986624006	0.0692786511786447	0.771369606083204	0.000120362967494847	0.864868952275108
hv108_06	0.00258236769018946	0.070005328691994	0.97060674319392	2.30783772370291e-06	0.981810587738686
hv108_07	-0.00181823270351413	0.0738959197656991	0.98039259806154	6.63375619658346e-07	0.985720818703179
hv108_08	0.0380100561144453	0.0435801110971474	0.384189489837703	0.000288118758195233	0.548136675732456
hv108_09	0.141988472835132	0.0687243155533734	0.0403048682465918	0.00570205507795474	0.101678190349357
hv108_10	0.03999717608561	0.0570024356378545	0.483976495333326	0.000222263610015649	0.646440169179445
hv108_11	-0.420771028972832	0.280513544726233	0.136001777324051	0.00485730586033883	0.262390451036553
hv108_12	0.045233986854415	0.0373607868187052	0.228523484236413	0.00036772932097151	0.383560081908899
hv108_13	-0.108419967444773	0.075237593403478	0.152897849129761	0.000757588556593025	0.288306816309232
hv108_14	-0.13288029335437	0.152204799656479	0.385132258560887	0.000855021738818129	0.549011310362908
hml16_02	-0.0123097183971418	0.0287412962034095	0.668843342413827	0.00035557370075634	0.805042004400411
hml16_03	-0.0165472615867293	0.0159860179685055	0.301739465802376	0.000928114828895321	0.468653181493429
hml16_04	-0.0556551381544464	0.0295192515563627	0.0606608120792387	0.00560139585099206	0.14328714732952
hml16_05	0.00146821890936064	0.0307202503219068	0.961926481557509	5.68939228762222e-06	0.975930866636611
hml16_06	-0.120418787043354	0.0672827704018942	0.0750471534154705	0.0117186100938756	0.168420651359838
hml16_07	-0.0362701119569187	0.0628469545268204	0.564618726160528	0.000637038992085004	0.714304336958672
hml16_08	0.131544485976001	0.0157229901455835	3.456977e-14	0.0144964643920762	1.05806373253676e-13
hml16_09	0.0416921049086578	0.0156068908370843	0.00850491614153198	0.00105279751289467	0.0237595392208905
hml16_10	0.0337252025218714	0.0211662730843941	0.114176785412798	0.00183812133669081	0.230246767241606
hml16_11	-0.0859242722879684	0.0917684900116484	0.351484838176267	0.004515466461954	0.519277016360809
hml16_12	-0.00700479689422178	0.0232162735828619	0.763679468157338	3.36490971662995e-05	0.864395863006096
