var	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
sstruct	-0.00483777021938572	0.00430977496891244	0.26274403497781	0.00147810547326666	0.454528002114898	sstruct	structure number
hv003	-0.583490427858093	0.381035946630447	0.126978903312433	0.00685859938217648	0.269383632474842	hv003	respondent's line number
hv008	-0.320146437608727	0.195092357004123	0.102080642961218	0.0019941232257501	0.227623369183684	hv008	date of interview (cmc)
hv009	-0.166101936059692	0.0968812909960714	0.0877034839538043	0.0131428090720404	0.201523656342606	hv009	number of household members
hv010	-0.376468592087385	0.258495984965893	0.146567698619511	0.00699208507570226	0.295809990279524	hv010	number of eligible women in hh
hv011	-0.509424698119639	0.270887971150442	0.0612162053684096	0.0105140435876471	0.147185050298828	hv011	number of eligible men in hh
hv012	-0.183601686702583	0.10740217661186	0.0886285750258621	0.0135062055658264	0.20271790695888	hv012	number of de jure members
hv013	-0.184406802911574	0.105598150714591	0.0820109205018982	0.0144562904339979	0.192987400159786	hv013	number of de facto members
hv014	-0.194676912274792	0.241380483429877	0.420728311372547	0.00170912245232735	0.622647875617355	hv014	number of children 5 and under
hv016	0.0147246803147061	0.0182168299462779	0.419701530935318	5.13354101095986e-4	0.622647875617355	hv016	day of interview
hv017	0.663737112511515	0.358942013093305	0.065640940172276993	0.00326113632967517	0.157140432533633	hv017	number of visits
hv018	0.0139377334098514	0.00952251277215072	0.144568320091721	0.00480540602584401	0.293436289014649	hv018	interviewer identification
hv019	-0.0891857804542411	0.052198572644234	0.0887940175293417	0.00430132884148948	0.20271790695888	hv019	keyer identification
hv022	-0.0116256381207846	0.0057591087828539	0.0446129309851549	0.00483348800501981	0.109811353864053	hv022	sample stratum number
hv028	8.6104621632691e-8	1.07224642353434e-7	0.422735644608763	0.00156904659553858	0.623948785058664	hv028	sample weight for male subsamp
hv030	0.0197844116385706	0.00784313449275567	0.0122863787379075	0.00776785327359841	0.0347562457895897	hv030	field supervisor
hv032	-0.0703539410320955	0.0449894165674271	0.119157917916249	0.00281483005358207	0.257741307618837	hv032	office editor
