var	concordance	Estimate.x	SE.x	P.Val.x	Nag.R2.x	FDR.x	varOrig.x	varlabel.x
hv246c	1	-11.8663162104299	0.485799456142996	2.2282e-77	5.1475716820315e-4	3.16419059210526e-76	hv246c	owns horses/ donkeys/ mules
hv105	1	0.0553930984013491	0.0118655691984393	4.34439893837003e-6	0.0124060383444828	1.9973131221452e-5	hv105	age of household members
ha1	1	0.0502358018011185	0.0113327249469915	1.24945902127907e-5	0.0104457710256295	5.72602398605281e-5	ha1	woman's age in years
ha32	1	-0.0042406815775442	9.59864561760105e-4	1.33327162559557e-5	0.0106905571434919	6.08428499756456e-5	ha32	date of birth (cmc)
ha35	1	-11.4092069678688	1.02182001712889	6.1365e-25	3.16053952436834e-4	3.32387333751568e-24	ha35	smoking (cigarettes in last 24 hours)
hml16	1	0.0502358018011185	0.0113327249469915	1.24945902127907e-5	0.0104457710256295	5.72602398605281e-5	hml16	corrected age from individual file
v012	1	0.0501480974744326	0.0113266391596605	1.27920254170785e-5	0.0104141460892865	5.85611598361908e-5	v012	respondent's current age
b2_01	1	-0.0958028894810876	0.0181059289094933	2.17478828928431e-7	0.0212674080493467	1.00305139367953e-6	b2	NA
b3_01	1	-0.00796828643272591	0.00150014595587297	1.96112932873888e-7	0.0211431228071499	9.05475434456229e-7	b3	NA
b8_01	1	0.108065778397308	0.0199609200438068	1.16569131396793e-7	0.0230325342022415	5.38789015246205e-7	b8	NA
v222	1	0.00793680651518263	0.00150651609374387	2.44147034473684e-7	0.0207882741376211	1.12484818337555e-6	v222	last birth to interview (months)
v447a	1	0.0502358018011185	0.0113327249469915	1.24945902127907e-5	0.0104457710256295	5.72602398605281e-5	v447a	women's age in years (from household questionnaire)
v511	1	0.0814058959898107	0.0224200962121979	3.26132080549606e-4	0.00947349264721753	0.00144846933305828	v511	age at first cohabitation
v525	1	0.124662969392617	0.0339044740558034	2.75142436889466e-4	0.0100103100719949	0.00122452567015652	v525	age at first sex
v531	1	0.08863951866957	0.0239250184923589	2.46112459619072e-4	0.00518973398925648	0.00109872542727563	v531	age at first sex (imputed)
mm3_01	1	0.0406551107003319	0.0117188740341256	5.89372358355642e-4	0.00971316446030956	0.00259095770979766	mm3	NA
mm3_02	1	0.0407838934039274	0.0122151589533498	9.34714028985543e-4	0.00867371447039089	0.00405136592683794	mm3	NA
mm3_03	1	0.0404427150866613	0.0121660093515679	9.82380806542701e-4	0.00825887284260218	0.00425369903896173	mm3	NA
mm4_01	1	-0.00303633454008001	7.94126286465274e-4	1.55950282418001e-4	0.00875190799231196	7.03137325851637e-4	mm4	NA
mm4_02	1	-0.00289103260116872	7.46927052759993e-4	1.29783030367979e-4	0.00808213011098113	5.86673656647712e-4	mm4	NA
mm4_03	1	-0.00280290115936252	7.41788784345852e-4	1.85677922774341e-4	0.00738432986999316	8.35841076764161e-4	mm4	NA
mm4_04	1	-0.00234398494649844	7.82498682587692e-4	0.00293856484817515	0.00501179272784003	0.0122096096723505	mm4	NA
hc17_03	1	-0.0773320339349157	0.0249412324355609	0.00232699006941647	0.0184789601325631	0.00977200012613901	hc17	date measured (day)
hv201_71	1	-11.7536676441805	0.620947811147764	2.1504e-55	2.48557131273142e-4	2.04028061538462e-54	hv201	source of drinking water
hv205_14	1	-11.5539106338894	0.690114072048719	1.5509e-46	9.07174979074554e-5	1.23985838888889e-45	hv205	type of toilet facility
hv205_42	1	-10.7274246074918	1.00571249627443	3.6598e-23	5.62013853493415e-5	1.87640814726841e-22	hv205	type of toilet facility
hv205_43	1	-9.3640599218961	1.01045685349995	2.0662e-18	1.88633966758944e-5	9.79120241492865e-18	hv205	type of toilet facility
hv205_96	1	-9.35635560691207	1.00716220310203	1.7425e-18	1.81225311521871e-5	8.28455121145375e-18	hv205	type of toilet facility
hv213_96	1	-9.26400081214996	1.00829751229156	3.7459e-18	1.17754597913633e-5	1.76155232026144e-17	hv213	main floor material
hv214_12	1	-12.740637586024	0.542297111567439	1.0228e-73	3.31451827032092e-4	1.37552261682243e-72	hv214	main wall material
hv214_26	1	-12.8511868397173	0.406941490565597	4.4603e-104	8.05558043268984e-4	1.09404063068182e-102	hv214	main wall material
hv214_32	1	-13.7745116582029	0.351311744756347	1.5234e-129	9.13084207726511e-4	6.850539375e-128	hv214	main wall material
hv214_96	1	-12.8156267521912	0.634128279213617	1.3921e-60	3.19289586637184e-4	1.47296463235294e-59	hv214	main wall material
hv215_13	1	-10.3955168419475	1.00709394061143	5.8181e-22	4.81832869272392e-5	2.88035982798165e-21	hv215	main roof material
hv215_34	1	1.3483181153095	0.504587562818672	0.00789300280781464	0.00136805051527888	0.0314046941210468	hv215	main roof material
hv226_4	1	-10.9256019973462	1.00802884501605	9.0281e-24	8.31044495693822e-5	4.7013640168878203e-23	hv226	type of cooking fuel
hv226_6	1	-12.5469057734898	0.416313687786112	6.5372e-99	3.51182819550488e-4	1.50112193617021e-97	hv226	type of cooking fuel
hv226_9	1	-12.7977159786246	0.778151856912399	2.4162e-45	4.29251486710358e-4	1.88620893309222e-44	hv226	type of cooking fuel
hv226_96	1	-11.3944994046595	0.801626822658342	1.8696e-36	9.59151339127162e-5	1.24553444444444e-35	hv226	type of cooking fuel
