name	estimate	se	p.value	Nag.r2	adj.p.val
hv006	-0.0116658763584032	0.0327927827457322	0.722247527981974	0.00010579882137951	0.889491809761676
hv007	0.0143475142736969	0.31687985798317	0.963912200104756	1.62990730945278e-06	0.983113112495221
hv008	-0.123959947164596	0.105462526628148	0.240643258526779	0.000986079542985241	0.521474425419197
hv010	-0.0572685519500646	0.0877543927555073	0.51444601928578	0.00027133064121776	0.774906801078021
hv011	-0.0916893895731628	0.090250838283254	0.310366038354543	0.00060753200610042	0.598235746412247
hv012	-0.0368550124003261	0.0287154434758374	0.200188757733082	0.000940931144840729	0.470492726848946
hv013	-0.0321715339555995	0.0267244385190765	0.229477978600604	0.000747966258931809	0.508534532824795
hv014	-0.0773282451247234	0.103956973520718	0.457471476604665	0.000426509702268874	0.731818463131414
hv016	-0.0104042282615284	0.015021659961678	0.489014392966727	0.000296770702335025	0.757612037698435
hv017	-0.207385409458451	0.333631223596788	0.534612601048418	0.000266463667635719	0.783752512474653
hv018	0.00115478942816465	0.00255596695181273	0.651694332255573	0.000139608294698945	0.857513495222055
hv019	-0.0199849823629344	0.0115080228780472	0.0833429727965217	0.00174962561932357	0.255545570681434
hv028	-6.17598570115284e-08	1.56744633540995e-07	0.69381141766583	0.000134530093979901	0.877293685736541
hv031	0.0025061235268147	0.00233550089031011	0.28399160144845	0.000655013307150232	0.574113476790203
hv032	0.043451030451087	0.0364922014545313	0.234587782030652	0.000815733115643091	0.516141044426991
hv035	0.000441290805309722	0.111558419730413	0.996846095355267	1.2323e-08	0.998645638011096
hv040	-0.000749574553563497	0.000846868617558303	0.376708519470338	0.000380970060879449	0.661342878858872
hv041	-0.0598147633525178	0.0569296278828033	0.29413721560296	0.000764330419211423	0.581792068327618
hv204	-0.000115970182812641	0.0002514382264872	0.644924480156373	0.000135049377723573	0.853296885907142
hv216	-0.0375973368335553	0.0699527902613512	0.591289366802265	0.000146638864257365	0.817807685418561
hv218	0.253885559009918	0.386810282351711	0.512029586152854	2.49981350057826e-05	0.772347148860818
hv220	0.00797261482230719	0.0084170645385843	0.344197753158234	0.000525087171386995	0.628426476860708
hv238	-0.0145734220451475	0.00561662105706803	0.0100049575092716	0.010813260709957	0.041845977621303
hv245	0.00214126800438411	0.000776273639750629	0.00619959182699944	0.0050978294396179	0.0265749667569289
hv246a	-0.117765971726217	0.118199658742101	0.31978365676489	0.000719258087162222	0.60555076630468
hv246b	-0.671670266846545	0.465568115957462	0.150012575024181	0.00193484631095664	0.386058126447315
hv246c	-11.4663563227817	0.501152208969743	2.7472e-71	0.000485111695906371	3.90592e-70
hv246d	0.0175049689803182	0.0519940442318735	0.736567843117902	4.86062011655353e-05	0.895101345035803
hv246e	0.0350473616468984	0.019794337041141	0.0775118236763672	0.000723961490857405	0.241446808675192
hv246f	0.00211559043361459	0.0125128386354786	0.865837279555435	1.29781650880512e-05	0.95093306829686
hv246g	0.0932972849623856	0.021044052641696	1.24606828009847e-05	0.00475914111475306	5.84119929343222e-05
hv271	1.54123609598792e-07	9.65263554241292e-07	0.873233951288545	1.27870487333093e-05	0.953568280330037
hml1a	-0.00811355829789782	0.0658317204744769	0.901982907559738	7.04787323813072e-06	0.962648015802041
hml2	-0.0269742801869348	0.219334144889412	0.902192086646157	1.73900309820008e-05	0.962648015802041
shnumdv	-0.0575921414365361	0.0478332154145313	0.229402561630194	0.000906800368794869	0.508534532824795
chl0	-0.0908804017026807	0.0499974065445496	0.0699718905152792	0.00114207602374128	0.223426118387361
hv105	0.0505387258413708	0.0117515923225843	2.21700954450484e-05	0.00963919325682672	0.000103588688912439
