name	estimate	se	p.value	Nag.r2	adj.p.val
hv006	0.0534856760252915	0.0319432114819767	0.0949532448732258	0.00275985480823626	0.254310853752013
hv007	-0.589981899418186	0.313123700412969	0.060376179538756	0.00341834181421297	0.177792610551712
hv008	-0.255538446639437	0.132790117379402	0.0551246282788695	0.00431858735524882	0.166066308639134
hv010	0.0682886174188795	0.100467998627705	0.497144338837012	0.000461926066769092	0.734990448890199
hv011	0.0462487144391644	0.0977816677575471	0.636525251422444	0.000196722994027621	0.831934456672931
hv012	0.0152259464109341	0.0300464345178554	0.61265405768592	0.000198651442643749	0.81959329625972
hv013	0.0200961945092824	0.0288238318816551	0.486139726830787	0.000375081995754756	0.728063826410303
hv014	-0.0360985182148165	0.0976939177450645	0.711975765726675	0.000106596804845593	0.866290693529328
hv016	0.017908195114792	0.014217504862992	0.20866465794376	0.000964277427904392	0.449082796972735
hv017	0.298804156765212	0.297644691055214	0.316128527863138	0.000917241743666475	0.581963342884939
hv018	-0.00203782435226803	0.00284166516372483	0.473780437422313	0.000462261931213681	0.717904579976176
hv019	-0.00146216089544763	0.0147536925627008	0.921112333755478	1.00532045462787e-05	0.971466150641111
hv028	-2.00170024295445e-08	1.50290781356715e-07	0.894121516880949	1.6735810756785e-05	0.959463730642569
hv031	-0.00189886471496506	0.00305861005641627	0.535121659114418	0.000412350757255986	0.767226902157736
hv032	0.0475607005932359	0.0418002195531893	0.255984908222116	0.00105326416754759	0.512563473467011
hv035	-0.00391952757330223	0.110878649157377	0.971821214887204	1.03365380887954e-06	0.991574612306325
hv040	-0.00253567517346396	0.000983193219631977	0.0103192917867422	0.00429014268970607	0.04016986712657
hv041	0.025258245985945	0.05358946108013	0.637702280811652	0.000172371331938259	0.832716499172384
hv204	0.000215382663014319	0.000246056613993647	0.381997351112428	0.000502510006237578	0.635965843597844
hv216	-0.0425554153392659	0.087675078033976	0.627715662242536	0.000218956760271061	0.827813613880048
hv218	-11.8947264467918	0.895067007954731	7.3344e-33	0.000121237349954617	4.64942801762115e-32
hv220	0.00450554302368524	0.0100629190680748	0.654622272194145	0.000188925999358491	0.836590985512766
hv238	0.00126207417258156	0.00421359545306434	0.764774832772631	0.000143126664453708	0.896424912592845
hv245	-0.000256512559620057	0.00130357039713901	0.844146939445206	5.3344615928097e-05	0.934885155870948
hv246a	-0.111144887479067	0.121902970848536	0.362533930175155	0.00039782725690618	0.618355976517639
hv246b	-0.376615888620152	0.173016626660051	0.0301720676782554	0.00141610420212779	0.102966653096465
hv246c	-11.8663162104299	0.485799456142996	2.2282e-77	0.00051475716820315	3.16419059210526e-76
hv246d	0.0200572000902444	0.0475415578148605	0.673368214143121	7.0817017354563e-05	0.846118779618896
hv246e	0.0409814162009589	0.0304064320310079	0.178605914870967	0.00147598666736226	0.405384718453189
hv246f	-0.0265031723546355	0.0223640781899872	0.236797662850174	0.00145902647514007	0.487036196262655
hv246g	0.0611413726481956	0.039374763154202	0.121381009594753	0.00121453907218683	0.307713292280002
hv271	8.55755688639898e-07	9.74596611211343e-07	0.380517945641691	0.000410622820068096	0.634490525815056
hml1a	-0.118139448199541	0.0708230737314269	0.0961994135380978	0.00161083076782309	0.25698816104206
hml2	-0.0841808207688067	0.152521809360573	0.581354021074127	0.000187255801776032	0.801980175788254
shnumdv	0.0409493876662999	0.042524187688344	0.336234677596431	0.000695825108627202	0.594987771076028
chl0	0.00525688682743363	0.0597395461534471	0.929930007756285	4.92878905034022e-06	0.974095877660734
hv105	0.0553930984013491	0.0118655691984393	4.34439893837003e-06	0.0124060383444828	1.9973131221452e-05
hv107	0.00643738756540808	0.0861342305491624	0.940475739141805	6.0471074228019e-06	0.979074204037618
hv108	-0.00977417193420148	0.028336953088318	0.730358444545062	7.8705892044062e-05	0.877734857780024
hv123	-0.357948224461652	0.297014405419884	0.230555015546524	0.00268115431947347	0.478512501016512
hv124	-0.214104924634604	0.0780327052414045	0.00638911725836013	0.00537013119183283	0.0257053301065617
ha0	-0.00139259660632889	0.0517260255901166	0.978536982548562	7.53103646000675e-07	0.993744158100379
ha1	0.0502358018011185	0.0113327249469915	1.24945902127907e-05	0.0104457710256295	5.72602398605281e-05
ha2	0.00137449497048201	0.000988194511023209	0.165142328791977	0.00260139875599874	0.38557027225255
ha3	0.00152962730963679	0.00169858389235965	0.368462334454346	0.000509608894887825	0.62257166042164
ha4	1.21357520458504e-05	4.78105279552068e-05	0.799777136305355	4.73829459111119e-05	0.910025803223568
ha5	0.000548997656540949	0.00120347718859412	0.648548646362406	0.000149227222875581	0.836590985512766
ha6	0.000169776782647644	0.000323817077409321	0.600405737460872	0.000193463546542927	0.81226937280432
ha11	-0.000668263138444989	0.00119059350624944	0.574965063221975	0.000223169190610606	0.797597743550535
ha12	-3.50334141860831e-05	8.26348450165597e-05	0.67186168840541	0.000134683491607834	0.84585211689885
ha12a	4.06590080524462e-05	5.8922834349435e-05	0.49063138663447	0.000287043996562653	0.7298059226091
ha12b	3.17777162423691e-05	5.77196266732118e-05	0.582294352422079	0.000205348949108619	0.80204928423398
ha32	-0.0042406815775442	0.000959864561760105	1.33327162559557e-05	0.0106905571434919	6.08428499756456e-05
ha35	-11.4092069678688	1.02182001712889	6.1365e-25	0.000316053952436834	3.32387333751568e-24
ha40	0.000663406070361222	0.000342832339218922	0.0537935108844056	0.0049816525038392	0.163195071319732
ha41	0.000953821130295146	0.000557714735719454	0.0881169861240085	0.00417665789128363	0.240152164834182
ha53	-0.0301013665394027	0.00695430657521078	1.97294171703041e-05	0.0118419020595679	8.98437699622392e-05
ha56	-0.0300937342218985	0.00695633854647214	1.99309045670325e-05	0.0116244029770131	9.05702263325045e-05
ha67	-0.0231981736620188	0.0972994756029645	0.811725832658539	7.00306235663639e-05	0.912753852063254
ha69	3.50649916247535e-08	1.45647404591988e-07	0.809889048266279	5.91421786969581e-05	0.912753852063254
hmlidx	0.0219636590273907	0.21678374783159	0.91936988186134	1.43430196775096e-05	0.971466150641111
hml4	0.00372563292718445	0.0110229584858509	0.735617258493424	0.000323045527636068	0.882618039165123
hmlb	0.0261956468492851	0.0406726493263553	0.52006721716483	0.000219730136152618	0.756445477257605
hmlc	0.058924945263367	0.06076660236408	0.333304569469266	0.000983802188463834	0.594987771076028
hml16	0.0502358018011185	0.0113327249469915	1.24945902127907e-05	0.0104457710256295	5.72602398605281e-05
v004	0.00072243888294909	0.00114918806384043	0.529990770073063	0.000250854625955865	0.763674951403676
v005	1.55752568943336e-08	1.46965176609466e-07	0.915660066513407	1.08076998870388e-05	0.970383962001223
v006	0.0508125471491184	0.0331870344690652	0.126656704773002	0.00239096662186833	0.317802376532107
v007	-0.55974014173508	0.323986023757657	0.0849375843354271	0.00299877440899698	0.233228205281849
v008	-0.219958084232443	0.1267287304947	0.0835115557254614	0.00354224793046587	0.230363824962822
v012	0.0501480974744326	0.0113266391596605	1.27920254170785e-05	0.0104141460892865	5.85611598361908e-05
v016	0.015853361603773	0.015449957931709	0.305554335601515	0.00074825170047188	0.572765118016387
v021	0.00072243888294909	0.00114918806384043	0.529990770073063	0.000250854625955865	0.763674951403676
v027	0.409730666782699	0.219080369031047	0.0622936113813251	0.00248187212821338	0.182443365219254
v028	-0.00253126266864017	0.00287373064227717	0.379020537025971	0.000712281698821315	0.633112260004193
v029	-0.00146216089544763	0.0147536925627008	0.921112333755478	1.00532045462787e-05	0.971466150641111
v030	-0.00188171926321045	0.00304991613573626	0.537656410235584	0.000406163757682765	0.769897590972576
v031	-0.00188453709036301	0.00304890398357152	0.536912828049803	0.00040752730603566	0.769539401955843
v032	0.0468243744937543	0.0418437498770254	0.263901740730434	0.00101997029232392	0.524329557212775
v040	-0.00253567517346396	0.000983193219631977	0.0103192917867422	0.00429014268970607	0.04016986712657
v115	0.000223754170234346	0.000247744814486765	0.367067262088915	0.000546830843110024	0.62202519645857
v133	-0.039123969809183	0.0274760662524707	0.155365588590678	0.00116956993059036	0.36832138712024
v136	0.0165183431512815	0.0288642337023042	0.567504754441758	0.000254965607934587	0.789849683901127
v137	-0.0360985182148165	0.0976939177450645	0.711975765726675	0.000106596804845593	0.866290693529328
v138	0.0682886174188795	0.100467998627705	0.497144338837012	0.000461926066769092	0.734990448890199
v152	0.00450554302368524	0.0100629190680748	0.654622272194145	0.000188925999358491	0.836590985512766
v191	8.55755688639898e-07	9.74596611211343e-07	0.380517945641691	0.000410622820068096	0.634490525815056
bord_01	-0.0928712012122402	0.0597194352588054	0.120841114007404	0.00225483999064535	0.307337137024161
bord_02	-0.104703264934239	0.0672209582230495	0.12028403480243	0.00230720984212951	0.306351727576454
bord_03	-0.166732608047215	0.092430474052032	0.0722253990932663	0.00451215305515007	0.20509687558975
bord_04	-0.173040213362034	0.11089486318755	0.119791161686531	0.00359861168713271	0.3057821231059
bord_05	-0.0957006518038445	0.133297998484198	0.473475135371222	0.000881157523227927	0.717693876192965
b1_01	0.0143071161756908	0.0394035438953679	0.716760383424469	0.000126783332883851	0.870150330495903
b1_02	0.0261928652693012	0.0413600582804689	0.526982318661298	0.000396059620060729	0.76260409624414
b1_03	0.0115112150358244	0.0482631102232939	0.811643967091164	8.04177004699591e-05	0.912753852063254
b1_04	0.0509916077103615	0.0623540607148482	0.414178399861535	0.00141439914331243	0.666421227060099
b1_05	0.0877792893049207	0.0459416243718535	0.0572142604891298	0.00395826545926092	0.170223268457321
b2_01	-0.0958028894810876	0.0181059289094933	2.17478828928431e-07	0.0212674080493467	1.00305139367953e-06
b2_02	-0.0623266712416937	0.0206426550652737	0.00273034631837958	0.00681695746036559	0.0113773214830547
b2_03	-0.0547055077037809	0.0239496592911602	0.0230385189022513	0.00494529019698686	0.0824004027348955
b2_04	-0.0841876472555158	0.025976311619792	0.00133473786857925	0.0102845141870259	0.00572939015781889
b2_05	-0.0849764041288151	0.0318031281824193	0.00804707618901155	0.00796691686672879	0.0319882393259327
