var	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
hv006	0.0534856760252915	0.0319432114819767	0.0949532448732258	0.00275985480823626	0.254310853752013	hv006	month of interview
hv007	-0.589981899418186	0.313123700412969	0.060376179538756	0.00341834181421297	0.177792610551712	hv007	year of interview
hv008	-0.255538446639437	0.132790117379402	0.0551246282788695	0.00431858735524882	0.166066308639134	hv008	date of interview (cmc)
hv010	0.0682886174188795	0.100467998627705	0.497144338837012	4.61926066769092e-4	0.734990448890199	hv010	number of eligible women in household
hv011	0.0462487144391644	0.0977816677575471	0.636525251422444	1.96722994027621e-4	0.831934456672931	hv011	number of eligible men in household
hv012	0.0152259464109341	0.0300464345178554	0.61265405768592	1.98651442643749e-4	0.81959329625972	hv012	number of de jure members
hv013	0.0200961945092824	0.0288238318816551	0.486139726830787	3.75081995754756e-4	0.728063826410303	hv013	number of de facto members
hv014	-0.0360985182148165	0.0976939177450645	0.711975765726675	1.06596804845593e-4	0.866290693529328	hv014	number of children 5 and under (de jure)
hv016	0.017908195114792	0.014217504862992	0.20866465794376	9.64277427904392e-4	0.449082796972735	hv016	day of interview
hv017	0.298804156765212	0.297644691055214	0.316128527863138	9.17241743666475e-4	0.581963342884939	hv017	number of visits
hv018	-0.00203782435226803	0.00284166516372483	0.473780437422313	4.62261931213681e-4	0.717904579976176	hv018	interviewer identification
hv019	-0.00146216089544763	0.0147536925627008	0.921112333755478	1.00532045462787e-5	0.971466150641111	hv019	keyer identification
hv028	-2.00170024295445e-8	1.50290781356715e-7	0.894121516880949	1.6735810756785e-5	0.959463730642569	hv028	household weight for male subsample (6 decimals)
hv031	-0.00189886471496506	0.00305861005641627	0.535121659114418	4.12350757255986e-4	0.767226902157736	hv031	field editor
hv032	0.0475607005932359	0.0418002195531893	0.255984908222116	0.00105326416754759	0.512563473467011	hv032	office editor
hv035	-0.00391952757330223	0.110878649157377	0.971821214887204	1.03365380887954e-6	0.991574612306325	hv035	number of eligible children for height and weight
hv040	-0.00253567517346396	9.83193219631977e-4	0.0103192917867422	0.00429014268970607	0.04016986712657	hv040	cluster altitude in meters
hv041	0.025258245985945	0.05358946108013	0.637702280811652	1.72371331938259e-4	0.832716499172384	hv041	total adults measured
hv204	2.15382663014319e-4	2.46056613993647e-4	0.381997351112428	5.02510006237578e-4	0.635965843597844	hv204	time to get to water source (minutes)
hv216	-0.0425554153392659	0.087675078033976	0.627715662242536	2.18956760271061e-4	0.827813613880048	hv216	number of rooms used for sleeping
hv218	-11.8947264467918	0.895067007954731	7.3344e-33	1.21237349954617e-4	4.64942801762115e-32	hv218	line number of head of household
hv220	0.00450554302368524	0.0100629190680748	0.654622272194145	1.88925999358491e-4	0.836590985512766	hv220	age of head of household
hv238	0.00126207417258156	0.00421359545306434	0.764774832772631	1.43126664453708e-4	0.896424912592845	hv238	number of households sharing toilet
hv245	-2.56512559620057e-4	0.00130357039713901	0.844146939445206	5.3344615928097e-5	0.934885155870948	hv245	hectares of agricultural land (1 decimal)
hv246a	-0.111144887479067	0.121902970848536	0.362533930175155	3.9782725690618e-4	0.618355976517639	hv246a	owns cattle
hv246b	-0.376615888620152	0.173016626660051	0.0301720676782554	0.00141610420212779	0.102966653096465	hv246b	owns cows/ bulls
hv246c	-11.8663162104299	0.485799456142996	2.2282e-77	5.1475716820315e-4	3.16419059210526e-76	hv246c	owns horses/ donkeys/ mules
hv246d	0.0200572000902444	0.0475415578148605	0.673368214143121	7.0817017354563e-5	0.846118779618896	hv246d	owns goats
hv246e	0.0409814162009589	0.0304064320310079	0.178605914870967	0.00147598666736226	0.405384718453189	hv246e	owns sheep
hv246f	-0.0265031723546355	0.0223640781899872	0.236797662850174	0.00145902647514007	0.487036196262655	hv246f	owns chickens
hv246g	0.0611413726481956	0.039374763154202	0.121381009594753	0.00121453907218683	0.307713292280002	hv246g	owns pigs
hv271	8.55755688639898e-7	9.74596611211343e-7	0.380517945641691	4.10622820068096e-4	0.634490525815056	hv271	wealth index factor score (5 decimals)
hml1a	-0.118139448199541	0.0708230737314269	0.0961994135380978	0.00161083076782309	0.25698816104206	hml1a	number of mosquito bed nets with specific information
hml2	-0.0841808207688067	0.152521809360573	0.581354021074127	1.87255801776032e-4	0.801980175788254	hml2	number of children under mosquito bed net previous night
shnumdv	0.0409493876662999	0.042524187688344	0.336234677596431	6.95825108627202e-4	0.594987771076028	shnumdv	line number of domestic violence respondent
chl0	0.00525688682743363	0.0597395461534471	0.929930007756285	4.92878905034022e-6	0.974095877660734	chl0	number of de-jure children 5-14 for child labor module
hv105	0.0553930984013491	0.0118655691984393	4.34439893837003e-6	0.0124060383444828	1.9973131221452e-5	hv105	age of household members
hv107	0.00643738756540808	0.0861342305491624	0.940475739141805	6.0471074228019e-6	0.979074204037618	hv107	highest year of education completed
hv108	-0.00977417193420148	0.028336953088318	0.730358444545062	7.8705892044062e-5	0.877734857780024	hv108	education completed in single years
hv123	-0.357948224461652	0.297014405419884	0.230555015546524	0.00268115431947347	0.478512501016512	hv123	grade of education during current school year
hv124	-0.214104924634604	0.0780327052414045	0.00638911725836013	0.00537013119183283	0.0257053301065617	hv124	education in single years - current school year
ha0	-0.00139259660632889	0.0517260255901166	0.978536982548562	7.53103646000675e-7	0.993744158100379	ha0	index to household schedule
ha1	0.0502358018011185	0.0113327249469915	1.24945902127907e-5	0.0104457710256295	5.72602398605281e-5	ha1	woman's age in years
ha2	0.00137449497048201	9.88194511023209e-4	0.165142328791977	0.00260139875599874	0.38557027225255	ha2	woman's weight in kilograms (1 decimal)
ha3	0.00152962730963679	0.00169858389235965	0.368462334454346	5.09608894887825e-4	0.62257166042164	ha3	woman's height in centimeters (1 decimal)
ha4	1.21357520458504e-5	4.78105279552068e-5	0.799777136305355	4.73829459111119e-5	0.910025803223568	ha4	height/age percentile
ha5	5.48997656540949e-4	0.00120347718859412	0.648548646362406	1.49227222875581e-4	0.836590985512766	ha5	height/age standard deviation
ha6	1.69776782647644e-4	3.23817077409321e-4	0.600405737460872	1.93463546542927e-4	0.81226937280432	ha6	height/age percent ref. median
ha11	-6.68263138444989e-4	0.00119059350624944	0.574965063221975	2.23169190610606e-4	0.797597743550535	ha11	weight/height standard deviation (dhs)
ha12	-3.50334141860831e-5	8.26348450165597e-5	0.67186168840541	1.34683491607834e-4	0.84585211689885	ha12	weight/height percent ref. median (dhs)
ha12a	4.06590080524462e-5	5.8922834349435e-5	0.49063138663447	2.87043996562653e-4	0.7298059226091	ha12a	weight/height percent ref. median (fog)
ha12b	3.17777162423691e-5	5.77196266732118e-5	0.582294352422079	2.05348949108619e-4	0.80204928423398	ha12b	weight/height percent ref. median (who)
ha32	-0.0042406815775442	9.59864561760105e-4	1.33327162559557e-5	0.0106905571434919	6.08428499756456e-5	ha32	date of birth (cmc)
ha35	-11.4092069678688	1.02182001712889	6.1365e-25	3.16053952436834e-4	3.32387333751568e-24	ha35	smoking (cigarettes in last 24 hours)
ha40	6.63406070361222e-4	3.42832339218922e-4	0.0537935108844056	0.0049816525038392	0.163195071319732	ha40	body mass index
ha41	9.53821130295146e-4	5.57714735719454e-4	0.0881169861240085	0.00417665789128363	0.240152164834182	ha41	rohrer's index
