name	estimate	se	p.value	Nag.r2	adj.p.val
hv006	0.0540038472845781	0.0327697320365514	0.100264611183379	0.00198451491094798	0.257424371619641
hv007	-0.547689933534832	0.332099986761828	0.100020015552025	0.00201150023136454	0.257020074807033
hv008	-0.162979831325686	0.145568319854879	0.263656349446644	0.00118200167968086	0.506851871368019
hv010	-0.0376982485203689	0.119148711907485	0.751892282874127	8.09808736661477e-05	0.889367375492652
hv011	-0.00279937651209805	0.13577488427139	0.983562442647759	5.5386719755024e-07	0.992647692716692
hv012	0.00324362659807704	0.0409723463158797	0.936946162441261	6.7785812810639e-06	0.975641079845295
hv013	-0.00420604301249792	0.0433627338145199	0.922785158002343	1.1288032304102e-05	0.966352934365251
hv014	-0.0721225484267375	0.1471890977402	0.624444971164597	0.000243331223578114	0.819445135647492
hv016	-0.00262063368992635	0.0177182195209226	0.882502986669883	1.40813712284915e-05	0.949268642894867
hv017	0.170859102207549	0.316447162610364	0.58959310116754	0.000246181785206079	0.799321482312749
hv018	-0.00187835577705403	0.00305318222476027	0.538818827941735	0.000258389028944706	0.765662592691772
hv019	0.00109830827066783	0.0174782708404798	0.949931395114361	4.06108058714771e-06	0.978961361653748
hv028	2.7089305305882e-08	2.0573832279847e-07	0.895322842941169	2.11171059149029e-05	0.954615669265207
hv031	-0.00134949445456536	0.00315367094280913	0.668981220949029	0.000137416515162747	0.847910560610892
hv032	-0.0270172387969477	0.0492700736831002	0.583805307107386	0.000239584783471525	0.794384527659958
hv035	-0.100501676302808	0.178137017827306	0.572995884474819	0.000372240662905865	0.789459747033968
hv040	-0.00237147856596572	0.00130438759864164	0.0699167959563769	0.0026035439381823	0.193848259465519
hv041	0.0150183358006116	0.0739034186165921	0.839085888472747	4.57323437264012e-05	0.930759517837115
hv204	0.000106196499613061	0.000302659637197636	0.725893684566152	8.51628962628137e-05	0.87559443185645
hv216	0.0403632959334217	0.0687547112962879	0.557544759994403	0.000172545829423276	0.781117120202197
hv218	-9.95693805487638	1.01186432815532	2.62494e-20	1.31902714151089e-05	1.05786556693989e-19
hv220	0.00893513444584782	0.00784931115059899	0.255768794799534	0.000491308354472419	0.500675477543879
hv238	-0.000649683964938967	0.00692241394819856	0.92529746344432	1.85071985061569e-05	0.968296387783166
hv245	-0.000916502736788979	0.00112347045874805	0.415320407138009	0.000525276294302435	0.657999570922195
hv246a	0.0171659084786128	0.0209878284911651	0.413978163553059	0.00010941976574419	0.65622546076385
hv246b	-0.0863398390957124	0.118830502793509	0.467974680388986	0.000348741313228262	0.709052546043918
hv246c	-10.7460757198187	0.619754154975038	6.476971e-49	0.000219995266114381	4.64892079075426e-48
hv246d	-0.0283969859577057	0.0573778926056025	0.620976627439038	6.56112066025338e-05	0.818725024372904
hv246e	-0.0689590999321989	0.0803479073541653	0.391345080827833	0.000525183164713949	0.636772194397191
hv246f	-0.00967600459923937	0.0207755178975218	0.641694137141831	0.000167766837986472	0.832260762503055
hv246g	-0.0119839316834892	0.0429715711321451	0.780503169130054	2.02087052636468e-05	0.90756182456983
hv271	1.15813880575052e-06	1.30838537537538e-06	0.376681602523478	0.000548351055035923	0.621847460901488
hml1a	-0.18229647829381	0.12026474680547	0.130484691418695	0.00220940580579132	0.313460781502565
hml2	-0.0827664348659687	0.236180856898651	0.726224248828806	9.62026259950788e-05	0.87559443185645
shnumdv	0.00188899871612229	0.0597195707892626	0.974784816017911	1.22639638866495e-06	0.989654407266855
chl0	0.0383896986315115	0.071636172433825	0.592373203840871	0.00019165369729468	0.801973818875892
hv105	0.0831857513812289	0.0137701811700837	3.956598e-09	0.0305513152462399	1.52176846153846e-08
hv107	0.101182405483293	0.126105290386098	0.422947076305638	0.00106984428629231	0.666420351088957
hv108	0.00336399562512444	0.0313582811096888	0.91463208140611	9.51715865937786e-06	0.964218976405779
hv123	0.000275437170923745	0.0438024591391734	0.994991949111909	-5.209611e-12	0.996681239348092
hv124	-10.6641944608724	1.00980280480342	8.765221e-23	0.00956316129351586	3.74744955797102e-22
hb0	-0.461032000687449	0.189881203272175	0.0156916009549075	0.0130068956618996	0.0512627052236735
hb1	0.0831475047014675	0.0136392209870008	2.900371e-09	0.0306867636176275	1.11990765052356e-08
hb32	-0.0069627227577713	0.00113706137182537	2.486456e-09	0.0308564155857057	9.62604356955381e-09
hb35	-0.00186258121271518	0.0318763705567074	0.953438728722092	1.87368277004829e-06	0.978961361653748
hb53	-0.0346074631062425	0.00795861255006605	1.81151983447688e-05	0.017526925632105	6.89546259575071e-05
hb56	-0.0348925462493471	0.0079128414922273	1.38877409301792e-05	0.0175951812354198	5.29313123307863e-05
hb67	0.066932405619383	0.133301030609606	0.615938762072667	0.000471224486839672	0.816637909264884
hb69	6.95918521062316e-08	1.59023523125073e-07	0.661934912636858	0.00019237955914575	0.8445968824735
hmlidx	-0.123917659819704	0.197781341749733	0.531447850551221	0.000255944674086517	0.758109844838541
hml4	-0.00523794951222616	0.00752208902958776	0.486768339070585	0.000364609811139616	0.726703745069952
hmlb	-0.624530895336982	0.209455863085732	0.00315451999859959	0.00769492899846846	0.0110915780642059
hmlc	-0.144197907919509	0.155520116239208	0.355220379232582	0.00114713219329277	0.599548294987369
hml16	0.0831475047014675	0.0136392209870008	2.900371e-09	0.0306867636176275	1.11990765052356e-08
v004	0.00141615577714622	0.00157363450959273	0.368785140432628	0.000656046072326055	0.616383095907225
v006	0.062215392049999	0.0337093736314264	0.0657985692624643	0.00254653958441797	0.184511197076302
v007	-0.645238720650026	0.335489454112907	0.0552657921562492	0.0027515275200527	0.159057645717986
v008	-0.200364364674853	0.140878389340761	0.15585437980722	0.00189271709807304	0.357519767053887
v016	-0.011496768211693	0.0181316774003415	0.526453547250271	0.000278628456775398	0.753536130222368
v021	0.00141615577714622	0.00157363450959273	0.368785140432628	0.000656046072326055	0.616383095907225
v027	-0.792791314592938	0.356145278065326	0.0266556018187543	0.00300460807125358	0.0835643202607069
v028	-0.00120312438601728	0.00299199870481969	0.687848461510749	0.000104088613345432	0.857630161224307
v029	0.00109830827066783	0.0174782708404798	0.949931395114361	4.06108058714771e-06	0.978961361653748
v030	-0.00120065416061533	0.00311001178300034	0.699688792158859	0.000110351774065265	0.86431669618854
v031	-0.00122835999674596	0.00312115416093672	0.694148662903078	0.000115176334752776	0.861117979631657
v032	-0.0276244558348845	0.0491604654335247	0.574531475123868	0.000250143986286533	0.789459747033968
v152	0.0089250407770597	0.00784419861148735	0.25599597460006	0.000490518927417694	0.500787881346271
v191	1.15813880575052e-06	1.30838537537538e-06	0.376681602523478	0.000548351055035923	0.621847460901488
v201	0.105454420641891	0.02831337385972	0.000228391459013331	0.006849048137061	0.00084415607237677
v202	0.124161644559184	0.0967444247700416	0.200211411160946	0.000839619333230734	0.428298522788101
v203	0.32636867088873	0.110157203783287	0.0032600039595166	0.00645124636242367	0.0114216290743159
v204	0.340490656750673	0.0941141526898922	0.000341319195619274	0.00708361651916056	0.00124924519488444
v205	0.189424693549723	0.0823656334554259	0.0220542098393337	0.00217847394917703	0.0704111677770935
v206	0.159283529991385	0.132242751768059	0.22922800915577	0.00047799043435548	0.471267368958251
v207	0.344337935808984	0.165585665040937	0.0383059660812074	0.00144591559704954	0.116019096447189
v212	0.0601187269558642	0.0299043000014081	0.0451883372946443	0.00438121699625549	0.132774497031076
v218	0.12803903409624	0.0324502465967283	9.63677730908326e-05	0.00744484387520405	0.000358492976819617
v464	0.0358664993907039	0.0268774624896171	0.183239121221715	0.00145476055472327	0.407287552494986
v507	-0.0882120615408859	0.0468933969974859	0.060822816772229	0.00427862042343752	0.172858679651325
v508	-0.052497916099304	0.0155305919334615	0.00080959425590055	0.0129194552681166	0.00291968588619392
v509	-0.00442492629846459	0.00129122593042772	0.000686498658950298	0.0132843066949655	0.00248792511536042
v511	0.0600733216944882	0.0229861962702089	0.00936757984202192	0.00627170663291965	0.0316182614805088
v512	0.0524182359999806	0.0153002378324214	0.000688805908618657	0.0129211892358704	0.00249322384101232
v525	0.101828014061317	0.0246653054437056	4.58309365842345e-05	0.0107159561219075	0.00017378054360346
v527	0.00281416436704239	0.0018552689241291	0.130247651788508	0.00364370390851221	0.313146351080765
v531	0.102194938871212	0.0247830393113654	4.67820210985234e-05	0.0108923011633708	0.000177159129962316
v603	-0.0197953265771417	0.010882328975251	0.0701420896334635	0.0169968099788125	0.1941080341639
v766a	-0.543207500966199	0.198568656360452	0.00654731825376292	0.00607540587347843	0.0223548482043989
v766b	-0.195796094254276	0.109429562188151	0.0744502182739867	0.00172588921807382	0.203073180461468
v832b	0.00777118169539889	0.00481398181227155	0.107756092177612	0.00513892354661249	0.273319050712286
v834a	0.0560080043680204	0.0162719467275624	0.000648604941455775	0.0112121422925464	0.00235348656493793
v834b	0.0382286473674014	0.0209139880920958	0.0687151324971754	0.00304920311253865	0.191055269431355
v836	0.0105877793189822	0.00851914189471726	0.214777338679992	0.00148674011803795	0.447969370198723
v852a	0.012382854283623	0.00555797607262112	0.0265342609323959	0.00837724831369979	0.0832850188323111
v852b	0.00497342595498745	0.00501058376052262	0.321872381010047	0.0020926015766547	0.566972405859064
v853a	0.00345058982768252	0.00377129349687137	0.360850677842418	0.000492767197750932	0.60690393365743
v853b	-0.000495001409278681	0.00844811397563218	0.953319850425672	6.34217625528066e-06	0.978961361653748
v801	5.65200443710983e-05	0.000404882520298947	0.889060297116679	1.65184521770945e-05	0.951297742652957
v802	0.000139219212968941	0.000405087245561583	0.731297875701837	0.000100808400233854	0.87750684930669
g106	-0.00706547352046715	0.0471512470442107	0.880997606378793	3.4401391528438e-05	0.949268642894867
mv005	6.25971677745218e-08	1.83587144496465e-07	0.733335333402938	0.000125635623085985	0.877978585040044
mv009	-0.0291479421698735	0.0402554560393776	0.469509390784476	0.000412661772893341	0.710647872146847
mv010	-0.0840639996438821	0.0137266918355594	2.47675e-09	0.030928061134321	9.60106767411301e-09
mv012	0.0830727022148507	0.0136553774405392	3.115607e-09	0.0306358938950601	1.20144322222222e-08
mv034b_1	0.0586564240112858	0.0187690913621944	0.00193385875610787	0.014344470630243	0.00684859943639642
mv133	-0.00660115692932947	0.0316326496636933	0.834819477335762	3.68913256680869e-05	0.929199931816056
mv136	0.0058700814269021	0.0406451137693803	0.885250692632608	2.38294598327027e-05	0.949718019398966
mv138	-0.00279937651209805	0.13577488427139	0.983562442647759	5.5386719755024e-07	0.992647692716692
mv245	0.459750588875889	0.105917844377415	1.86772258639906e-05	0.0092205626701839	7.10023405912014e-05
mv247	0.0825825515995126	0.0260292380030318	0.00165104220294898	0.00974028890971768	0.00586816204662589
mv505	-0.0186878242296007	0.32720779992476	0.954489525545033	3.49074976013775e-06	0.978961361653748
mv616	-0.0197953265771417	0.010882328975251	0.0701420896334635	0.0169968099788125	0.1941080341639
hv105_01	0.0088643124502552	0.0078426759153445	0.25914691561932	0.000483981087862295	0.50130059087016
hv105_02	0.00853943683906236	0.0116040883768726	0.462292201681766	0.000394939882679024	0.703332643095002
hv105_03	0.00744418994007857	0.011398234069162	0.514133006923316	0.000394585657620516	0.74485568368909
hv105_04	-0.0094220825428716	0.0180607835629761	0.602231732699673	0.000397211126469621	0.807530804481589
hv105_05	-0.00221826800408066	0.0185278398800023	0.904774014026013	2.00302750695824e-05	0.958127399010554
hv105_06	0.0237975384943736	0.0147636022456436	0.108003287837357	0.00372167610384078	0.273319050712286
hv105_07	0.019248450482962	0.0171692776685687	0.263196369447807	0.00155845280942857	0.506851871368019
