var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
v705_5	1	-2.61186360668133	0.413511574821415	5.7558e-10	0.0345736868949961	1.50363356971154e-9	v705	partner's occupation
v025_1	1	2.71524450312783	0.414438922451413	1.3496e-10	0.0302225794736517	3.5427e-10	v025	type of place of residence
v025_2	1	-2.71524450312783	0.414438922451412	1.3496e-10	0.0302225794736514	3.5427e-10	v025	type of place of residence
v026_3	1	-2.71524450312783	0.414438922451412	1.3496e-10	0.0302225794736514	3.5427e-10	v026	de facto place of residence
hv025_1	1	2.72988670237674	0.414540309908701	1.0912e-10	0.0300280769285937	2.86959854809437e-10	hv025	type of place of residence
hv025_2	1	-2.72988670237674	0.414540309908702	1.0912e-10	0.0300280769285936	2.86959854809437e-10	hv025	type of place of residence
hv026_3	1	-2.72988670237674	0.414540309908702	1.0912e-10	0.0300280769285936	2.86959854809437e-10	hv026	place of residence
v140_2	1	-2.65499071428951	0.414133583719138	3.2018e-10	0.0289924789417004	8.37438303249098e-10	v140	de jure type of place of res.
v141_3	1	-2.65499071428951	0.414133583719138	3.2018e-10	0.0289924789417004	8.37438303249098e-10	v141	de jure place of residence
v140_1	1	2.57655043513161	0.396428654168558	1.8631e-10	0.0276890615918208	4.887685998793e-10	v140	de jure type of place of res.
v535_0	1	-2.45531663929894	0.528001338992621	4.45761505782754e-6	0.0275572557351801	1.12331899457254e-5	v535	have ever been married
v704_62	1	-2.29660809497988	0.41770210014569	6.02304616390428e-8	0.0272867615661188	1.55661008766301e-7	v704	partner's occupation
v105_3	1	-2.05568152355863	0.505562843832186	5.69678719947982e-5	0.0271305938962099	1.37730444694876e-4	v105	type of place of previous res.
s567c_1	1	5.02936284046235	0.853675707598698	7.3348e-9	0.024626741744887	1.90924404790419e-8	s567c	mother ate: food made from teff
s567c_0	1	-5.01293870962702	0.853654843329808	8.1667e-9	0.0243335569306078	2.1245149551167e-8	s567c	mother ate: food made from teff
v190_5	1	2.43354846205298	0.428431780580406	2.22155073209109e-8	0.0242001109310603	5.76198152291168e-8	v190	wealth index
hv270_5	1	2.4421631314505	0.428571797799769	2.00510118064933e-8	0.0239691486066036	5.20368646703441e-8	hv270	wealth index
v384b_1	1	2.43154958298204	0.377605317866516	2.6919e-10	0.0231453147885108	7.05771369119421e-10	v384b	heard fp on tv last months
v384b_0	1	-2.42425155911235	0.377541999987662	3.0091e-10	0.0230302380403831	7.88460379746836e-10	v384b	heard fp on tv last months
hv206_1	1	2.34543732656592	0.401046173902299	8.6772e-9	0.0228891108439948	2.25596820574163e-8	hv206	has electricity
v535_1	1	2.10364454326066	0.520010267555408	6.22465167583892e-5	0.0226618253249866	1.5032533797151e-4	v535	have ever been married
hv206_0	1	-2.32095671110638	0.401462713691146	1.2648e-8	0.0224635900338007	3.2844e-8	hv206	has electricity
v119_0	1	-2.24585211257721	0.401057300485566	3.44911452564357e-8	0.0215235615568574	8.92989925132376e-8	v119	has electricity
hc61_01_0	1	-2.459382402713	0.60343925789019	5.32801868514369e-5	0.0213803669170063	1.29101991216943e-4	hc61_01	mother's highest educational level
hc61_02_0	1	-3.65376667782729	1.17696401872126	0.00205807703516786	0.0212922800211756	0.00440929564902646	hc61_02	mother's highest educational level
v119_1	1	2.22102546172767	0.394160919523658	2.84929799473756e-8	0.0208780118778698	7.38134587790475e-8	v119	has electricity
v701_0	1	-2.14010233705668	0.553379089947032	1.23984648011323e-4	0.0201586881238275	2.9355188720328e-4	v701	partner's education level
v729_0	1	-2.14010233705668	0.553379089947032	1.23984648011323e-4	0.0201586881238275	2.9355188720328e-4	v729	partner's educational attainm.
sh44_1	1	-2.13589586862016	0.317882012904296	4.7132e-11	0.0192950791122141	1.24322089805825e-10	sh44	livestock, herds or farm animals
sh44_0	1	2.13198779893382	0.317379621227386	4.7635e-11	0.0192268430090238	1.2557267738023e-10	sh44	livestock, herds or farm animals
m19_1	1	-3.90008461630331e-4	7.58210772758718e-5	3.9238753753339e-7	0.0189188317971096	1.00750657156388e-6	m19	NA
m19a_1_0	1	-2.42177316612851	0.453738202747358	1.44826600358612e-7	0.0187193626795779	3.73405238291154e-7	m19a_1	weight at birth recall
m3d_1_1	1	2.35137455515479	0.454984625386095	3.45811279030764e-7	0.0184978782874655	8.88966073297889e-7	m3d_1	assistance: health professional
m3d_1_0	1	-2.3108665659103	0.453764776898212	5.05612565949756e-7	0.0180041479916561	1.29746034485454e-6	m3d_1	assistance: health professional
sh42_1	1	-2.04395727251194	0.436124939345658	3.53265029360095e-6	0.0178084417419472	8.92296968406936e-6	sh42	land usable for agriculture
sh42_0	1	2.04395727251194	0.436124939345658	3.53265029360096e-6	0.0178084417419468	8.92296968406936e-6	sh42	land usable for agriculture
v105_2	1	1.80482837064661	0.527488290016588	6.82933774221283e-4	0.0177078660866059	0.00153580606132432	v105	type of place of previous res.
v701_2	1	2.00821049835544	0.335362482942987	3.9609e-9	0.0173903488578394	1.03163764529658e-8	v701	partner's education level
hc61_01_2	1	2.50683461544512	0.545585136070509	5.47656081432556e-6	0.0163720653903211	1.37849507005635e-5	hc61_01	mother's highest educational level
v465_2	1	1.9199398445318001	0.54179629322475	4.33055946291163e-4	0.0161494258497998	9.88185930985662e-4	v465	disposal of youngest child's stools when not using toilet
v778_1	1	3.06134208211983	0.563186728953771	8.50013197208947e-8	0.0157650641536673	2.19418489802096e-7	v778	willing to care for relative with aids
sh37_31	1	1.96851226267607	0.440987835545342	9.83240081141976e-6	0.0153297137573745	2.46206488060148e-5	sh37	main roof material
v023_8	1	2.35294981528694	0.465777824426373	6.03669339363134e-7	0.015103212245561	1.54543617091375e-6	v023	sample domain
m50_1_1	1	2.1383553757624	0.456882801708444	3.71784982213867e-6	0.0149124864176358	9.37985674801904e-6	m50_1	after birth, health professional checked health
m50_1_0	1	-2.10005920389754	0.455363225674819	5.107976944146e-6	0.0144906064516506	1.28646441345322e-5	m50_1	after birth, health professional checked health
s912ab_1	1	1.74966310065694	0.419657565454699	3.595080344171e-5	0.014256246544378	8.78954682570941e-5	s912ab	media message on hiv/aids: stop stigma
s912ab_0	1	-1.74844072935123	0.419657190687747	3.63969384782534e-5	0.0142368444779107	8.89361953709767e-5	s912ab	media message on hiv/aids: stop stigma
v302_0	1	-1.81214794976012	0.344298871347357	2.05862932232639e-7	0.0140872193302971	5.29831951696437e-7	v302	ever use of any method
v361_4	1	-1.81214794976012	0.344298871347357	2.05862932232639e-7	0.0140872193302971	5.29831951696437e-7	v361	pattern of use
v129_31	1	1.82436474743311	0.414470671315104	1.29959433481297e-5	0.0139074875918094	3.22819232767542e-5	v129	main roof material
v302_3	1	1.80753766142535	0.343162017699122	2.01645483028844e-7	0.013882828939747	5.19592717680133e-7	v302	ever use of any method
v305_05_1	1	2.37242579234751	0.615619062700582	1.33992942987827e-4	0.0138093437171917	3.16386378689888e-4	v305_05	ever used method
sh14_02_1	1	1.84426009559527	0.441892600299363	3.50487649888685e-5	0.0138076497752794	8.57383125529608e-5	sh14_02	ever attended school
sh14_02_0	1	-1.8384824140016	0.441888282731907	3.70428331405837e-5	0.013722449242752	9.0412799361099e-5	sh14_02	ever attended school
v778_0	1	-2.93933142017028	0.58416380634172	6.7662626062245e-7	0.0135527733598244	1.73119149789629e-6	v778	willing to care for relative with aids
hv106_02_0	1	-1.82307491731084	0.434253039375442	3.15369515570975e-5	0.0135257732110338	7.72344385457481e-5	hv106_02	highest educational level
hv109_02_0	1	-1.82307491731084	0.434253039375442	3.15369515570975e-5	0.0135257732110338	7.72344385457481e-5	hv109_02	educational attainment
s912ad_0	1	-1.68236682852369	0.413998042030956	5.59814322620244e-5	0.0133366398340584	1.354208603467e-4	s912ad	media message on hiv/aids: live and let live
s912ad_1	1	1.68236682852369	0.413998042030955	5.59814322620219e-5	0.0133366398340581	1.354208603467e-4	s912ad	media message on hiv/aids: live and let live
hc0_01	1	-0.568033909879795	0.131477294394023	1.87549167746272e-5	0.0131609635835537	4.61912879429487e-5	hc0	index to household schedule
v779_1	1	1.77754336194122	0.485315246996024	2.75906670256534e-4	0.0127452673958771	6.38305800761903e-4	v779	person with aids allowed to continue teaching
fg123_1	1	-3.66214822165024	0.959659686421746	1.51991553667501e-4	0.0127354669715946	3.56946128467113e-4	fg123	circumcision should continue
v305_05_0	1	-2.23314682373743	0.60859142376212	2.7353941030614e-4	0.0126615608121994	6.34512175347273e-4	v305_05	ever used method
v141_2	1	2.08808387576937	0.471266043792467	1.14132704154518e-5	0.0126159620299945	2.84644213975726e-5	v141	de jure place of residence
v191	1	6.9739482110797e-6	9.77992662923173e-7	3.2856e-12	0.0125887843796807	8.80006358595194e-12	v191	wealth index factor score (5 decimals)
v026_2	1	2.07995924045473	0.471965789661043	1.26908994619428e-5	0.0125380374834444	3.15602631356209e-5	v026	de facto place of residence
hv271	1	7.00687910146205e-6	9.75400353306229e-7	2.3042e-12	0.0124921448212585	6.20207888544892e-12	hv271	wealth index factor score (5 decimals)
hv026_2	1	2.09540555161403	0.472046705102054	1.09949465471106e-5	0.0124802653470905	2.74684095633849e-5	hv026	place of residence
v762as_0	1	-1.68616402086386	0.357822027758489	3.13399351939967e-6	0.0124600170553448	7.92984274088058e-6	v762as	source for condoms: shop
v762as_1	1	1.68616402086386	0.357822027758491	3.13399351940024e-6	0.0124600170553448	7.92984274088058e-6	v762as	source for condoms: shop
v741_1	1	1.53394332627937	0.639719180995165	0.0169676015194534	0.0124089405781945	0.0316287151822744	v741	type of earnings for work
v732_2	1	-1.6535063985619	0.649892218110957	0.011340203352645	0.0123962253586261	0.0217930433129743	v732	employment all year/seasonal
sh16_9	1	3.17649776081706	1.17076533492846	0.00702481523503645	0.0121527841063139	0.0139883061917898	sh16	attend school during 1997 e.c. (current) school year
fg123_2	1	2.55647922991618	0.793868698338156	0.00136118391702639	0.0119668956745479	0.00296743555030778	fg123	circumcision should continue
v304_08_1	1	1.66290893152409	0.338983856112765	1.24125978292167e-6	0.0116456106252407	3.17210833413316e-6	v304_08	knows method
v304_08_0	1	-1.66036211610243	0.338981976063164	1.2873485410839e-6	0.0116134705071265	3.2840986549834e-6	v304_08	knows method
v467d_2	1	1.63827154024991	0.382450848193362	2.18379651127885e-5	0.0115937954116708	5.3754039833121e-5	v467d	getting medical help for self: distance to health facility
v467d_1	1	-1.63817828100783	0.382450972804501	2.18612499853226e-5	0.0115924737005086	5.37809019163539e-5	v467d	getting medical help for self: distance to health facility
