name	estimate	se	p.value	Nag.r2	adj.p.val
vcal_5                                                                               1	-15.9050995654151	0.50017411997654	2.4917e-62	0.0676339523769113	1.73981161341853e-61
scal_2                                                                             1	-15.9050995654297	0.500174119976614	6.8833e-61	0.0678517890658699	4.37946205240175e-60
scal_3                                                                         2	-14.8483179386165	1.02617685686479	8.1933e-36	0.0549171604098705	3.41075374285714e-35
hv003	0.02963421859351	0.201174381948824	0.882946416959117	1.15756956849955e-05	0.91292447589531
hv008	0.0679209171808766	0.140587896114354	0.629209571943846	0.000102737301352906	0.699815531543652
hv009	-0.315858460623258	0.113432201771312	0.00555172010466823	0.00780906554210692	0.0108043493221304
hv010	-0.205690835023367	0.230523874152836	0.372650139377845	0.000398148792166597	0.462874043540938
hv011	-0.429131257320772	0.248941259077112	0.085322525953539	0.00205630529954393	0.132343776062072
hv012	-0.32803882907309	0.1172852441932	0.00534649880124058	0.00831915665268868	0.0104374927468614
hv013	-0.297002663498293	0.110601137697672	0.00747245697033496	0.00717893428833394	0.0142132765088486
hv014	-0.506578212768438	0.235186366375933	0.0316947399961556	0.00360311982211237	0.0549752811599985
hv016	-0.0125682769452348	0.0161720081118954	0.437409683279395	0.000219817471784456	0.52639620662847
hv017	-0.161991834995611	0.424111346790713	0.702647165554819	7.77389450101751e-05	0.76437798920859
hv019	0.00511128725777537	0.0259824445134202	0.844121443586111	2.41312413717942e-05	0.879326699217086
hv022	0.00438842030058553	0.00282580180430923	0.12102425860339	0.00186191788623957	0.178534267416611
hv031	-0.00294631324905167	0.00256940245777538	0.252026349649001	0.000751637543215833	0.331797819326643
hv032	-0.00447367886223698	0.0131521643528995	0.733880045099121	6.45731169429675e-05	0.789706961380664
hv035	-0.518765108689605	0.293240437837641	0.0774559696138904	0.00302395711944259	0.121652908078446
hv040	-0.000173300050156718	0.000144240483600765	0.230107056806918	0.0005144373575241	0.307865915305491
hv041	-0.185730851829949	0.225643802079774	0.410812662473992	0.000337584432097415	0.499488775430826
hv204	0.00155661715964452	0.000429045227533977	0.000313152087868092	0.00658373844340154	0.000706288842142121
hv218	-7.95944159384556	0.95035292426221	4.9547e-16	2.94250956870412e-05	1.33520306411837e-15
hv271	6.88956026801828e-06	8.67872865541195e-07	1.2295e-14	0.011056834018728	3.25508449424591e-14
hml1a	0.616698447920366	0.269397096379011	0.0224612780656672	0.00132170051324543	0.0401054928206827
hml2	1.26530670375725	0.333595880151172	0.000166021521600119	0.00505200688388485	0.000381535263361788
shintdg	0.0341384017265943	0.0186108448976143	0.0671656740503078	0.00171711571140143	0.107578292881603
shintcg	-0.0352232506820213	0.15614044285726	0.821609629415015	2.64347832892309e-05	0.859975021593159
sh30	0.00646587069102166	0.00544476213211624	0.236349967097552	0.00196508388542449	0.315061209571028
sh40	-0.311863800456258	0.296664175166031	0.293629682646943	0.000911362456707421	0.379271673418968
sh43	-0.0654385507458682	0.135073370024755	0.628317878627361	0.000352283748557114	0.699357638777743
sh45a	-0.269878901313033	0.313618604663358	0.38995298073118	0.00116169194031401	0.479400116612164
sh45b	-0.215295839823493	0.282917545333229	0.447064071522294	0.0015378925557914	0.535961891558954
sh45c	-0.704835935715678	0.529466537727808	0.183789466981501	0.00217164818417537	0.253500713214308
sh45d	-0.466106675440159	0.563706656323871	0.408753475490416	0.000131405813497021	0.497261742657559
sh45e	-0.0665719884419743	0.0966983853026053	0.491523510135065	0.000339902660133284	0.5784731456113
sh45f	0.0483265582092771	0.0368818487277965	0.190758802072606	0.000467965384319813	0.261791750034336
sh45g	-0.0467704414013118	0.0782787890480118	0.55048314886582	0.000191112095248913	0.633367160750855
sh48l	-0.0158000978625223	0.0127291323328956	0.216781536399378	0.00114900164902487	0.292906366492019
shgisalt	1.16234398329285e-05	0.00013181286301795	0.929765826620673	1.97957027858742e-06	0.949053273343987
hv107	0.195673967130702	0.109010828805236	0.0734510374268145	0.00375308886609327	0.116271888236938
hv108	0.0529966869830414	0.0246821788194716	0.0322331840787243	0.00275539756759846	0.0557985139041996
hv123	-0.23773744288291	0.130106219983497	0.0689348699039592	0.0013496726509612	0.109928608664796
hv124	0.0198758393255703	0.0119360684653417	0.0964655236957181	0.00123108912845216	0.147019108812407
hv127	-0.238836383926441	0.270783193205414	0.378644471462604	0.00139437707168866	0.469385985468815
hv128	0.0152563005080121	0.0111816187146751	0.173017938646321	0.000837039808284534	0.240464677209243
hml16	0.0251046211210839	0.0137424976495857	0.0682940237664711	0.00111696990959398	0.109105693670777
sh15	0.0846450263307886	0.0674583860952655	0.210332002607499	0.00452576480867606	0.285427253460844
sh17	0.01608345228624	0.0108693221274779	0.140289762731044	0.000311869262373698	0.20264591966206
sh19	0.0136416415629752	0.010870753228026	0.210727814797716	0.000213039884651156	0.285875629571948
ha0	-0.572204757770852	0.390041659551363	0.142959654305893	0.0046926997111173	0.206025931081786
ha1	0.0246352114338684	0.0138367339439966	0.0755798450929598	0.00107251298628031	0.119177309848964
ha2	0.00014910870230051	0.000114341227942569	0.19277656925468	0.000656616781117947	0.2641462019474
ha3	0.000183645625845244	0.000103566145785672	0.0767663825382016	0.000988468287732136	0.120743381818812
ha4	5.73663824960633e-05	7.14845025028201e-05	0.422622924791025	0.000393280790075612	0.51171324217772
ha5	0.000146890368259455	8.64939756927005e-05	0.0900432184224471	0.000922557633247556	0.138625661494545
ha6	1.64044215780645e-05	9.71083014969498e-06	0.0917517342126203	0.000914551299168509	0.140817005001181
ha11	0.000138630371391442	9.23304691784474e-05	0.133832515201713	0.000789540123129595	0.194604765118659
ha12	1.50235679890293e-05	1.04314612016301e-05	0.150396440472481	0.000748913436557141	0.215112186290973
ha12a	1.56546493701443e-05	1.02289714272284e-05	0.126508769735767	0.000811459026889838	0.185622635956709
ha12b	1.55512887972958e-05	1.05825711521886e-05	0.142285413582964	0.000771337470366396	0.205257274841959
ha32	-0.00209523227665148	0.00112495606510631	0.063085532291343	0.00112094789214801	0.101564221600538
ha40	0.000155688442566782	0.00013148481203848	0.236912435027719	0.000583454686686524	0.315618486286547
ha41	0.000152905077889177	0.000113851965532057	0.179841433986615	0.000683947616352487	0.248525737576824
ha53	-0.00673585380656157	0.0080714263963171	0.404357937375577	0.000660075650100511	0.493115029497631
ha56	-0.0080480078472193	0.00811658217017303	0.321868903876385	0.000806237602882898	0.409813276680361
v004	0.00247235594474868	0.00137169004309851	0.072047991789066	0.00256235087423051	0.114267696701744
v005	-8.19818611342411e-08	2.35042448737385e-07	0.727380999745586	6.71958687143981e-05	0.784364255326027
v006	0.0190682475549946	0.142958954386433	0.893941375901305	7.96219549681343e-06	0.920848168318421
v008	0.0190682475551016	0.142958954386381	0.893941375900675	7.96219549703547e-06	0.920848168318421
v012	0.0236946978025098	0.0141335561580684	0.0942328911926116	0.000980288492696824	0.14416939706087
v016	-0.0115670311142938	0.0159870591404686	0.469676825453284	0.000184363628110806	0.558932045754507
v018	-0.0190682475549927	0.142958954386435	0.893941375901317	7.96219549692445e-06	0.920848168318421
v019	0.0190682475550066	0.142958954386428	0.893941375901236	7.96219549681343e-06	0.920848168318421
v021	0.00247235594474868	0.00137169004309851	0.072047991789066	0.00256235087423051	0.114267696701744
v022	0.00528818440358053	0.00288595817957422	0.0674550886091094	0.00259657491585219	0.107923203627532
v027	-0.15574622043789	0.412215586295678	0.70571030308473	3.90011690238889e-05	0.766184732931782
v028	-0.00263543182203527	0.00265034325960701	0.32049469191153	0.000591670825869861	0.408420495144402
v029	-0.000744664353851835	0.026450705127787	0.977550791041099	5.03289508180238e-07	0.985441537740001
v030	-0.00271776615683371	0.002654784719706	0.30643279961366	0.000628601905450554	0.392906355855473
v031	-0.00269023197493201	0.00265023967218775	0.310526058610238	0.000617639339503651	0.397875131255685
v032	-0.00677122696979812	0.0135076641394754	0.616376743996493	0.000146344525582598	0.6890492961659
v040	-0.000236491421823527	0.000181480862463396	0.193099484281531	0.00078356600134255	0.264505749230515
v107	0.142908741495088	0.116046177060719	0.218927016542169	0.00197436741218449	0.29525763323228
v115	0.00171281192706131	0.000443868760434528	0.000127975053620836	0.00775622123296138	0.000295811189517014
v133	0.143861408806284	0.0377623093419519	0.000155464246753655	0.00672097682718054	0.000357649590821172
v136	-0.297106028506969	0.113811797862963	0.00929677477577429	0.00688278870362358	0.0174105409361223
v137	-0.483576996885436	0.237744806697253	0.0424473304256091	0.00325196363119351	0.0711688842694044
v138	-0.200830994571313	0.246648147408382	0.415872677195101	0.000362839892157463	0.504518310302466
v152	-0.0251405905387519	0.00954655488158689	0.00869850415359974	0.00195599383347922	0.016325101612445
bord_01	-0.349322333835808	0.100168314454892	0.000529718191821716	0.0113621263126802	0.0011623485022353
bord_02	-0.349091705048384	0.114083808478203	0.00233137180723703	0.00759484262307242	0.00478423763823148
bord_03	-0.403324472576802	0.167283961953881	0.0162796805411931	0.00645865015780156	0.0294043320849401
bord_04	-0.576131593668402	0.311751796271292	0.0652531455948965	0.0077417242136183	0.104822307752772
bord_05	-0.622501783502807	0.479615356708146	0.195052117334047	0.00454095584629266	0.266679013095752
bord_06	-0.293553133586333	0.0642229940314299	6.68123330569268e-06	0.000589533170235024	1.62966912830261e-05
b1_01	0.0674868802341903	0.0768126029273377	0.380034267220242	0.00093760821230382	0.470042383140826
b1_02	-0.0859330362921823	0.0351266040826682	0.0147698973130836	0.00123650054074587	0.0268660928653718
b1_03	-0.107819844119499	0.0711944389755876	0.130566533834106	0.00153556423352685	0.190489425697222
b1_04	0.0392274471318585	0.0865696522016548	0.650672858056653	0.000185337487902393	0.718931006715276
b1_05	-0.00135813281017231	0.129000274050919	0.991605086906004	1.36539835215999e-07	0.995248182518058
b1_06	-2.15289797498551	1.18598571352175	0.0703102882122526	0.013888678295242	0.112030681342374
b2_01	-0.0619278012416821	0.0275483470229336	0.0250021389297085	0.00205637881672915	0.0442446758144761
b2_02	-0.0791940559692256	0.025493288814926	0.00199987955796678	0.00317026774765139	0.00415469275089011
b2_03	-0.110990424410062	0.0360505742121168	0.00219682150585201	0.00510338130047927	0.00453670095650208
b2_04	-0.130083701058117	0.043608166341866	0.00300975464438812	0.00644077519069497	0.00609621758601505
b2_05	-0.0692957277888619	0.102873269510361	0.500947121617484	0.000922072908405513	0.587507343329762
b2_06	-0.18047470401087	0.0279199791091884	3.3097e-10	0.00312135981642458	8.55005833333333e-10
b3_01	-0.00503343559987387	0.00231907031129204	0.0304304705728668	0.00192356374458436	0.0529504724816882
b3_02	-0.00671293787459961	0.00209579965029599	0.00144565275316791	0.00333970112621829	0.0030496854170352
b3_03	-0.00950327904657619	0.00302059552101569	0.00175619002750256	0.00540622965866511	0.00367815362252692
b3_04	-0.0107812116949773	0.00363149363512013	0.00314956034236759	0.0063532878687852	0.00636464551848763
b3_05	-0.00581378139170833	0.00862798816111529	0.500804001657342	0.000928986819609956	0.5874971259378
b3_06	-0.0163168147659716	0.00243300423145307	7.712e-11	0.00366511257838886	1.99817142857143e-10
b8_01	0.0728832150603313	0.0394226081118746	0.0650689113376369	0.00201965418136107	0.104564783623828
b8_02	0.100532666579018	0.027057578821883	0.000226303288224563	0.00552908148221487	0.000514657478059087
b8_03	0.121225059678328	0.0434256203489272	0.0054667833340734	0.00608123579864117	0.0106485338472526
b8_04	0.125347336442508	0.0445187600625544	0.00509832421408285	0.00715693165951226	0.00997081661734055
b8_05	0.00887531063125453	0.165624960985911	0.957294351991099	1.12536767998828e-05	0.970843065557563
b11_01	0.0120599675350147	0.00382267333534034	0.00170170957448722	0.00240610567505117	0.00356746884896098
b11_02	0.0107719856860415	0.0151019342463288	0.476013086526221	0.000494367140391194	0.564474552687496
b11_03	0.0191279320257024	0.0114195906531674	0.0946284781477181	0.00108696868118718	0.144622754539747
b11_04	0.00681482437902432	0.0137310033081079	0.619944805236817	9.87107578396262e-05	0.692329776108873
b11_05	0.00706652958277835	0.00417012298925759	0.091021057212318	3.54524857165694e-05	0.139842896687185
b12_02	0.0119061726574068	0.00383571010694972	0.00201673605365984	0.00235785791957088	0.00418772127816967
b12_03	0.0109975240168147	0.0157045864600942	0.484092260029984	0.000496816612689965	0.571419732268717
b12_04	0.0187744554503317	0.0115270187342253	0.104070580453712	0.00104558569008362	0.156697384486109
b12_05	0.00686005405240462	0.0137741628249361	0.618727045382621	9.93540687822536e-05	0.691146413331826
b12_06	0.00660796686057672	0.00417441367065132	0.114304208653504	3.08112599148869e-05	0.169651509685727
v201	-0.133136841488488	0.0550700459309436	0.0159599865862464	0.00243198482603946	0.0288985506911694
v202	-0.332009002043955	0.175946040910753	0.0597074818430346	0.00248575605770163	0.0965524983854622
v203	-0.119962207943742	0.152639871922661	0.432267569904265	0.000365674631204072	0.521194278072164
v204	-0.680662448272765	0.392510194219998	0.0834770502684244	0.000986695546659755	0.129849888513624
