var	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
vcal_5                                                                               1	-0.222871566438742	1.26327982037057	0.860216620138915	0.0709185699309554	0.894377950974922	vcal	NA
scal_2                                                                             1	-0.222871566438741	1.26327982037055	0.860224111577214	0.0709195335237645	0.894377950974922	scal	NA
scal_3                                                                             2	-14.963315811948	1.02336722280912	4.6378e-36	0.0479756119308907	1.75614256097561e-35	scal	NA
hv003	-0.0737200555065569	0.16615085928258	0.657444595087117	5.82650517984007e-5	0.735627195583963	hv003	respondent's line number
hv008	0.164157786847778	0.147804218212782	0.267223572021847	5.76460202507345e-4	0.356758743715268	hv008	date of interview (cmc)
hv009	-0.33754379079697	0.0775478901447915	1.61295021390486e-5	0.00879091785936381	3.98380373854797e-5	hv009	number of household members
hv010	0.026652702350454	0.160304501746832	0.868013175445676	9.18737327482155e-6	0.900322899943296	hv010	number of eligible women in hh
hv011	-0.366641683219245	0.261624453160486	0.161676248085341	0.00151558626491244	0.233753006497007	hv011	number of eligible men in hh
hv012	-0.343367365260626	0.0774929298722237	1.13972120872423e-5	0.00896067538478518	2.84406894048463e-5	hv012	number of de jure members
hv013	-0.310744431883294	0.0708113806261515	1.37791984413242e-5	0.00787991486352901	3.41494729899865e-5	hv013	number of de facto members
hv014	-0.332551313112896	0.213929481766232	0.120662161788285	0.00160190569052632	0.184106148576228	hv014	number of children 5 and under
hv016	-0.0206331860776992	0.0230698313001743	0.371523273882117	6.06941780497139e-4	0.47071165012112	hv016	day of interview
hv017	0.101968446393194	0.300547958002666	0.734536363361102	3.97621805531267e-5	0.799656792269149	hv017	number of visits
hv019	0.0211553618638307	0.0277648615319838	0.446429099736945	4.1592958356873e-4	0.547117929674796	hv019	keyer identification
hv022	0.00725854575251315	0.0032154735517736	0.0243890132283249	0.00490351306660997	0.0440095643435153	hv022	sample stratum number
hv031	6.31229320904863e-4	0.00205808033028361	0.759185786454947	3.79602960279835e-5	0.822167566945604	hv031	field editor
hv032	0.0097868993479384	0.00985046055464159	0.320894945714969	3.55427029801736e-4	0.414910865265607	hv032	office editor
hv035	-0.345743802902895	0.218806509240205	0.114670316956374	0.00139114319160216	0.175765820807249	hv035	number of eligible children for height & weight
hv040	-2.05572699053178e-4	1.56608376016376e-4	0.189865360796585	7.56085166354947e-4	0.268056097233763	hv040	cluster altitude in meters
hv041	-0.00576573345819148	0.167143829921181	0.972494857340537	4.26061748326489e-7	0.979673173268925	hv041	total adults measured
hv204	0.00139708572035442	3.56976613834913e-4	1.02708810986933e-4	0.00547368785997093	2.44778070921161e-4	hv204	time to get to water source
hv218	-5.43154125692159	0.458492196161183	6.7568e-29	3.43901298500704e-5	2.25416804297774e-28	hv218	line number of head of househ.
hv271	7.00687910146205e-6	9.75400353306229e-7	2.3042e-12	0.0124921448212585	6.20207888544892e-12	hv271	wealth index factor score (5 decimals)
hml1a	0.563765370392142	0.341236054603498	0.0990986661370498	0.00125660325683463	0.154291512069397	hml1a	number of mosquito nets with specific information
hml2	0.310342131302992	0.608710923662903	0.61037849941101	7.02024040343252e-5	0.696068577617092	hml2	number of children under bednet previous night
shintdg	0.0100900210024157	0.0189965133518188	0.595535680109525	1.52757939320791e-4	0.682878818632578	shintdg	day of household interview (gregorian calendar)
shintcg	0.0935764273274155	0.147726132797322	0.526715097526384	1.85525682920074e-4	0.622013183631402	shintcg	date of household interview cmc (gregorian calendar)
sh30	0.00806525377244201	0.00591409311758667	0.174146674935918	0.00252305237052342	0.249264272619834	sh30	number of households sharing toilet
sh40	-0.0340287936899114	0.0377171389468536	0.367353417331527	2.2486902165586e-4	0.466243884712452	sh40	number of rooms used for sleeping
sh43	-0.0148184151133218	0.0316731755315745	0.640137741029339	8.12861126920916e-5	0.722023549624945	sh43	hectares for agricultural land
sh45a	-1.09157881224953	0.706749705011103	0.123165732344705	0.00587614024743122	0.186876592845526	sh45a	cattle
sh45b	-1.09430598895346	0.36595194164174	0.00293921898637204	0.0108309894375472	0.00616640199505756	sh45b	cows
sh45c	-0.146168582264269	0.237769287749326	0.539029414367008	1.21596587875139e-4	0.633629222350834	sh45c	horses / donkeys / mules
sh45d	-13.2294718457201	0.393599714578353	5.0591e-125	3.9754692244276e-4	1.18236062903226e-123	sh45d	camels
sh45e	-0.138823661930114	0.117639228893475	0.238589208418963	6.89811035056054e-4	0.325226493884363	sh45e	goats
sh45f	-0.41038823080795	0.198914939887468	0.0396704066546232	0.00288110926643281	0.0682959436545137	sh45f	sheep
sh45g	-0.0675202911028749	0.104218460498384	0.517396259949193	3.19446591625194e-4	0.614850066156135	sh45g	chickens
sh48l	-0.0114632264650933	0.0470933721952286	0.808073710533659	5.00892273123332e-4	0.857173357659789	sh48l	months ago house was sprayed
shgisalt	-9.1220718739109e-5	1.88119941366324e-4	0.627941755830237	9.38636150643601e-5	0.710994177982212	shgisalt	cluster altitude based on gis info
hv107	0.271524450847187	0.084671663896505	0.00145597108130901	0.00756596218764727	0.00316297165939544	hv107	highest year of education
hv108	0.0276780236568434	0.00769242636185147	3.5048947009731e-4	0.00169484711879375	8.05699485199898e-4	hv108	education in single years
hv123	-0.112617045692795	0.0736020879987006	0.12737123204467	1.53907259901276e-4	0.190727780123383	hv123	grade of education during current school year
hv124	0.0245361447858024	0.0124535703531081	0.0493325211851893	0.00164931313987249	0.0832163250260062	hv124	education in single years - current school year
hv127	0.0086925834232512	0.233945010003914	0.970390962226152	2.13492540224181e-6	0.978267512244221	hv127	grade of education during previous school year
hv128	0.0232063525400838	0.0106599875798204	0.0299225550797934	0.00174971405695457	0.0525761305302595	hv128	education in single years - previous school year
hml16	0.0382919603066908	0.0124496026423641	0.00220763032618018	0.00259602259939606	0.00471807720152667	hml16	corrected age from individual questionnaire
sh15	0.0231941959501659	0.0128484001607658	0.0718294766140737	0.00160884262637107	0.115817038145912	sh15	highest grade completed
sh17	0.257155076976358	0.0651495333265227	1.05120409422239e-4	0.00347348571339245	2.50251051346371e-4	sh17	grade attending during 1997 e.c. school year
sh19	0.324448324226121	0.0675338404233788	2.73225070912228e-6	0.0128795573100522	6.92945964559775e-6	sh19	grade attended last year
ha0	-0.222574118224672	0.22025093646301	0.312692255811918	0.00112809465796881	0.406238265395818	ha0	index to household schedule
ha1	0.0381328546034562	0.0128221450721726	0.00307295884396003	0.002555687981045	0.00640986184966135	ha1	women's age in years
ha2	-1.07033542512962e-4	1.54125654672512e-4	0.487699207688904	4.18144675577992e-5	0.586291055260969	ha2	respondent's weight (kilos-1d)
ha3	-1.21376889708023e-4	7.28619719510434e-5	0.0963325824665392	5.43641962319485e-5	0.15052398849103	ha3	respondent's height (cms-1d)
ha4	7.49770371527018e-5	5.67522903975201e-5	0.187026640519668	6.34770093588477e-4	0.264650002063475	ha4	ht/a percentile (resp.)
ha5	-8.60106181250035e-5	6.67530645334355e-5	0.198135712266131	4.49136496356584e-5	0.278376193025492	ha5	ht/a standard deviations (resp
ha6	-1.90405198399153e-5	7.30150223420866e-6	0.00936982089349076	1.0498085898436e-4	0.0182566613285542	ha6	ht/a percent ref. median (resp
ha11	-2.74492490945359e-4	5.5915505705592e-4	0.623695468186559	1.6442527966376e-4	0.707516753707456	ha11	wt/ht std deviations(resp) dhs
ha12	-2.10784603257262e-5	3.9890390114096e-5	0.597435513255111	1.25366972689944e-4	0.68469606541523	ha12	wt/ht percent ref. median (dhs
ha12a	-6.94787924188186e-6	1.52868371839684e-5	0.649653825687596	2.7221784322351e-5	0.729727436760718	ha12a	wt/ht percent ref. median (fog
ha12b	-1.17482822256874e-5	2.37051060455046e-5	0.620380366226121	6.13268004653333e-5	0.704491497383738	ha12b	wt/ht percent ref. median (who
ha32	-0.00325945357729108	0.0010402536981108	0.00182361413256774	0.00270993013045306	0.00393411942147492	ha32	date of birth (cmc)
ha40	-1.49116236880414e-5	2.02260296708029e-4	0.941256982554177	1.57284466051344e-6	0.956438546788922	ha40	body mass index for respondent
ha41	-1.34484646440041e-4	2.90676251165074e-4	0.643796352423884	7.64520084312048e-5	0.724083504265621	ha41	rohrer's index for respondent
ha53	-0.00874622237659828	0.00698240701049091	0.210898550834458	0.0010631828631319	0.293575405738658	ha53	hemoglobin level (g/dl - 1 decimal)
ha56	-0.0095745430433536	0.00793547078999545	0.228141703227674	0.0011541722561732	0.312750546808798	ha56	hemoglobin level adjusted by altitud (g/dl - 1 decimal)
v004	-4.47770274814138e-4	0.00155687625939103	0.773759139850435	8.89552950699146e-5	0.832351145986103	v004	ultimate area unit
v005	-1.74464332273189e-7	2.54858738847149e-7	0.493925221147744	3.01409633080452e-4	0.592508357548626	v005	sample weight
v006	0.163230040490627	0.145913943544523	0.263786278893954	5.8401658974172e-4	0.352932888381817	v006	month of interview
v008	0.163230040490599	0.145913943544534	0.26378627889407	5.84016589741609e-4	0.352932888381817	v008	date of interview (cmc)
v012	0.0383596480989213	0.012539560122714	0.00233237576269971	0.00263256919969923	0.00497489570189187	v012	current age - respondent
v016	-0.0229396184181023	0.0232501136334993	0.32426669048197	7.56219962770865e-4	0.418523546177293	v016	day of interview
v018	-0.163230040490626	0.145913943544522	0.263786278893954	5.8401658974172e-4	0.352932888381817	v018	row of month of interview
v019	0.163230040490628	0.145913943544522	0.263786278893946	5.8401658974172e-4	0.352932888381817	v019	length of calendar
v021	-4.47770274814138e-4	0.00155687625939103	0.773759139850435	8.89552950699146e-5	0.832351145986103	v021	primary sampling unit
v022	0.00730413197131892	0.00321414226867797	0.0234560913489466	0.0050463889819875	0.0424848454557795	v022	sample stratum number
v027	-0.139003177222699	0.396423177461469	0.725995202357849	3.3986957168719e-5	0.792541723920033	v027	number of visits
v028	5.68864962942247e-4	0.00191786444107226	0.766877611316762	3.33615372506424e-5	0.828227820222103	v028	interviewer identification
v029	0.0220042333623326	0.0276745259389819	0.426906676372419	4.58501438267533e-4	0.528255998346401	v029	keyer identification
v030	6.98918585431346e-4	0.00205638758202165	0.734083901700763	4.7296788627027e-5	0.799364408991287	v030	field supervisor
v031	6.63298014204123e-4	0.00205366164860429	0.746835421684058	4.26539381316315e-5	0.811223474762993	v031	field editor
v032	0.00958381597318413	0.00989334224872214	0.333129912031402	3.45261263893448e-4	0.428183242933325	v032	office editor
v040	-2.04618384999372e-4	1.55826174907231e-4	0.189710921562672	7.64442568774282e-4	0.268056097233763	v040	cluster altitude in meters
v107	0.205273875326065	0.097769682634515	0.0364366600573971	0.00471569659621329	0.0631567452662662	v107	highest year of education
v115	0.00128979922775846	3.83217785218724e-4	8.18820612041583e-4	0.00446084405447311	0.00182346987732826	v115	time to get to water source
v133	0.165447473147845	0.0353263676988711	3.58977517925344e-6	0.00967435083078239	9.06199344031051e-6	v133	education in single years
v136	-0.336699114962642	0.0775613098963117	1.69887344525251e-5	0.00890508065839413	4.18650956151511e-5	v136	number of household members
v137	-0.333411694202563	0.213398937962909	0.118793759272669	0.00164193628159959	0.181637872514348	v137	number of children 5 and under
v138	0.00367192660629116	0.168095102737856	0.98258034563394	1.70512795216737e-7	0.986665918796659	v138	number of eligible women in hh
v152	-0.0108624601963399	0.0147924808751791	0.463076595534955	3.94794045988078e-4	0.563232781418704	v152	age of household head
bord_01	-0.138028455482989	0.0845822394055974	0.103315076869995	0.00274046496543023	0.160282169576684	bord	NA
bord_02	-0.092402159182646	0.0848786957145384	0.276841230091511	9.22532121673147e-4	0.367571419428161	bord	NA
bord_03	-0.086521506664052	0.0859074838236566	0.314374522493085	6.32186062638818e-4	0.4080579424537	bord	NA
bord_04	-0.188476824323736	0.124204039855357	0.129849935383059	0.00233768888065911	0.193971707597992	bord	NA
bord_05	-0.237713581811369	0.123465148964159	0.0548943030812675	0.00255727497527425	0.091638070466309507	bord	NA
bord_06	-0.76830783935737	0.391919892838904	0.0507299698087209	0.0143426599009746	0.0852098836006606	bord	NA
b1_01	-0.0677929912703761	0.0407921077340902	0.0971384627237798	0.00112082381378453	0.151575076318312	b1	NA
b1_02	0.165322347845076	0.0750536809035869	0.0280726634228039	0.00528646533754118	0.0499516446577685	b1	NA
b1_03	0.097475887922389	0.0703940571159408	0.166786186304045	0.00184386704881578	0.239913815970776	b1	NA
b1_04	0.0507454188284682	0.102123710788167	0.619501762626887	5.12224916305648e-4	0.703677596587164	b1	NA
b1_05	0.139532064970908	0.115195115896819	0.226508130501097	0.00356203365780805	0.311198117347746	b1	NA
b1_06	0.118107466704809	0.121864296772049	0.333115504040635	0.00299623408510807	0.428183242933325	b1	NA
b2_01	-0.0475128278198003	0.0357619913749612	0.184573476149702	0.00110965339164892	0.261503145893266	b2	NA
b2_02	-0.0690142910878128	0.0334450836810259	0.0395827808723682	0.00282261281701224	0.0681720873423869	b2	NA
b2_03	-0.0609387807598397	0.0310762245609705	0.0504668199272719	0.00205433755459328	0.0848413472225418	b2	NA
b2_04	-0.0948084792561417	0.026593684569788	4.02773897644156e-4	0.00613786466187904	9.21989538209134e-4	b2	NA
b2_05	-0.0954435151466596	0.0253070180410973	1.86822591458235e-4	0.00599527481658568	4.35451906203189e-4	b2	NA
b2_06	-0.127936956967169	0.0330341932292239	1.27928868478708e-4	0.0108635215789615	3.02231951780948e-4	b2	NA
b3_01	-0.00413999343362954	0.00289484423856975	0.153287111556654	0.00123750429388114	0.223378838061272	b3	NA
b3_02	-0.00546941410700146	0.00292324709741313	0.0619315378453299	0.00247933131971967	0.1018987112088	b3	NA
b3_03	-0.00489475052840294	0.00265078048239194	0.06543428031551	0.00187711764686482	0.1069736053146	b3	NA
b3_04	-0.00784153087693253	0.00229915711525984	7.06758697847296e-4	0.00600129146717054	0.00158446625040856	b3	NA
b3_05	-0.00778327690359038	0.00206985688670073	1.95032720645424e-4	0.00564779476588373	4.54344714172378e-4	b3	NA
b3_06	-0.010335284795546	0.00277377451982334	2.26010871837819e-4	0.0102798075031133	5.25384630951336e-4	b3	NA
b8_01	0.0700067350090845	0.0380199940950306	0.066155036705104	0.00233989661050615	0.107948928137045	b8	NA
b8_02	0.0739885783266262	0.0433373199345458	0.0884089494676473	0.00283076855986686	0.139244095411544	b8	NA
b8_03	0.0617660493336617	0.0410993102680425	0.133556840156935	0.00160457637905842	0.198820883813793	b8	NA
b8_04	0.113398725145232	0.0257801385636355	1.38141339303857e-5	0.00537212184455216	3.42165471198784e-5	b8	NA
b8_05	0.13796518017727	0.0284700732443967	1.86635719994223e-6	0.00971260109217675	4.75281473236607e-6	b8	NA
b11_01	0.0118584928481311	0.00709157905780761	0.0951155344153786	0.00208755625578549	0.148943525973938	b11	NA
b11_02	0.021988212131068	0.00620236026147608	4.31107007408063e-4	0.00530581648529804	9.84255336766203e-4	b11	NA
b11_03	0.0325751398810672	0.0105525040764073	0.00214734412652857	0.0124535110444496	0.00459478703115613	b11	NA
b11_04	0.0140281486671677	0.0217802767857371	0.519895435374769	9.21667594356745e-4	0.61680825807154	b11	NA
b11_05	0.015543968332314	0.0156783341876011	0.322149108777871	0.00143123827254077	0.416284832300061	b11	NA
b12_02	0.0119365075621943	0.00717600221149775	0.0968681360949058	0.00210848732969859	0.151252078880947	b12	NA
b12_03	0.0213036169656075	0.0062995689489486	7.79455237740151e-4	0.00486614212205916	0.00173847712593968	b12	NA
b12_04	0.0326196686820872	0.0105477762309383	0.00210803971171092	0.0124836878069088	0.00451411262404304	b12	NA
b12_05	0.0140815202024153	0.02166041017744	0.515998206040776	9.33688889302231e-4	0.613859934772647	b12	NA
b12_06	0.015906463935681	0.0154345414018633	0.303437501993596	0.00150994370120305	0.395441214656775	b12	NA
v201	-0.0192829950714695	0.0480983130275465	0.688649481802544	6.66831926184885e-5	0.763273660733212	v201	total children ever born
v202	-0.221900628995464	0.0986129614356105	0.0248444353276007	0.00139682079741343	0.0446644997390737	v202	sons at home
v203	-0.234693576689742	0.134569358838481	0.081732862652159	0.00129972174201609	0.130096211625388	v203	daughters at home
v204	0.367828784192489	0.179020645479695	0.0404003549203775	0.0013761346329576	0.069381151951053	v204	sons elsewhere
v205	0.320839382607242	0.17906514409796	0.0737439018641312	9.50392748587436e-4	0.118639800667424	v205	daughters elsewhere
v206	0.241486978027779	0.122780659155174	0.0497256941092898	8.58306591897895e-4	0.0838470101990236	v206	sons who have died
