var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
v105_3	1	-2.74616949733232	0.923412645378317	0.003177087502297	0.0371832417829563	0.00710473166263029	v105	type of place of previous res.
v105_2	1	1.88218287432788	0.601840699526552	0.00193565775994606	0.0249419676680339	0.00441838560416382	v105	type of place of previous res.
hc61_02_2	1	3.21895549374463	1.2039952505441	0.00790395912290872	0.0170755634088294	0.0168886375757297	hc61_02	mother's highest educational level
hc0_01	1	-0.666979099501711	0.189020815630229	4.59854706492296e-4	0.00925843685836381	0.00111215776542688	hc0	index to household schedule
hv270_5	1	1.83695776933812	0.411973965227092	1.00724799841558e-5	0.00911773174944608	2.58266210079179e-5	hv270	wealth index
hc61_01_2	1	2.62012213636698	0.838978009453693	0.001903417559838	0.00903858770899024	0.00436365084681611	hc61_01	mother's highest educational level
v762as_0	1	-2.06028191591343	0.567789704841599	3.12881340472941e-4	0.00871381230602841	7.6724198717645e-4	v762as	source for condoms: shop
v130_1	1	2.0904719842969	0.618423482948213	7.77987457729902e-4	0.00806446992861909	0.00185606583185607	v130	religion
hv271	1	7.54750214078348e-6	1.29798306931849e-6	1.053199e-8	0.00803497351019611	2.75123497428289e-8	hv271	wealth index factor score (5 decimals)
v190_5	1	1.70352140024849	0.419324897985965	5.59762428942818e-5	0.00763164984147835	1.40525910155702e-4	v190	wealth index
hv206_1	1	1.71005817357297	0.450424154913582	1.63781826592494e-4	0.00729676507356924	4.04628441562934e-4	hv206	has electricity
v762az_1	1	-2.05289275730156	0.69951706394216	0.00348480509592192	0.00721492177180094	0.007773116772238	v762az	source for condoms: dk source for condom
v744d_0	1	5.13977009377267	1.0325985826762	8.75237090118927e-7	0.00711597179939238	2.27062981827513e-6	v744d	wife beating justified if she refuses to have sex with him
hv206_0	1	-1.67721182390924	0.451038433297551	2.21836574347679e-4	0.00704879076708365	5.46520888854683e-4	hv206	has electricity
hv013	1	-0.359734950232991	0.0957339060695911	1.90662841901694e-4	0.00700546777380096	4.7059865931063e-4	hv013	number of de facto members
v762as_1	1	1.74282777455711	0.531339137210836	0.00110683526078069	0.00692475027838035	0.00260762883472061	v762as	source for condoms: shop
sh44_0	1	1.65009012718949	0.413059587520164	7.39619062074117e-5	0.00678549539626705	1.8515013677135e-4	sh44	livestock, herds or farm animals
sh44_1	1	-1.65009012718949	0.413059587520162	7.39619062074045e-5	0.00678549539626694	1.8515013677135e-4	sh44	livestock, herds or farm animals
hv012	1	-0.361596456141655	0.103077300635239	4.90049338702822e-4	0.0067097177221106	0.00118301673081732	hv012	number of de jure members
v191	1	7.09088460674483e-6	1.3972198099778e-6	5.39065485689346e-7	0.00669000771945572	1.39987408820606e-6	v191	wealth index factor score (5 decimals)
hv009	1	-0.35275846249005	0.105573153195412	8.92803343178202e-4	0.00651843155755039	0.00211660110353109	hv009	number of household members
v025_1	1	1.65304105219917	0.468560695558604	4.55649410774279e-4	0.00642930627763383	0.00110299733625561	v025	type of place of residence
v025_2	1	-1.65304105219916	0.468560695558601	4.5564941077425e-4	0.00642930627763383	0.00110299733625561	v025	type of place of residence
v026_3	1	-1.65304105219916	0.468560695558601	4.5564941077425e-4	0.00642930627763383	0.00110299733625561	v026	de facto place of residence
v136	1	-0.348690216866748	0.111000162332439	0.00177672734603013	0.00612084568516591	0.00409453483496123	v136	number of household members
hv120_04_0	1	-1.82380196208563	0.586445239769167	0.00197577917320349	0.00609218583480309	0.00449056178694549	hv120_04	children eligibility for height/weight and hemoglobin
hv120_04_1	1	1.82380196208563	0.586445239769168	0.00197577917320358	0.00609218583480309	0.00449056178694549	hv120_04	children eligibility for height/weight and hemoglobin
hv025_1	1	1.59266158003065	0.447950145900491	4.11304190603573e-4	0.00606993468162864	0.00100300495603327	hv025	type of place of residence
hv025_2	1	-1.59266158003064	0.447950145900487	4.11304190603539e-4	0.00606993468162842	0.00100300495603327	hv025	type of place of residence
hv026_3	1	-1.59266158003064	0.447950145900487	4.11304190603539e-4	0.00606993468162842	0.00100300495603327	hv026	place of residence
v778_1	1	2.88989096654403	0.842274341984316	6.49543394661062e-4	0.00584724621793087	0.0015594946411817	v778	willing to care for relative with aids
