var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
hc61_02_2	1	3.18083023576929	1.15853195103931	0.0064051604511367	0.0145483077164527	0.0129381291691418	hc61_02	mother's highest educational level
hv106_01_2	1	2.64261052380688	0.484686457914775	7.68689635762366e-8	0.0125046831266833	1.87506128019142e-7	hv106_01	highest educational level
v105_3	1	-1.80824616088627	0.702918144077158	0.010603595375815	0.0120577213426243	0.0209367314547225	v105	type of place of previous res.
hv109_01_3	1	2.39064146200213	0.490640412544119	1.46379329894299e-6	0.00880260626661888	3.5378365131478e-6	hv109_01	educational attainment
v105_2	1	1.48532318776312	0.605312408171122	0.0147336008646192	0.00867729608430745	0.0286190682477326	v105	type of place of previous res.
sh15	1	0.242107576618878	0.0697143803599197	5.65563174849204e-4	0.00849214760725481	0.00128879850753516	sh15	highest grade completed
hv106_2	1	2.0601059950648	0.484953156923206	2.55373189509407e-5	0.00817285425493564	6.07723539592006e-5	hv106	highest educational level
hv101_07_6	1	4.54770526695375	1.38444137542594	0.00110907352638856	0.0079329945210741	0.00246335993371704	hv101_07	relationship to head
sh03_07_6	1	4.54770526695375	1.38444137542594	0.00110907352638856	0.0079329945210741	0.00246335993371704	sh03_07	relationship to head of household
hv105_07	1	0.0622136917871956	0.0223191170405487	0.00556240030404963	0.00735140916053578	0.0113314532509742	hv105	age of household members
hml16_07	1	0.0622410944379272	0.0224186953582355	0.00575319998034634	0.00733518958718582	0.0116749594049896	hml16	corrected age from individual questionnaire
sm512_1	1	-2.01953991886134	0.599019226666611	8.09273924306141e-4	0.00707295567595134	0.00182833387877576	sm512	person deciding how respondents money will be used
v632_3	1	16.2456484021641	0.49651539399638	2.984876e-76	0.00655759272837386	1.71158902657952e-75	v632	decision maker for using contraception
v536_0	1	-17.2266560848507	0.252643825116349	8.557715e-262	0.00607056932555994	7.68908181066667e-259	v536	recent sexual activity
v602_6	1	-17.2266269324227	0.252656249314591	8.764151e-262	0.00606585013407945	7.68908181066667e-259	v602	fertility preference
v605_8	1	-17.2266269324227	0.252656249314591	8.764151e-262	0.00606585013407945	7.68908181066667e-259	v605	desire for more children
hml17_04_1	1	-17.2656693587601	0.299959538638621	1.747093e-225	0.00599111264366192	3.83195731333333e-223	hml17_04	flag for qh07 age from individual file
s108	1	0.240213503823863	0.0944725430443961	0.0113421557768106	0.00595591852187272	0.0223447260513215	s108	highest grade
sh20_05_3	1	15.973011227173	0.517970255845666	5.680565e-86	0.00578604964522766	3.59404977884615e-85	sh20_05	birth certificate / registered
hml17_03_0	1	2.17266246076044	0.60998248996403	4.0223222146959e-4	0.00578195672421633	9.25415390653812e-4	hml17_03	flag for qh07 age from individual file
hv011	1	-1.30127413899565	0.437815614317997	0.00309320128925753	0.00546895856079344	0.00657617592352651	hv011	number of eligible men in hh
v150_1	1	2.51132167789929	0.580103243237227	1.79599158428799e-5	0.005261456299679	4.3012282528171e-5	v150	relationship to household head
hml17_03_1	1	-2.22665994970752	0.684591727008921	0.001218333138568	0.00524284656142382	0.00269014498381793	hml17_03	flag for qh07 age from individual file
v822_1	1	3.05604259060695	0.547712780080087	3.87930052130357e-8	0.00519580894650329	9.51567471768033e-8	v822	wife justified to ask husband to use condom if he has std
v150_101	1	-4.3505522800072	1.0283823115639	2.75526321253038e-5	0.00518368749380782	6.55090584948506e-5	v150	relationship to household head
sh03_1	1	2.07616602966959	0.5804763638622	3.80382000074292e-4	0.00478257680962313	8.76677254111678e-4	sh03	relationship to head of household
mv313a_3	1	1.85797722039962	0.502498097445236	2.40843114193636e-4	0.00477080556686149	5.59981516393684e-4	mv313a	most recent use by method type
s916f_2	1	2.36760443161303	0.635499649764113	2.16369054053472e-4	0.00466865336062494	5.03521971944066e-4	s916f	people with aids virus should be ashamed of themselves (aids
hv109_3	1	1.61663066559812	0.491849087948648	0.00108133819354504	0.00460845925552877	0.00241397975013617	hv109	educational attainment
hv120_04_0	1	-1.5900274831664	0.582029159725952	0.00651551186994492	0.00444872514938099	0.0131408637867395	hv120_04	children eligibility for height/weight and hemoglobin
hv120_04_1	1	1.5900274831664	0.582029159725951	0.00651551186994487	0.00444872514938099	0.0131408637867395	hv120_04	children eligibility for height/weight and hemoglobin
hv118_04_0	1	16.1633380699889	0.307150035957027	1.869418e-208	0.00432543493616888	1.64010272533333e-206	hv118_04	eligibility for male interview
hv118_04_1	1	-16.1633380696387	0.307150021144464	1.869379e-208	0.00432543493616888	1.64010272533333e-206	hv118_04	eligibility for male interview
hv118_03_0	1	2.1569693929056	0.643454969844086	8.60406251313036e-4	0.00423799033633754	0.0019388606622054	hv118_03	eligibility for male interview
hv118_03_1	1	-2.1569693929056	0.643454969844085	8.60406251313025e-4	0.00423799033633754	0.0019388606622054	hv118_03	eligibility for male interview
hml17_04_0	1	2.41921937269802	1.04688988705862	0.0212376060935555	0.00422935460597262	0.040069805905547	hml17_04	flag for qh07 age from individual file
sm614_1	1	1.50196002978266	0.505027368669528	0.00307681743158633	0.00410727995232441	0.00654663175419177	sm614	special medication for aids from doctor or nurse
