var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
v535_0	1	-2.2440625068029	0.384481814123596	8.9383e-9	0.0226143486679884	3.24056182950192e-8	v535	ever been married or in union
v535_1	1	2.00467730871062	0.353397931596492	2.23729571799456e-8	0.0188926623434655	8.08030943951279e-8	v535	ever been married or in union
v705_5	1	-1.934927571688	0.330309833451567	7.7667e-9	0.0163488558978545	2.81850043144775e-8	v705	husband/partner's occupation (grouped)
v704_62	1	-1.7584551114643	0.336273252151552	2.36169266976779e-7	0.0135020168998684	8.38555980775899e-7	v704	husband/partner's occupation
v732_1	1	1.85706999827949	0.367515293752795	5.90513725807729e-7	0.0131647377209612	2.06761743957655e-6	v732	respondent employed all year/seasonal
hv244_0	1	1.85346105927232	0.266292543439967	9.0144e-12	0.0123819136628274	3.43254567404427e-11	hv244	owns land usable for agriculture
hv244_1	1	-1.85181405858425	0.266269173768002	9.3502e-12	0.0123604465339855	3.55683487437186e-11	hv244	owns land usable for agriculture
hv101_09_12	1	2.38725187207819	0.787463561126824	0.0026080538691523	0.0122632634488393	0.00695664826972618	hv101_09	relationship to head
v025_1	1	1.80312108792857	0.274129820806089	1.0495e-10	0.0118562390766259	3.94474428997021e-10	v025	type of place of residence
hv025_1	1	1.80312108792857	0.274129820806089	1.0495e-10	0.0118562390766259	3.94474428997021e-10	hv025	type of place of residence
v025_2	1	-1.80312108792853	0.274129820806076	1.0495e-10	0.0118562390766258	3.94474428997021e-10	v025	type of place of residence
hv025_2	1	-1.80312108792853	0.274129820806076	1.0495e-10	0.0118562390766258	3.94474428997021e-10	hv025	type of place of residence
hv270_5	1	1.7871098916231	0.287164513950606	9.1989e-10	0.0116152066640397	3.43371168639053e-9	hv270	wealth index
v190_5	1	1.7871098916231	0.287164513950606	9.1989e-10	0.0116152066640397	3.43371168639053e-9	v190	wealth index
v140_2	1	-1.77916611964341	0.279300621563561	3.7882e-10	0.0114840087575019	1.41683171936759e-9	v140	de jure type of place of residence
v140_1	1	1.76479548937256	0.276355102068856	3.4377e-10	0.0113991580338958	1.28701231454006e-9	v140	de jure type of place of residence
v527	1	0.00510341033829021	0.00111756598630835	6.03079783172507e-6	0.011151454582537	2.02722644698751e-5	v527	time since last sex
hv115_3	1	2.48816687479281	0.320990505428964	3.9569e-14	0.0105752060998452	1.57651226315789e-13	hv115	current marital status
hv246b	1	-0.508678929091823	0.126587034459392	6.61229103270704e-5	0.010433104804527	2.11918048762033e-4	hv246b	owns cows/ bulls/ oxen
v501_3	1	2.43281952141396	0.321867945127936	1.5533e-13	0.0100670985043463	6.14340700104493e-13	v501	current marital status
v729_4	1	2.46906684682572	0.319283009123206	4.5118e-14	0.00985425573268639	1.79570588853838e-13	v729	husband/partner's educational attainment
hv206_1	1	1.61401697396054	0.30049715234936	1.12440816726536e-7	0.00961063992547306	4.03019404649563e-7	hv206	has electricity
hv206_0	1	-1.61170787575549	0.300400101789268	1.16034631682547e-7	0.00958435734773233	4.15507172108269e-7	hv206	has electricity
mm3_05	1	0.0616461680375208	0.0116153696292662	1.5780133756684e-7	0.00935174720807885	5.62408721930781e-7	mm3	NA
hv116_2	1	1.81700277819209	0.276007064344213	1.0135e-10	0.00934658083753026	3.82462362911266e-10	hv116	currently, formerly, never married
v119_0	1	-1.59125161237499	0.307445084280076	3.11075313833702e-7	0.00933886163377662	1.09527447707959e-6	v119	household has: electricity
m19_1	1	-3.31770557185368e-4	6.13767621563536e-5	9.4310104210366e-8	0.00933341189410275	3.38675279351267e-7	m19	NA
v119_1	1	1.58668775622622	0.299661076013695	1.67852675944109e-7	0.00928040618030423	5.97107498541779e-7	v119	household has: electricity
sh17b	1	0.220050260862358	0.0666949712506043	0.00103087774971575	0.0091697218814637	0.00290534049342823	sh17b	highest grade completed
hv215_12	1	-1.99229747053332	0.410308239569877	1.53655502465547e-6	0.00903454361613643	5.26322241477009e-6	hv215	main roof material
v502_2	1	1.77442937829883	0.272245847540935	1.5251e-10	0.00900799923237194	5.72668998015873e-10	v502	currently/formerly/never in union
b2_04	1	-0.144989860829033	0.0310256618944091	3.7424448389021e-6	0.00862455859270694	1.26814267817766e-5	b2	NA
v536_3	1	1.57378824801314	0.273251359952127	1.3545e-8	0.00852852686567696	4.90132170172084e-8	v536	recent sexual activity
mm3_04	1	0.0528598022763402	0.00861788744032647	1.5674e-9	0.00852303296627466	5.83918208661417e-9	mm3	NA
m19a_1_0	1	-2.05037662320681	0.376800960494194	7.77236411260855e-8	0.00852037380549042	2.79377000628902e-7	m19a_1	weight at birth/recall
v129_12	1	-1.94377043695887	0.41137461437516	2.87462849604804e-6	0.00850936635277355	9.81350148651882e-6	v129	main roof material
hv271	1	6.66620296190838e-6	8.53352012939179e-7	2.568e-14	0.00841436925208427	1.02422339304531e-13	hv271	wealth index factor score (5 decimals)
v191	1	6.66620296190838e-6	8.53352012939179e-7	2.568e-14	0.00841436925208427	1.02422339304531e-13	v191	wealth index factor score (5 decimals)
b3_04	1	-0.0119266102519273	0.00259962548147035	5.56525838202953e-6	0.00833211844727721	1.87740668235132e-5	b3	NA
sh17b_01	1	0.202328201961571	0.0694937226592504	0.00374069593239728	0.00831476141544729	0.00973095127431182	sh17b	highest grade completed
hv101_06_3	1	-1.78916557198701	0.492715711196177	3.07167405359821e-4	0.00831364460766459	9.29359415896821e-4	hv101_06	relationship to head
v761_1	1	2.8837569672077	0.375195581406751	6.3267e-14	0.00831211718365654	2.51275545645331e-13	v761	condom used during last sex with most recent partner
v761_0	1	-2.85967571586809	0.365602794787365	2.395e-14	0.00821588294565556	9.57241288278775e-14	v761	condom used during last sex with most recent partner
v121_1	1	1.62951392925217	0.245290624451826	6.9465e-11	0.00821404235369461	2.63188213213213e-10	v121	household has: television
sh11a_02_0	1	-2.0119371499855	0.395858113120057	4.99848803763828e-7	0.00797172408013991	1.7534084543525e-6	sh11a_02	children eligibility for child labour
sh11a_02_1	1	2.01193714998552	0.395858113120062	4.99848803763895e-7	0.00797172408013991	1.7534084543525e-6	sh11a_02	children eligibility for child labour
hv101_07_3	1	-1.97422742736831	0.502589998419643	9.67432810198746e-5	0.00795513761014099	3.06677821323472e-4	hv101_07	relationship to head
hv208_1	1	1.57808632773392	0.244337104720615	2.1996e-10	0.00777974468341058	8.25122497522299e-10	hv208	has television
hv246_1	1	-1.46105815396241	0.281779201557814	2.96447522429304e-7	0.00774972698549659	1.04664996133713e-6	hv246	owns livestock, herds or farm animals
hv246_0	1	1.46105815396241	0.281779201557809	2.96447522429129e-7	0.00774972698549659	1.04664996133713e-6	hv246	owns livestock, herds or farm animals
m19a_1_2	1	2.12429394455078	0.435272146540083	1.3667113559084e-6	0.00774951486232822	4.69419462986687e-6	m19a_1	weight at birth/recall
hv208_0	1	-1.57360504189538	0.244130701320699	2.3817e-10	0.00774101583100995	8.9254797029703e-10	hv208	has television
v781_1	1	1.48883339075047	0.278637096985066	1.30266506589389e-7	0.00773628116321878	4.66029042949752e-7	v781	ever been tested for hiv
v781_0	1	-1.48444245195702	0.278632019668497	1.41450045618411e-7	0.00768949450817646	5.05560361346256e-7	v781	ever been tested for hiv
v121_0	1	-1.5164100208952	0.248064435930241	1.7719e-9	0.00768325735166997	6.58805648330059e-9	v121	household has: television
s929d_3	1	1.20512283929649	0.405787218191557	0.00312599973027424	0.00766889754027344	0.00821090144280916	s929d	shared hiv result with partner
b8_02	1	0.112072185955128	0.020801253971884	1.03349547766069e-7	0.00765776341946334	3.70784870421394e-7	b8	NA
hv101_1	1	1.51846475308784	0.292860437221291	2.96712129065982e-7	0.00715671688437247	1.04664996133713e-6	hv101	relationship to head
v150_1	1	1.51846475308784	0.292860437221291	2.96712129065982e-7	0.00715671688437247	1.04664996133713e-6	v150	relationship to household head
mm3_06	1	0.0509379885450175	0.0118176785451726	1.91212872519593e-5	0.00711328604811212	6.26615344144294e-5	mm3	NA
v745a_2	1	-1.65492440483398	0.350645376208502	2.94928075230843e-6	0.0070699498940674	1.00567816644031e-5	v745a	owns a house alone or jointly
mm3_03	1	0.0524952493007366	0.00961092954945094	6.93356645812784e-8	0.00706312420669553	2.49463393954505e-7	mm3	NA
b8_04	1	0.135950763579953	0.0398923799179019	7.04130621991436e-4	0.00700929178364429	0.00201446289058019	b8	NA
v732_2	1	-1.44298182822242	0.418711291204473	6.11305006681394e-4	0.00690894375240525	0.00176895217912009	v732	respondent employed all year/seasonal
mm4_05	1	-0.00407737011314608	7.14106078401124e-4	1.78859909355111e-8	0.00685800006894399	6.4659480125033e-8	mm4	NA
hv101_08_12	1	2.29553842293745	0.761706425526614	0.00271925902073238	0.00681881089174485	0.00722780575384274	hv101_08	relationship to head
hv109_02_0	1	-1.41565934839968	0.287760816791642	1.12452954707632e-6	0.00681088505879568	3.87292478224192e-6	hv109_02	educational attainment
hv106_02_0	1	-1.41565934839968	0.287760816791642	1.12452954707632e-6	0.00681088505879568	3.87292478224192e-6	hv106_02	highest educational level attained
hv101_07_12	1	2.35313338459075	0.657846086925611	3.78811247463788e-4	0.00676047205098629	0.00113075754862022	hv101_07	relationship to head
b2_06	1	-0.163175957619261	0.0460600115449591	4.34866996320115e-4	0.00665077232806788	0.0012869207045126201	b2	NA
hv219_1	1	-1.34256190045175	0.266479557572462	6.24636489993661e-7	0.00662743389405951	2.17502218456901e-6	hv219	sex of head of household
v151_1	1	-1.34256190045175	0.266479557572462	6.24636489993661e-7	0.00662743389405951	2.17502218456901e-6	v151	sex of household head
hv219_2	1	1.34256190045175	0.266479557572463	6.24636489993794e-7	0.0066274338940594	2.17502218456901e-6	hv219	sex of head of household
v151_2	1	1.34256190045175	0.266479557572463	6.24636489993794e-7	0.0066274338940594	2.17502218456901e-6	v151	sex of household head
hv243a_1	1	1.33219834694454	0.256808299065676	2.92811981163696e-7	0.00661976880592463	1.03675710823629e-6	hv243a	has mobile telephone
v701_2	1	1.64231746066553	0.309345395364807	1.5594416509377e-7	0.00661364465203396	5.56313539000867e-7	v701	husband/partner's education level
s804_2	1	1.64231746066553	0.309345395364807	1.5594416509377e-7	0.00661364465203396	5.56313539000867e-7	s804	husband's level of education attended
hv104_01_2	1	1.34095927806322	0.266024131225665	6.16550312864852e-7	0.00661248945796977	2.15479495308723e-6	hv104_01	sex of household member
hv104_01_1	1	-1.34095927806322	0.266024131225664	6.16550312864793e-7	0.00661248945796966	2.15479495308723e-6	hv104_01	sex of household member
hv243a_0	1	-1.33000538924159	0.256734911608075	3.03613803127879e-7	0.00659883666983729	1.0699983657719e-6	hv243a	has mobile telephone
s110e_0	1	-1.31174642149028	0.261495306274542	6.9661182901631e-7	0.00643917401981886	2.41675139580819e-6	s110e	has a mobile telephone (from household)
hv215_31	1	1.4557297401377	0.321046757390909	6.9924204204569e-6	0.00642975847435956	2.34008057395485e-5	hv215	main roof material
b3_06	1	-0.0133850132159803	0.00394287864553495	7.44032738314569e-4	0.00642062829164491	0.00212060535731976	b3	NA
s110e_1	1	1.30530663361121	0.259977778970765	6.81101086179031e-7	0.00632963228781991	2.36510790017214e-6	s110e	has a mobile telephone (from household)
v825_1	1	1.27783521962017	0.307698718801232	3.76465639930317e-5	0.00628981511631943	1.21996784857556e-4	v825	would buy vegetables from vendor with hiv
s929d_1	1	-0.908664420814615	0.374388031097842	0.0155817185433618	0.00624985341711315	0.0351261493071021	s929d	shared hiv result with partner
hv117_01_0	1	-1.34613240582794	0.286616414026113	3.28835220638187e-6	0.00620059861674049	1.11627023328748e-5	hv117_01	eligibility for female interview
hv117_01_1	1	1.34613240582797	0.286616414026109	3.28835220637976e-6	0.00620059861674038	1.11627023328748e-5	hv117_01	eligibility for female interview
v762az_0	1	1.29790505999637	0.274688360923231	2.87534297187566e-6	0.00613241487142457	9.81350148651882e-6	v762az	don't know any source for condoms
v785_1	1	1.2958051798467	0.276496477061701	3.44897667223473e-6	0.00611812131157896	1.16974701652406e-5	v785	heard about other stis
v762az_1	1	-1.29635489933814	0.274735365218065	2.96460750215802e-6	0.00611764292551997	1.00999454506464e-5	v762az	don't know any source for condoms
ha32_03	1	-0.00665954477634281	0.00238129980722392	0.00543325823782892	0.00611371713877051	0.0136011127183746	ha32	date of birth (cmc)
mm4_04	1	-0.00394898424741865	6.83390228498916e-4	1.2171e-8	0.00611202721502258	4.40834784688995e-8	mm4	NA
m3b_1_1	1	1.7872293579771	0.456487877341407	1.00960701765449e-4	0.00604347043033338	3.19779293876338e-4	m3b_1	assistance: nurse/midwife
m3b_1_0	1	-1.78681653553328	0.456486324868033	1.01324625617545e-4	0.0060411051121837	3.20663635420073e-4	m3b_1	assistance: nurse/midwife
b8_01	1	0.101550494151634	0.0143417275992429	4.0644e-12	0.00603494284816541	1.56817064220183e-11	b8	NA
v785_0	1	-1.28651309498584	0.27698154676284	4.19528057404917e-6	0.00602993448957079	1.42031636608015e-5	v785	heard about other stis
v741_0	1	-1.71003506244591	0.572930488931027	0.00296298433485618	0.00598109481980669	0.00784807257342942	v741	type of earnings from respondent's work
m19a_2_0	1	-2.35527468309514	0.980737309427054	0.0167188171530403	0.00596360508318472	0.0374220715105012	m19a_2	weight at birth/recall
b3_02	1	-0.00833169712562089	0.0016015470261769	2.7213399682425e-7	0.00595568816314651	9.64444923202047e-7	b3	NA
hv101_05_3	1	-1.50408810210489	0.422184168432553	3.96758714883217e-4	0.00594563873683251	0.00117875332482965	hv101_05	relationship to head
v304_09_1	1	1.25791409574526	0.275936149285527	6.25199307825023e-6	0.00590862376635892	2.09971551030853e-5	v304_09	knows method
v304_09_0	1	-1.25393444414449	0.27644596668965	6.94174804970588e-6	0.00587273381654163	2.32517843965812e-5	v304_09	knows method
ha1_03	1	0.0783740958950576	0.0290357748543107	0.00726805957180773	0.00582639549489894	0.017771062971119	ha1	woman's age in years
v3a08b_1	1	1.4663543460245	0.391195591426439	1.95483102018964e-4	0.00577009185700084	6.03018370938695e-4	v3a08b	reason not using: not having sex
b2_02	1	-0.0975146883251138	0.0188939822384168	3.36035082819154e-7	0.005670240538868	1.18095894936908e-6	b2	NA
v705_8	1	1.4737447114038	0.324799217284483	6.89451008042144e-6	0.00566462188760997	2.3114012979978e-5	v705	husband/partner's occupation (grouped)
v3a08b_0	1	-1.45049880520968	0.391098163765489	2.27915744845822e-4	0.00565797183361572	6.99644034259072e-4	v3a08b	reason not using: not having sex
v825_0	1	-1.20627474513237	0.308377491745768	1.02243694870883e-4	0.00560877851256969	3.23301909011105e-4	v825	would buy vegetables from vendor with hiv
v139_14	1	1.71103654062259	0.237216714032111	1.6752e-12	0.00554127310499597	6.51657965056526e-12	v139	de jure region of residence
hv101_02_2	1	-1.26113589404735	0.284230122015167	1.08721569963063e-5	0.00552141442737741	3.62245723864607e-5	hv101_02	relationship to head
m14_1	1	0.215604388324413	0.0558323324009864	1.25170161079052e-4	0.00538835971475571	3.94150632016815e-4	m14	NA
hv024_14	1	1.68101784587657	0.236428365973533	3.3438e-12	0.00538353875758124	1.29145744897959e-11	hv024	region
v024_14	1	1.68101784587657	0.236428365973533	3.3438e-12	0.00538353875758124	1.29145744897959e-11	v024	region
v023_19	1	1.68101784587657	0.236428365973533	3.3438e-12	0.00538353875758124	1.29145744897959e-11	v023	stratification used in sample design
hv023_19	1	1.68101784587657	0.236428365973533	3.3438e-12	0.00538353875758124	1.29145744897959e-11	hv023	stratification used in sample design
v022_19	1	1.68101784587657	0.236428365973533	3.3438e-12	0.00538353875758124	1.29145744897959e-11	v022	sample strata for sampling errors
hv022_19	1	1.68101784587657	0.236428365973533	3.3438e-12	0.00538353875758124	1.29145744897959e-11	hv022	sample strata for sampling errors
v101_14	1	1.68101784587657	0.236428365973533	3.3438e-12	0.00538353875758124	1.29145744897959e-11	v101	region
v129_31	1	1.27878037852758	0.306922928804703	3.55341316763793e-5	0.0053705900673604	1.15249947210879e-4	v129	main roof material
hv106_02_1	1	1.21603561613363	0.267881438556094	6.82998401163433e-6	0.00536106413767423	2.29179871312375e-5	hv106_02	highest educational level attained
bord_01	1	-0.219821182026806	0.0672988060207321	0.00115221034336036	0.00533690243874818	0.00323765118754192	bord	NA
v741_1	1	1.08369946907808	0.382876466223229	0.00481656299138802	0.00526396634132131	0.012202604365732	v741	type of earnings from respondent's work
sh110j_1	1	1.1854257884262	0.25732637577705	5.00882912389108e-6	0.00525724052399601	1.69271591374355e-5	sh110j	bed with cotton/sponge/spring mattress
sh110j_0	1	-1.18328010107503	0.257257992694829	5.17688368070206e-6	0.00523891928420173	1.7479486825564e-5	sh110j	bed with cotton/sponge/spring mattress
v745b_2	1	-1.49480254759466	0.407280837447148	2.64174194339102e-4	0.00521351164201556	8.05071920751611e-4	v745b	owns land alone or jointly
b2_01	1	-0.0926975933941375	0.0134972265827532	1.6471e-11	0.00517918772890757	6.25931074297189e-11	b2	NA
v762ax_1	1	3.45696604210768	1.00704116037154	6.38956053844109e-4	0.00514127930229791	0.00184332977423777	v762ax	source for condoms: other
s110j_0	1	-1.16861788344678	0.262491334636022	1.01623643545483e-5	0.00513642456359054	3.39492930997046e-5	s110j	bed with cotton/sponge/spring mattress (from household)
bord_02	1	-0.253195401398816	0.105737927035583	0.0169520507315816	0.00513568246570606	0.0378977689147285	bord	NA
hv101_02_3	1	1.28292240328075	0.302470553719379	2.57511919854421e-5	0.00512396380701252	8.39519910981037e-5	hv101_02	relationship to head
mm4_03	1	-0.00369422161054271	6.671881346281e-4	4.62398048934663e-8	0.00509616709201666	1.66842384672803e-7	mm4	NA
s715b_1	1	1.15933363694252	0.264923598165908	1.42732198884233e-5	0.00505612399170041	4.72453661889158e-5	s715b	family happiness is in your hands
s715b_0	1	-1.15784698716128	0.264905037688912	1.46133743712914e-5	0.00504337547535993	4.830709344571e-5	s715b	family happiness is in your hands
s110j_1	1	1.16127123748198	0.261004708176053	1.0290921029397e-5	0.0050147680465753	3.43484445293365e-5	s110j	bed with cotton/sponge/spring mattress (from household)
b3_01	1	-0.0076394569384709	0.00115313947211365	7.7958e-11	0.00501010533592428	2.9507103e-10	b3	NA
sh27_01	1	-2.06187439918049	0.533164685182048	1.22273492524343e-4	0.00499005787299778	3.85349849462646e-4	sh27	family work past week
v222	1	0.0076309622021194	0.00115358598608078	8.2989e-11	0.00498525931597138	3.13799565434565e-10	v222	last birth to interview (months)
v704_83	1	2.32445189489324	0.449338406696116	3.15363845433104e-7	0.00497969095844275	1.10934215145381e-6	v704	husband/partner's occupation
v762ax_0	1	-3.31937761080796	1.00168395173173	9.76374521290728e-4	0.00489378924548478	0.00275995337048947	v762ax	source for condoms: other
v384b_1	1	1.20041682118868	0.262547488487036	5.87582753713883e-6	0.00483415676740984	1.97864832989951e-5	v384b	heard family planning on tv last few months
v384b_0	1	-1.1997044007288	0.262470709814767	5.91324327652741e-6	0.00482888438948514	1.98947784903611e-5	v384b	heard family planning on tv last few months
hv113_04_0	1	1.6678203734563	0.443269105806054	1.84957371617234e-4	0.00481604474323283	5.71947427754273e-4	hv113_04	father alive
hv113_04_1	1	-1.64089716164959	0.441460512112741	2.2078710690036e-4	0.0047077997732119	6.79413983429157e-4	hv113_04	father alive
v745b_0	1	1.19746436711601	0.29558267063674	5.77213068817522e-5	0.00464951849213036	1.85462772960469e-4	v745b	owns land alone or jointly
v013_1	1	-1.8496271878653	0.430322422030456	2.01181373260815e-5	0.00463197653924408	6.5871236833234e-5	v013	age in 5-year groups
v719_1	1	-1.14411204556766	0.413243518285252	0.00581698811867949	0.00459471209638473	0.0145137112914976	v719	respondent works for family, others, self
hv213_32	1	1.4791419960625	0.293890813634311	6.41040927050059e-7	0.0045240634525433	2.23009182801882e-6	hv213	main floor material
b8_03	1	0.105857158055655	0.0349657079525873	0.00257787641635544	0.00446910774623899	0.00688100298723931	b8	NA
v012	1	0.0538378623029544	0.00897782080379857	3.4969e-9	0.00439390726295374	1.2738947545717e-8	v012	respondent's current age
ha32	1	-0.00448318372000646	7.44158904338225e-4	2.9761e-9	0.00439076132669947	1.10436651960784e-8	ha32	date of birth (cmc)
ha1	1	0.0537507309504446	0.00898306314465633	3.775e-9	0.00438021922642007	1.37256243996158e-8	ha1	woman's age in years
