var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
m4_1_94	1	2.58320745621464	0.431942861374143	6.052e-9	0.0649029333705398	2.51306279491833e-8	m4_1	duration of breastfeeding
v535_2	1	1.58424836249273	0.408398745384563	1.29209598206584e-4	0.0273265894828078	5.20478099818071e-4	v535	ever been married or in union
hv121_0	1	2.17721123482566	0.61642528985034	4.70788177676481e-4	0.0241960759453117	0.00185238753314495	hv121	member attended school during current school year
hv122_0	1	2.17721123482566	0.61642528985034	4.70788177676481e-4	0.0241960759453117	0.00185238753314495	hv122	educational level during current school year
v535_0	1	-1.41067917345523	0.394267325222533	4.04405063483095e-4	0.0228362392123034	0.00159944474546123	v535	ever been married or in union
sh19a_0	1	2.24493751099396	0.730834170725737	0.0023040010483202	0.0222910447967541	0.00863481473965183	sh19a	level of education attending
hv121_2	1	-2.24493751099395	0.730834170725747	0.00230400104832056	0.0222910447967537	0.00863481473965183	hv121	member attended school during current school year
hv106_11_3	1	18.783529630419	1.04774406112717	5.1315e-40	0.0189032131172766	3.11842549800797e-39	hv106_11	highest educational level attained
hv109_11_5	1	18.783529630419	1.04774406112717	5.1315e-40	0.0189032131172766	3.11842549800797e-39	hv109_11	educational attainment
sh17a_11_4	1	18.783529630419	1.04774406112717	5.1315e-40	0.0189032131172766	3.11842549800797e-39	sh17a_11	level of education attended
v604_0	1	1.19188807288836	0.337708688274572	4.78068880172292e-4	0.018212760173298	0.00187941855297973	v604	preferred waiting time for birth of a/another child (grouped)
ha32	1	-0.0047274078338759	7.47210699331356e-4	8.0984e-10	0.018178710503161902	3.38431766210046e-9	ha32	date of birth (cmc)
ha1	1	0.0565533728295991	0.00899842505118051	1.0313e-9	0.0181387069124925	4.29802258652095e-9	ha1	woman's age in years
hml16	1	0.0565533728295991	0.00899842505118051	1.0313e-9	0.0181387069124925	4.29802258652095e-9	hml16	corrected age from individual file
v447a	1	0.0565533728295991	0.00899842505118051	1.0313e-9	0.0181387069124925	4.29802258652095e-9	v447a	women's age in years (from household questionnaire)
v012	1	0.056495778601039	0.00899219356047801	1.0436e-9	0.0181136291687028	4.3453262966333e-9	v012	respondent's current age
hmla	1	-0.458368198166528	0.151058269107501	0.00260975252624475	0.0175162570346459	0.00974875719191508	hmla	line number of person who slept in this net
